Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,30.639999,30.639999,29.530001,29.59,273700,29.59
2016-10-06,30.51,30.75,30.209999,30.73,133700,30.73
2016-10-05,30.049999,30.799999,29.860001,30.48,158800,30.48
2016-10-04,29.110001,29.98,29.110001,29.90,210900,29.90
2016-10-03,28.719999,29.219999,28.360001,29.17,131100,29.17
2016-09-30,28.41,29.02,28.290001,28.82,172500,28.82
2016-09-29,28.34,28.52,28.200001,28.219999,66100,28.219999
2016-09-28,28.379999,28.49,28.139999,28.360001,92400,28.360001
2016-09-27,28.07,28.40,27.959999,28.32,77700,28.32
2016-09-26,28.200001,28.42,27.870001,28.030001,98200,28.030001
2016-09-23,28.719999,28.85,28.360001,28.41,109300,28.41
2016-09-22,28.610001,28.959999,28.610001,28.790001,131300,28.790001
2016-09-21,28.459999,28.809999,28.25,28.549999,104700,28.549999
2016-09-20,28.40,28.719999,28.309999,28.41,171200,28.41
2016-09-19,28.379999,28.65,28.15,28.35,100500,28.35
2016-09-16,27.700001,28.16,27.25,28.16,254000,28.16
2016-09-15,27.35,27.76,27.26,27.559999,65800,27.559999
2016-09-14,27.34,27.360001,27.110001,27.299999,92700,27.299999
2016-09-13,27.299999,27.450001,27.120001,27.24,132000,27.24
2016-09-12,26.84,27.59,26.51,27.59,211800,27.59
2016-09-09,27.75,27.75,26.860001,26.870001,161000,26.870001
2016-09-08,28.799999,28.799999,27.90,28.030001,95000,28.030001
2016-09-07,28.99,29.23,28.709999,28.809999,89900,28.809999
2016-09-06,29.059999,29.15,28.559999,29.040001,99600,29.040001
2016-09-02,28.65,29.00,28.65,28.99,147800,28.99
2016-09-01,28.209999,28.66,28.00,28.620001,111500,28.620001
2016-08-31,28.129999,28.559999,27.709999,28.299999,217100,28.299999
2016-08-30,28.01,28.17,27.84,28.17,58200,28.17
2016-08-29,27.73,28.049999,27.68,27.969999,47400,27.969999
2016-08-26,27.950001,28.08,27.50,27.68,46100,27.68
2016-08-25,27.780001,28.059999,27.67,27.92,73900,27.92
2016-08-24,27.85,28.10,27.719999,27.98,85900,27.98
2016-08-23,27.700001,28.00,27.110001,27.870001,60000,27.870001
2016-08-22,27.52,27.73,27.27,27.690001,69800,27.690001
