Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.72,1.72,1.67,1.67,43600,1.67
2016-10-06,1.77,1.78,1.71,1.72,21800,1.72
2016-10-05,1.70,1.85,1.70,1.71,18200,1.71
2016-10-04,1.76,1.79,1.76,1.76,23300,1.76
2016-10-03,1.89,1.89,1.80,1.80,19700,1.80
2016-09-30,1.86,1.91,1.75,1.79,43700,1.79
2016-09-29,1.87,1.96,1.83,1.83,27900,1.83
2016-09-28,1.92,1.96,1.88,1.89,26500,1.89
2016-09-27,1.84,2.09,1.84,1.94,154600,1.94
2016-09-26,1.93,1.96,1.85,1.86,25700,1.86
2016-09-23,1.89,1.99,1.88,1.89,47900,1.89
2016-09-22,1.90,1.98,1.85,1.88,57800,1.88
2016-09-21,2.09,2.09,1.89,1.93,105600,1.93
2016-09-20,2.46,2.46,1.98,2.07,92600,2.07
2016-09-19,1.92,2.16,1.92,2.01,222000,2.01
2016-09-16,2.12,2.26,1.96,2.00,393200,2.00
2016-09-15,2.53,2.87,2.12,2.23,1901400,2.23
2016-09-14,1.41,3.09,1.38,2.81,5334900,2.81
2016-09-13,1.25,1.25,1.25,1.25,400,1.25
2016-09-12,1.27,1.32,1.20,1.32,7600,1.32
2016-09-09,1.30,1.31,1.30,1.31,600,1.31
2016-09-08,1.30,1.34,1.29,1.34,2000,1.34
2016-09-07,1.35,1.35,1.33,1.33,6800,1.33
2016-09-06,1.34,1.35,1.34,1.34,2900,1.34
2016-09-02,1.34,1.35,1.34,1.35,400,1.35
2016-09-01,1.34,1.35,1.33,1.33,5100,1.33
2016-08-31,1.34,1.36,1.31,1.33,4600,1.33
2016-08-30,1.32,1.37,1.32,1.33,1000,1.33
2016-08-29,1.38,1.38,1.36,1.36,4100,1.36
2016-08-26,1.33,1.36,1.33,1.36,6600,1.36
2016-08-25,1.31,1.36,1.31,1.32,1900,1.32
2016-08-24,1.37,1.40,1.31,1.31,6400,1.31
2016-08-23,1.33,1.37,1.33,1.37,15700,1.37
2016-08-22,1.40,1.40,1.35,1.36,2500,1.36
2016-08-19,1.35,1.41,1.35,1.38,14500,1.38
2016-08-18,1.35,1.43,1.35,1.36,9400,1.36
2016-08-17,1.37,1.45,1.35,1.35,8600,1.35
2016-08-16,1.48,1.48,1.41,1.42,44700,1.42
2016-08-15,1.43,1.45,1.40,1.42,105500,1.42
2016-08-12,1.41,1.47,1.41,1.42,3900,1.42
2016-08-11,1.42,1.49,1.42,1.49,2500,1.49
2016-08-10,1.46,1.46,1.45,1.45,1200,1.45
2016-08-09,1.52,1.56,1.45,1.46,9200,1.46
2016-08-08,1.57,1.57,1.57,1.57,100,1.57
2016-08-05,1.57,1.57,1.51,1.55,10100,1.55
2016-08-04,1.55,1.59,1.45,1.45,24600,1.45
2016-08-03,1.55,1.59,1.50,1.56,6300,1.56
2016-08-02,1.60,1.61,1.50,1.52,44900,1.52
2016-08-01,1.42,1.55,1.39,1.55,81700,1.55
2016-07-29,1.60,1.60,1.40,1.55,18300,1.55
2016-07-28,1.49,1.55,1.44,1.50,18700,1.50
2016-07-27,1.55,1.70,1.43,1.57,121400,1.57
2016-07-26,1.55,1.58,1.47,1.54,5800,1.54
2016-07-25,1.48,1.64,1.35,1.55,47400,1.55
2016-07-22,1.49,1.49,1.49,1.49,100,1.49
2016-07-21,1.47,1.53,1.45,1.53,2000,1.53
2016-07-20,1.39,1.52,1.39,1.50,7900,1.50
2016-07-19,1.42,1.46,1.42,1.43,1800,1.43
2016-07-18,1.56,1.61,1.47,1.47,18300,1.47
2016-07-15,1.79,1.79,1.50,1.52,49100,1.52
2016-07-14,1.32,1.73,1.29,1.56,884600,1.56
2016-07-13,1.34,1.34,1.32,1.32,1700,1.32
2016-07-12,1.31,1.34,1.28,1.34,2900,1.34
2016-07-11,1.30,1.30,1.30,1.30,000,1.30
2016-07-08,1.32,1.32,1.28,1.30,1000,1.30
2016-07-07,1.29,1.32,1.29,1.32,1300,1.32
2016-07-06,1.35,1.35,1.21,1.33,10200,1.33
2016-07-05,1.35,1.37,1.35,1.37,1500,1.37
2016-07-01,1.38,1.38,1.38,1.38,000,1.38
2016-06-30,1.38,1.38,1.38,1.38,000,1.38
2016-06-29,1.40,1.40,1.38,1.38,800,1.38
2016-06-28,1.39,1.43,1.39,1.40,8900,1.40
2016-06-27,1.35,1.37,1.35,1.37,3000,1.37
2016-06-24,1.50,1.55,1.35,1.37,4000,1.37
2016-06-23,1.46,1.46,1.46,1.46,000,1.46
2016-06-22,1.46,1.46,1.46,1.46,300,1.46
2016-06-21,1.47,1.60,1.46,1.47,1900,1.47
2016-06-20,1.52,1.52,1.50,1.51,900,1.51
2016-06-17,1.52,1.54,1.49,1.54,800,1.54
2016-06-16,1.50,1.50,1.50,1.50,100,1.50
2016-06-15,1.47,1.47,1.46,1.47,4000,1.47
2016-06-14,1.53,1.53,1.53,1.53,100,1.53
2016-06-13,1.53,1.53,1.53,1.53,000,1.53
2016-06-10,1.57,1.60,1.50,1.53,2500,1.53
