Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,12.41,12.41,12.01,12.16,59400,12.16
2016-10-06,12.86,12.86,12.31,12.39,41700,12.39
2016-10-05,12.77,12.98,12.52,12.82,184500,12.82
2016-10-04,12.69,12.92,12.60,12.73,57300,12.73
2016-10-03,12.94,13.07,12.48,12.64,157700,12.64
2016-09-30,12.51,13.07,12.45,12.95,165600,12.95
2016-09-29,12.66,12.67,12.33,12.36,62100,12.36
2016-09-28,12.26,12.71,12.26,12.58,100700,12.58
2016-09-27,12.27,12.88,12.10,12.22,298000,12.22
2016-09-26,10.82,12.50,10.76,12.20,732900,12.20
2016-09-23,10.23,10.29,10.19,10.27,149300,10.27
2016-09-22,10.34,10.45,10.22,10.26,192500,10.26
2016-09-21,10.56,10.58,10.10,10.36,71900,10.36
2016-09-20,10.58,10.63,10.50,10.52,49200,10.52
2016-09-19,10.80,10.99,10.32,10.48,135200,10.48
2016-09-16,10.48,10.99,10.31,10.76,238300,10.76
2016-09-15,10.18,10.41,10.09,10.37,50200,10.37
2016-09-14,10.29,10.37,10.11,10.13,39800,10.13
2016-09-13,10.44,10.47,10.11,10.36,65600,10.36
2016-09-12,10.41,10.67,10.34,10.59,54300,10.59
2016-09-09,10.95,10.95,10.51,10.54,48400,10.54
2016-09-08,10.88,11.15,10.82,10.98,81600,10.98
2016-09-07,10.99,11.01,10.89,10.89,63800,10.89
2016-09-06,10.60,10.97,10.60,10.95,55300,10.95
2016-09-02,10.60,10.75,10.54,10.59,42300,10.59
2016-09-01,10.17,10.65,10.06,10.59,133100,10.59
2016-08-31,10.17,10.29,10.05,10.18,63800,10.18
2016-08-30,10.08,10.28,10.08,10.15,23200,10.15
2016-08-29,10.02,10.21,10.00,10.10,27100,10.10
2016-08-26,10.10,10.15,9.98,10.02,46800,10.02
2016-08-25,9.93,10.16,9.83,10.10,99400,10.10
2016-08-24,9.79,9.99,9.77,9.95,101800,9.95
2016-08-23,9.77,10.00,9.74,9.82,58100,9.82
2016-08-22,9.56,9.80,9.42,9.75,58900,9.75
2016-08-19,9.60,9.71,9.47,9.58,59200,9.58
2016-08-18,9.57,9.70,9.53,9.61,36900,9.61
2016-08-17,9.57,9.70,9.44,9.55,45800,9.55
2016-08-16,9.72,9.74,9.56,9.63,66700,9.63
2016-08-15,9.89,10.00,9.79,9.81,70300,9.81
