Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,19.459999,19.51,19.450001,19.469999,1100,19.469999
2016-10-06,19.540001,19.629999,19.540001,19.620001,1500,19.620001
2016-10-05,19.66,19.74,19.629999,19.719999,3100,19.719999
2016-10-04,19.48,19.48,19.48,19.48,000,19.48
2016-10-03,19.48,19.48,19.48,19.48,000,19.48
2016-09-30,19.50,19.50,19.48,19.48,3800,19.48
2016-09-29,19.66,19.66,19.469999,19.530001,300,19.530001
2016-09-28,19.620001,19.620001,19.620001,19.620001,400,19.620001
2016-09-27,19.530001,19.530001,19.43,19.52,900,19.52
2016-09-26,19.51,19.51,19.51,19.51,300,19.51
2016-09-23,19.74,19.74,19.74,19.74,200,19.74
2016-09-22,19.92,19.92,19.879999,19.879999,900,19.879999
2016-09-21,19.450001,19.450001,19.450001,19.450001,000,19.450001
2016-09-20,19.48,19.48,19.450001,19.450001,1400,19.450001
2016-09-19,19.43,19.43,19.41,19.41,1000,19.41
2016-09-16,19.41,19.41,19.18,19.18,2500,19.18
2016-09-15,19.74,19.74,19.58,19.610001,2900,19.443
2016-09-14,19.51,19.51,19.51,19.51,000,19.343852
2016-09-13,19.68,19.68,19.51,19.51,1000,19.343852
2016-09-12,19.799999,19.99,19.610001,19.99,1100,19.819763
2016-09-09,19.889999,19.889999,19.870001,19.879999,700,19.7107
2016-09-08,20.25,20.25,20.139999,20.139999,1200,19.968486
2016-09-07,20.27,20.27,20.059999,20.059999,1600,19.889167
2016-09-06,20.23,20.23,20.23,20.23,000,20.057719
2016-09-02,20.00,20.23,20.00,20.23,6300,20.057719
2016-09-01,19.77,19.77,19.66,19.77,3000,19.601638
2016-08-31,19.76,19.76,19.76,19.76,400,19.591723
2016-08-30,19.85,19.85,19.85,19.85,500,19.680956
2016-08-29,19.76,19.77,19.76,19.77,18100,19.601638
2016-08-26,20.02,20.02,19.719999,19.77,2200,19.601638
2016-08-25,19.98,19.98,19.85,19.85,1900,19.680956
2016-08-24,19.93,19.99,19.93,19.99,1300,19.819763
2016-08-23,20.049999,20.049999,19.92,19.950001,900,19.780105
2016-08-22,19.76,19.889999,19.76,19.83,1500,19.661126
2016-08-19,19.799999,19.85,19.799999,19.82,1000,19.651211
2016-08-18,19.950001,19.950001,19.950001,19.950001,2100,19.780105
2016-08-17,19.75,19.870001,19.75,19.870001,1200,19.700786
2016-08-16,19.950001,19.950001,19.950001,19.950001,200,19.780105
2016-08-15,19.98,19.98,19.84,19.84,500,19.671041
2016-08-12,19.860001,19.860001,19.76,19.809999,3600,19.641296
2016-08-11,19.83,19.91,19.83,19.91,2400,19.740445
2016-08-10,19.77,19.77,19.77,19.77,100,19.601638
2016-08-09,19.719999,19.719999,19.719999,19.719999,200,19.552062
2016-08-08,19.549999,19.60,19.530001,19.60,800,19.433085
2016-08-05,19.59,19.59,19.59,19.59,200,19.42317
2016-08-04,19.639999,19.639999,19.610001,19.610001,400,19.443
2016-08-03,19.49,19.540001,19.459999,19.540001,1600,19.373597
2016-08-02,19.450001,19.52,19.450001,19.51,1000,19.343852
2016-08-01,19.52,19.799999,19.52,19.559999,6400,19.393425
2016-07-29,19.809999,19.83,19.809999,19.83,700,19.661126
2016-07-28,19.67,19.73,19.66,19.73,3000,19.561977
2016-07-27,19.75,19.790001,19.75,19.790001,1200,19.621468
2016-07-26,19.620001,19.75,19.620001,19.68,1900,19.512404
2016-07-25,19.620001,19.620001,19.60,19.620001,3400,19.452915
2016-07-22,19.67,19.719999,19.67,19.719999,300,19.552062
2016-07-21,19.620001,19.74,19.59,19.59,2400,19.42317
2016-07-20,19.59,19.67,19.549999,19.639999,1700,19.472744
2016-07-19,19.360001,19.540001,19.360001,19.540001,1800,19.373597
2016-07-18,19.68,19.73,19.67,19.700001,2700,19.532234
2016-07-15,19.60,19.629999,19.57,19.57,3200,19.40334
2016-07-14,19.77,19.77,19.700001,19.709999,1700,19.542147
2016-07-13,19.75,19.75,19.75,19.75,100,19.581808
2016-07-12,19.51,19.52,19.51,19.52,1000,19.353767
2016-07-11,19.25,19.370001,19.219999,19.290001,3000,19.125726
2016-07-08,19.08,19.08,19.08,19.08,1800,18.917513
2016-07-07,19.01,19.01,18.76,18.76,2400,18.600239
