Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,19.50,19.93,19.50,19.93,800,19.93
2016-10-06,19.42,19.42,19.42,19.42,000,19.42
2016-10-05,20.18,20.18,19.42,19.42,300,19.42
2016-10-04,20.370001,20.370001,20.370001,20.370001,000,20.370001
2016-10-03,20.01,20.370001,20.01,20.370001,400,20.370001
2016-09-30,20.42,20.42,20.42,20.42,000,20.42
2016-09-29,20.00,20.42,20.00,20.42,1000,20.42
2016-09-28,19.83,19.84,19.83,19.84,1100,19.84
2016-09-27,20.68,20.68,20.68,20.68,000,20.68
2016-09-26,20.68,20.68,20.68,20.68,200,20.68
2016-09-23,20.83,20.83,20.83,20.83,1100,20.83
2016-09-22,21.17,21.620001,21.00,21.00,2100,21.00
2016-09-21,22.200001,22.200001,22.200001,22.200001,300,22.200001
2016-09-20,21.309999,21.309999,21.309999,21.309999,000,21.309999
2016-09-19,21.00,21.48,21.00,21.309999,1000,21.309999
2016-09-16,20.02,21.950001,20.02,21.41,4400,21.41
2016-09-15,19.559999,20.780001,19.559999,20.24,1400,20.24
2016-09-14,18.32,19.82,17.75,18.57,4000,18.57
2016-09-13,19.040001,19.049999,18.27,18.549999,900,18.549999
2016-09-12,19.969999,19.969999,19.00,19.049999,8600,19.049999
2016-09-09,20.030001,20.450001,19.24,19.48,4900,19.48
2016-09-08,20.16,20.50,20.16,20.50,400,20.50
2016-09-07,21.98,21.98,20.18,20.18,500,20.18
2016-09-06,20.120001,20.120001,20.120001,20.120001,000,20.120001
2016-09-02,21.690001,21.690001,20.049999,20.120001,1200,20.120001
2016-09-01,21.48,21.91,20.00,20.110001,11500,20.110001
2016-08-31,21.00,21.950001,21.00,21.950001,700,21.950001
2016-08-30,21.26,21.27,21.02,21.049999,2600,21.049999
2016-08-29,21.290001,21.290001,21.26,21.26,200,21.26
2016-08-26,21.40,21.40,21.40,21.40,000,21.40
2016-08-25,21.26,21.40,21.26,21.40,2300,21.40
2016-08-24,21.280001,21.280001,21.26,21.26,500,21.26
2016-08-23,21.26,21.33,21.26,21.299999,1600,21.299999
2016-08-22,21.26,21.26,21.26,21.26,200,21.26
2016-08-19,21.00,21.450001,21.00,21.26,11400,21.26
2016-08-18,20.200001,21.10,20.10,21.01,15000,21.01
2016-08-17,21.870001,21.870001,19.639999,19.870001,2900,19.870001
2016-08-16,22.00,22.01,19.50,19.67,38900,19.67
2016-08-15,23.25,23.25,22.00,22.09,4300,22.09
2016-08-12,22.65,22.870001,22.209999,22.209999,3800,22.209999
2016-08-11,21.83,22.66,21.17,22.65,3200,22.65
