Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,14.74,14.74,14.61,14.68,1000,14.68
2016-10-06,14.85,14.92,14.48,14.62,10500,14.62
2016-10-05,14.93,14.93,14.60,14.60,600,14.60
2016-10-04,14.66,14.66,14.66,14.66,400,14.66
2016-10-03,14.91,15.00,14.72,14.96,1700,14.96
2016-09-30,14.72,14.80,14.72,14.80,400,14.80
2016-09-29,14.50,14.50,14.50,14.50,100,14.50
2016-09-28,14.95,14.95,14.67,14.81,2200,14.81
2016-09-27,14.99,14.99,14.99,14.99,000,14.99
2016-09-26,15.00,15.00,14.99,14.99,1400,14.99
2016-09-23,15.12,15.12,15.12,15.12,400,15.12
2016-09-22,15.22,15.40,14.92,15.10,6300,15.10
2016-09-21,15.29,15.30,15.12,15.30,400,15.30
2016-09-20,15.03,15.22,14.70,15.20,4100,15.20
2016-09-19,15.15,15.19,14.75,15.19,3300,15.19
2016-09-16,15.01,15.25,15.01,15.06,4600,15.06
2016-09-15,15.38,15.38,15.38,15.38,000,15.38
2016-09-14,15.60,15.60,15.06,15.38,4600,15.38
2016-09-13,15.14,15.14,15.14,15.14,200,15.07
2016-09-12,15.39,15.66,15.12,15.46,2400,15.38852
2016-09-09,15.70,15.70,15.31,15.32,1800,15.249167
2016-09-08,14.68,16.00,14.68,15.66,10400,15.587595
2016-09-07,15.32,16.00,15.32,15.61,3800,15.537826
2016-09-06,15.18,16.00,15.18,15.32,2000,15.249167
2016-09-02,14.93,14.93,14.93,14.93,000,14.860971
2016-09-01,14.93,14.93,14.93,14.93,000,14.860971
2016-08-31,14.93,14.93,14.93,14.93,000,14.860971
2016-08-30,14.93,14.93,14.93,14.93,000,14.860971
2016-08-29,15.31,15.31,14.93,14.93,700,14.860971
2016-08-26,15.20,15.20,14.45,14.73,8200,14.661895
2016-08-25,15.01,15.40,15.00,15.36,5600,15.288982
2016-08-24,15.50,15.70,15.20,15.45,12100,15.378566
2016-08-23,15.99,16.00,15.52,16.00,13400,15.926023
2016-08-22,15.87,16.030001,15.78,16.02,4600,15.945931
2016-08-19,15.65,15.94,15.13,15.94,5400,15.8663
2016-08-18,15.65,15.65,15.65,15.65,000,15.577641
2016-08-17,15.51,16.00,15.41,15.65,6600,15.577641
2016-08-16,15.84,16.00,15.84,16.00,500,15.926023
2016-08-15,15.75,16.08,15.75,16.00,700,15.926023
2016-08-12,16.40,16.40,16.40,16.40,000,16.324174
2016-08-11,16.25,16.41,16.24,16.40,18200,16.324174
2016-08-10,16.15,16.15,16.15,16.15,000,16.07533
2016-08-09,15.78,16.15,15.75,16.15,5400,16.07533
2016-08-08,16.00,16.15,16.00,16.15,3600,16.07533
2016-08-05,15.92,16.00,15.92,16.00,300,15.926023
2016-08-04,15.86,15.90,15.83,15.90,800,15.826485
2016-08-03,15.96,15.96,15.61,15.71,7000,15.637364
2016-08-02,15.11,15.65,15.11,15.65,1100,15.577641
2016-08-01,15.80,16.00,15.63,15.63,800,15.557734
2016-07-29,15.90,16.00,15.83,15.89,3100,15.816532
2016-07-28,16.15,16.17,16.030001,16.17,1700,16.095238
2016-07-27,15.97,16.00,15.94,16.00,12400,15.926023
2016-07-26,15.80,16.15,15.80,16.00,36300,15.926023
2016-07-25,15.90,15.90,15.49,15.90,3100,15.826485
2016-07-22,15.75,15.75,15.75,15.75,500,15.677179
2016-07-21,15.68,15.68,15.65,15.65,500,15.577641
2016-07-20,15.66,15.66,15.66,15.66,000,15.587595
2016-07-19,15.55,15.70,15.55,15.66,600,15.587595
2016-07-18,15.79,15.79,15.79,15.79,000,15.716994
2016-07-15,15.78,15.80,15.78,15.79,1600,15.716994
2016-07-14,15.68,15.81,15.61,15.80,5600,15.726948
2016-07-13,15.67,15.80,15.42,15.70,3900,15.62741
2016-07-12,15.78,15.80,15.78,15.80,800,15.726948
2016-07-11,15.76,15.90,15.75,15.75,9000,15.677179
2016-07-08,15.68,15.80,15.67,15.80,15800,15.726948
2016-07-07,15.48,15.54,14.66,15.53,6200,15.458196
2016-07-06,15.25,15.55,15.11,15.26,4500,15.189445
2016-07-05,15.46,15.49,15.20,15.20,2400,15.129722
2016-07-01,15.20,15.50,14.33,15.50,10200,15.428335
2016-06-30,15.68,15.68,15.14,15.22,3000,15.14963
2016-06-29,15.40,15.49,15.40,15.49,700,15.418381
2016-06-28,15.20,15.40,15.20,15.40,1900,15.328797
2016-06-27,15.10,15.25,15.10,15.14,2100,15.07
2016-06-24,15.00,15.20,15.00,15.12,1000,15.050092
2016-06-23,15.20,15.42,15.05,15.15,1400,15.079953
2016-06-22,14.98,14.98,14.98,14.98,000,14.910739
2016-06-21,15.14,15.40,14.98,14.98,5300,14.910739
2016-06-20,15.43,15.43,15.43,15.43,000,15.358659
2016-06-17,15.50,15.55,15.30,15.43,9700,15.358659
2016-06-16,15.45,15.67,15.26,15.45,18800,15.378566
2016-06-15,15.50,15.50,14.56,15.40,15500,15.328797
2016-06-14,15.10,15.50,14.98,15.45,10700,15.378566
2016-06-13,15.04,15.24,15.01,15.24,2800,15.169537
2016-06-10,15.24,15.24,15.02,15.24,2900,15.169537
2016-06-09,14.52,15.20,14.50,15.18,9200,15.109815
2016-06-08,14.91,15.05,14.37,14.48,103200,14.413051
2016-06-07,14.53,14.72,13.63,14.40,26600,14.263744
2016-06-06,14.50,14.93,14.50,14.51,700,14.372704
2016-06-03,14.44,14.44,14.00,14.30,7600,14.164691
2016-06-02,14.64,14.64,13.96,14.06,700,13.926962
2016-06-01,13.99,14.99,13.49,14.52,4200,14.38261
2016-05-31,14.45,14.60,14.44,14.44,1000,14.303366
2016-05-27,14.36,14.81,14.36,14.71,6300,14.570811
2016-05-26,15.00,15.00,15.00,15.00,000,14.858067
2016-05-25,14.46,15.04,14.46,15.00,8600,14.858067
2016-05-24,14.85,14.85,14.50,14.50,3000,14.362798
2016-05-23,14.87,14.87,14.60,14.87,2800,14.729297
2016-05-20,14.71,14.95,14.55,14.73,2100,14.590622
2016-05-19,14.52,14.52,14.52,14.52,000,14.38261
2016-05-18,14.52,14.52,14.52,14.52,000,14.38261
2016-05-17,14.33,14.94,14.33,14.52,7300,14.38261
2016-05-16,15.00,15.14,14.62,14.62,2000,14.481663
2016-05-13,15.02,15.14,14.85,14.93,4600,14.78873
