Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.36,3.47,3.36,3.41,47600,3.41
2016-10-06,3.41,3.45,3.36,3.41,40200,3.41
2016-10-05,3.37,3.43,3.29,3.41,30500,3.41
2016-10-04,3.33,3.36,3.28,3.33,36200,3.33
2016-10-03,3.31,3.35,3.21,3.32,99100,3.32
2016-09-30,3.45,3.45,3.33,3.37,154200,3.37
2016-09-29,3.45,3.50,3.44,3.45,133500,3.45
2016-09-28,3.46,3.52,3.43,3.44,107400,3.44
2016-09-27,3.46,3.50,3.41,3.45,71300,3.45
2016-09-26,3.53,3.53,3.42,3.47,214900,3.47
2016-09-23,3.47,3.60,3.43,3.54,167700,3.54
2016-09-22,3.39,3.47,3.39,3.47,111700,3.47
2016-09-21,3.54,3.62,3.32,3.41,428600,3.41
2016-09-20,3.07,3.78,3.05,3.48,2124700,3.48
2016-09-19,2.96,3.07,2.96,3.07,131400,3.07
2016-09-16,2.99,3.02,2.94,2.98,37600,2.98
2016-09-15,2.92,3.00,2.90,2.98,56700,2.98
2016-09-14,2.90,2.92,2.85,2.90,31700,2.90
2016-09-13,2.91,2.94,2.83,2.92,124700,2.92
2016-09-12,2.84,2.94,2.84,2.93,111100,2.93
2016-09-09,2.98,3.00,2.83,2.90,147100,2.90
2016-09-08,2.93,3.01,2.88,3.00,208400,3.00
2016-09-07,2.98,3.01,2.92,2.93,153600,2.93
2016-09-06,3.01,3.02,2.96,2.97,248900,2.97
2016-09-02,3.08,3.13,3.01,3.02,274400,3.02
2016-09-01,3.06,3.10,3.01,3.07,152400,3.07
2016-08-31,3.10,3.10,3.05,3.06,87000,3.06
2016-08-30,3.01,3.11,3.01,3.10,200200,3.10
2016-08-29,3.03,3.08,2.99,3.03,282000,3.03
2016-08-26,3.09,3.12,3.02,3.04,110600,3.04
2016-08-25,3.09,3.12,3.05,3.08,152700,3.08
2016-08-24,3.09,3.14,3.05,3.07,181300,3.07
2016-08-23,3.07,3.10,2.99,3.08,400800,3.08
2016-08-22,3.10,3.12,3.03,3.07,181500,3.07
2016-08-19,3.21,3.25,3.11,3.13,185400,3.13
2016-08-18,3.22,3.27,3.19,3.21,124900,3.21
2016-08-17,3.21,3.25,3.03,3.24,298900,3.24
2016-08-16,3.32,3.32,3.16,3.24,349000,3.24
2016-08-15,3.31,3.38,3.26,3.33,335500,3.33
2016-08-12,3.25,3.42,3.25,3.30,298700,3.30
2016-08-11,3.40,3.41,3.18,3.26,940200,3.26
2016-08-10,3.31,3.55,3.30,3.40,582300,3.40
2016-08-09,3.10,3.44,3.09,3.32,833100,3.32
2016-08-08,2.91,3.10,2.91,3.08,364200,3.08
2016-08-05,3.00,3.03,2.86,2.90,306200,2.90
2016-08-04,2.75,3.17,2.75,2.98,1031500,2.98
2016-08-03,2.62,2.75,2.61,2.74,173400,2.74
2016-08-02,2.61,2.69,2.60,2.63,189200,2.63
2016-08-01,2.59,2.74,2.59,2.62,354100,2.62
2016-07-29,2.58,2.61,2.58,2.59,144300,2.59
2016-07-28,2.66,2.66,2.57,2.59,412800,2.59
2016-07-27,2.83,2.83,2.64,2.65,549000,2.65
2016-07-26,2.87,2.88,2.81,2.83,176000,2.83
2016-07-25,2.85,2.89,2.85,2.87,124400,2.87
2016-07-22,2.80,2.87,2.79,2.84,81000,2.84
2016-07-21,2.80,2.90,2.79,2.81,340300,2.81
2016-07-20,2.80,2.88,2.77,2.80,228400,2.80
2016-07-19,2.94,2.94,2.75,2.79,559400,2.79
2016-07-18,3.04,3.04,2.92,2.95,392800,2.95
2016-07-15,3.00,3.06,2.99,3.00,355500,3.00
2016-07-14,3.00,3.03,2.98,2.98,212700,2.98
2016-07-13,2.96,3.04,2.96,2.98,64400,2.98
2016-07-12,3.00,3.00,2.92,2.96,186500,2.96
2016-07-11,2.94,3.14,2.94,2.98,353700,2.98
2016-07-08,2.90,2.95,2.85,2.95,354900,2.95
2016-07-07,2.80,2.98,2.72,2.90,832800,2.90
2016-07-06,3.12,3.12,2.78,2.82,1400700,2.82
2016-07-05,3.32,3.42,3.10,3.12,303600,3.12
2016-07-01,3.42,3.46,3.22,3.29,456500,3.29
2016-06-30,3.91,3.93,3.18,3.43,1785400,3.43
2016-06-29,3.97,4.00,3.94,3.94,97200,3.94
2016-06-28,3.91,4.01,3.91,3.97,37600,3.97
2016-06-27,4.04,4.05,3.88,3.91,228400,3.91
2016-06-24,3.93,4.03,3.85,4.01,208300,4.01
2016-06-23,3.92,4.12,3.89,4.03,189400,4.03
2016-06-22,3.88,3.98,3.85,3.91,138800,3.91
2016-06-21,3.96,3.96,3.83,3.90,96300,3.90
2016-06-20,4.02,4.05,3.92,3.94,108000,3.94
2016-06-17,3.99,4.04,3.92,4.01,193000,4.01
2016-06-16,4.09,4.13,3.91,3.99,289300,3.99
2016-06-15,4.10,4.17,4.08,4.11,136000,4.11
2016-06-14,4.13,4.28,3.99,4.08,417200,4.08
2016-06-13,4.04,4.04,3.87,3.95,286500,3.95
2016-06-10,4.11,4.16,4.06,4.07,101100,4.07
2016-06-09,4.25,4.25,4.10,4.16,179100,4.16
2016-06-08,4.21,4.30,4.18,4.28,222800,4.28
2016-06-07,4.14,4.20,4.14,4.20,114300,4.20
2016-06-06,4.07,4.15,4.06,4.12,203000,4.12
2016-06-03,4.09,4.11,4.07,4.08,178100,4.08
2016-06-02,4.18,4.19,4.07,4.09,140600,4.09
2016-06-01,4.22,4.22,4.11,4.17,147600,4.17
2016-05-31,4.20,4.28,4.13,4.21,427300,4.21
2016-05-27,4.21,4.26,4.15,4.18,256600,4.18
2016-05-26,4.33,4.40,4.22,4.22,174700,4.22
2016-05-25,4.31,4.38,4.19,4.35,648700,4.35
2016-05-24,4.21,4.37,4.08,4.27,379300,4.27
2016-05-23,4.36,4.37,4.15,4.15,249200,4.15
2016-05-20,4.36,4.38,4.30,4.32,437500,4.32
2016-05-19,4.28,4.42,4.28,4.37,554900,4.37
2016-05-18,4.23,4.39,4.20,4.25,329300,4.25
2016-05-17,4.59,4.59,4.22,4.24,659600,4.24
2016-05-16,4.31,4.53,4.30,4.49,529200,4.49
