Date,Open,High,Low,Close,Volume,Adj Close
2016-10-11,64.68,64.849998,63.66,64.00,1236500,64.00
2016-10-10,65.639999,65.790001,64.739998,64.860001,1047700,64.860001
2016-10-07,65.43,65.50,64.830002,65.370003,1630900,65.370003
2016-10-06,64.940002,65.559998,64.699997,65.519997,1013900,65.519997
2016-10-05,64.660004,65.160004,64.300003,64.900002,982800,64.900002
2016-10-04,64.589996,64.730003,64.099998,64.300003,862500,64.300003
2016-10-03,64.68,65.00,64.379997,64.400002,1201000,64.400002
2016-09-30,64.82,65.190002,64.730003,64.919998,1516200,64.919998
2016-09-29,64.970001,65.059998,64.480003,64.68,1292200,64.68
2016-09-28,64.709999,65.029999,64.449997,64.980003,1707000,64.980003
2016-09-27,63.970001,64.50,63.549999,64.50,2562000,64.50
2016-09-26,64.269997,64.489998,63.98,64.040001,1315600,64.040001
2016-09-23,65.510002,65.510002,64.410004,64.419998,1213600,64.419998
2016-09-22,64.980003,65.769997,64.980003,65.68,1113800,65.68
2016-09-21,64.279999,64.970001,64.080002,64.900002,1148400,64.900002
2016-09-20,65.099998,65.18,64.110001,64.129997,2621700,64.129997
2016-09-19,63.049999,63.810001,62.98,63.759998,1605000,63.759998
2016-09-16,62.560001,62.990002,62.360001,62.950001,1867300,62.950001
2016-09-15,61.799999,62.990002,61.759998,62.790001,1136400,62.790001
2016-09-14,61.560001,61.860001,61.380001,61.779999,869300,61.779999
2016-09-13,61.619999,62.189999,61.41,61.610001,1125500,61.610001
2016-09-12,61.009998,62.32,60.970001,62.169998,1398000,62.169998
2016-09-09,62.150002,62.439999,61.279999,61.290001,2056500,61.290001
2016-09-08,62.580002,63.09,62.560001,62.889999,1788400,62.749999
2016-09-07,62.950001,63.080002,62.52,62.869999,1365700,62.730043
2016-09-06,62.599998,62.939999,62.459999,62.66,980700,62.520512
2016-09-02,62.459999,62.66,62.34,62.580002,794200,62.440692
2016-09-01,62.169998,62.439999,61.849998,62.330002,1055300,62.191248
2016-08-31,62.110001,62.450001,62.02,62.310001,1253100,62.171292
2016-08-30,62.09,62.389999,61.990002,62.27,1244200,62.13138
2016-08-29,61.50,62.400002,61.41,62.080002,1208800,61.941805
2016-08-26,61.68,62.27,61.09,61.509998,1216600,61.37307
2016-08-25,61.25,61.509998,61.00,61.439999,555300,61.303226
2016-08-24,61.459999,61.860001,61.310001,61.43,896500,61.29325
2016-08-23,61.75,61.790001,61.439999,61.48,740400,61.343138
2016-08-22,61.00,61.52,60.889999,61.50,889300,61.363094
