Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,18.83,19.08,18.799999,19.00,10800,19.00
2016-10-06,19.02,19.08,18.73,19.040001,13800,19.040001
2016-10-05,19.07,19.16,18.879999,18.93,16000,18.93
2016-10-04,18.73,19.040001,18.27,19.040001,20300,19.040001
2016-10-03,19.309999,19.309999,18.620001,18.73,19000,18.73
2016-09-30,19.42,19.594999,19.190001,19.440001,17300,19.440001
2016-09-29,19.58,19.68,19.07,19.110001,17300,19.110001
2016-09-28,19.51,19.780001,19.34,19.639999,12700,19.639999
2016-09-27,19.254999,19.50,19.110001,19.389999,13200,19.389999
2016-09-26,19.35,19.66,19.094999,19.17,14000,19.17
2016-09-23,19.917999,19.917999,19.629999,19.66,12300,19.66
2016-09-22,19.57,19.780001,19.41,19.639999,26700,19.639999
2016-09-21,19.51,19.719999,19.43,19.60,17900,19.60
2016-09-20,19.15,19.709999,19.08,19.469999,19000,19.469999
2016-09-19,19.299999,19.299999,18.870001,18.99,20400,18.99
2016-09-16,19.82,19.975,19.129999,19.190001,86200,19.190001
2016-09-15,19.65,19.860001,19.014999,19.65,22500,19.65
2016-09-14,18.594,19.780001,18.459,19.74,32200,19.74
2016-09-13,18.85,19.200001,18.309999,18.629999,27400,18.629999
2016-09-12,18.15,19.00,17.912001,18.98,32200,18.98
2016-09-09,18.940001,18.940001,18.24,18.34,32100,18.34
2016-09-08,18.93,18.993999,18.57,18.940001,11900,18.940001
2016-09-07,18.690001,19.00,18.690001,18.889999,16200,18.889999
2016-09-06,18.58,18.700001,18.52,18.620001,26300,18.620001
2016-09-02,18.68,18.68,18.309999,18.450001,13600,18.450001
2016-09-01,18.280001,18.75,17.51,18.35,35500,18.35
2016-08-31,18.629999,18.982,18.18,18.42,9700,18.42
2016-08-30,18.690001,18.91,18.49,18.620001,6100,18.620001
2016-08-29,18.700001,18.92,18.60,18.68,24100,18.68
2016-08-26,18.610001,18.84,18.15,18.50,11900,18.50
2016-08-25,18.530001,18.790001,18.41,18.50,16100,18.50
2016-08-24,18.209999,18.57,18.190001,18.42,20300,18.42
2016-08-23,18.309999,18.540001,18.215,18.32,23700,18.32
2016-08-22,18.129999,18.33,18.129999,18.290001,19400,18.290001
2016-08-19,18.200001,18.450001,18.049999,18.190001,26000,18.190001
2016-08-18,18.15,18.41,18.066,18.280001,17400,18.280001
2016-08-17,18.34,18.40,18.190001,18.24,16800,18.24
2016-08-16,18.00,18.42,17.969999,18.23,62800,18.23
2016-08-15,17.969999,18.280001,17.969999,18.15,29100,18.15
2016-08-12,18.00,18.389999,18.00,18.190001,21200,18.190001
2016-08-11,17.860001,18.280001,17.860001,18.190001,71700,18.190001
2016-08-10,18.00,18.00,16.02,17.98,24100,17.98
2016-08-09,17.00,17.99,16.26,17.99,115600,17.99
2016-08-08,16.700001,16.999001,14.861,16.93,79900,16.93
2016-08-05,16.74,16.879999,16.26,16.799999,57100,16.799999
2016-08-04,16.469999,16.943001,16.32,16.65,27200,16.65
2016-08-03,16.219999,16.870001,16.200001,16.690001,58100,16.690001
2016-08-02,16.200001,16.200001,16.00,16.110001,10900,16.110001
2016-08-01,15.96,16.200001,15.82,16.15,27700,16.15
2016-07-29,16.110001,16.17,15.62,16.08,17700,16.08
2016-07-28,16.040001,16.200001,15.84,16.07,17400,16.07
2016-07-27,15.33,16.190001,15.27,16.120001,58000,16.120001
2016-07-26,15.06,15.49,14.79,15.38,18500,15.38
2016-07-25,15.10,15.345,14.90,14.97,27000,14.97
2016-07-22,15.18,15.50,15.12,15.24,11800,15.24
2016-07-21,15.10,15.36,15.01,15.27,21500,15.27
2016-07-20,15.40,15.50,14.98,15.19,18700,15.19
2016-07-19,15.08,15.48,14.87,15.35,22200,15.35
2016-07-18,15.14,15.40,14.99,15.17,10700,15.17
2016-07-15,14.91,15.12,14.65,15.06,21800,15.06
2016-07-14,15.00,15.00,14.68,14.81,19900,14.81
2016-07-13,14.90,15.00,14.70,14.92,17600,14.92
2016-07-12,14.70,15.00,14.60,14.98,24600,14.98
2016-07-11,14.70,14.70,14.46,14.62,15200,14.62
2016-07-08,14.40,14.70,14.30,14.62,19100,14.62
2016-07-07,14.35,14.46,14.14,14.31,16800,14.31
2016-07-06,14.37,14.455,14.14,14.27,9300,14.27
2016-07-05,14.58,14.91,14.18,14.33,18100,14.33
2016-07-01,14.32,14.97,14.115,14.56,16600,14.56
2016-06-30,13.87,14.46,13.67,14.46,37500,14.46
2016-06-29,13.75,13.98,13.50,13.92,22000,13.92
2016-06-28,13.53,14.00,13.53,13.67,36400,13.67
2016-06-27,13.80,13.95,13.34,13.46,35000,13.46
2016-06-24,14.18,14.48,13.555,13.98,246600,13.98
2016-06-23,14.57,14.83,14.20,14.75,24800,14.75
2016-06-22,14.54,14.94,13.924,14.47,43000,14.47
2016-06-21,14.60,14.73,14.19,14.62,14700,14.62
2016-06-20,15.06,15.06,14.53,14.66,27800,14.66
2016-06-17,14.50,15.09,13.98,15.03,105800,15.03
2016-06-16,14.17,14.59,13.36,14.46,29700,14.46
2016-06-15,14.55,14.63,14.16,14.31,29700,14.31
2016-06-14,15.07,15.57,14.33,14.55,35900,14.55
2016-06-13,14.68,15.16,14.351,15.09,48500,15.09
2016-06-10,14.93,15.21,14.60,14.80,32900,14.80
2016-06-09,14.84,15.232,14.531,15.08,32200,15.08
2016-06-08,14.93,15.06,14.68,14.95,23600,14.95
2016-06-07,14.92,15.02,14.76,14.91,26200,14.91
2016-06-06,14.52,15.18,14.44,15.01,44500,15.01
2016-06-03,14.42,14.78,14.26,14.60,38500,14.60
2016-06-02,14.08,14.35,13.88,14.32,33600,14.32
2016-06-01,13.98,14.23,13.88,14.19,28800,14.19
2016-05-31,13.81,14.00,13.80,14.00,29400,14.00
2016-05-27,13.65,13.99,13.64,13.81,39000,13.81
2016-05-26,13.62,13.70,13.435,13.54,22700,13.54
2016-05-25,13.70,13.75,13.40,13.67,55800,13.67
2016-05-24,13.49,13.68,13.35,13.60,33400,13.60
2016-05-23,13.36,13.71,13.14,13.51,142900,13.51
2016-05-20,13.18,13.44,12.92,13.43,31000,13.43
2016-05-19,13.30,13.57,12.97,13.08,18800,13.08
2016-05-18,13.01,13.53,12.82,13.34,43900,13.34
2016-05-17,12.51,13.15,12.39,12.93,392400,12.93
2016-05-16,12.75,13.00,12.395,12.55,54400,12.55
2016-05-13,12.27,12.81,12.185,12.70,114100,12.70
2016-05-12,12.55,12.68,12.29,12.52,47800,12.52
2016-05-11,12.50,12.80,12.31,12.48,48800,12.48
2016-05-10,12.25,12.75,12.25,12.50,89900,12.50
2016-05-09,12.50,12.76,12.22,12.35,43000,12.35
2016-05-06,12.26,12.42,12.07,12.41,31700,12.41
2016-05-05,12.49,12.59,12.18,12.22,36700,12.22
2016-05-04,12.25,12.55,12.20,12.30,45300,12.30
2016-05-03,12.68,12.95,12.25,12.36,73500,12.36
2016-05-02,12.51,12.955,12.09,12.69,76400,12.69
2016-04-29,12.75,12.75,12.25,12.54,89800,12.54
2016-04-28,13.04,13.095,12.76,12.78,18900,12.78
2016-04-27,13.15,13.24,12.77,13.15,35000,13.15
2016-04-26,12.75,13.15,12.50,13.10,28500,13.10
2016-04-25,12.99,13.09,12.22,12.60,40600,12.60
2016-04-22,12.88,13.19,12.81,12.87,16500,12.87
2016-04-21,12.99,13.22,12.915,12.95,16400,12.95
2016-04-20,12.93,13.16,12.75,13.02,17900,13.02
2016-04-19,12.73,13.25,12.63,12.97,119300,12.97
2016-04-18,12.33,12.70,12.25,12.64,95000,12.64
2016-04-15,12.35,12.41,12.25,12.31,11900,12.31
2016-04-14,12.31,12.37,12.29,12.35,14200,12.35
2016-04-13,12.37,12.38,12.28,12.37,47100,12.37
2016-04-12,12.33,12.46,12.25,12.37,27000,12.37
2016-04-11,12.30,12.415,12.21,12.30,21300,12.30
2016-04-08,12.24,12.33,12.165,12.30,14800,12.30
