Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.35,0.36,0.33,0.36,282800,0.36
2016-10-06,0.36,0.37,0.34,0.36,223600,0.36
2016-10-05,0.35,0.36,0.34,0.35,322400,0.35
2016-10-04,0.35,0.36,0.33,0.36,605300,0.36
2016-10-03,0.34,0.36,0.33,0.34,319300,0.34
2016-09-30,0.34,0.35,0.32,0.34,323900,0.34
2016-09-29,0.34,0.35,0.34,0.34,486600,0.34
2016-09-28,0.35,0.36,0.34,0.34,341000,0.34
2016-09-27,0.34,0.37,0.34,0.35,327400,0.35
2016-09-26,0.35,0.37,0.34,0.34,552500,0.34
2016-09-23,0.36,0.36,0.33,0.35,2660100,0.35
2016-09-22,0.40,0.43,0.39,0.40,657400,0.40
2016-09-21,0.40,0.42,0.39,0.41,774300,0.41
2016-09-20,0.40,0.42,0.38,0.40,855000,0.40
2016-09-19,0.40,0.42,0.38,0.40,615600,0.40
2016-09-16,0.44,0.45,0.40,0.40,1264000,0.40
2016-09-15,0.40,0.49,0.38,0.44,5450800,0.44
2016-09-14,0.36,0.41,0.36,0.39,1614100,0.39
2016-09-13,0.33,0.38,0.33,0.36,1244200,0.36
2016-09-12,0.34,0.35,0.32,0.34,616700,0.34
2016-09-09,0.33,0.34,0.32,0.33,408200,0.33
2016-09-08,0.34,0.34,0.31,0.33,896400,0.33
2016-09-07,0.36,0.36,0.32,0.32,481200,0.32
2016-09-06,0.33,0.35,0.31,0.31,437500,0.31
2016-09-02,0.33,0.34,0.33,0.33,259500,0.33
2016-09-01,0.35,0.35,0.34,0.34,432700,0.34
2016-08-31,0.36,0.37,0.34,0.35,540300,0.35
2016-08-30,0.34,0.37,0.34,0.35,371200,0.35
2016-08-29,0.35,0.35,0.34,0.35,164100,0.35
2016-08-26,0.34,0.36,0.33,0.34,365000,0.34
2016-08-25,0.35,0.35,0.34,0.34,426400,0.34
2016-08-24,0.36,0.38,0.34,0.35,1055500,0.35
2016-08-23,0.39,0.39,0.35,0.36,1014300,0.36
2016-08-22,0.34,0.40,0.32,0.38,4258400,0.38
2016-08-19,0.31,0.36,0.30,0.33,1896300,0.33
2016-08-18,0.30,0.31,0.30,0.30,409400,0.30
2016-08-17,0.30,0.32,0.30,0.30,788800,0.30
2016-08-16,0.31,0.31,0.29,0.30,273500,0.30
2016-08-15,0.30,0.31,0.30,0.30,343100,0.30
2016-08-12,0.30,0.32,0.29,0.30,298700,0.30
2016-08-11,0.30,0.32,0.30,0.30,492600,0.30
2016-08-10,0.34,0.34,0.30,0.31,1228400,0.31
2016-08-09,0.32,0.32,0.30,0.31,243000,0.31
2016-08-08,0.32,0.32,0.30,0.31,361100,0.31
2016-08-05,0.35,0.36,0.28,0.31,1576700,0.31
2016-08-04,0.35,0.39,0.33,0.36,2500100,0.36
2016-08-03,0.31,0.35,0.31,0.33,851000,0.33
2016-08-02,0.32,0.33,0.31,0.31,244700,0.31
2016-08-01,0.33,0.33,0.31,0.32,190900,0.32
2016-07-29,0.33,0.33,0.30,0.31,446700,0.31
2016-07-28,0.31,0.34,0.30,0.32,880600,0.32
2016-07-27,0.35,0.35,0.30,0.32,457200,0.32
2016-07-26,0.36,0.36,0.30,0.35,677900,0.35
2016-07-25,0.34,0.37,0.30,0.36,578500,0.36
2016-07-22,0.33,0.33,0.32,0.33,302200,0.33
2016-07-21,0.35,0.35,0.34,0.34,95700,0.34
2016-07-20,0.34,0.34,0.32,0.34,149400,0.34
2016-07-19,0.34,0.35,0.34,0.35,185900,0.35
2016-07-18,0.36,0.36,0.34,0.34,538000,0.34
2016-07-15,0.36,0.36,0.35,0.36,238300,0.36
2016-07-14,0.37,0.37,0.35,0.35,767600,0.35
2016-07-13,0.38,0.39,0.36,0.37,428800,0.37
2016-07-12,0.39,0.40,0.38,0.38,370600,0.38
2016-07-11,0.40,0.40,0.38,0.39,339500,0.39
2016-07-08,0.38,0.39,0.38,0.39,131600,0.39
2016-07-07,0.40,0.40,0.38,0.38,193700,0.38
