Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,7.02,7.096,6.80,7.04,964100,7.04
2016-10-06,7.45,7.479,6.95,7.03,1551200,7.03
2016-10-05,7.34,7.74,7.25,7.52,908800,7.52
2016-10-04,7.20,7.40,7.095,7.29,765700,7.29
2016-10-03,7.47,7.49,7.12,7.18,1001600,7.18
2016-09-30,7.57,7.72,7.25,7.35,1751900,7.35
2016-09-29,8.05,8.09,7.20,7.30,6591000,7.30
2016-09-28,7.13,7.20,6.83,7.04,658900,7.04
2016-09-27,7.07,7.241,7.01,7.13,446800,7.13
2016-09-26,7.15,7.22,7.03,7.04,432900,7.04
2016-09-23,7.27,7.36,7.16,7.22,363500,7.22
2016-09-22,7.29,7.336,7.04,7.27,565400,7.27
2016-09-21,7.36,7.48,6.98,7.21,799400,7.21
2016-09-20,7.19,7.59,7.16,7.36,770600,7.36
2016-09-19,7.10,7.25,7.03,7.08,503500,7.08
2016-09-16,7.11,7.27,7.02,7.08,1461600,7.08
2016-09-15,6.97,7.24,6.93,7.14,566000,7.14
2016-09-14,6.92,7.22,6.89,7.06,605100,7.06
2016-09-13,7.12,7.20,6.87,6.94,650600,6.94
2016-09-12,7.01,7.28,6.80,7.22,1070500,7.22
2016-09-09,7.66,7.66,7.13,7.16,829100,7.16
2016-09-08,7.24,7.75,7.24,7.65,873600,7.65
2016-09-07,7.20,7.36,7.10,7.34,550400,7.34
2016-09-06,7.09,7.37,7.09,7.16,528100,7.16
2016-09-02,7.12,7.315,7.01,7.15,500900,7.15
2016-09-01,6.85,7.083,6.825,7.06,465700,7.06
2016-08-31,7.03,7.13,6.73,6.93,922300,6.93
2016-08-30,6.83,7.47,6.83,7.08,1073700,7.08
2016-08-29,6.83,6.95,6.60,6.89,765800,6.89
2016-08-26,6.87,7.11,6.82,6.95,735300,6.95
2016-08-25,6.95,7.30,6.70,6.88,1281100,6.88
2016-08-24,8.20,8.22,6.68,6.89,3080700,6.89
2016-08-23,7.83,8.22,7.82,8.08,1589700,8.08
2016-08-22,7.58,8.00,7.40,7.75,1314200,7.75
2016-08-19,7.14,7.73,7.00,7.50,2230800,7.50
2016-08-18,6.67,7.20,6.60,7.06,3042300,7.06
2016-08-17,6.14,6.35,6.09,6.34,537900,6.34
2016-08-16,6.08,6.297,6.07,6.17,642800,6.17
2016-08-15,5.93,6.18,5.925,6.12,650200,6.12
2016-08-12,5.72,6.03,5.68,5.96,546200,5.96
2016-08-11,5.83,5.85,5.68,5.74,426600,5.74
2016-08-10,5.92,6.00,5.61,5.83,1132100,5.83
2016-08-09,5.86,6.44,5.50,6.39,1992400,6.39
2016-08-08,6.01,6.066,5.78,5.90,281800,5.90
2016-08-05,5.92,6.05,5.88,5.99,531000,5.99
2016-08-04,5.91,5.98,5.84,5.90,324700,5.90
2016-08-03,5.66,5.99,5.66,5.89,435400,5.89
2016-08-02,5.85,5.94,5.64,5.74,382900,5.74
2016-08-01,5.97,6.09,5.788,5.86,581000,5.86
2016-07-29,6.00,6.021,5.89,5.96,271800,5.96
2016-07-28,6.02,6.12,5.90,5.98,328500,5.98
2016-07-27,5.76,6.04,5.76,6.01,451900,6.01
2016-07-26,5.64,5.825,5.54,5.75,312500,5.75
2016-07-25,5.65,5.685,5.50,5.65,235200,5.65
2016-07-22,5.58,5.75,5.52,5.65,193200,5.65
2016-07-21,5.74,5.85,5.48,5.58,465900,5.58
2016-07-20,5.61,5.80,5.61,5.73,417400,5.73
2016-07-19,5.88,5.94,5.58,5.60,231200,5.60
2016-07-18,5.80,5.90,5.74,5.89,288900,5.89
2016-07-15,5.58,5.87,5.54,5.81,350700,5.81
2016-07-14,5.65,5.71,5.517,5.54,235500,5.54
2016-07-13,5.86,5.92,5.60,5.60,304800,5.60
2016-07-12,5.81,5.98,5.776,5.85,336800,5.85
2016-07-11,5.76,5.88,5.68,5.77,359100,5.77
2016-07-08,5.60,5.74,5.56,5.73,431600,5.73
2016-07-07,5.49,5.60,5.40,5.56,271000,5.56
2016-07-06,5.36,5.62,5.34,5.48,325100,5.48
2016-07-05,5.43,5.49,5.325,5.37,235100,5.37
2016-07-01,5.29,5.58,5.29,5.50,284700,5.50
2016-06-30,5.39,5.50,5.28,5.32,357300,5.32
2016-06-29,5.37,5.46,5.25,5.41,351800,5.41
2016-06-28,5.11,5.40,5.11,5.31,449200,5.31
2016-06-27,5.42,5.45,5.08,5.14,577600,5.14
2016-06-24,5.58,5.78,5.28,5.47,1323500,5.47
2016-06-23,5.73,5.89,5.67,5.88,267200,5.88
2016-06-22,5.65,5.80,5.52,5.68,388100,5.68
2016-06-21,5.91,5.94,5.56,5.65,319900,5.65
2016-06-20,5.82,5.99,5.76,5.88,353100,5.88
2016-06-17,5.94,5.94,5.71,5.74,579300,5.74
2016-06-16,5.75,5.965,5.67,5.93,302200,5.93
2016-06-15,5.73,5.902,5.63,5.81,434500,5.81
2016-06-14,5.85,6.04,5.562,5.71,492800,5.71
2016-06-13,5.79,5.98,5.79,5.87,378500,5.87
2016-06-10,5.88,5.98,5.80,5.85,466800,5.85
2016-06-09,6.18,6.194,5.978,5.99,394600,5.99
2016-06-08,6.15,6.18,6.00,6.08,318700,6.08
2016-06-07,6.23,6.23,6.08,6.15,277800,6.15
2016-06-06,6.17,6.25,5.98,6.24,526900,6.24
2016-06-03,6.17,6.18,5.95,6.12,334500,6.12
2016-06-02,6.00,6.20,5.997,6.18,375800,6.18
2016-06-01,6.09,6.13,5.97,6.03,427800,6.03
2016-05-31,5.93,6.24,5.829,6.13,462400,6.13
2016-05-27,5.84,5.93,5.71,5.89,298100,5.89
2016-05-26,5.94,5.94,5.76,5.84,388200,5.84
2016-05-25,5.78,5.93,5.70,5.88,393300,5.88
2016-05-24,5.68,5.82,5.58,5.75,368700,5.75
2016-05-23,5.48,5.75,5.46,5.64,476200,5.64
2016-05-20,5.10,5.495,5.02,5.42,686000,5.42
2016-05-19,5.15,5.338,4.86,5.01,749500,5.01
2016-05-18,4.88,5.12,4.85,4.99,533200,4.99
2016-05-17,5.14,5.21,4.92,4.945,748200,4.945
2016-05-16,5.24,5.44,5.08,5.09,824100,5.09
2016-05-13,5.25,5.62,5.183,5.23,735600,5.23
2016-05-12,5.56,5.62,5.18,5.33,625700,5.33
2016-05-11,5.69,5.89,5.43,5.58,753100,5.58
2016-05-10,5.77,5.85,5.50,5.72,544400,5.72
2016-05-09,5.65,5.85,5.56,5.76,519600,5.76
2016-05-06,5.62,5.75,5.43,5.59,731100,5.59
2016-05-05,5.74,5.753,5.61,5.67,416500,5.67
2016-05-04,5.74,5.87,5.66,5.74,477900,5.74
2016-05-03,5.84,6.00,5.75,5.81,309900,5.81
2016-05-02,5.78,6.03,5.64,6.02,479900,6.02
2016-04-29,5.89,5.99,5.748,5.79,473700,5.79
2016-04-28,5.94,6.14,5.83,5.92,480100,5.92
2016-04-27,5.95,6.01,5.74,5.94,711000,5.94
2016-04-26,6.22,6.243,5.863,6.01,842800,6.01
2016-04-25,6.23,6.37,6.187,6.24,459600,6.24
2016-04-22,6.12,6.34,6.06,6.26,395300,6.26
2016-04-21,6.00,6.24,5.88,6.13,795200,6.13
2016-04-20,6.29,6.299,6.04,6.14,818600,6.14
2016-04-19,6.55,6.55,6.15,6.25,763100,6.25
2016-04-18,6.18,6.50,6.15,6.43,987700,6.43
2016-04-15,6.19,6.35,6.05,6.23,936900,6.23
2016-04-14,5.89,6.20,5.75,6.18,1164100,6.18
2016-04-13,6.00,6.12,5.61,5.94,2503100,5.94
2016-04-12,5.20,5.283,5.05,5.26,337100,5.26
2016-04-11,5.22,5.44,5.136,5.16,480100,5.16
2016-04-08,5.48,5.48,5.01,5.19,831200,5.19
2016-04-07,5.25,5.42,5.18,5.34,475900,5.34
2016-04-06,5.15,5.30,5.08,5.25,482600,5.25
2016-04-05,4.98,5.25,4.90,5.10,382800,5.10
2016-04-04,4.90,5.30,4.90,5.03,977500,5.03
2016-04-01,4.76,4.953,4.68,4.90,518900,4.90
2016-03-31,4.72,4.91,4.70,4.82,392100,4.82
2016-03-30,5.00,5.13,4.72,4.74,652800,4.74
2016-03-29,4.43,4.99,4.26,4.91,688900,4.91
2016-03-28,4.60,4.60,4.416,4.47,320600,4.47
2016-03-24,4.25,4.68,4.25,4.57,354500,4.57
2016-03-23,4.79,4.99,4.39,4.40,548000,4.40
2016-03-22,4.44,4.89,4.35,4.82,455600,4.82
2016-03-21,4.48,4.68,4.32,4.50,436700,4.50
2016-03-18,4.31,4.53,4.12,4.53,854000,4.53
2016-03-17,4.20,4.28,4.04,4.21,451000,4.21
2016-03-16,4.19,4.29,4.10,4.21,345000,4.21
2016-03-15,4.35,4.51,4.17,4.22,694400,4.22
2016-03-14,4.46,4.68,4.44,4.51,387600,4.51
2016-03-11,4.59,4.59,4.25,4.49,371700,4.49
2016-03-10,4.45,4.59,4.25,4.35,486200,4.35
2016-03-09,4.66,4.745,4.39,4.48,570700,4.48
2016-03-08,4.78,4.95,4.55,4.59,914400,4.59
2016-03-07,4.32,5.00,4.291,4.76,865300,4.76
2016-03-04,4.20,4.545,4.16,4.33,582600,4.33
2016-03-03,4.38,4.50,4.19,4.24,817000,4.24
2016-03-02,4.14,4.48,4.10,4.43,735000,4.43
2016-03-01,3.90,4.14,3.866,4.14,640100,4.14
2016-02-29,3.96,4.10,3.87,3.90,547700,3.90
2016-02-26,3.89,3.97,3.84,3.97,386600,3.97
2016-02-25,3.86,3.91,3.72,3.86,446700,3.86
2016-02-24,3.87,3.87,3.57,3.83,565700,3.83
2016-02-23,4.09,4.17,3.86,3.88,533100,3.88
2016-02-22,3.98,4.17,3.953,4.09,643500,4.09
2016-02-19,3.81,4.005,3.70,3.94,703800,3.94
2016-02-18,3.92,3.983,3.74,3.78,723000,3.78
2016-02-17,3.60,3.96,3.58,3.94,765000,3.94
2016-02-16,3.40,3.64,3.40,3.56,748300,3.56
2016-02-12,3.32,3.39,3.22,3.36,599000,3.36
2016-02-11,3.14,3.36,3.07,3.30,885500,3.30
2016-02-10,3.40,3.62,3.20,3.21,943500,3.21
2016-02-09,3.27,3.40,3.11,3.18,814100,3.18
2016-02-08,3.40,3.416,3.14,3.24,769200,3.24
2016-02-05,3.73,3.73,3.46,3.46,792600,3.46
2016-02-04,3.40,3.86,3.351,3.69,928300,3.69
2016-02-03,3.26,3.40,3.12,3.40,1047300,3.40
2016-02-02,3.41,3.44,3.20,3.25,819400,3.25
2016-02-01,3.45,3.50,3.32,3.45,546600,3.45
2016-01-29,3.48,3.60,3.355,3.48,843800,3.48
2016-01-28,3.69,3.69,3.40,3.48,791100,3.48
2016-01-27,3.72,3.79,3.58,3.64,616300,3.64
2016-01-26,3.84,3.84,3.55,3.735,964200,3.735
