Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.75,1.75,1.67,1.75,589800,1.75
2016-10-06,1.75,1.76,1.70,1.75,457600,1.75
2016-10-05,1.65,1.77,1.65,1.75,743300,1.75
2016-10-04,1.77,1.77,1.65,1.66,649600,1.66
2016-10-03,1.69,1.77,1.68,1.76,442700,1.76
2016-09-30,1.77,1.78,1.66,1.68,1524200,1.68
2016-09-29,1.77,1.85,1.74,1.77,1495400,1.77
2016-09-28,1.76,1.78,1.71,1.75,1004400,1.75
2016-09-27,1.66,1.75,1.64,1.73,1150600,1.73
2016-09-26,1.65,1.68,1.63,1.65,682400,1.65
2016-09-23,1.67,1.69,1.61,1.66,703000,1.66
2016-09-22,1.61,1.69,1.56,1.66,1039100,1.66
2016-09-21,1.57,1.67,1.56,1.61,994100,1.61
2016-09-20,1.55,1.79,1.55,1.60,2490500,1.60
2016-09-19,1.45,1.54,1.43,1.53,923300,1.53
2016-09-16,1.41,1.43,1.37,1.43,604300,1.43
2016-09-15,1.37,1.41,1.35,1.40,848500,1.40
2016-09-14,1.32,1.38,1.28,1.36,640000,1.36
2016-09-13,1.36,1.36,1.27,1.30,558200,1.30
2016-09-12,1.36,1.38,1.34,1.36,359600,1.36
2016-09-09,1.41,1.41,1.32,1.35,1143500,1.35
2016-09-08,1.37,1.43,1.36,1.39,1030800,1.39
2016-09-07,1.33,1.40,1.31,1.38,1090300,1.38
2016-09-06,1.24,1.32,1.24,1.31,647500,1.31
2016-09-02,1.22,1.27,1.20,1.26,260400,1.26
2016-09-01,1.21,1.23,1.17,1.21,537700,1.21
2016-08-31,1.27,1.27,1.21,1.22,944600,1.22
2016-08-30,1.17,1.28,1.16,1.26,1104400,1.26
2016-08-29,1.37,1.37,1.16,1.18,3293300,1.18
2016-08-26,1.45,1.49,1.38,1.41,1369200,1.41
2016-08-25,1.28,1.46,1.28,1.45,3074900,1.45
2016-08-24,1.32,1.34,1.24,1.27,1352500,1.27
2016-08-23,1.18,1.44,1.18,1.30,3935400,1.30
2016-08-22,1.12,1.19,1.10,1.16,1047900,1.16
2016-08-19,1.08,1.13,1.08,1.12,379800,1.12
2016-08-18,1.07,1.11,1.07,1.09,297700,1.09
2016-08-17,1.08,1.10,1.03,1.08,401200,1.08
2016-08-16,1.08,1.11,1.08,1.09,310400,1.09
2016-08-15,1.08,1.12,1.08,1.09,270700,1.09
2016-08-12,1.07,1.10,1.01,1.08,464300,1.08
2016-08-11,1.14,1.16,1.05,1.07,469600,1.07
2016-08-10,1.18,1.19,1.13,1.14,344700,1.14
2016-08-09,1.04,1.17,1.04,1.15,1520000,1.15
2016-08-08,1.10,1.11,1.07,1.07,348900,1.07
2016-08-05,1.10,1.13,1.07,1.10,511100,1.10
2016-08-04,1.13,1.13,1.08,1.09,397800,1.09
2016-08-03,1.08,1.12,1.07,1.11,447400,1.11
2016-08-02,1.03,1.09,1.01,1.08,583600,1.08
2016-08-01,1.00,1.05,1.00,1.03,289000,1.03
2016-07-29,1.01,1.03,1.00,1.00,307500,1.00
2016-07-28,0.98,1.05,0.98,1.02,457800,1.02
2016-07-27,1.01,1.02,1.00,1.00,218800,1.00
2016-07-26,1.00,1.02,1.00,1.01,322300,1.01
2016-07-25,1.02,1.02,1.00,1.00,211300,1.00
2016-07-22,1.00,1.02,0.98,1.01,168200,1.01
