Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.50,6.51,6.07,6.16,90000,6.16
2016-10-06,6.68,6.83,6.41,6.50,37400,6.50
2016-10-05,6.88,6.88,6.63,6.75,15500,6.75
2016-10-04,6.89,6.94,6.64,6.79,34200,6.79
2016-10-03,6.54,6.90,6.51,6.86,47000,6.86
2016-09-30,6.86,6.98,6.59,6.64,14800,6.64
2016-09-29,7.00,7.44,6.83,6.91,67400,6.91
2016-09-28,7.02,7.12,6.88,6.98,31300,6.98
2016-09-27,6.69,6.93,6.45,6.84,227300,6.84
2016-09-26,6.62,6.68,6.33,6.39,103300,6.39
2016-09-23,6.99,7.05,6.70,6.72,46800,6.72
2016-09-22,7.34,7.34,6.83,6.87,206900,6.87
2016-09-21,7.44,7.46,7.09,7.19,33500,7.19
2016-09-20,7.49,7.68,7.30,7.35,71700,7.35
2016-09-19,7.48,7.53,7.21,7.39,49400,7.39
2016-09-16,7.20,7.58,7.20,7.25,22100,7.25
2016-09-15,7.15,7.37,7.15,7.22,19200,7.22
2016-09-14,7.25,7.27,7.20,7.20,24100,7.20
2016-09-13,7.69,7.79,7.12,7.27,52900,7.27
2016-09-12,7.95,7.96,7.68,7.71,71500,7.71
2016-09-09,8.30,8.31,7.96,7.97,31100,7.97
2016-09-08,8.25,8.35,8.25,8.29,65900,8.29
2016-09-07,8.25,8.34,8.16,8.30,14900,8.30
2016-09-06,8.34,8.43,8.19,8.24,13300,8.24
2016-09-02,8.37,8.41,8.16,8.32,14000,8.32
2016-09-01,8.05,8.37,8.00,8.24,22500,8.24
2016-08-31,8.02,8.09,7.95,8.04,4200,8.04
2016-08-30,8.10,8.24,7.99,8.00,32600,8.00
2016-08-29,8.01,8.31,8.00,8.07,25300,8.07
2016-08-26,8.01,8.09,7.91,7.99,31700,7.99
2016-08-25,8.35,8.35,7.97,8.05,45500,8.05
2016-08-24,8.07,8.55,7.95,8.36,95500,8.36
2016-08-23,8.18,8.30,8.08,8.09,16300,8.09
2016-08-22,8.28,8.28,8.16,8.20,4400,8.20
2016-08-19,8.40,8.43,8.14,8.34,18100,8.34
2016-08-18,8.42,8.51,8.39,8.49,8200,8.49
2016-08-17,8.44,8.60,8.42,8.49,16200,8.49
2016-08-16,8.47,8.62,8.42,8.49,7600,8.49
2016-08-15,8.91,8.91,8.42,8.55,87200,8.55
2016-08-12,8.51,8.61,8.43,8.52,53100,8.52
2016-08-11,8.70,8.73,8.58,8.62,34800,8.62
2016-08-10,9.00,9.00,8.67,8.68,39700,8.68
2016-08-09,9.30,9.30,8.89,9.01,11100,9.01
2016-08-08,9.42,9.42,9.07,9.36,7000,9.36
2016-08-05,9.32,9.66,9.20,9.48,27400,9.48
2016-08-04,9.26,9.46,8.55,9.32,61300,9.32
2016-08-03,9.36,9.49,9.00,9.07,65800,9.07
2016-08-02,9.45,9.86,9.15,9.55,66000,9.55
2016-08-01,9.74,9.76,9.40,9.43,12400,9.43
2016-07-29,9.75,9.86,9.30,9.75,101800,9.75
2016-07-28,9.67,9.83,9.66,9.75,40400,9.75
2016-07-27,9.75,9.87,9.70,9.75,25400,9.75
2016-07-26,9.86,9.91,9.60,9.78,37000,9.78
2016-07-25,9.73,10.00,9.60,10.00,36700,10.00
2016-07-22,9.88,9.89,9.57,9.85,11000,9.85
2016-07-21,9.65,9.92,9.62,9.87,22200,9.87
2016-07-20,9.73,9.89,9.60,9.70,42300,9.70
2016-07-19,9.95,9.95,9.66,9.70,28100,9.70
2016-07-18,9.96,10.10,9.83,9.83,24900,9.83
2016-07-15,10.13,10.14,9.89,9.90,33100,9.90
2016-07-14,9.85,10.50,9.75,10.22,44200,10.22
2016-07-13,10.15,10.28,9.86,9.92,22400,9.92
2016-07-12,10.20,10.25,10.04,10.20,63700,10.20
2016-07-11,10.00,10.19,9.81,10.12,85600,10.12
2016-07-08,9.60,9.99,9.54,9.99,49100,9.99
2016-07-07,9.27,9.50,9.21,9.50,89800,9.50
2016-07-06,9.19,9.43,9.06,9.40,36900,9.40
2016-07-05,9.34,9.34,8.86,9.27,21700,9.27
2016-07-01,9.23,9.44,9.14,9.44,12600,9.44
2016-06-30,9.00,9.37,9.00,9.31,34200,9.31
2016-06-29,8.64,8.92,8.51,8.83,81000,8.83
2016-06-28,8.72,8.91,8.51,8.58,20700,8.58
2016-06-27,8.72,8.72,8.51,8.67,17800,8.67
2016-06-24,8.99,9.08,8.56,8.80,12000,8.80
2016-06-23,9.29,9.45,9.23,9.45,5200,9.45
2016-06-22,9.51,9.53,9.15,9.25,46600,9.25
2016-06-21,9.47,9.59,9.44,9.53,33900,9.53
2016-06-20,9.46,9.59,9.22,9.51,23100,9.51
2016-06-17,9.58,9.58,9.30,9.42,60000,9.42
2016-06-16,9.94,10.12,9.47,9.58,23000,9.58
2016-06-15,9.40,10.11,9.32,10.00,71100,10.00
2016-06-14,8.84,9.35,8.84,9.25,100200,9.25
2016-06-13,9.00,9.15,8.90,9.11,44800,9.11
2016-06-10,8.39,9.19,8.39,9.10,18000,9.10
2016-06-09,8.76,9.05,8.70,9.00,29900,9.00
2016-06-08,8.40,8.77,8.17,8.65,20800,8.65
2016-06-07,8.38,8.56,8.30,8.50,44700,8.50
2016-06-06,8.51,8.84,8.13,8.21,23300,8.21
2016-06-03,8.85,8.85,8.56,8.56,8100,8.56
2016-06-02,8.75,8.95,8.72,8.84,9200,8.84
2016-06-01,8.74,8.85,8.52,8.80,24100,8.80
2016-05-31,8.83,8.96,8.71,8.74,33200,8.74
2016-05-27,8.55,9.20,8.55,8.79,21500,8.79
2016-05-26,8.41,8.60,8.32,8.55,45500,8.55
2016-05-25,8.37,8.49,8.27,8.38,40700,8.38
2016-05-24,8.15,8.45,8.15,8.38,137000,8.38
2016-05-23,8.03,8.10,7.88,8.03,32400,8.03
2016-05-20,8.16,8.47,8.00,8.03,44700,8.03
2016-05-19,7.64,8.41,7.54,8.14,46700,8.14
2016-05-18,7.63,7.79,7.58,7.65,14600,7.65
2016-05-17,7.67,7.83,7.53,7.80,24200,7.80
2016-05-16,7.80,7.90,7.65,7.82,27200,7.82
2016-05-13,7.99,8.09,7.79,7.97,24100,7.97
2016-05-12,8.55,8.55,7.88,8.10,41100,8.10
2016-05-11,8.88,9.07,8.48,8.58,40400,8.58
2016-05-10,8.99,9.10,8.53,8.93,74700,8.93
2016-05-09,9.00,9.09,8.53,9.01,121400,9.01
2016-05-06,7.27,9.85,7.27,9.29,353000,9.29
2016-05-05,5.21,7.47,4.62,7.43,313300,7.43
2016-05-04,6.50,6.50,6.36,6.50,66900,6.50
2016-05-03,6.76,6.84,6.61,6.83,13100,6.83
2016-05-02,6.77,6.85,6.72,6.85,8200,6.85
2016-04-29,6.68,6.85,6.58,6.81,25900,6.81
2016-04-28,6.99,7.00,6.83,6.83,12100,6.83
2016-04-27,6.81,7.10,6.81,6.98,30500,6.98
2016-04-26,6.98,7.07,6.75,6.75,15300,6.75
2016-04-25,7.02,7.03,6.86,6.96,29100,6.96
2016-04-22,7.05,7.19,7.03,7.11,21300,7.11
2016-04-21,7.01,7.05,6.89,6.89,7400,6.89
2016-04-20,7.05,7.10,6.90,6.98,24700,6.98
2016-04-19,6.89,7.09,6.82,7.01,38900,7.01
2016-04-18,6.30,6.96,6.25,6.82,17200,6.82
2016-04-15,6.96,6.98,6.84,6.89,12800,6.89
2016-04-14,6.95,6.99,6.90,6.94,58200,6.94
2016-04-13,6.66,6.98,6.60,6.86,163400,6.86
2016-04-12,6.35,6.68,6.19,6.56,114600,6.56
2016-04-11,6.75,6.75,6.45,6.50,28400,6.50
2016-04-08,6.65,6.71,6.64,6.65,4700,6.65
2016-04-07,6.77,6.84,6.62,6.70,20000,6.70
2016-04-06,6.85,7.00,6.62,6.89,30600,6.89
2016-04-05,6.79,6.92,6.63,6.90,14300,6.90
2016-04-04,7.20,7.20,6.71,6.91,15100,6.91
2016-04-01,7.10,7.20,6.97,7.11,17800,7.11
2016-03-31,7.27,7.27,7.04,7.16,21400,7.16
2016-03-30,7.03,7.51,6.95,7.35,26600,7.35
2016-03-29,7.01,7.15,6.93,6.95,10700,6.95
2016-03-28,7.23,7.23,7.00,7.02,15700,7.02
2016-03-24,7.10,7.32,6.96,7.23,23900,7.23
2016-03-23,7.10,7.33,7.09,7.29,25700,7.29
2016-03-22,7.55,7.60,7.33,7.33,9700,7.33
2016-03-21,7.77,7.85,7.46,7.57,22800,7.57
2016-03-18,7.85,7.90,7.66,7.66,14500,7.66
2016-03-17,7.58,7.80,7.58,7.79,42600,7.79
2016-03-16,7.42,7.70,7.42,7.54,17200,7.54
2016-03-15,7.79,7.91,7.21,7.46,129600,7.46
2016-03-14,6.87,7.46,6.87,7.46,76200,7.46
2016-03-11,6.76,7.02,6.76,6.90,18000,6.90
2016-03-10,6.82,7.09,6.68,6.72,34000,6.72
2016-03-09,7.00,7.00,6.66,6.81,32800,6.81
2016-03-08,7.22,7.23,7.06,7.06,19700,7.06
2016-03-07,7.21,7.32,7.11,7.21,25800,7.21
2016-03-04,7.38,7.38,7.20,7.27,19600,7.27
2016-03-03,7.61,7.61,7.30,7.34,11600,7.34
2016-03-02,7.43,7.69,7.40,7.56,25500,7.56
2016-03-01,7.36,7.40,7.15,7.38,17800,7.38
2016-02-29,7.70,7.70,7.17,7.33,34800,7.33
2016-02-26,7.34,7.65,7.31,7.61,58200,7.61
2016-02-25,7.05,7.46,7.02,7.29,98500,7.29
2016-02-24,6.30,7.29,6.27,7.10,165700,7.10
2016-02-23,5.98,6.32,5.94,6.25,33500,6.25
2016-02-22,6.03,6.07,5.70,5.98,43000,5.98
2016-02-19,5.85,6.09,5.85,6.00,57300,6.00
2016-02-18,6.03,6.12,5.75,5.83,15500,5.83
2016-02-17,5.95,6.14,5.94,6.02,25900,6.02
2016-02-16,6.08,6.20,5.72,5.91,121700,5.91
2016-02-12,6.00,6.10,5.91,5.96,31100,5.96
2016-02-11,6.15,6.20,5.96,5.97,29100,5.97
2016-02-10,5.96,6.33,5.96,6.18,31700,6.18
2016-02-09,6.04,6.11,5.91,5.97,73000,5.97
2016-02-08,6.35,6.35,6.04,6.14,110700,6.14
2016-02-05,7.01,7.20,6.10,6.16,341700,6.16
2016-02-04,6.81,7.23,6.81,7.14,55900,7.14
2016-02-03,6.68,6.84,6.43,6.80,120600,6.80
2016-02-02,7.00,7.00,6.53,6.67,119800,6.67
2016-02-01,6.29,7.40,6.29,7.00,119300,7.00
2016-01-29,6.52,6.52,5.90,6.24,311900,6.24
2016-01-28,6.10,7.25,5.47,6.52,718500,6.52
2016-01-27,9.84,9.87,9.51,9.51,32400,9.51
2016-01-26,9.95,10.02,9.81,9.84,44100,9.84
2016-01-25,10.06,10.19,9.85,9.93,30700,9.93
2016-01-22,9.96,10.30,9.85,10.06,74000,10.06
2016-01-21,9.98,10.08,9.68,9.90,56400,9.90
2016-01-20,10.03,10.09,9.53,9.94,86500,9.94
2016-01-19,10.51,10.53,10.05,10.07,26600,10.07
2016-01-15,10.44,10.65,10.13,10.44,28900,10.44
2016-01-14,10.77,11.13,10.73,10.73,44600,10.73
2016-01-13,11.02,11.34,10.38,10.65,47000,10.65
2016-01-12,11.00,11.35,10.99,11.09,56700,11.09
2016-01-11,11.00,11.15,10.46,10.94,63800,10.94
2016-01-08,11.64,11.86,10.98,10.98,27500,10.98
2016-01-07,11.75,11.95,11.57,11.59,63600,11.59
2016-01-06,12.00,12.02,11.86,11.97,25800,11.97
2016-01-05,11.56,12.52,11.56,12.13,70500,12.13
2016-01-04,10.90,11.58,10.86,11.54,114000,11.54
2015-12-31,11.02,11.13,10.95,11.05,97100,11.05
2015-12-30,11.05,11.10,10.85,11.00,78300,11.00
2015-12-29,11.05,11.24,10.99,11.05,31100,11.05
2015-12-28,11.00,11.19,10.85,11.12,24700,11.12
2015-12-24,10.92,11.22,10.92,11.07,8600,11.07
2015-12-23,10.94,11.12,10.83,11.10,27500,11.10
2015-12-22,11.20,11.25,10.84,10.95,36900,10.95
2015-12-21,11.43,11.65,11.21,11.24,27200,11.24
2015-12-18,11.62,11.83,11.06,11.40,26100,11.40
2015-12-17,11.76,11.76,11.34,11.51,88700,11.51
2015-12-16,11.09,11.70,11.09,11.67,29300,11.67
2015-12-15,11.80,11.80,11.42,11.48,39500,11.48
2015-12-14,12.00,12.07,11.43,11.58,79800,11.58
2015-12-11,12.69,12.74,12.00,12.02,31400,12.02
2015-12-10,12.70,12.75,12.54,12.70,30000,12.70
2015-12-09,12.95,13.08,12.65,12.72,25200,12.72
2015-12-08,12.75,13.10,12.58,13.10,31100,13.10
2015-12-07,13.29,13.43,13.05,13.06,23100,13.06
2015-12-04,13.58,13.67,13.34,13.45,11800,13.45
2015-12-03,13.87,14.02,13.28,13.37,31000,13.37
2015-12-02,13.94,14.25,13.29,13.93,75500,13.93
2015-12-01,13.70,13.97,13.48,13.86,28200,13.86
2015-11-30,13.19,13.91,13.19,13.67,87900,13.67
2015-11-27,12.97,13.49,12.90,13.48,43700,13.48
2015-11-25,12.73,12.97,12.50,12.90,87400,12.90
2015-11-24,12.71,12.86,12.51,12.77,51000,12.77
2015-11-23,12.81,12.85,12.52,12.71,49300,12.71
2015-11-20,13.05,13.05,12.81,12.85,17100,12.85
2015-11-19,12.98,13.07,12.70,12.94,55700,12.94
2015-11-18,12.65,13.15,12.61,13.13,58800,13.13
2015-11-17,12.91,13.10,12.67,12.78,57800,12.78
2015-11-16,12.87,13.22,12.66,12.99,74600,12.99
2015-11-13,12.80,12.92,12.69,12.74,30300,12.74
2015-11-12,12.99,13.19,12.70,12.89,30700,12.89
2015-11-11,13.20,13.30,13.13,13.20,23300,13.20
2015-11-10,13.43,13.80,13.16,13.32,36400,13.32
2015-11-09,13.70,13.89,13.13,13.51,74300,13.51
2015-11-06,13.00,14.13,12.90,13.89,119200,13.89
2015-11-05,12.76,13.08,12.72,12.96,76600,12.96
2015-11-04,11.41,13.20,11.40,12.76,328800,12.76
2015-11-03,12.75,13.61,12.75,12.90,186200,12.90
2015-11-02,12.60,12.80,12.36,12.79,132800,12.79
2015-10-30,12.78,12.80,12.46,12.55,85400,12.55
2015-10-29,12.63,12.97,12.29,12.77,43600,12.77
2015-10-28,12.64,12.96,12.35,12.63,164700,12.63
2015-10-27,11.93,12.61,11.39,12.61,142600,12.61
2015-10-26,11.38,12.08,11.20,11.94,154800,11.94
2015-10-23,11.57,11.72,11.37,11.38,63400,11.38
2015-10-22,11.61,11.86,11.28,11.57,118800,11.57
2015-10-21,12.01,12.10,11.01,11.45,259600,11.45
2015-10-20,12.50,12.50,11.66,11.97,141800,11.97
2015-10-19,13.09,13.10,12.01,12.50,271500,12.50
2015-10-16,13.20,13.40,13.20,13.24,14700,13.24
2015-10-15,12.98,13.25,12.98,13.20,16200,13.20
2015-10-14,13.04,13.34,12.80,12.98,40000,12.98
2015-10-13,12.99,13.33,12.95,12.95,45300,12.95
2015-10-12,13.16,13.51,13.13,13.15,25600,13.15
2015-10-09,13.05,13.33,13.05,13.22,63900,13.22
2015-10-08,13.04,13.20,12.97,13.09,31000,13.09
2015-10-07,13.06,13.40,13.00,13.04,55000,13.04
2015-10-06,13.20,13.31,13.02,13.06,34100,13.06
2015-10-05,13.24,13.68,13.23,13.23,83300,13.23
2015-10-02,13.24,13.25,13.00,13.18,29700,13.18
2015-10-01,13.63,13.63,13.26,13.40,33000,13.40
2015-09-30,13.84,13.98,13.66,13.67,30900,13.67
2015-09-29,13.64,13.74,13.15,13.73,59500,13.73
2015-09-28,14.33,14.33,13.33,13.70,84700,13.70
2015-09-25,14.53,14.54,14.13,14.37,269900,14.37
2015-09-24,14.26,14.42,13.95,14.31,22500,14.31
2015-09-23,14.34,14.56,14.20,14.35,21200,14.35
2015-09-22,14.18,14.48,14.10,14.33,55100,14.33
2015-09-21,14.35,14.57,14.23,14.27,98700,14.27
2015-09-18,14.26,14.63,14.07,14.40,56700,14.40
2015-09-17,14.38,14.63,14.20,14.42,45800,14.42
2015-09-16,14.39,14.54,14.30,14.54,24600,14.54
2015-09-15,14.40,14.49,14.12,14.40,26700,14.40
2015-09-14,14.64,14.64,14.30,14.41,23900,14.41
2015-09-11,14.64,14.89,14.42,14.64,87100,14.64
2015-09-10,13.74,14.61,13.74,14.56,88800,14.56
2015-09-09,13.36,13.90,13.36,13.78,68500,13.78
2015-09-08,13.10,13.34,12.88,13.34,12400,13.34
2015-09-04,12.89,13.02,12.73,12.94,25100,12.94
2015-09-03,13.09,13.35,12.94,13.00,18300,13.00
2015-09-02,13.01,13.23,12.91,13.09,17300,13.09
2015-09-01,12.89,13.22,12.35,13.06,100900,13.06
2015-08-31,13.01,13.44,12.79,13.18,62400,13.18
2015-08-28,13.40,13.60,12.98,13.00,74100,13.00
2015-08-27,13.56,13.56,13.13,13.26,37100,13.26
2015-08-26,13.29,13.40,12.71,13.25,68300,13.25
2015-08-25,13.39,13.82,12.76,12.77,75800,12.77
2015-08-24,13.00,13.00,11.92,12.85,188700,12.85
2015-08-21,13.97,14.17,13.30,13.55,77500,13.55
2015-08-20,14.90,14.93,14.00,14.03,88500,14.03
2015-08-19,15.35,15.40,14.80,15.02,37600,15.02
2015-08-18,14.96,15.60,14.52,15.38,103500,15.38
2015-08-17,14.57,15.17,14.46,14.90,61000,14.90
2015-08-14,14.83,15.00,14.51,14.58,86100,14.58
2015-08-13,15.20,15.35,14.60,14.80,60800,14.80
2015-08-12,15.24,15.35,15.08,15.14,80300,15.14
2015-08-11,15.82,15.94,14.93,15.30,97100,15.30
2015-08-10,15.03,15.85,14.93,15.82,132200,15.82
2015-08-07,14.88,15.03,14.51,15.03,21500,15.03
2015-08-06,15.11,15.60,14.64,14.88,113200,14.88
2015-08-05,14.50,15.27,14.49,15.10,100100,15.10
2015-08-04,14.47,14.80,14.45,14.48,46600,14.48
2015-08-03,14.27,14.64,14.01,14.32,50500,14.32
2015-07-31,14.45,14.89,14.20,14.34,65100,14.34
2015-07-30,14.50,14.73,14.06,14.50,65200,14.50
2015-07-29,14.93,14.97,14.59,14.68,22800,14.68
2015-07-28,14.97,15.22,14.65,14.93,43900,14.93
2015-07-27,16.23,16.25,14.93,15.00,123500,15.00
2015-07-24,14.69,16.09,14.34,15.37,166800,15.37
2015-07-23,13.77,14.80,13.30,14.58,395500,14.58
2015-07-22,14.09,14.09,13.56,13.75,46300,13.75
2015-07-21,14.48,14.65,14.09,14.20,106700,14.20
2015-07-20,14.00,14.45,13.95,14.31,208400,14.31
2015-07-17,13.72,13.96,13.58,13.96,88700,13.96
2015-07-16,13.62,13.88,13.60,13.69,24200,13.69
2015-07-15,13.57,13.90,13.41,13.55,28000,13.55
2015-07-14,13.48,13.67,13.44,13.52,45300,13.52
2015-07-13,13.42,13.79,13.21,13.49,28300,13.49
2015-07-10,13.08,13.45,13.07,13.35,12800,13.35
2015-07-09,12.98,13.28,12.95,13.00,29300,13.00
2015-07-08,12.99,12.99,12.70,12.96,30500,12.96
2015-07-07,13.08,13.08,12.79,12.98,49800,12.98
2015-07-06,13.20,13.24,13.05,13.10,31900,13.10
2015-07-02,13.05,13.31,13.00,13.31,12200,13.31
2015-07-01,13.13,13.20,13.10,13.12,30200,13.12
2015-06-30,13.02,13.35,12.76,13.07,15100,13.07
2015-06-29,12.93,13.12,12.50,13.00,57500,13.00
2015-06-26,13.70,13.70,13.20,13.20,27900,13.20
2015-06-25,13.58,13.80,13.58,13.62,19300,13.62
2015-06-24,13.81,13.84,13.51,13.51,16000,13.51
2015-06-23,13.58,13.94,13.17,13.73,197500,13.73
2015-06-22,13.50,13.69,13.45,13.65,14700,13.65
2015-06-19,13.81,13.96,13.49,13.50,30000,13.50
2015-06-18,13.67,13.85,13.58,13.85,19700,13.85
2015-06-17,13.70,13.87,13.53,13.58,16700,13.58
2015-06-16,13.55,13.79,13.55,13.70,18600,13.70
2015-06-15,13.48,13.79,13.04,13.66,189200,13.66
2015-06-12,13.42,13.83,13.25,13.56,46500,13.56
2015-06-11,13.32,13.59,13.23,13.57,45600,13.57
2015-06-10,13.50,14.00,13.04,13.69,159000,13.69
2015-06-09,14.20,14.20,13.11,13.73,85600,13.73
2015-06-08,14.11,14.20,13.86,14.15,38900,14.15
2015-06-05,13.73,14.11,13.73,14.03,47400,14.03
2015-06-04,13.98,14.18,13.72,13.75,55400,13.75
2015-06-03,13.77,14.02,13.60,13.98,33200,13.98
2015-06-02,14.18,14.18,13.79,13.90,105000,13.90
2015-06-01,13.77,14.17,13.40,14.06,93000,14.06
2015-05-29,13.93,14.00,13.43,13.82,45200,13.82
2015-05-28,13.04,13.91,13.04,13.85,97900,13.85
2015-05-27,13.43,13.70,13.00,13.21,144000,13.21
2015-05-26,13.60,13.68,13.36,13.53,60900,13.53
2015-05-22,13.60,13.72,13.27,13.65,51800,13.65
2015-05-21,13.71,13.86,13.46,13.49,59600,13.49
2015-05-20,13.10,13.94,13.10,13.60,182000,13.60
2015-05-19,13.35,13.42,12.87,12.98,151200,12.98
2015-05-18,12.40,13.48,12.40,13.08,205800,13.08
2015-05-15,11.97,12.45,11.87,12.40,120400,12.40
2015-05-14,11.99,12.20,11.89,11.95,26400,11.95
2015-05-13,11.87,12.20,11.82,11.82,42600,11.82
2015-05-12,11.97,12.00,11.64,11.98,43400,11.98
2015-05-11,11.79,12.06,11.60,11.90,67900,11.90
2015-05-08,11.80,12.13,11.80,11.96,65100,11.96
2015-05-07,11.66,12.00,11.18,11.74,163700,11.74
2015-05-06,11.93,12.15,11.70,11.78,43500,11.78
2015-05-05,12.10,12.19,11.50,12.00,87200,12.00
2015-05-04,12.00,12.53,11.85,12.19,132100,12.19
2015-05-01,11.28,12.12,11.28,12.06,154900,12.06
2015-04-30,10.87,11.50,10.51,11.30,195300,11.30
2015-04-29,10.71,10.85,10.51,10.75,30700,10.75
2015-04-28,10.90,10.90,10.41,10.69,20500,10.69
2015-04-27,10.79,10.98,10.53,10.70,37900,10.70
2015-04-24,10.60,11.00,10.60,10.79,165800,10.79
2015-04-23,10.40,10.69,10.38,10.38,9600,10.38
2015-04-22,10.40,10.58,10.22,10.45,29900,10.45
2015-04-21,10.30,10.51,10.14,10.48,41300,10.48
2015-04-20,9.98,10.35,9.78,10.26,31900,10.26
2015-04-17,9.94,10.36,9.80,9.99,59400,9.99
2015-04-16,10.09,10.09,9.85,10.04,17400,10.04
2015-04-15,10.09,10.16,10.03,10.13,7400,10.13
2015-04-14,10.04,10.15,9.85,10.05,12300,10.05
2015-04-13,10.14,10.14,9.89,10.14,26100,10.14
2015-04-10,9.97,10.29,9.76,10.05,19200,10.05
2015-04-09,10.23,10.27,9.95,9.98,27400,9.98
2015-04-08,10.13,10.33,10.00,10.24,26800,10.24
2015-04-07,10.01,10.35,9.69,10.10,34300,10.10
2015-04-06,9.98,10.01,9.69,9.88,32900,9.88
2015-04-02,10.00,10.31,9.22,9.97,22800,9.97
2015-04-01,9.91,10.29,9.91,10.02,35500,10.02
2015-03-31,9.97,10.31,9.77,10.05,27800,10.05
2015-03-30,9.92,10.03,9.73,9.91,25100,9.91
2015-03-27,9.96,9.98,9.43,9.97,27600,9.97
