Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.80,5.05,4.24,4.70,8920500,4.70
2016-10-06,5.22,5.69,4.93,5.10,30882300,5.10
2016-10-05,3.56,4.13,3.53,4.05,9915500,4.05
2016-10-04,3.28,3.75,3.24,3.50,6418700,3.50
2016-10-03,3.09,3.28,3.07,3.24,3780300,3.24
2016-09-30,3.00,3.72,2.93,3.01,31666100,3.01
2016-09-29,2.59,2.66,2.42,2.64,2281300,2.64
2016-09-28,2.43,2.44,2.37,2.42,453800,2.42
2016-09-27,2.42,2.45,2.32,2.40,428500,2.40
2016-09-26,2.43,2.465,2.35,2.39,686300,2.39
2016-09-23,2.30,2.405,2.30,2.40,2417700,2.40
2016-09-22,2.13,2.30,2.13,2.283,1344300,2.283
2016-09-21,2.16,2.18,2.10,2.13,366700,2.13
2016-09-20,2.10,2.15,2.089,2.12,488300,2.12
2016-09-19,2.08,2.12,2.045,2.07,308300,2.07
2016-09-16,2.06,2.07,2.00,2.06,306900,2.06
2016-09-15,2.01,2.08,2.01,2.05,313800,2.05
2016-09-14,2.10,2.10,1.97,2.04,462600,2.04
2016-09-13,2.20,2.20,2.02,2.09,732400,2.09
2016-09-12,2.16,2.20,2.105,2.15,589800,2.15
2016-09-09,2.20,2.20,2.10,2.15,576000,2.15
2016-09-08,2.14,2.19,2.12,2.15,772300,2.15
2016-09-07,2.09,2.15,2.061,2.10,862600,2.10
2016-09-06,2.05,2.08,2.00,2.06,599700,2.06
2016-09-02,1.98,2.15,1.93,2.05,1858100,2.05
2016-09-01,1.98,1.99,1.88,1.95,616000,1.95
2016-08-31,1.95,1.99,1.93,1.94,409600,1.94
2016-08-30,1.94,1.97,1.92,1.95,258400,1.95
2016-08-29,1.98,1.98,1.91,1.94,323600,1.94
2016-08-26,1.96,2.02,1.93,1.95,511200,1.95
2016-08-25,2.05,2.08,1.95,1.98,557900,1.98
2016-08-24,2.17,2.20,1.93,2.03,1182000,2.03
2016-08-23,2.22,2.23,2.138,2.17,553800,2.17
2016-08-22,2.16,2.23,2.01,2.17,997500,2.17
2016-08-19,2.27,2.32,2.09,2.15,1642200,2.15
2016-08-18,2.41,2.47,2.26,2.26,2201000,2.26
2016-08-17,2.64,2.73,2.40,2.44,7416300,2.44
