Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,180.410004,180.410004,176.789993,178.550003,871700,178.550003
2017-02-10,177.220001,180.270004,177.149994,179.869995,591900,179.869995
2017-02-09,178.50,179.110001,177.850006,178.25,634900,178.25
2017-02-08,175.710007,179.330002,174.960007,178.50,928100,178.50
2017-02-07,174.600006,176.520004,174.289993,175.720001,697200,175.720001
2017-02-06,173.690002,175.529999,172.679993,174.820007,645000,174.820007
2017-02-03,176.690002,179.00,172.919998,173.529999,908100,173.529999
2017-02-02,171.339996,176.850006,171.089996,175.539993,1514700,175.539993
2017-02-01,172.210007,173.589996,169.50,169.610001,1181200,169.610001
2017-01-31,172.50,174.410004,172.149994,173.309998,963000,173.309998
2017-01-30,173.029999,173.869995,171.529999,172.110001,692600,172.110001
2017-01-27,174.520004,174.720001,172.119995,173.119995,577900,173.119995
2017-01-26,173.720001,175.050003,173.169998,174.210007,671000,174.210007
2017-01-25,174.759995,175.710007,173.309998,173.429993,957600,173.429993
2017-01-24,177.309998,177.990005,174.509995,175.559998,746900,175.559998
2017-01-23,176.580002,177.50,175.759995,176.899994,519100,176.899994
2017-01-20,175.380005,177.369995,174.830002,176.970001,564000,176.970001
2017-01-19,175.830002,175.830002,173.919998,175.220001,594400,175.220001
2017-01-18,176.660004,177.759995,175.470001,176.570007,609900,176.570007
2017-01-17,176.220001,178.149994,174.850006,176.309998,807800,176.309998
2017-01-13,176.339996,176.929993,175.470001,176.259995,471400,176.259995
2017-01-12,174.899994,177.020004,173.639999,176.589996,679100,176.589996
2017-01-11,176.589996,177.889999,174.259995,175.169998,1118300,175.169998
2017-01-10,176.589996,177.699997,175.639999,176.820007,602900,176.820007
2017-01-09,179.830002,180.029999,176.869995,177.220001,634700,177.220001
2017-01-06,178.100006,180.690002,178.100006,180.00,732800,180.00
2017-01-05,175.889999,178.630005,174.839996,178.429993,840600,178.429993
2017-01-04,177.080002,178.389999,175.580002,177.350006,759700,177.350006
2017-01-03,178.300003,178.300003,175.259995,176.619995,858200,176.619995
2016-12-30,175.259995,177.770004,174.889999,177.149994,756300,177.149994
2016-12-29,173.899994,176.169998,173.330002,175.600006,601700,175.600006
2016-12-28,174.809998,175.339996,172.220001,173.940002,751800,173.940002
2016-12-27,174.270004,176.899994,173.809998,175.820007,647900,174.470003
2016-12-23,174.369995,175.300003,173.429993,174.490005,367700,173.150214
2016-12-22,172.360001,174.070007,171.300003,173.720001,686000,172.386122
2016-12-21,175.00,176.570007,172.929993,172.929993,883900,171.602179
2016-12-20,173.940002,175.729996,173.580002,175.229996,687600,173.884522
2016-12-19,174.160004,175.080002,172.669998,174.789993,925100,173.447898
2016-12-16,171.080002,174.529999,170.770004,172.929993,1119700,171.602179
2016-12-15,169.990005,172.320007,168.470001,169.600006,1002600,168.297761
2016-12-14,170.630005,172.919998,168.779999,170.029999,1353900,168.724452
2016-12-13,171.270004,171.470001,168.850006,170.630005,600700,169.319851
2016-12-12,169.119995,170.979996,168.300003,170.399994,593300,169.091607
2016-12-09,168.699997,170.880005,168.289993,169.050003,533000,167.751981
2016-12-08,167.449997,169.389999,165.410004,168.770004,709600,167.474132
2016-12-07,164.389999,168.179993,164.119995,168.100006,743800,166.809279
2016-12-06,164.729996,166.369995,163.580002,164.199997,875500,162.939215
2016-12-05,164.610001,165.570007,163.270004,164.619995,888200,163.355988
2016-12-02,164.399994,167.479996,163.460007,164.630005,752400,163.365921
