Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,7.87,7.91,7.80,7.84,37300,7.84
2016-10-06,7.85,7.95,7.79,7.90,41200,7.90
2016-10-05,7.78,7.88,7.71,7.85,98400,7.85
2016-10-04,7.78,7.87,7.73,7.75,39600,7.75
2016-10-03,7.65,7.79,7.53,7.77,124000,7.77
2016-09-30,7.69,7.72,7.65,7.68,154100,7.68
2016-09-29,7.75,7.75,7.62,7.65,49500,7.65
2016-09-28,7.75,7.78,7.65,7.75,53300,7.75
2016-09-27,7.75,7.76,7.70,7.75,102800,7.75
2016-09-26,7.83,7.87,7.70,7.72,242200,7.72
2016-09-23,7.81,7.93,7.81,7.90,76100,7.90
2016-09-22,7.68,7.86,7.63,7.85,243000,7.85
2016-09-21,7.69,7.70,7.54,7.66,118400,7.66
2016-09-20,7.72,7.74,7.64,7.69,36300,7.69
2016-09-19,7.65,7.73,7.65,7.66,36500,7.66
2016-09-16,7.64,7.66,7.58,7.63,195800,7.63
2016-09-15,7.59,7.65,7.56,7.64,38900,7.64
2016-09-14,7.57,7.67,7.56,7.59,74400,7.59
2016-09-13,7.71,7.72,7.58,7.65,36300,7.65
2016-09-12,7.72,7.79,7.63,7.77,46500,7.77
2016-09-09,7.85,7.85,7.70,7.71,60600,7.71
2016-09-08,7.88,7.90,7.83,7.88,43300,7.88
2016-09-07,7.88,7.90,7.80,7.86,68200,7.86
2016-09-06,7.89,7.92,7.82,7.86,60100,7.86
2016-09-02,7.86,7.93,7.78,7.89,78700,7.89
2016-09-01,7.78,7.84,7.68,7.83,56900,7.83
2016-08-31,7.87,7.90,7.72,7.80,106600,7.80
2016-08-30,7.81,7.90,7.80,7.87,103100,7.87
2016-08-29,7.76,7.81,7.61,7.77,89200,7.77
2016-08-26,7.74,7.77,7.67,7.72,41900,7.72
2016-08-25,7.65,7.78,7.64,7.73,270000,7.73
2016-08-24,7.69,7.70,7.60,7.66,56300,7.66
2016-08-23,7.64,7.66,7.59,7.65,52500,7.65
2016-08-22,7.54,7.70,7.54,7.66,65700,7.66
2016-08-19,7.60,7.62,7.55,7.59,176800,7.59
2016-08-18,7.62,7.64,7.57,7.61,54200,7.61
2016-08-17,7.63,7.63,7.55,7.59,33500,7.59
2016-08-16,7.60,7.61,7.55,7.58,32700,7.58
2016-08-15,7.57,7.68,7.56,7.60,53200,7.60
2016-08-12,7.54,7.60,7.52,7.57,43200,7.57
2016-08-11,7.56,7.63,7.52,7.57,30000,7.57
2016-08-10,7.57,7.59,7.53,7.56,89800,7.56
