Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,12.20,12.20,12.15,12.15,600,12.15
2016-10-06,12.25,12.25,12.25,12.25,000,12.25
2016-10-05,12.25,12.25,12.25,12.25,700,12.25
2016-10-04,12.18,12.18,12.18,12.18,000,12.18
2016-10-03,12.28,12.28,12.18,12.18,500,12.18
2016-09-30,12.15,12.15,12.15,12.15,600,12.15
2016-09-29,12.22,12.28,12.08,12.08,2500,12.08
2016-09-28,12.23,12.23,12.23,12.23,200,12.23
2016-09-27,12.20,12.57,12.20,12.57,300,12.57
2016-09-26,12.50,12.50,12.50,12.50,000,12.50
2016-09-23,12.50,12.50,12.50,12.50,100,12.50
2016-09-22,12.50,12.50,12.50,12.50,900,12.50
2016-09-21,12.20,12.24,12.20,12.23,1700,12.23
2016-09-20,12.21,12.21,12.21,12.21,000,12.21
2016-09-19,12.31,12.31,12.21,12.21,1300,12.21
2016-09-16,12.55,12.88,12.15,12.15,9000,12.15
2016-09-15,12.85,12.85,12.16,12.55,3300,12.55
2016-09-14,12.39,12.90,12.39,12.90,1900,12.90
2016-09-13,12.24,12.25,12.24,12.25,1600,12.25
2016-09-12,12.25,12.25,12.08,12.25,2400,12.25
2016-09-09,12.35,12.35,12.25,12.25,1300,12.25
2016-09-08,12.15,12.35,12.15,12.35,2000,12.35
2016-09-07,12.35,12.35,12.19,12.19,2200,12.19
2016-09-06,12.34,12.35,12.18,12.35,2200,12.29
2016-09-02,12.40,12.48,12.40,12.46,1500,12.399465
2016-09-01,12.50,12.51,12.37,12.47,2300,12.409417
2016-08-31,12.58,12.58,12.54,12.55,1800,12.489028
2016-08-30,12.62,12.62,12.62,12.62,400,12.558688
2016-08-29,12.53,12.53,12.53,12.53,000,12.469125
2016-08-26,12.90,12.90,12.53,12.53,1200,12.469125
2016-08-25,12.90,12.90,12.90,12.90,200,12.837327
2016-08-24,12.53,12.75,12.53,12.75,600,12.688056
2016-08-23,12.87,12.87,12.87,12.87,1000,12.807473
2016-08-22,12.86,12.86,12.86,12.86,000,12.797522
2016-08-19,12.37,12.86,12.37,12.86,700,12.797522
2016-08-18,12.56,12.56,12.56,12.56,400,12.49898
2016-08-17,12.90,12.90,12.59,12.59,2200,12.528834
2016-08-16,12.82,12.82,12.82,12.82,100,12.757716
2016-08-15,12.90,12.90,12.90,12.90,200,12.837327
2016-08-12,12.84,12.86,12.84,12.86,300,12.797522
2016-08-11,12.90,12.90,12.83,12.83,2200,12.767668
2016-08-10,12.90,12.90,12.85,12.88,1700,12.817425
2016-08-09,13.10,13.14,12.90,12.90,4200,12.837327
2016-08-08,13.10,13.10,13.00,13.10,78000,13.036356
2016-08-05,13.05,13.05,13.05,13.05,000,12.986599
2016-08-04,13.05,13.20,13.05,13.05,2100,12.986599
2016-08-03,13.00,13.13,13.00,13.13,400,13.06621
2016-08-02,13.00,13.00,13.00,13.00,000,12.936842
2016-08-01,13.00,13.00,13.00,13.00,200,12.936842
2016-07-29,12.86,12.86,12.86,12.86,300,12.797522
2016-07-28,13.05,13.05,13.05,13.05,600,12.986599
2016-07-27,12.94,12.94,12.94,12.94,500,12.877133
2016-07-26,13.00,13.00,13.00,13.00,1300,12.936842
2016-07-25,13.00,13.50,12.68,13.28,1400,13.215481
2016-07-22,12.60,13.00,12.60,13.00,900,12.936842
2016-07-21,12.60,12.61,12.55,12.61,4200,12.548736
2016-07-20,12.60,12.60,12.60,12.60,900,12.538786
2016-07-19,12.70,12.70,12.55,12.60,4100,12.538786
2016-07-18,12.50,12.50,12.50,12.50,400,12.439271
2016-07-15,12.68,12.68,12.68,12.68,000,12.618397
2016-07-14,12.68,12.68,12.68,12.68,600,12.618397
2016-07-13,12.50,12.66,12.50,12.66,500,12.598494
2016-07-12,12.50,12.50,12.50,12.50,1800,12.439271
2016-07-11,12.75,12.75,12.75,12.75,500,12.688056
2016-07-08,12.74,12.74,12.21,12.21,500,12.15068
2016-07-07,12.75,12.75,12.75,12.75,000,12.688056
2016-07-06,12.69,12.75,12.69,12.75,1300,12.688056
2016-07-05,12.75,12.75,12.75,12.75,500,12.688056
2016-07-01,12.25,12.75,12.25,12.75,9800,12.688056
2016-06-30,12.22,12.25,12.22,12.25,600,12.190486
2016-06-29,12.24,12.24,12.24,12.24,000,12.180534
2016-06-28,12.23,12.24,12.23,12.24,300,12.180534
2016-06-27,11.69,12.32,11.69,12.23,1300,12.170582
2016-06-24,12.14,12.24,11.79,11.84,2100,11.782478
2016-06-23,11.94,11.99,11.93,11.96,1100,11.901895
2016-06-22,11.93,11.93,11.93,11.93,000,11.872041
2016-06-21,11.93,11.93,11.93,11.93,000,11.872041
2016-06-20,11.93,11.93,11.93,11.93,1100,11.872041
