Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,15.35,15.36,15.30,15.35,8800,15.35
2016-10-06,15.40,15.40,15.305,15.34,3800,15.34
2016-10-05,15.38,15.41,15.38,15.39,1500,15.39
2016-10-04,15.39,15.39,15.25,15.25,10900,15.25
2016-10-03,15.36,15.36,15.19,15.257,3600,15.257
2016-09-30,15.28,15.31,15.20,15.31,4100,15.31
2016-09-29,15.31,15.31,15.25,15.26,3900,15.26
2016-09-28,15.29,15.31,15.21,15.31,3000,15.31
2016-09-27,15.17,16.68,15.117,15.21,3600,15.21
2016-09-26,15.15,15.15,15.031,15.031,2900,15.031
2016-09-23,15.33,15.33,15.24,15.27,9500,15.27
2016-09-22,15.38,15.39,15.29,15.32,4000,15.32
2016-09-21,14.97,14.97,14.97,14.97,000,14.97
2016-09-20,14.97,14.97,14.97,14.97,300,14.97
2016-09-19,14.82,14.85,14.816,14.84,700,14.84
2016-09-16,14.72,14.72,14.70,14.70,1500,14.70
2016-09-15,14.76,14.76,14.76,14.76,000,14.76
2016-09-14,14.76,14.76,14.76,14.76,000,14.76
2016-09-13,14.76,14.76,14.76,14.76,300,14.76
