Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,25.25,25.50,25.08,25.16,35200,25.16
2016-10-06,23.99,25.379999,23.74,25.290001,127200,25.290001
2016-10-05,23.16,24.450001,23.16,23.99,34700,23.99
2016-10-04,23.200001,23.290001,22.950001,23.139999,74400,23.139999
2016-10-03,23.190001,23.190001,22.92,23.08,68000,23.08
2016-09-30,23.200001,23.629999,22.790001,23.25,74500,23.25
2016-09-29,23.00,24.139999,22.42,23.030001,88500,23.030001
2016-09-28,25.00,25.07,23.76,23.889999,77100,23.889999
2016-09-27,24.57,25.190001,24.57,25.07,22900,25.07
2016-09-26,24.809999,24.969999,24.629999,24.629999,33400,24.629999
2016-09-23,25.09,25.26,25.00,25.139999,35300,25.139999
2016-09-22,24.68,25.27,24.530001,25.219999,41100,25.219999
2016-09-21,24.030001,24.58,23.90,24.530001,25200,24.530001
2016-09-20,25.190001,25.190001,23.85,23.98,53100,23.98
2016-09-19,24.83,25.27,24.620001,24.959999,24100,24.959999
2016-09-16,24.709999,24.91,24.49,24.66,47700,24.66
2016-09-15,24.34,24.77,24.34,24.639999,27300,24.639999
2016-09-14,24.440001,24.51,24.16,24.25,30200,24.25
2016-09-13,24.83,25.110001,24.35,24.40,50600,24.40
2016-09-12,24.790001,25.01,24.59,25.00,25500,25.00
2016-09-09,25.379999,25.379999,24.59,24.59,44100,24.59
2016-09-08,25.17,25.629999,24.76,25.440001,38300,25.440001
2016-09-07,25.08,25.43,25.08,25.379999,24100,25.379999
2016-09-06,25.10,25.24,25.00,25.18,19700,25.18
2016-09-02,24.92,25.190001,24.75,25.139999,10800,25.139999
2016-09-01,24.75,24.99,24.540001,24.879999,30300,24.879999
2016-08-31,25.49,25.49,24.59,24.76,30600,24.76
2016-08-30,25.469999,25.469999,24.98,25.059999,20700,25.059999
2016-08-29,24.719999,25.27,24.48,25.17,60900,25.17
2016-08-26,25.030001,25.290001,24.60,24.65,25800,24.65
2016-08-25,24.92,25.129999,24.860001,24.91,20000,24.91
2016-08-24,25.57,25.709999,24.98,25.07,31400,25.07
2016-08-23,25.24,26.02,25.24,25.709999,38600,25.709999
2016-08-22,25.18,25.360001,25.00,25.26,35100,25.26
2016-08-19,25.120001,25.459999,24.98,25.17,42200,25.17
2016-08-18,25.41,25.49,25.110001,25.17,37300,25.17
2016-08-17,25.49,25.49,24.870001,25.280001,30100,25.280001
2016-08-16,25.129999,25.559999,25.120001,25.290001,36200,25.290001
2016-08-15,25.49,25.82,25.23,25.32,52200,25.32
2016-08-12,25.889999,26.15,25.52,25.530001,20000,25.530001
2016-08-11,25.690001,26.02,25.629999,25.85,28900,25.85
2016-08-10,25.969999,26.16,25.469999,25.549999,14900,25.549999
2016-08-09,25.67,25.959999,25.639999,25.92,38100,25.82
2016-08-08,25.32,25.860001,25.32,25.77,23300,25.670579
2016-08-05,25.32,25.709999,24.90,25.25,74600,25.152585
2016-08-04,25.360001,25.559999,25.030001,25.10,17600,25.003164
2016-08-03,25.41,25.48,25.15,25.43,23400,25.331891
2016-08-02,25.959999,25.959999,25.049999,25.40,38400,25.302006
2016-08-01,25.93,26.120001,25.66,26.110001,35400,26.009267
2016-07-29,26.07,26.299999,24.93,25.83,66100,25.730347
2016-07-28,26.110001,26.35,25.969999,26.15,34400,26.049112
2016-07-27,26.209999,26.58,26.10,26.200001,68700,26.09892
2016-07-26,26.49,26.610001,26.15,26.26,45800,26.158688
2016-07-25,26.24,26.49,25.43,26.389999,32800,26.288186
2016-07-22,26.370001,26.389999,25.940001,26.24,47000,26.138765
2016-07-21,26.49,26.65,24.73,26.42,52900,26.318071
2016-07-20,26.24,26.74,25.90,26.59,53800,26.487415
2016-07-19,26.290001,26.549999,26.00,26.209999,83900,26.10888
2016-07-18,25.99,26.66,25.98,26.33,51400,26.228418
2016-07-15,26.309999,26.559999,25.690001,26.110001,54700,26.009267
2016-07-14,26.129999,26.48,25.68,25.93,58000,25.829962
2016-07-13,25.66,26.309999,25.290001,25.83,66600,25.730347
2016-07-12,25.719999,26.200001,25.540001,25.879999,60200,25.780153
2016-07-11,25.709999,25.98,25.559999,25.709999,63900,25.610809
2016-07-08,25.57,25.950001,25.34,25.49,59700,25.391659
2016-07-07,24.91,25.559999,24.790001,25.299999,89700,25.202391
2016-07-06,24.09,24.99,24.00,24.799999,105600,24.70432
2016-07-05,24.43,24.73,23.85,24.35,105600,24.256057
2016-07-01,23.950001,24.90,23.90,24.50,146200,24.405478
2016-06-30,27.280001,27.280001,23.26,23.940001,283400,23.847639
2016-06-29,26.879999,27.799999,25.629999,27.620001,85200,27.513442
2016-06-28,27.129999,27.23,26.110001,26.200001,78000,26.09892
2016-06-27,26.98,27.17,26.370001,26.790001,66600,26.686644
2016-06-24,27.969999,28.40,26.860001,27.41,85200,27.304251
2016-06-23,28.870001,29.08,28.219999,29.030001,48200,28.918002
2016-06-22,28.27,28.940001,28.139999,28.690001,40200,28.579314
2016-06-21,28.83,28.83,28.190001,28.370001,40700,28.260549
2016-06-20,28.57,29.360001,28.57,28.68,32500,28.569352
2016-06-17,28.75,28.92,28.27,28.280001,42300,28.170896
2016-06-16,28.60,29.040001,28.10,28.690001,44500,28.579314
2016-06-15,28.559999,28.98,28.50,28.93,34800,28.818388
2016-06-14,28.15,28.790001,28.00,28.59,25300,28.479699
2016-06-13,28.77,28.77,27.690001,28.42,44200,28.310355
2016-06-10,28.65,28.969999,28.18,28.91,18100,28.798464
2016-06-09,29.92,29.92,28.75,29.02,37000,28.90804
2016-06-08,28.959999,29.85,28.50,29.60,39300,29.485803
2016-06-07,28.75,29.07,28.190001,28.99,56500,28.878155
2016-06-06,28.809999,28.969999,28.26,28.639999,34400,28.529505
2016-06-03,28.379999,28.67,27.67,28.32,31800,28.21074
2016-06-02,28.58,28.58,27.82,28.48,61400,28.370123
2016-06-01,27.790001,28.110001,27.790001,27.93,73600,27.822246
2016-05-31,28.10,28.10,27.799999,27.91,85800,27.802322
2016-05-27,27.90,28.10,27.799999,27.98,32200,27.872052
2016-05-26,28.209999,28.299999,27.610001,27.950001,32400,27.842169
2016-05-25,28.09,28.60,27.719999,27.91,31300,27.802322
2016-05-24,26.77,28.26,26.77,28.059999,31700,27.951743
2016-05-23,27.049999,27.50,26.75,26.790001,74900,26.686644
2016-05-20,27.01,27.40,26.84,27.16,33300,27.055216
2016-05-19,26.82,27.209999,26.280001,26.82,57100,26.716527
2016-05-18,26.940001,27.08,26.379999,26.860001,39700,26.756374
2016-05-17,28.17,28.17,26.65,27.01,44700,26.905795
2016-05-16,27.02,28.450001,27.02,28.15,43600,28.041396
2016-05-13,27.51,27.639999,26.780001,26.959999,183900,26.855987
2016-05-12,28.110001,28.809999,27.219999,27.610001,32600,27.50348
2016-05-11,28.879999,29.23,27.91,28.01,53100,27.901937
2016-05-10,28.940001,29.25,28.67,29.129999,49500,28.927962
2016-05-09,29.25,29.25,28.780001,28.940001,26400,28.739281
2016-05-06,28.959999,29.23,28.85,29.219999,26600,29.017338
2016-05-05,29.620001,29.98,28.90,28.950001,33000,28.749212
2016-05-04,28.879999,29.84,28.879999,29.450001,45300,29.245744
2016-05-03,29.639999,30.110001,29.110001,29.110001,40700,28.908102
2016-05-02,29.59,29.90,29.09,29.82,41800,29.613177
2016-04-29,29.92,29.92,29.360001,29.51,37800,29.305327
2016-04-28,29.950001,30.799999,29.83,29.90,33300,29.692622
2016-04-27,30.07,30.280001,29.719999,30.030001,47300,29.821721
2016-04-26,29.25,30.16,28.450001,30.040001,45200,29.831652
2016-04-25,29.610001,29.799999,29.09,29.27,38900,29.066992
2016-04-22,30.120001,30.23,29.51,29.809999,33100,29.603246
2016-04-21,30.17,30.74,29.959999,29.959999,86100,29.752205
