Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,24.879999,25.17,24.879999,24.98,9900,24.98
2016-10-06,25.049999,25.049999,24.74,24.809999,15000,24.809999
2016-10-05,25.24,25.25,25.120001,25.120001,19200,25.120001
2016-10-04,25.42,25.57,25.09,25.18,19200,25.18
2016-10-03,25.620001,25.620001,25.18,25.299999,20100,25.299999
2016-09-30,25.719999,25.82,25.540001,25.629999,17200,25.629999
2016-09-29,25.75,25.90,25.450001,25.450001,19500,25.450001
2016-09-28,25.639999,25.93,25.639999,25.780001,17100,25.780001
2016-09-27,25.620001,25.959999,25.620001,25.90,8900,25.90
2016-09-26,26.01,26.01,25.639999,25.709999,11800,25.709999
2016-09-23,26.18,26.219999,26.02,26.02,12900,26.02
2016-09-22,26.049999,26.32,25.98,26.280001,45300,26.280001
2016-09-21,25.85,26.059999,25.799999,25.99,25800,25.99
2016-09-20,26.129999,26.559999,25.950001,25.99,21700,25.99
2016-09-19,26.17,26.290001,26.049999,26.09,36100,26.09
2016-09-16,26.200001,26.309999,26.059999,26.129999,42800,26.129999
2016-09-15,26.129999,26.16,26.040001,26.10,13000,26.10
2016-09-14,26.00,26.15,25.870001,26.129999,34300,26.129999
2016-09-13,26.209999,26.40,25.76,26.030001,47200,26.030001
2016-09-12,26.040001,26.32,25.84,26.309999,22700,26.309999
2016-09-09,26.00,26.219999,25.950001,26.18,31900,26.18
2016-09-08,26.129999,26.27,25.950001,26.120001,14500,26.120001
2016-09-07,25.379999,26.110001,25.379999,26.049999,58700,26.049999
2016-09-06,25.25,25.52,25.24,25.34,23800,25.34
2016-09-02,25.40,25.60,25.200001,25.25,29500,25.25
2016-09-01,25.33,25.35,25.059999,25.25,22800,25.25
2016-08-31,25.309999,25.379999,25.16,25.24,43700,25.24
2016-08-30,25.25,25.299999,25.190001,25.219999,32100,25.219999
2016-08-29,25.860001,25.860001,25.219999,25.23,28900,25.23
2016-08-26,25.549999,25.73,25.360001,25.459999,14300,25.459999
2016-08-25,25.530001,25.610001,25.40,25.52,25500,25.52
2016-08-24,25.809999,25.84,25.43,25.530001,25100,25.530001
2016-08-23,26.16,26.540001,25.82,25.83,10400,25.83
2016-08-22,26.190001,26.35,25.75,25.969999,14200,25.969999
2016-08-19,26.129999,26.559999,25.68,25.98,26300,25.98
2016-08-18,26.32,26.32,26.049999,26.27,17100,26.01
2016-08-17,26.48,26.48,26.110001,26.27,13400,26.01
2016-08-16,26.57,26.57,26.379999,26.469999,19000,26.20802
2016-08-15,26.99,27.139999,26.58,26.700001,20400,26.435745
2016-08-12,26.65,27.09,26.65,26.85,32900,26.58426
2016-08-11,26.799999,26.879999,26.65,26.67,24000,26.406041
2016-08-10,27.01,27.01,26.68,26.74,23000,26.475348
2016-08-09,26.799999,27.139999,26.799999,26.90,28700,26.633764
2016-08-08,26.950001,27.17,26.59,26.780001,19900,26.514953
2016-08-05,26.74,27.00,26.700001,26.75,30400,26.485249
2016-08-04,26.620001,26.84,26.549999,26.58,22500,26.316931
2016-08-03,26.629999,26.74,26.41,26.459999,43900,26.198118
2016-08-02,26.559999,26.700001,26.27,26.440001,18200,26.178318
2016-08-01,26.59,27.25,26.26,26.450001,20200,26.188219
2016-07-29,26.309999,26.68,26.23,26.49,30900,26.227822
2016-07-28,26.709999,27.120001,26.51,26.610001,23100,26.346635
2016-07-27,26.709999,26.83,26.459999,26.60,33700,26.336734
2016-07-26,26.459999,26.74,26.33,26.57,29300,26.30703
2016-07-25,26.59,26.610001,26.32,26.389999,21500,26.128811
2016-07-22,26.24,26.690001,26.17,26.42,34100,26.158515
2016-07-21,26.139999,26.25,26.02,26.139999,31900,25.881286
2016-07-20,25.98,26.209999,25.91,26.10,44800,25.841683
2016-07-19,26.08,26.33,25.92,25.950001,32400,25.693168
2016-07-18,25.610001,26.16,25.610001,26.10,40900,25.841683
2016-07-15,25.809999,25.809999,25.290001,25.530001,29500,25.277324
2016-07-14,25.620001,25.719999,25.389999,25.540001,27200,25.287226
2016-07-13,25.120001,25.629999,25.10,25.51,60100,25.257522
2016-07-12,24.90,25.16,24.90,25.09,68200,24.841679
2016-07-11,24.75,24.879999,24.65,24.870001,51300,24.623857
2016-07-08,24.75,24.75,24.67,24.690001,28100,24.445638
2016-07-07,24.74,24.75,24.639999,24.690001,8400,24.445638
2016-07-06,24.43,24.719999,24.43,24.65,150900,24.406033
2016-07-05,24.629999,24.690001,24.469999,24.57,16800,24.326825
2016-07-01,24.73,24.74,24.59,24.629999,12300,24.38623
2016-06-30,24.530001,24.75,24.459999,24.66,43100,24.415934
2016-06-29,24.629999,24.74,24.26,24.389999,30100,24.148606
2016-06-28,24.50,24.790001,24.32,24.530001,29600,24.287222
2016-06-27,24.219999,24.51,24.10,24.299999,46100,24.059497
2016-06-24,23.959999,24.559999,23.700001,24.440001,91500,24.198112
2016-06-23,23.91,24.530001,23.700001,24.52,19500,24.27732
2016-06-22,23.940001,23.940001,23.66,23.67,33800,23.435733
2016-06-21,23.870001,24.10,23.780001,23.92,38400,23.683258
2016-06-20,24.17,24.17,23.940001,23.950001,37900,23.712962
2016-06-17,24.15,24.200001,23.85,24.00,97600,23.762466
2016-06-16,24.49,24.49,23.889999,24.07,76700,23.831773
2016-06-15,24.75,24.799999,24.35,24.43,22400,24.188211
2016-06-14,24.74,24.799999,24.60,24.719999,15100,24.47534
2016-06-13,24.76,24.99,24.690001,24.790001,36100,24.544649
2016-06-10,24.77,24.959999,24.74,24.82,17300,24.57435
2016-06-09,24.809999,24.92,24.620001,24.84,14700,24.594153
2016-06-08,24.73,24.98,24.530001,24.92,20800,24.673361
2016-06-07,24.25,25.030001,24.190001,24.43,58800,24.188211
2016-06-06,24.00,24.23,24.00,24.190001,31600,23.950586
2016-06-03,23.84,24.16,23.690001,23.99,20000,23.752565
2016-06-02,23.549999,23.85,23.469999,23.83,29700,23.594149
2016-06-01,23.389999,23.68,23.389999,23.51,42600,23.277316
2016-05-31,23.58,23.610001,23.34,23.440001,46400,23.208009
2016-05-27,23.41,23.549999,23.35,23.450001,42400,23.217911
2016-05-26,23.469999,23.700001,23.35,23.41,29100,23.178306
2016-05-25,23.49,23.76,23.389999,23.40,56400,23.168404
2016-05-24,23.58,23.780001,23.41,23.42,39100,23.188207
2016-05-23,23.76,24.030001,23.33,23.469999,26200,23.237711
2016-05-20,24.440001,24.450001,23.68,23.790001,52000,23.554546
2016-05-19,24.83,24.99,24.559999,24.73,11200,24.227815
2016-05-18,24.709999,24.870001,24.51,24.83,13400,24.325784
2016-05-17,25.280001,25.280001,24.719999,24.74,19800,24.237612
2016-05-16,25.219999,25.27,25.02,25.17,18900,24.65888
2016-05-13,24.940001,25.26,24.940001,25.059999,18600,24.551113
2016-05-12,25.17,25.17,24.77,24.91,14800,24.40416
2016-05-11,25.040001,25.129999,24.83,25.00,11700,24.492332
2016-05-10,24.719999,25.15,24.629999,24.889999,18300,24.384565
2016-05-09,24.43,24.790001,24.43,24.74,37700,24.237612
2016-05-06,24.48,24.49,24.35,24.48,18200,23.982891
2016-05-05,24.43,24.620001,24.370001,24.389999,13100,23.894719
2016-05-04,24.459999,24.58,24.40,24.40,10300,23.904516
2016-05-03,24.370001,24.51,24.370001,24.389999,7400,23.894719
2016-05-02,24.48,24.60,24.33,24.530001,9700,24.031877
2016-04-29,24.639999,24.639999,24.34,24.440001,24300,23.943705
2016-04-28,24.469999,24.629999,24.469999,24.52,12200,24.02208
2016-04-27,24.42,24.75,24.42,24.610001,15100,24.110253
2016-04-26,24.389999,24.50,24.35,24.48,14500,23.982891
2016-04-25,24.59,24.59,24.309999,24.360001,9500,23.865329
2016-04-22,24.559999,24.73,24.40,24.57,20000,24.071064
