Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.70,1.70,1.46,1.58,36200,1.58
2016-10-06,1.78,1.78,1.72,1.72,400,1.72
2016-10-05,1.71,1.75,1.69,1.69,4600,1.69
2016-10-04,1.80,1.80,1.72,1.73,800,1.73
2016-10-03,1.77,1.78,1.70,1.72,5100,1.72
2016-09-30,1.76,1.76,1.76,1.76,000,1.76
2016-09-29,1.76,1.77,1.71,1.76,1000,1.76
2016-09-28,1.77,1.77,1.70,1.70,2000,1.70
2016-09-27,1.63,1.77,1.61,1.76,16000,1.76
2016-09-26,1.68,1.79,1.68,1.69,10300,1.69
2016-09-23,1.67,1.71,1.64,1.71,2500,1.71
2016-09-22,1.65,1.76,1.65,1.72,3900,1.72
2016-09-21,1.75,1.81,1.62,1.78,7100,1.78
2016-09-20,1.78,1.78,1.78,1.78,500,1.78
2016-09-19,1.71,1.78,1.56,1.72,9000,1.72
2016-09-16,1.65,1.86,1.52,1.55,19600,1.55
2016-09-15,1.72,1.78,1.63,1.76,7500,1.76
2016-09-14,1.69,1.72,1.68,1.72,9000,1.72
2016-09-13,1.63,1.69,1.52,1.68,7200,1.68
2016-09-12,1.64,1.66,1.49,1.64,8200,1.64
2016-09-09,1.71,1.71,1.60,1.64,12700,1.64
2016-09-08,1.64,1.71,1.64,1.69,4600,1.69
2016-09-07,1.72,1.72,1.66,1.68,6000,1.68
2016-09-06,1.71,1.72,1.62,1.70,6900,1.70
2016-09-02,1.71,1.71,1.71,1.71,400,1.71
2016-09-01,1.63,1.70,1.61,1.66,6100,1.66
2016-08-31,1.65,1.74,1.64,1.72,2900,1.72
2016-08-30,1.60,1.73,1.60,1.72,9000,1.72
2016-08-29,1.63,1.74,1.63,1.69,5000,1.69
2016-08-26,1.65,1.74,1.63,1.70,2200,1.70
2016-08-25,1.65,1.75,1.62,1.69,9300,1.69
2016-08-24,1.66,1.76,1.66,1.71,3100,1.71
2016-08-23,1.65,1.78,1.62,1.71,8100,1.71
2016-08-22,1.66,1.78,1.64,1.72,55600,1.72
2016-08-19,1.72,1.80,1.65,1.72,72300,1.72
2016-08-18,1.72,1.80,1.71,1.78,2000,1.78
2016-08-17,1.72,1.80,1.71,1.76,8800,1.76
2016-08-16,1.75,1.80,1.70,1.79,6400,1.79
2016-08-15,1.72,1.78,1.71,1.78,4500,1.78
2016-08-12,1.74,1.78,1.66,1.75,49900,1.75
2016-08-11,1.77,1.80,1.71,1.80,1300,1.80
2016-08-10,1.76,1.82,1.70,1.80,23800,1.80
2016-08-09,1.71,1.80,1.70,1.80,31600,1.80
2016-08-08,1.80,1.80,1.78,1.78,3700,1.78
2016-08-05,1.95,1.95,1.70,1.79,112400,1.79
2016-08-04,1.85,1.97,1.77,1.97,2800,1.97
2016-08-03,1.72,2.10,1.63,1.93,234600,1.93
2016-08-02,1.68,1.85,1.65,1.82,17300,1.82
2016-08-01,1.61,1.85,1.61,1.85,3800,1.85
2016-07-29,1.64,1.78,1.64,1.77,13100,1.77
2016-07-28,1.63,1.75,1.42,1.75,100300,1.75
2016-07-27,1.74,2.50,1.63,1.68,318000,1.68
2016-07-26,1.75,1.79,1.70,1.75,3000,1.75
2016-07-25,1.78,1.79,1.65,1.79,21900,1.79
2016-07-22,1.76,1.76,1.76,1.76,100,1.76
2016-07-21,1.73,1.79,1.73,1.79,500,1.79
2016-07-20,1.80,1.80,1.76,1.80,500,1.80
2016-07-19,1.70,1.80,1.70,1.80,2300,1.80
2016-07-18,1.83,1.85,1.75,1.79,3900,1.79
2016-07-15,1.88,1.88,1.76,1.78,7900,1.78
2016-07-14,1.80,1.84,1.80,1.82,8200,1.82
2016-07-13,1.87,1.88,1.84,1.84,1100,1.84
2016-07-12,1.88,1.90,1.84,1.84,500,1.84
2016-07-11,1.86,1.88,1.86,1.88,1100,1.88
2016-07-08,1.86,1.86,1.86,1.86,000,1.86
2016-07-07,1.80,1.86,1.80,1.86,900,1.86
2016-07-06,1.87,1.87,1.87,1.87,000,1.87
2016-07-05,1.88,1.88,1.79,1.87,800,1.87
2016-07-01,1.83,1.83,1.83,1.83,1100,1.83
2016-06-30,1.87,1.87,1.81,1.81,1700,1.81
2016-06-29,1.88,1.89,1.88,1.89,300,1.89
2016-06-28,1.89,1.91,1.81,1.89,3300,1.89
2016-06-27,1.89,1.90,1.80,1.80,3800,1.80
2016-06-24,1.81,1.91,1.81,1.83,900,1.83
2016-06-23,1.86,1.91,1.85,1.91,9500,1.91
2016-06-22,1.89,1.91,1.85,1.91,1300,1.91
2016-06-21,1.89,1.89,1.89,1.89,000,1.89
2016-06-20,1.81,1.90,1.81,1.89,900,1.89
2016-06-17,1.81,1.90,1.81,1.90,1700,1.90
2016-06-16,1.91,1.91,1.86,1.90,700,1.90
2016-06-15,1.89,1.89,1.89,1.89,000,1.89
2016-06-14,1.89,1.89,1.81,1.89,1200,1.89
2016-06-13,1.89,1.89,1.89,1.89,200,1.89
2016-06-10,1.85,1.85,1.84,1.84,2600,1.84
2016-06-09,1.91,1.91,1.91,1.91,100,1.91
2016-06-08,1.88,1.90,1.88,1.90,300,1.90
2016-06-07,1.87,1.89,1.86,1.89,1700,1.89
2016-06-06,1.85,1.87,1.85,1.87,400,1.87
2016-06-03,1.85,1.89,1.85,1.87,3000,1.87
2016-06-02,1.89,1.89,1.85,1.85,700,1.85
2016-06-01,1.80,1.80,1.80,1.80,300,1.80
2016-05-31,1.83,1.87,1.83,1.86,1200,1.86
2016-05-27,1.79,1.91,1.79,1.91,200,1.91
2016-05-26,1.81,1.91,1.81,1.91,1400,1.91
2016-05-25,1.92,1.92,1.85,1.91,5700,1.91
2016-05-24,1.83,1.92,1.81,1.92,800,1.92
2016-05-23,1.89,1.92,1.89,1.92,10000,1.92
2016-05-20,1.91,1.91,1.89,1.89,400,1.89
2016-05-19,1.91,1.91,1.91,1.91,000,1.91
2016-05-18,1.83,1.91,1.81,1.91,5000,1.91
2016-05-17,1.85,1.91,1.85,1.91,1400,1.91
2016-05-16,1.89,1.91,1.89,1.91,800,1.91
2016-05-13,1.94,1.95,1.94,1.95,500,1.95
2016-05-12,1.93,1.93,1.92,1.92,500,1.92
2016-05-11,1.95,1.95,1.95,1.95,000,1.95
2016-05-10,1.89,1.97,1.88,1.95,6500,1.95
2016-05-09,1.95,1.97,1.88,1.97,2800,1.97
2016-05-06,1.96,1.98,1.95,1.97,2800,1.97
2016-05-05,1.98,1.98,1.95,1.98,5700,1.98
2016-05-04,1.95,2.00,1.80,1.98,8400,1.98
2016-05-03,1.99,2.00,1.99,2.00,800,2.00
2016-05-02,2.00,2.00,1.96,1.96,6500,1.96
2016-04-29,2.00,2.00,1.96,2.00,2200,2.00
2016-04-28,2.00,2.00,1.96,1.98,7400,1.98
2016-04-27,2.00,2.00,1.96,1.96,5200,1.96
2016-04-26,1.91,2.00,1.91,2.00,19600,2.00
2016-04-25,1.90,2.00,1.85,2.00,28600,2.00
2016-04-22,2.00,2.00,1.99,2.00,5400,2.00
2016-04-21,1.97,2.00,1.90,2.00,21000,2.00
2016-04-20,1.94,1.95,1.94,1.95,1000,1.95
2016-04-19,1.94,1.95,1.94,1.95,2400,1.95
2016-04-18,1.92,1.95,1.91,1.91,4600,1.91
2016-04-15,1.92,1.92,1.87,1.87,8400,1.87
2016-04-14,1.95,1.95,1.93,1.95,2100,1.95
2016-04-13,1.88,1.95,1.88,1.95,2700,1.95
2016-04-12,1.94,1.94,1.91,1.91,600,1.91
2016-04-11,1.94,1.94,1.91,1.94,1200,1.94
2016-04-08,1.91,1.94,1.91,1.94,13700,1.94
2016-04-07,1.85,1.92,1.85,1.91,3600,1.91
2016-04-06,1.93,1.95,1.90,1.90,5700,1.90
2016-04-05,1.92,1.94,1.91,1.94,4000,1.94
2016-04-04,1.95,1.95,1.95,1.95,400,1.95
2016-04-01,1.95,1.95,1.94,1.94,6900,1.94
2016-03-31,1.92,1.94,1.85,1.93,8300,1.93
2016-03-30,1.95,1.95,1.77,1.86,18300,1.86
2016-03-29,1.90,1.95,1.85,1.85,6500,1.85
2016-03-28,1.98,1.98,1.81,1.97,13600,1.97
2016-03-24,1.94,1.99,1.81,1.97,11600,1.97
2016-03-23,1.96,1.96,1.92,1.94,4200,1.94
2016-03-22,1.90,1.97,1.88,1.96,11800,1.96
2016-03-21,1.91,1.97,1.88,1.97,6100,1.97
2016-03-18,1.85,1.88,1.84,1.85,17700,1.85
2016-03-17,1.85,1.85,1.83,1.85,5600,1.85
