Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.19,0.19,0.19,0.19,000,0.19
2016-10-06,0.19,0.19,0.19,0.19,000,0.19
2016-10-05,0.19,0.19,0.189,0.19,2100,0.19
2016-10-04,0.221,0.221,0.154,0.162,1200,0.162
2016-10-03,0.21,0.21,0.21,0.21,000,0.21
2016-09-30,0.21,0.21,0.21,0.21,500,0.21
2016-09-29,0.20,0.20,0.20,0.20,1000,0.20
2016-09-28,0.20,0.20,0.20,0.20,100,0.20
2016-09-27,0.16,0.16,0.16,0.16,000,0.16
2016-09-26,0.16,0.193,0.16,0.16,3000,0.16
2016-09-23,0.13,0.13,0.13,0.13,000,0.13
2016-09-22,0.28,0.28,0.28,0.28,000,0.28
2016-09-21,0.29,0.29,0.203,0.28,1700,0.28
2016-09-20,0.20,0.20,0.20,0.20,000,0.20
2016-09-19,0.20,0.20,0.20,0.20,000,0.20
2016-09-16,0.20,0.20,0.20,0.20,000,0.20
2016-09-15,0.20,0.20,0.20,0.20,000,0.20
2016-09-14,0.20,0.20,0.20,0.20,000,0.20
2016-09-13,0.21,0.21,0.199,0.20,2100,0.20
2016-09-12,0.20,0.219,0.20,0.20,800,0.20
2016-09-09,0.17,0.18,0.12,0.18,3200,0.18
2016-09-08,0.14,0.14,0.14,0.14,000,0.14
2016-09-07,0.14,0.14,0.14,0.14,000,0.14
2016-09-06,0.14,0.14,0.14,0.14,100,0.14
2016-09-02,0.30,0.30,0.30,0.30,000,0.30
2016-09-01,0.30,0.30,0.30,0.30,000,0.30
2016-08-31,0.30,0.30,0.30,0.30,000,0.30
2016-08-30,0.16,0.30,0.16,0.30,200,0.30
2016-08-29,0.22,0.22,0.22,0.22,000,0.22
2016-08-26,0.23,0.23,0.169,0.22,3300,0.22
2016-08-25,0.34,0.34,0.34,0.34,000,0.34
2016-08-24,0.34,0.34,0.34,0.34,000,0.34
2016-08-23,0.28,0.428,0.28,0.34,2300,0.34
2016-08-22,0.23,0.23,0.23,0.23,000,0.23
2016-08-19,0.16,0.23,0.16,0.23,3800,0.23
2016-08-18,0.14,0.14,0.14,0.14,000,0.14
2016-08-17,0.14,0.14,0.14,0.14,000,0.14
2016-08-16,0.14,0.14,0.14,0.14,000,0.14
2016-08-15,0.14,0.14,0.14,0.14,000,0.14
2016-08-12,0.14,0.14,0.14,0.14,000,0.14
2016-08-11,0.14,0.14,0.14,0.14,000,0.14
2016-08-10,0.20,0.20,0.12,0.14,1200,0.14
2016-08-09,0.17,0.189,0.17,0.181,1700,0.181
2016-08-08,0.18,0.18,0.18,0.18,600,0.18
2016-08-05,0.12,0.12,0.12,0.12,000,0.12
2016-08-04,0.12,0.12,0.12,0.12,000,0.12
2016-08-03,0.12,0.12,0.12,0.12,200,0.12
2016-08-02,0.12,0.12,0.12,0.12,000,0.12
2016-08-01,0.12,0.12,0.12,0.12,000,0.12
2016-07-29,0.12,0.12,0.12,0.12,000,0.12
2016-07-28,0.12,0.12,0.12,0.12,000,0.12
2016-07-27,0.138,0.15,0.12,0.12,3300,0.12
2016-07-26,0.197,0.197,0.197,0.197,000,0.197
2016-07-25,0.197,0.197,0.197,0.197,000,0.197
2016-07-22,0.197,0.197,0.197,0.197,000,0.197
2016-07-21,0.11,0.227,0.11,0.197,2400,0.197
2016-07-20,0.215,0.226,0.20,0.20,800,0.20
2016-07-19,0.22,0.286,0.22,0.25,2400,0.25
2016-07-18,0.20,0.20,0.20,0.20,200,0.20
2016-07-15,0.25,0.25,0.25,0.25,000,0.25
2016-07-14,0.25,0.25,0.25,0.25,000,0.25
2016-07-13,0.25,0.25,0.25,0.25,000,0.25
2016-07-12,0.25,0.25,0.25,0.25,000,0.25
2016-07-11,0.20,0.25,0.20,0.25,900,0.25
2016-07-08,0.25,0.25,0.25,0.25,000,0.25
2016-07-07,0.19,0.25,0.19,0.25,600,0.25
2016-07-06,0.26,0.26,0.26,0.26,000,0.26
2016-07-05,0.26,0.26,0.26,0.26,000,0.26
2016-07-01,0.26,0.26,0.26,0.26,000,0.26
2016-06-30,0.26,0.26,0.26,0.26,000,0.26
2016-06-29,0.25,0.26,0.25,0.26,500,0.26
2016-06-28,0.25,0.25,0.25,0.25,000,0.25
2016-06-27,0.25,0.25,0.25,0.25,000,0.25
2016-06-24,0.25,0.25,0.25,0.25,000,0.25
2016-06-23,0.25,0.25,0.25,0.25,000,0.25
2016-06-22,0.25,0.25,0.25,0.25,1000,0.25
2016-06-21,0.25,0.25,0.25,0.25,1200,0.25
2016-06-20,0.30,0.30,0.25,0.263,2700,0.263
2016-06-17,0.25,0.25,0.25,0.25,000,0.25
2016-06-16,0.30,0.30,0.25,0.25,2000,0.25
2016-06-15,0.27,0.27,0.25,0.27,1400,0.27
2016-06-14,0.25,0.25,0.25,0.25,300,0.25
2016-06-13,0.30,0.30,0.30,0.30,300,0.30
2016-06-10,0.25,0.25,0.25,0.25,000,0.25
2016-06-09,0.25,0.25,0.25,0.25,000,0.25
2016-06-08,0.35,0.37,0.25,0.25,13200,0.25
2016-06-07,0.30,0.30,0.30,0.30,000,0.30
2016-06-06,0.20,0.30,0.20,0.30,1100,0.30
2016-06-03,0.298,0.31,0.298,0.31,1000,0.31
2016-06-02,0.31,0.31,0.31,0.31,000,0.31
2016-06-01,0.20,0.31,0.20,0.31,1300,0.31
2016-05-31,0.20,0.20,0.20,0.20,000,0.20
2016-05-27,0.20,0.20,0.20,0.20,000,0.20
2016-05-26,0.31,0.31,0.20,0.20,7800,0.20
2016-05-25,0.25,0.25,0.25,0.25,000,0.25
2016-05-24,0.25,0.25,0.25,0.25,000,0.25
2016-05-23,0.25,0.25,0.25,0.25,4000,0.25
