Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.43,3.44,3.25,3.35,70100,3.35
2016-10-06,3.37,3.47,3.37,3.37,51400,3.37
2016-10-05,3.30,3.52,3.30,3.45,99000,3.45
2016-10-04,3.22,3.36,3.13,3.16,46100,3.16
2016-10-03,3.26,3.32,3.16,3.30,24700,3.30
2016-09-30,3.21,3.31,3.16,3.24,38800,3.24
2016-09-29,3.25,3.37,3.21,3.21,16100,3.21
2016-09-28,3.31,3.35,3.25,3.27,17700,3.27
2016-09-27,3.22,3.43,3.22,3.30,40400,3.30
2016-09-26,3.53,3.53,3.25,3.29,102300,3.29
2016-09-23,3.60,3.62,3.50,3.51,18700,3.51
2016-09-22,3.56,3.63,3.50,3.63,20100,3.63
2016-09-21,3.74,3.74,3.56,3.57,34800,3.57
2016-09-20,3.68,3.76,3.56,3.76,89100,3.76
2016-09-19,3.74,3.99,3.44,3.75,94900,3.75
2016-09-16,3.36,4.00,3.22,3.57,213400,3.57
2016-09-15,3.80,3.88,3.72,3.72,9300,3.72
2016-09-14,3.78,3.97,3.67,3.90,4800,3.90
2016-09-13,3.81,3.86,3.60,3.70,26500,3.70
2016-09-12,3.88,4.00,3.61,3.93,33500,3.93
2016-09-09,3.80,3.95,3.80,3.80,21100,3.80
2016-09-08,3.96,4.05,3.71,4.01,28500,4.01
2016-09-07,3.80,4.09,3.80,4.09,19400,4.09
2016-09-06,3.86,3.97,3.59,3.75,15900,3.75
2016-09-02,3.71,3.92,3.64,3.80,16600,3.80
2016-09-01,3.73,3.73,3.63,3.64,1200,3.64
2016-08-31,3.40,3.71,3.27,3.66,19400,3.66
2016-08-30,3.50,3.61,3.34,3.60,23500,3.60
2016-08-29,3.50,3.50,3.37,3.37,1100,3.37
2016-08-26,3.79,3.79,3.35,3.50,16000,3.50
2016-08-25,3.65,3.65,3.40,3.40,28100,3.40
2016-08-24,3.60,3.75,3.55,3.56,24100,3.56
2016-08-23,3.60,3.80,3.59,3.74,10300,3.74
2016-08-22,3.59,3.74,3.53,3.60,16200,3.60
2016-08-19,3.66,3.73,3.55,3.66,8500,3.66
2016-08-18,3.57,3.72,3.56,3.72,21700,3.72
2016-08-17,3.75,3.76,3.50,3.62,37300,3.62
2016-08-16,3.70,3.88,3.57,3.66,25100,3.66
2016-08-15,3.57,3.70,3.50,3.53,43600,3.53
2016-08-12,3.55,3.67,3.52,3.52,11000,3.52
2016-08-11,3.62,4.09,3.51,3.54,87100,3.54
2016-08-10,3.85,4.08,3.57,3.57,34300,3.57
2016-08-09,3.99,4.09,3.71,3.74,40900,3.74
2016-08-08,3.87,4.08,3.87,3.94,8000,3.94
2016-08-05,3.78,3.87,3.77,3.85,4100,3.85
2016-08-04,3.75,3.75,3.60,3.62,10400,3.62
2016-08-03,3.63,3.86,3.63,3.71,10800,3.71
2016-08-02,3.65,3.77,3.58,3.75,18400,3.75
2016-08-01,3.70,3.78,3.53,3.58,13900,3.58
2016-07-29,3.62,3.76,3.55,3.70,62600,3.70
2016-07-28,3.86,3.86,3.60,3.73,8800,3.73
2016-07-27,3.67,3.82,3.67,3.82,3700,3.82
2016-07-26,3.79,3.90,3.56,3.60,16900,3.60
2016-07-25,3.96,3.98,3.83,3.84,20400,3.84
2016-07-22,4.07,4.13,4.07,4.09,2800,4.09
2016-07-21,4.06,4.44,3.91,4.20,36700,4.20
2016-07-20,4.25,4.25,4.08,4.09,29400,4.09
2016-07-19,4.29,4.35,4.10,4.18,14900,4.18
2016-07-18,4.25,4.44,4.25,4.25,13100,4.25
2016-07-15,4.27,4.41,4.27,4.27,1700,4.27
2016-07-14,4.15,4.24,4.00,4.24,7900,4.24
2016-07-13,4.05,4.17,4.04,4.13,4300,4.13
2016-07-12,4.04,4.24,3.98,4.04,7900,4.04
2016-07-11,4.20,4.24,4.06,4.10,8400,4.10
2016-07-08,4.13,4.31,4.00,4.02,15600,4.02
2016-07-07,4.17,4.38,4.03,4.09,11000,4.09
2016-07-06,4.71,4.79,4.03,4.18,34900,4.18
2016-07-05,3.93,4.30,3.93,4.26,7800,4.26
2016-07-01,4.00,4.09,3.90,3.96,25400,3.96
2016-06-30,3.98,4.24,3.95,3.95,27900,3.95
2016-06-29,3.96,4.25,3.94,4.14,40200,4.14
2016-06-28,3.84,4.34,3.84,4.33,14700,4.33
2016-06-27,4.15,4.30,3.80,3.85,18000,3.85
2016-06-24,4.07,4.33,4.00,4.18,13500,4.18
2016-06-23,4.32,4.40,4.07,4.38,13600,4.38
2016-06-22,4.32,4.32,4.04,4.27,10800,4.27
2016-06-21,4.41,4.41,4.06,4.32,14600,4.32
2016-06-20,4.49,4.50,4.30,4.43,25200,4.43
2016-06-17,4.44,4.60,4.30,4.46,54000,4.46
2016-06-16,4.50,5.40,4.36,4.75,806200,4.75
2016-06-15,3.54,4.17,3.46,4.15,33900,4.15
2016-06-14,3.31,3.54,3.24,3.54,21500,3.54
2016-06-13,3.39,3.50,3.15,3.41,29200,3.41
2016-06-10,3.36,3.48,3.14,3.21,7600,3.21
2016-06-09,3.34,3.60,3.14,3.51,6600,3.51
2016-06-08,3.21,3.77,3.20,3.45,33700,3.45
2016-06-07,3.22,3.77,3.20,3.69,116200,3.69
2016-06-06,3.19,3.25,3.12,3.23,4600,3.23
2016-06-03,3.24,3.24,3.23,3.23,500,3.23
2016-06-02,3.16,3.27,3.12,3.12,3900,3.12
2016-06-01,3.22,3.22,3.10,3.11,5400,3.11
2016-05-31,3.11,3.19,2.98,3.19,22800,3.19
2016-05-27,3.13,3.24,3.13,3.24,400,3.24
2016-05-26,3.15,3.22,3.09,3.22,5800,3.22
2016-05-25,3.24,3.30,3.13,3.25,11600,3.25
2016-05-24,3.35,3.40,3.10,3.25,13900,3.25
2016-05-23,3.24,3.25,3.20,3.24,4100,3.24
2016-05-20,3.20,3.27,3.20,3.27,4400,3.27
2016-05-19,3.27,3.30,3.20,3.30,3000,3.30
2016-05-18,3.32,3.36,3.27,3.30,7700,3.30
2016-05-17,3.29,3.32,3.28,3.32,1500,3.32
2016-05-16,3.36,3.43,3.34,3.42,4900,3.42
2016-05-13,3.58,3.60,3.26,3.43,23900,3.43
2016-05-12,3.36,3.59,3.30,3.58,9800,3.58
2016-05-11,3.27,3.57,3.24,3.36,10000,3.36
2016-05-10,3.52,3.74,3.28,3.28,8300,3.28
2016-05-09,3.60,3.63,3.56,3.56,7800,3.56
2016-05-06,3.63,3.63,3.62,3.62,1100,3.62
2016-05-05,3.72,3.79,3.68,3.69,3900,3.69
2016-05-04,3.65,3.97,3.64,3.97,9900,3.97
2016-05-03,3.70,3.77,3.60,3.71,3200,3.71
2016-05-02,3.70,3.86,3.70,3.86,2000,3.86
2016-04-29,3.95,3.99,3.75,3.94,6000,3.94
2016-04-28,3.91,4.15,3.78,3.80,21100,3.80
2016-04-27,3.95,3.95,3.68,3.80,17200,3.80
2016-04-26,4.05,4.05,3.69,3.80,33100,3.80
2016-04-25,4.11,4.12,3.89,4.06,7800,4.06
2016-04-22,4.13,4.13,3.76,4.05,16700,4.05
2016-04-21,3.26,4.42,3.26,4.17,126100,4.17
2016-04-20,3.30,3.33,3.21,3.33,3000,3.33
2016-04-19,3.24,3.35,3.15,3.34,6000,3.34
2016-04-18,3.34,3.35,3.11,3.13,2700,3.13
2016-04-15,3.13,3.38,3.06,3.17,20800,3.17
2016-04-14,3.12,3.30,2.96,3.22,8200,3.22
2016-04-13,2.73,3.25,2.73,3.05,13900,3.05
2016-04-12,2.80,2.93,2.80,2.90,5100,2.90
2016-04-11,2.92,3.00,2.83,2.84,10100,2.84
2016-04-08,2.78,2.90,2.76,2.90,6000,2.90
2016-04-07,2.77,2.81,2.76,2.76,4100,2.76
2016-04-06,2.80,2.81,2.71,2.80,13000,2.80
2016-04-05,2.74,2.81,2.74,2.81,4700,2.81
2016-04-04,2.79,2.79,2.70,2.74,6800,2.74
2016-04-01,2.57,2.82,2.57,2.61,8000,2.61
2016-03-31,2.55,2.70,2.46,2.54,12100,2.54
2016-03-30,2.64,2.76,2.51,2.53,8100,2.53
2016-03-29,2.78,2.78,2.42,2.63,15100,2.63
2016-03-28,2.75,2.97,2.64,2.64,10300,2.64
2016-03-24,2.52,3.02,2.52,2.71,12300,2.71
2016-03-23,2.92,3.18,2.89,2.95,25700,2.95
2016-03-22,2.79,2.96,2.79,2.95,32000,2.95
2016-03-21,2.67,2.89,2.58,2.75,65500,2.75
2016-03-18,2.45,2.69,2.01,2.60,9500,2.60
2016-03-17,2.61,2.75,2.39,2.69,31000,2.69
2016-03-16,2.33,2.50,2.15,2.50,45800,2.50
2016-03-15,2.21,2.46,2.21,2.36,13300,2.36
2016-03-14,2.16,2.21,2.10,2.20,10300,2.20
2016-03-11,2.22,2.31,2.09,2.16,20000,2.16
2016-03-10,2.11,2.27,2.10,2.10,4900,2.10
2016-03-09,2.25,2.25,2.04,2.12,25400,2.12
2016-03-08,2.48,2.48,2.10,2.10,17000,2.10
2016-03-07,2.39,2.55,2.22,2.24,56700,2.24
2016-03-04,2.40,2.46,2.26,2.27,9200,2.27
2016-03-03,2.10,2.79,2.10,2.25,34700,2.25
2016-03-02,2.25,2.30,1.91,2.19,43200,2.19
2016-03-01,2.50,2.70,2.13,2.13,77400,2.13
2016-02-29,2.30,2.47,2.30,2.46,6500,2.46
2016-02-26,2.55,2.55,2.27,2.30,15600,2.30
2016-02-25,2.33,2.62,2.33,2.50,27900,2.50
2016-02-24,2.26,2.46,2.26,2.34,10400,2.34
2016-02-23,2.45,2.45,2.33,2.42,400,2.42
2016-02-22,2.44,2.48,2.29,2.43,18500,2.43
2016-02-19,2.42,2.43,2.31,2.43,3200,2.43
2016-02-18,2.41,2.41,2.33,2.40,1800,2.40
2016-02-17,2.31,2.52,2.31,2.36,12500,2.36
2016-02-16,2.52,2.52,2.22,2.24,26400,2.24
2016-02-12,2.45,2.57,2.45,2.54,9000,2.54
2016-02-11,2.63,2.65,2.43,2.55,22900,2.55
2016-02-10,2.49,2.83,2.48,2.63,24500,2.63
2016-02-09,2.76,2.76,2.50,2.50,5900,2.50
2016-02-08,2.84,2.85,2.43,2.44,17900,2.44
2016-02-05,2.84,2.84,2.45,2.77,17100,2.77
2016-02-04,2.66,2.80,2.49,2.71,9800,2.71
2016-02-03,2.46,2.82,2.39,2.46,15400,2.46
2016-02-02,2.74,2.83,2.50,2.59,6900,2.59
2016-02-01,2.65,2.89,2.60,2.67,7600,2.67
2016-01-29,2.50,2.89,2.38,2.67,34900,2.67
2016-01-28,2.70,2.70,2.16,2.52,36000,2.52
2016-01-27,2.15,2.45,2.15,2.33,28900,2.33
2016-01-26,2.09,2.26,2.05,2.26,7400,2.26
2016-01-25,2.30,2.30,2.22,2.28,4500,2.28
2016-01-22,2.13,2.36,2.05,2.22,25100,2.22
2016-01-21,2.07,2.12,2.00,2.12,8000,2.12
2016-01-20,2.00,2.14,1.88,2.14,47600,2.14
2016-01-19,2.09,2.23,2.01,2.03,10900,2.03
2016-01-15,2.00,2.12,2.00,2.10,6800,2.10
2016-01-14,2.10,2.13,1.98,2.01,18400,2.01
2016-01-13,2.19,2.36,2.05,2.05,26200,2.05
2016-01-12,2.25,2.29,2.15,2.16,7800,2.16
2016-01-11,2.31,2.37,2.22,2.22,12300,2.22
2016-01-08,2.60,2.61,2.40,2.42,20400,2.42
2016-01-07,2.65,2.65,2.32,2.40,31200,2.40
2016-01-06,2.79,3.05,2.66,2.66,12400,2.66
2016-01-05,2.94,2.98,2.80,2.97,12700,2.97
2016-01-04,3.04,3.04,2.85,2.94,3200,2.94
2015-12-31,3.15,3.23,2.87,3.07,20700,3.07
2015-12-30,2.85,3.35,2.59,3.10,88700,3.10
2015-12-29,3.05,3.05,2.47,2.65,147400,2.65
2015-12-28,2.93,3.02,2.78,2.83,30500,2.83
2015-12-24,3.14,3.28,2.96,2.97,27000,2.97
2015-12-23,3.26,3.48,3.09,3.09,45000,3.09
2015-12-22,3.85,3.85,3.22,3.28,47200,3.28
2015-12-21,3.54,3.82,3.54,3.75,12900,3.75
2015-12-18,3.40,3.70,3.30,3.58,32200,3.58
2015-12-17,3.44,3.72,3.44,3.46,16400,3.46
2015-12-16,3.68,3.69,3.50,3.55,7400,3.55
2015-12-15,3.74,4.20,3.49,3.61,23600,3.61
2015-12-14,3.64,4.00,3.64,3.71,17000,3.71
2015-12-11,3.95,4.04,3.62,3.64,40000,3.64
2015-12-10,3.98,4.16,3.85,4.03,11900,4.03
2015-12-09,3.95,3.98,3.72,3.87,10100,3.87
2015-12-08,3.71,3.72,3.68,3.69,1800,3.69
2015-12-07,3.93,3.93,3.70,3.71,12500,3.71
2015-12-04,3.80,4.05,3.72,3.95,13300,3.95
2015-12-03,4.15,4.19,3.71,3.80,32800,3.80
2015-12-02,3.90,4.29,3.67,3.98,33500,3.98
2015-12-01,4.17,4.17,3.64,3.90,61000,3.90
2015-11-30,4.42,4.68,4.01,4.22,41100,4.22
2015-11-27,4.47,4.47,4.34,4.34,1400,4.34
2015-11-25,4.21,4.64,4.09,4.60,43200,4.60
2015-11-24,4.13,4.30,4.01,4.28,26000,4.28
2015-11-23,3.89,4.23,3.89,4.14,29500,4.14
2015-11-20,3.90,3.90,3.53,3.90,50700,3.90
2015-11-19,3.92,3.95,3.77,3.88,12300,3.88
2015-11-18,3.95,3.99,3.95,3.99,4900,3.99
2015-11-17,4.02,4.10,3.78,3.86,50200,3.86
2015-11-16,3.98,4.05,3.98,4.02,5500,4.02
2015-11-13,4.09,4.16,3.97,3.97,7100,3.97
2015-11-12,4.21,4.21,3.97,3.97,23200,3.97
2015-11-11,4.23,4.28,4.15,4.24,3600,4.24
2015-11-10,4.25,4.30,4.03,4.18,28300,4.18
2015-11-09,4.30,4.37,4.23,4.30,29100,4.30
2015-11-06,4.21,4.21,4.10,4.20,16700,4.20
2015-11-05,3.99,4.14,3.97,4.12,10900,4.12
2015-11-04,4.16,4.16,3.97,4.00,16100,4.00
2015-11-03,4.20,4.20,4.07,4.07,9700,4.07
2015-11-02,4.05,4.18,3.96,4.07,27200,4.07
2015-10-30,4.21,4.30,3.95,3.96,53000,3.96
2015-10-29,4.13,4.30,4.02,4.15,44800,4.15
2015-10-28,4.12,4.30,4.04,4.16,13700,4.16
2015-10-27,4.05,4.20,4.00,4.02,49200,4.02
2015-10-26,3.99,4.51,3.96,4.20,14000,4.20
2015-10-23,4.20,4.20,3.94,4.08,14200,4.08
2015-10-22,4.37,4.52,4.07,4.18,24300,4.18
2015-10-21,4.33,4.49,4.33,4.37,4200,4.37
2015-10-20,4.33,4.55,4.33,4.54,3100,4.54
2015-10-19,4.61,4.66,4.46,4.48,12000,4.48
2015-10-16,4.45,4.65,4.45,4.57,7900,4.57
2015-10-15,4.55,4.64,4.46,4.51,22300,4.51
2015-10-14,4.57,4.57,4.46,4.46,2600,4.46
2015-10-13,4.48,4.60,4.29,4.55,6800,4.55
2015-10-12,4.53,4.68,4.29,4.37,24200,4.37
2015-10-09,4.49,4.75,4.35,4.46,12700,4.46
2015-10-08,4.22,4.50,4.22,4.50,3300,4.50
