Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,14.80,14.97,14.72,14.87,5700,14.87
2016-10-06,14.76,15.11,14.76,14.86,14800,14.86
2016-10-05,14.87,15.21,14.84,14.94,9300,14.94
2016-10-04,14.69,14.99,14.65,14.86,11000,14.86
2016-10-03,14.80,14.95,14.51,14.72,11700,14.72
2016-09-30,14.61,15.07,14.61,14.77,121100,14.77
2016-09-29,14.68,14.80,14.49,14.55,43100,14.55
2016-09-28,14.64,14.80,14.27,14.75,73800,14.75
2016-09-27,14.78,14.78,14.13,14.52,27800,14.52
2016-09-26,15.08,15.24,14.80,14.80,13100,14.80
2016-09-23,15.15,15.28,15.15,15.21,5000,15.21
2016-09-22,15.19,15.26,15.05,15.23,12500,15.23
2016-09-21,15.07,15.15,15.01,15.13,9300,15.13
2016-09-20,14.94,15.07,14.84,14.96,4900,14.96
2016-09-19,14.93,15.05,14.64,14.85,13700,14.85
2016-09-16,15.14,15.24,14.72,14.79,73100,14.79
2016-09-15,15.06,15.28,15.00,15.09,11900,15.09
2016-09-14,14.94,15.29,14.80,15.16,16800,15.16
2016-09-13,14.72,14.98,14.51,14.88,18900,14.88
2016-09-12,14.93,15.07,14.56,14.87,22400,14.87
2016-09-09,15.21,15.22,14.77,14.88,41200,14.88
2016-09-08,14.77,15.20,14.76,15.19,16200,15.19
2016-09-07,14.52,14.90,14.48,14.70,13900,14.70
2016-09-06,14.17,14.55,14.17,14.54,10700,14.54
2016-09-02,14.05,14.20,14.01,14.20,12800,14.20
2016-09-01,13.88,14.20,13.88,13.97,15200,13.97
2016-08-31,14.12,14.12,13.96,13.99,21200,13.95
2016-08-30,14.19,14.23,13.90,13.97,30700,13.930058
2016-08-29,14.08,14.13,13.88,13.95,25800,13.910114
2016-08-26,14.09,14.09,13.81,13.91,6000,13.870229
2016-08-25,14.09,14.09,13.87,13.88,14600,13.840315
2016-08-24,13.90,14.00,13.84,13.88,26300,13.840315
2016-08-23,13.96,13.96,13.83,13.84,6600,13.800429
2016-08-22,13.82,13.98,13.73,13.89,11500,13.850286
2016-08-19,14.00,14.00,13.87,13.90,15200,13.860257
2016-08-18,14.10,14.10,13.95,14.00,14500,13.959972
2016-08-17,14.00,14.19,13.88,14.01,6400,13.969943
