Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,20.74,21.120001,20.469999,20.48,10300,20.48
2016-10-06,20.51,20.82,20.299999,20.700001,12200,20.700001
2016-10-05,20.43,20.74,20.379999,20.57,6600,20.57
2016-10-04,20.379999,20.74,20.26,20.35,8200,20.35
2016-10-03,21.02,21.02,20.17,20.299999,14500,20.299999
2016-09-30,20.60,21.290001,20.60,21.16,14900,21.16
2016-09-29,20.860001,21.27,20.67,20.77,4800,20.77
2016-09-28,20.75,20.93,20.200001,20.82,26700,20.82
2016-09-27,20.389999,20.91,20.389999,20.75,17900,20.75
2016-09-26,20.23,20.790001,20.23,20.42,8700,20.42
2016-09-23,20.719999,21.049999,20.629999,20.870001,7900,20.870001
2016-09-22,20.51,21.01,20.51,20.969999,16300,20.969999
2016-09-21,20.48,20.780001,20.32,20.780001,11100,20.780001
2016-09-20,20.620001,20.77,20.389999,20.530001,11000,20.530001
2016-09-19,20.360001,20.74,20.360001,20.559999,8400,20.559999
2016-09-16,20.58,20.83,20.18,20.42,60200,20.42
2016-09-15,19.799999,20.950001,19.799999,20.51,26400,20.51
2016-09-14,19.709999,19.92,19.60,19.68,5500,19.68
2016-09-13,20.00,20.040001,19.51,19.73,14400,19.73
2016-09-12,20.309999,20.309999,19.93,20.139999,25800,20.139999
2016-09-09,20.700001,21.700001,20.27,20.34,18300,20.34
2016-09-08,20.879999,21.190001,20.799999,20.91,17200,20.91
2016-09-07,20.40,21.09,20.40,20.940001,23400,20.940001
2016-09-06,20.440001,20.73,20.27,20.639999,19300,20.639999
2016-09-02,20.08,20.549999,20.01,20.549999,8100,20.549999
2016-09-01,20.139999,20.17,19.549999,20.15,16700,20.15
2016-08-31,20.200001,20.24,19.73,20.15,14600,20.15
2016-08-30,19.93,20.049999,19.790001,19.91,8600,19.91
2016-08-29,19.85,20.309999,19.82,20.01,13400,19.845
2016-08-26,20.00,20.00,19.700001,19.950001,5100,19.785495
2016-08-25,19.610001,20.00,19.610001,19.99,10900,19.825165
2016-08-24,19.73,19.90,19.549999,19.700001,12000,19.537557
2016-08-23,19.879999,19.99,19.76,19.809999,8400,19.646648
2016-08-22,19.66,19.809999,19.559999,19.690001,12000,19.527639
2016-08-19,19.50,19.75,19.48,19.66,23000,19.497886
2016-08-18,19.530001,19.75,19.01,19.60,16400,19.438381
2016-08-17,19.16,19.790001,19.120001,19.43,11300,19.269783
2016-08-16,19.00,19.32,18.870001,19.18,16900,19.021844
2016-08-15,18.93,19.00,18.85,19.00,9800,18.843328
2016-08-12,18.940001,19.00,18.85,18.90,4700,18.744152
