Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,10.30,10.45,10.04,10.10,721100,10.10
2016-10-06,11.36,11.48,11.22,11.29,15500,11.29
2016-10-05,11.09,11.50,11.09,11.46,84400,11.46
2016-10-04,11.07,11.19,10.68,11.09,70200,11.09
2016-10-03,11.48,11.54,11.00,11.08,37400,11.08
2016-09-30,11.30,11.58,11.185,11.45,22700,11.45
2016-09-29,11.60,11.67,11.15,11.15,57200,11.15
2016-09-28,11.94,12.01,11.61,11.66,33200,11.66
2016-09-27,11.68,12.21,11.544,12.04,31000,12.04
2016-09-26,11.93,12.45,11.62,11.67,45900,11.67
2016-09-23,12.19,12.64,11.68,12.15,56800,12.15
2016-09-22,11.84,12.28,11.46,12.27,40600,12.27
2016-09-21,12.48,12.90,11.45,11.84,105000,11.84
2016-09-20,12.27,12.65,12.27,12.38,52400,12.38
2016-09-19,12.35,12.95,11.93,12.23,72500,12.23
2016-09-16,12.29,12.81,12.19,12.20,76800,12.20
2016-09-15,11.70,12.48,11.70,12.17,64200,12.17
2016-09-14,10.93,11.93,10.92,11.52,416800,11.52
2016-09-13,11.00,11.23,10.96,11.09,18700,11.09
2016-09-12,10.81,11.17,10.794,11.00,12600,11.00
2016-09-09,11.25,11.25,10.80,10.90,16500,10.90
2016-09-08,11.29,11.41,10.971,11.25,15700,11.25
2016-09-07,11.39,11.66,11.095,11.19,38700,11.19
2016-09-06,11.13,11.40,10.96,11.31,12500,11.31
2016-09-02,11.20,11.20,10.81,10.95,25300,10.95
2016-09-01,11.61,11.619,10.90,11.11,18500,11.11
2016-08-31,11.54,12.13,11.49,11.57,29600,11.57
2016-08-30,11.30,11.58,11.282,11.49,13700,11.49
2016-08-29,11.00,11.39,10.91,11.33,13900,11.33
2016-08-26,11.25,11.27,10.88,11.03,21200,11.03
2016-08-25,11.68,11.68,10.89,10.97,18300,10.97
2016-08-24,11.53,11.77,11.24,11.29,22800,11.29
2016-08-23,11.81,11.81,11.52,11.62,13400,11.62
2016-08-22,11.76,11.89,11.577,11.72,13000,11.72
2016-08-19,11.55,12.10,11.35,11.91,31600,11.91
2016-08-18,11.70,11.79,11.44,11.55,8900,11.55
2016-08-17,11.84,11.84,11.281,11.39,12500,11.39
2016-08-16,11.99,12.00,11.59,11.61,20400,11.61
2016-08-15,11.91,12.11,11.72,11.98,19800,11.98
2016-08-12,11.76,12.04,11.65,11.87,31200,11.87
2016-08-11,11.51,12.16,11.50,12.13,43700,12.13
2016-08-10,12.10,12.14,11.46,11.57,38300,11.57
2016-08-09,12.05,12.33,11.74,12.15,61100,12.15
2016-08-08,12.05,12.05,11.78,11.92,42900,11.92
2016-08-05,12.00,12.10,11.95,12.00,25400,12.00
2016-08-04,11.85,12.135,11.80,11.95,37000,11.95
2016-08-03,11.80,12.02,11.75,11.97,36700,11.97
2016-08-02,11.95,12.14,11.67,11.87,24100,11.87
2016-08-01,11.86,12.299,11.80,11.95,45200,11.95
2016-07-29,11.82,12.04,11.75,11.89,51700,11.89
2016-07-28,11.89,11.99,11.83,11.89,28400,11.89
2016-07-27,11.99,11.99,11.73,11.85,27900,11.85
2016-07-26,11.95,12.068,11.56,11.89,33500,11.89
2016-07-25,11.77,12.01,11.58,11.96,28400,11.96
2016-07-22,11.61,11.97,11.41,11.81,37200,11.81
2016-07-21,11.50,11.85,11.18,11.61,37600,11.61
2016-07-20,11.49,11.65,11.07,11.52,27300,11.52
2016-07-19,11.34,11.49,11.00,11.33,39200,11.33
2016-07-18,11.32,11.45,10.95,11.38,37100,11.38
2016-07-15,10.90,11.35,10.77,11.25,21500,11.25
2016-07-14,11.035,11.22,10.57,10.76,41900,10.76
2016-07-13,11.23,11.40,10.69,10.84,31100,10.84
2016-07-12,11.40,11.60,11.03,11.19,62600,11.19
2016-07-11,11.47,11.59,10.95,11.21,57700,11.21
2016-07-08,11.16,11.51,10.82,11.27,53500,11.27
2016-07-07,11.11,11.21,10.83,11.05,45900,11.05
2016-07-06,10.45,11.51,10.45,11.11,39400,11.11
2016-07-05,10.52,11.65,10.271,10.81,28700,10.81
2016-07-01,10.27,10.53,10.23,10.44,24500,10.44
2016-06-30,10.47,10.50,9.55,10.31,70100,10.31
