Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.00,3.00,2.85,2.94,93200,2.94
2016-10-06,3.00,3.04,2.95,3.00,47300,3.00
2016-10-05,3.02,3.02,2.91,2.98,98900,2.98
2016-10-04,2.99,3.06,2.97,3.03,102600,3.03
2016-10-03,2.99,3.03,2.92,3.02,42600,3.02
2016-09-30,3.02,3.10,2.91,2.98,106300,2.98
2016-09-29,2.90,2.97,2.85,2.94,65600,2.94
2016-09-28,2.91,2.93,2.88,2.91,74200,2.91
2016-09-27,2.89,2.94,2.85,2.91,97300,2.91
2016-09-26,3.02,3.03,2.87,2.88,108500,2.88
2016-09-23,3.04,3.04,2.96,3.00,113900,3.00
2016-09-22,3.14,3.14,2.91,2.98,271800,2.98
2016-09-21,3.00,3.14,2.94,3.09,145000,3.09
2016-09-20,3.26,3.26,2.88,2.98,442200,2.98
2016-09-19,3.41,3.43,3.18,3.21,207400,3.21
2016-09-16,3.45,3.46,3.31,3.41,195800,3.41
2016-09-15,3.29,3.58,3.29,3.42,148000,3.42
2016-09-14,3.29,3.41,3.26,3.33,84400,3.33
2016-09-13,3.52,3.54,3.29,3.29,148800,3.29
2016-09-12,3.16,3.50,3.16,3.50,96100,3.50
2016-09-09,3.16,3.22,3.12,3.20,103300,3.20
2016-09-08,3.32,3.32,3.16,3.17,142100,3.17
2016-09-07,3.42,3.44,3.30,3.32,122200,3.32
2016-09-06,3.43,3.54,3.30,3.35,107400,3.35
2016-09-02,3.45,3.45,3.35,3.38,76300,3.38
2016-09-01,3.19,3.46,3.17,3.44,230300,3.44
2016-08-31,3.60,3.72,3.16,3.29,373200,3.29
2016-08-30,3.81,3.81,3.60,3.61,124800,3.61
2016-08-29,3.86,3.88,3.73,3.75,72800,3.75
2016-08-26,3.81,3.85,3.78,3.79,45900,3.79
2016-08-25,3.77,3.80,3.75,3.77,41700,3.77
2016-08-24,3.87,3.90,3.72,3.77,55600,3.77
2016-08-23,3.80,3.95,3.79,3.82,70600,3.82
2016-08-22,3.78,3.80,3.69,3.79,80800,3.79
2016-08-19,3.77,3.84,3.73,3.77,53900,3.77
2016-08-18,3.77,3.77,3.67,3.76,73600,3.76
2016-08-17,3.87,3.98,3.63,3.68,182200,3.68
2016-08-16,4.00,4.00,3.81,3.84,131400,3.84
2016-08-15,4.06,4.10,3.98,4.00,160100,4.00
2016-08-12,4.40,4.55,3.98,4.01,538500,4.01
2016-08-11,4.24,4.41,4.24,4.39,222500,4.39
2016-08-10,4.15,4.38,4.15,4.23,392900,4.23
2016-08-09,4.05,4.24,4.05,4.13,211700,4.13
2016-08-08,4.07,4.09,3.96,4.08,90900,4.08
2016-08-05,4.01,4.11,3.96,4.04,199000,4.04
2016-08-04,4.03,4.05,3.93,3.98,64000,3.98
2016-08-03,3.86,4.00,3.81,4.00,91500,4.00
2016-08-02,3.92,3.92,3.81,3.83,74200,3.83
2016-08-01,3.97,4.00,3.88,3.88,76700,3.88
2016-07-29,3.99,4.00,3.96,4.00,53600,4.00
2016-07-28,3.88,4.00,3.88,3.96,76900,3.96
2016-07-27,3.95,4.04,3.95,3.97,64200,3.97
2016-07-26,3.95,4.08,3.92,4.00,145700,4.00
2016-07-25,3.99,4.04,3.91,4.03,97300,4.03
2016-07-22,4.10,4.10,3.90,4.04,116800,4.04
2016-07-21,3.85,4.10,3.79,4.08,142000,4.08
2016-07-20,3.76,3.87,3.76,3.82,69600,3.82
2016-07-19,3.93,3.93,3.75,3.82,179100,3.82
2016-07-18,3.89,3.89,3.76,3.88,231100,3.88
2016-07-15,3.99,3.99,3.79,3.82,123500,3.82
2016-07-14,4.00,4.09,3.89,3.93,109200,3.93
2016-07-13,4.02,4.07,3.98,4.00,161100,4.00
2016-07-12,3.87,4.06,3.87,4.00,182000,4.00
2016-07-11,4.04,4.04,3.85,3.91,200400,3.91
2016-07-08,3.82,4.12,3.82,3.94,189500,3.94
2016-07-07,4.00,4.05,3.72,3.81,264900,3.81
2016-07-06,3.94,4.06,3.93,3.99,168200,3.99
2016-07-05,4.10,4.10,3.93,3.98,326200,3.98
2016-07-01,4.20,4.26,3.96,4.11,363200,4.11
2016-06-30,4.05,4.15,3.93,4.14,867300,4.14
2016-06-29,3.39,3.99,3.31,3.89,1699000,3.89
2016-06-28,3.23,3.30,3.17,3.29,820300,3.29
2016-06-27,2.94,3.25,2.89,3.14,784200,3.14
2016-06-24,3.08,3.08,2.83,2.89,3087400,2.89
