Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,26.959999,26.959999,26.35,26.58,103400,26.58
2016-10-06,26.49,27.059999,26.34,26.85,124100,26.85
2016-10-05,26.01,26.60,25.77,26.51,124500,26.51
2016-10-04,25.559999,26.18,25.440001,25.83,209600,25.83
2016-10-03,25.950001,26.01,25.299999,25.65,141200,25.65
2016-09-30,25.43,26.10,25.389999,26.00,165600,26.00
2016-09-29,25.209999,25.549999,25.01,25.43,133600,25.43
2016-09-28,25.209999,25.50,25.030001,25.35,75900,25.35
2016-09-27,25.530001,25.629999,25.07,25.26,144000,25.26
2016-09-26,25.24,25.709999,25.08,25.530001,152400,25.530001
2016-09-23,25.040001,25.59,24.610001,25.370001,146200,25.370001
2016-09-22,24.139999,25.10,24.059999,25.07,134200,25.07
2016-09-21,24.09,24.27,23.799999,24.07,186900,24.07
2016-09-20,24.65,24.68,23.77,24.01,260000,24.01
2016-09-19,24.57,24.90,24.530001,24.67,126800,24.67
2016-09-16,24.700001,24.75,24.25,24.42,261800,24.42
2016-09-15,24.33,24.860001,24.280001,24.77,83600,24.77
2016-09-14,23.99,24.48,23.77,24.34,144900,24.34
2016-09-13,23.52,24.07,23.24,23.879999,162500,23.879999
2016-09-12,24.129999,24.620001,23.799999,23.92,462900,23.92
2016-09-09,25.41,25.49,24.35,24.379999,264700,24.379999
2016-09-08,25.90,25.90,25.280001,25.620001,219100,25.620001
2016-09-07,25.84,25.959999,25.540001,25.90,122900,25.90
2016-09-06,25.67,25.91,25.459999,25.84,149800,25.84
2016-09-02,25.950001,26.049999,25.49,25.85,107900,25.85
2016-09-01,25.799999,25.809999,25.290001,25.68,113300,25.68
2016-08-31,25.559999,25.870001,25.450001,25.68,123800,25.68
2016-08-30,25.889999,25.889999,25.280001,25.719999,166200,25.719999
2016-08-29,26.16,26.280001,25.620001,25.860001,203000,25.860001
2016-08-26,26.15,26.59,25.82,26.16,175500,26.16
2016-08-25,25.58,26.23,25.50,26.129999,187300,26.129999
2016-08-24,25.90,26.10,25.469999,25.74,161000,25.74
2016-08-23,26.00,26.16,25.68,26.01,132700,26.01
2016-08-22,26.01,26.209999,25.629999,25.870001,137200,25.870001
2016-08-19,25.77,26.16,25.559999,25.99,189200,25.99
2016-08-18,25.799999,26.139999,25.59,25.889999,153300,25.889999
2016-08-17,26.08,26.17,25.299999,25.85,264900,25.85
2016-08-16,26.799999,26.969999,26.120001,26.16,252700,26.16
2016-08-15,26.85,27.33,26.83,26.889999,194800,26.889999
2016-08-12,27.74,27.889999,26.67,26.799999,216200,26.799999
2016-08-11,27.52,27.889999,27.40,27.620001,357800,27.620001
2016-08-10,27.60,27.76,27.129999,27.51,223400,27.51
2016-08-09,26.90,27.799999,26.66,27.549999,379100,27.549999
2016-08-08,26.469999,27.08,25.540001,26.709999,401200,26.709999
2016-08-05,26.75,26.879999,26.139999,26.549999,301000,26.549999
2016-08-04,26.09,26.85,25.51,26.709999,288400,26.709999
2016-08-03,24.24,26.67,23.950001,26.09,535000,26.09
2016-08-02,24.209999,24.469999,23.27,23.92,334800,23.92
2016-08-01,24.10,24.48,23.889999,24.360001,183400,24.360001
2016-07-29,24.200001,24.66,23.700001,24.26,149500,24.26
2016-07-28,24.43,24.51,23.809999,24.190001,198800,24.190001
2016-07-27,25.299999,25.299999,24.309999,24.360001,169200,24.360001
2016-07-26,24.85,25.120001,24.620001,25.10,137300,25.10
2016-07-25,24.73,24.85,24.389999,24.73,123800,24.73
2016-07-22,24.74,25.120001,24.52,24.700001,130100,24.700001
2016-07-21,24.59,24.870001,24.42,24.59,174600,24.59
2016-07-20,24.90,25.23,24.620001,24.76,163900,24.76
2016-07-19,24.530001,25.17,24.34,24.870001,314300,24.870001
2016-07-18,24.42,24.790001,23.959999,24.690001,170300,24.690001
2016-07-15,24.00,24.27,23.809999,24.23,182800,24.23
2016-07-14,24.610001,24.610001,23.809999,23.969999,282900,23.969999
2016-07-13,24.110001,24.35,23.98,24.26,161600,24.26
2016-07-12,23.690001,24.280001,23.65,24.059999,437500,24.059999
2016-07-11,23.08,23.799999,23.08,23.690001,230900,23.690001
2016-07-08,23.18,23.43,22.52,23.40,192700,23.40
2016-07-07,23.50,23.559999,22.889999,23.129999,154800,23.129999
2016-07-06,23.120001,23.629999,22.66,23.49,213000,23.49
2016-07-05,23.209999,23.790001,23.00,23.110001,247000,23.110001
2016-07-01,22.93,23.23,22.450001,23.10,192100,23.10
2016-06-30,22.23,22.870001,21.90,22.83,253100,22.83
2016-06-29,21.26,22.040001,21.26,22.01,238800,22.01
2016-06-28,21.50,21.629999,21.120001,21.209999,172400,21.209999
2016-06-27,21.459999,21.65,21.139999,21.32,220100,21.32
2016-06-24,21.190001,22.059999,20.799999,21.540001,1281600,21.540001
2016-06-23,22.50,22.639999,21.93,22.299999,225000,22.299999
2016-06-22,22.639999,22.950001,22.200001,22.34,178000,22.34
2016-06-21,22.10,22.559999,21.549999,22.540001,233300,22.540001
2016-06-20,22.52,22.85,22.049999,22.08,294100,22.08
2016-06-17,21.790001,22.209999,21.620001,22.09,387700,22.09
2016-06-16,19.860001,22.110001,19.66,21.959999,877400,21.959999
2016-06-15,19.459999,19.57,19.01,19.290001,75200,19.290001
2016-06-14,19.17,19.459999,18.629999,19.370001,181700,19.370001
2016-06-13,19.950001,20.08,19.10,19.24,147700,19.24
2016-06-10,20.00,20.01,19.58,19.870001,127600,19.870001
2016-06-09,19.68,20.209999,19.200001,20.10,245200,20.10
2016-06-08,19.50,19.84,19.280001,19.700001,130500,19.700001
2016-06-07,19.07,19.629999,19.049999,19.49,113000,19.49
2016-06-06,19.18,19.32,19.040001,19.120001,151300,19.120001
2016-06-03,19.540001,19.719999,19.09,19.190001,100800,19.190001
2016-06-02,19.10,20.049999,18.889999,19.540001,237900,19.540001
2016-06-01,18.66,19.15,18.299999,19.049999,164100,19.049999
2016-05-31,18.58,18.90,18.50,18.68,124200,18.68
2016-05-27,18.719999,18.799999,18.41,18.700001,77200,18.700001
2016-05-26,18.799999,18.92,18.41,18.610001,76900,18.610001
2016-05-25,18.719999,18.860001,18.459999,18.66,182800,18.66
2016-05-24,18.530001,19.17,18.450001,18.799999,169200,18.799999
2016-05-23,18.030001,18.440001,17.719999,18.370001,124800,18.370001
2016-05-20,18.09,18.209999,17.74,18.16,105300,18.16
2016-05-19,17.85,18.190001,17.60,17.93,136900,17.93
2016-05-18,17.57,18.10,17.200001,17.889999,101700,17.889999
2016-05-17,18.58,18.68,17.51,17.709999,190600,17.709999
2016-05-16,18.60,18.870001,18.23,18.68,225300,18.68
2016-05-13,18.540001,18.73,18.309999,18.610001,73800,18.610001
2016-05-12,19.09,19.360001,18.26,18.549999,101600,18.549999
2016-05-11,18.16,18.959999,18.16,18.92,176600,18.92
2016-05-10,18.84,19.01,18.16,18.40,213700,18.40
2016-05-09,19.459999,19.639999,18.809999,18.809999,396800,18.809999
2016-05-06,18.52,19.719999,18.280001,18.950001,531200,18.950001
2016-05-05,17.51,18.60,16.91,18.440001,509100,18.440001
2016-05-04,16.40,16.84,16.299999,16.799999,154300,16.799999
2016-05-03,16.969999,17.139999,16.40,16.59,200300,16.59
2016-05-02,16.27,17.15,16.26,17.02,191600,17.02
2016-04-29,16.01,16.32,15.98,16.27,80700,16.27
2016-04-28,16.120001,16.469999,15.97,16.01,98400,16.01
2016-04-27,16.389999,16.559999,15.89,16.120001,151300,16.120001
2016-04-26,15.40,16.48,15.35,16.469999,109600,16.469999
2016-04-25,15.29,15.52,15.12,15.34,103100,15.34
2016-04-22,15.49,15.58,15.08,15.23,57800,15.23
2016-04-21,15.93,16.07,15.59,15.67,70100,15.67
2016-04-20,16.10,16.200001,15.88,15.97,62200,15.97
2016-04-19,15.80,16.110001,15.73,16.049999,32300,16.049999
2016-04-18,15.57,15.96,15.46,15.66,92000,15.66
2016-04-15,15.65,15.68,15.45,15.47,28800,15.47
2016-04-14,15.85,15.85,15.00,15.70,53300,15.70
2016-04-13,15.82,15.91,15.57,15.87,71200,15.87
2016-04-12,15.22,15.84,15.16,15.67,75700,15.67
2016-04-11,14.75,15.26,14.75,15.16,77000,15.16
2016-04-08,15.05,15.13,14.28,14.82,157700,14.82
2016-04-07,15.25,15.43,14.91,15.00,276400,15.00
2016-04-06,15.43,15.55,15.26,15.38,64300,15.38
2016-04-05,16.10,16.33,15.43,15.45,106500,15.45
2016-04-04,16.440001,16.459999,16.18,16.27,101900,16.27
2016-04-01,16.32,16.48,16.209999,16.440001,76000,16.440001
2016-03-31,16.200001,16.379999,15.94,16.34,71200,16.34
2016-03-30,16.42,16.43,16.07,16.15,45600,16.15
2016-03-29,16.190001,16.360001,15.99,16.27,80800,16.27
2016-03-28,15.75,16.27,15.66,16.17,64800,16.17
2016-03-24,15.59,15.79,15.41,15.59,41300,15.59
2016-03-23,15.86,16.08,15.48,15.59,71800,15.59
2016-03-22,15.70,16.049999,15.35,15.96,100900,15.96
2016-03-21,16.15,16.16,15.70,15.70,58900,15.70
2016-03-18,15.74,16.309999,15.66,16.209999,150900,16.209999
2016-03-17,15.41,15.72,15.32,15.65,70400,15.65
2016-03-16,15.14,15.43,15.07,15.38,56100,15.38
2016-03-15,15.02,15.38,14.90,15.23,110500,15.23
2016-03-14,15.42,15.47,14.90,15.06,125500,15.06
2016-03-11,15.24,15.48,15.15,15.38,189100,15.38
2016-03-10,14.94,15.15,14.83,15.01,80700,15.01
2016-03-09,14.35,14.91,14.27,14.91,131300,14.91
2016-03-08,14.12,14.41,13.95,14.33,120700,14.33
2016-03-07,14.25,14.40,13.86,14.20,97200,14.20
2016-03-04,14.19,14.62,14.04,14.28,97300,14.28
2016-03-03,13.97,14.15,13.69,14.11,98100,14.11
2016-03-02,13.92,14.13,13.79,14.04,77100,14.04
2016-03-01,13.81,14.09,13.74,14.01,67600,14.01
2016-02-29,13.83,14.24,13.70,13.93,100100,13.93
2016-02-26,13.93,14.09,13.80,13.93,43100,13.93
2016-02-25,14.42,14.42,13.81,13.92,97500,13.92
2016-02-24,13.80,14.45,13.74,14.37,145500,14.37
2016-02-23,13.74,13.98,13.71,13.84,66500,13.84
2016-02-22,14.21,14.25,13.75,13.81,117600,13.81
2016-02-19,14.92,14.92,14.10,14.15,67600,14.15
2016-02-18,14.79,15.00,14.71,14.96,173000,14.96
2016-02-17,14.38,14.81,14.26,14.70,178300,14.70
2016-02-16,14.41,14.50,13.90,14.27,152900,14.27
2016-02-12,14.07,14.35,13.91,14.23,83000,14.23
2016-02-11,13.75,14.03,13.71,13.93,81800,13.93
2016-02-10,14.20,14.49,13.92,13.94,76900,13.94
2016-02-09,14.14,14.26,13.90,14.15,66900,14.15
2016-02-08,14.66,14.72,13.73,14.30,171200,14.30
2016-02-05,14.75,14.98,14.40,14.82,211200,14.82
2016-02-04,15.76,15.77,14.70,14.84,320900,14.84
2016-02-03,14.31,16.02,13.61,15.68,446500,15.68
2016-02-02,13.12,13.28,12.90,13.20,99000,13.20
2016-02-01,13.36,13.53,13.03,13.23,110900,13.23
2016-01-29,12.62,13.53,12.36,13.49,245500,13.49
2016-01-28,12.43,12.73,12.43,12.57,121300,12.57
2016-01-27,12.71,12.71,12.23,12.29,64600,12.29
2016-01-26,12.33,13.13,12.32,12.70,119300,12.70
2016-01-25,12.50,12.54,12.11,12.32,51500,12.32
2016-01-22,12.60,12.80,12.28,12.49,55900,12.49
2016-01-21,12.17,12.64,12.11,12.40,84500,12.40
2016-01-20,12.17,12.23,11.67,12.05,94600,12.05
2016-01-19,12.57,12.64,12.01,12.33,80300,12.33
2016-01-15,12.33,12.66,12.18,12.34,90400,12.34
2016-01-14,13.09,13.09,12.68,12.75,66200,12.75
2016-01-13,13.64,13.69,12.94,13.05,129100,13.05
2016-01-12,13.34,13.63,13.21,13.60,48600,13.60
2016-01-11,13.22,13.37,12.86,13.25,83200,13.25
2016-01-08,13.21,13.26,12.79,13.09,266300,13.09
2016-01-07,13.48,13.58,13.07,13.10,97100,13.10
2016-01-06,13.65,13.85,13.41,13.78,97500,13.78
2016-01-05,13.41,13.82,13.36,13.79,104700,13.79
2016-01-04,13.25,13.63,13.04,13.32,206400,13.32
2015-12-31,13.76,13.78,13.31,13.52,109800,13.52
2015-12-30,13.82,13.92,13.53,13.85,91000,13.85
2015-12-29,13.26,13.82,12.75,13.80,104300,13.80
2015-12-28,13.26,13.58,12.89,13.27,67100,13.27
2015-12-24,14.10,14.11,13.24,13.35,100400,13.35
2015-12-23,13.80,14.24,13.76,14.10,103200,14.10
2015-12-22,13.52,14.13,13.31,13.75,121300,13.75
2015-12-21,13.92,13.92,13.36,13.47,163100,13.47
2015-12-18,13.71,13.94,13.28,13.80,308500,13.80
2015-12-17,14.28,14.38,13.63,13.72,110200,13.72
2015-12-16,14.55,14.59,13.98,14.30,115700,14.30
2015-12-15,14.27,14.63,14.01,14.47,80700,14.47
2015-12-14,14.53,14.65,13.99,14.28,186500,14.28
2015-12-11,15.12,15.30,14.68,14.72,102100,14.72
2015-12-10,15.30,15.54,14.68,15.33,183000,15.33
2015-12-09,16.860001,17.00,15.16,15.28,152400,15.28
2015-12-08,15.50,17.23,15.45,16.98,502500,16.98
2015-12-07,14.86,15.26,14.66,15.06,154300,15.06
2015-12-04,14.35,14.85,14.10,14.79,88200,14.79
2015-12-03,14.91,15.00,14.30,14.34,84600,14.34
