Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.15,4.30,3.85,4.30,66100,4.30
2016-10-06,4.07,4.42,3.50,4.14,86100,4.14
2016-10-05,4.46,4.49,3.98,4.015,91300,4.015
2016-10-04,4.30,4.519,4.25,4.519,23900,4.519
2016-10-03,4.14,4.48,4.14,4.31,27300,4.31
2016-09-30,4.40,4.57,4.08,4.23,37100,4.23
2016-09-29,4.48,4.76,4.40,4.45,23300,4.45
2016-09-28,4.70,4.81,4.57,4.57,5800,4.57
2016-09-27,4.83,4.83,4.51,4.70,19700,4.70
2016-09-26,5.00,5.06,4.68,4.76,48200,4.76
2016-09-23,4.85,5.059,4.76,4.905,46600,4.905
2016-09-22,4.611,5.32,4.61,4.80,145500,4.80
2016-09-21,4.456,4.966,4.438,4.61,103400,4.61
2016-09-20,4.67,4.67,4.11,4.25,60600,4.25
2016-09-19,4.51,4.74,4.51,4.52,24100,4.52
2016-09-16,4.17,4.52,4.17,4.52,29400,4.52
2016-09-15,3.97,4.20,3.97,4.14,10600,4.14
2016-09-14,3.79,4.03,3.79,3.97,19600,3.97
2016-09-13,3.96,4.18,3.70,3.86,6800,3.86
2016-09-12,3.90,3.99,3.50,3.99,81000,3.99
2016-09-09,3.92,3.98,3.78,3.85,35500,3.85
2016-09-08,3.96,3.96,3.80,3.86,7200,3.86
2016-09-07,4.01,4.19,3.82,4.01,32500,4.01
2016-09-06,3.98,4.01,3.82,4.01,8700,4.01
2016-09-02,3.91,4.05,3.91,3.91,4900,3.91
2016-09-01,4.01,4.01,3.82,3.82,7300,3.82
2016-08-31,4.09,4.099,3.89,4.00,23100,4.00
2016-08-30,3.97,4.12,3.75,4.09,20600,4.09
2016-08-29,4.24,4.49,3.94,3.96,20700,3.96
2016-08-26,3.89,4.18,3.875,4.08,40200,4.08
2016-08-25,4.42,4.73,3.97,4.007,100200,4.007
2016-08-24,3.96,4.48,3.78,4.38,107500,4.38
2016-08-23,4.14,4.18,3.60,4.01,105800,4.01
2016-08-22,4.06,4.17,4.06,4.13,26200,4.13
2016-08-19,4.22,4.22,4.06,4.06,13400,4.06
2016-08-18,3.79,4.179,3.79,4.07,23800,4.07
2016-08-17,3.99,3.99,3.66,3.77,34000,3.77
2016-08-16,3.91,4.12,3.12,4.047,138100,4.047
2016-08-15,3.96,4.069,3.919,4.01,22500,4.01
2016-08-12,3.981,4.09,3.82,4.02,23900,4.02
2016-08-11,4.06,4.18,4.02,4.02,13800,4.02
2016-08-10,3.90,4.16,3.90,4.09,21400,4.09
2016-08-09,4.08,4.179,3.761,4.06,21700,4.06
2016-08-08,4.40,4.40,4.06,4.15,9400,4.15
2016-08-05,4.09,4.40,3.78,4.40,67800,4.40
2016-08-04,3.92,4.219,3.91,4.115,26400,4.115
2016-08-03,3.90,4.373,3.76,3.989,69300,3.989
2016-08-02,3.53,4.149,3.50,3.83,91900,3.83
2016-08-01,3.34,3.65,3.31,3.59,87600,3.59
2016-07-29,2.72,4.247,2.72,3.80,682300,3.80
2016-07-28,2.43,2.78,2.399,2.65,40600,2.65
2016-07-27,2.40,2.40,2.40,2.40,200,2.40
2016-07-26,2.47,2.50,2.34,2.381,13200,2.381
2016-07-25,2.372,2.56,2.372,2.52,7100,2.52
2016-07-22,2.40,2.48,2.37,2.397,6200,2.397
2016-07-21,2.38,2.39,2.35,2.39,600,2.39
2016-07-20,2.33,2.40,2.33,2.40,4300,2.40
2016-07-19,2.37,2.42,2.33,2.33,10000,2.33
2016-07-18,2.367,2.367,2.30,2.36,7600,2.36
2016-07-15,2.379,2.38,2.292,2.344,5700,2.344
2016-07-14,2.56,2.56,2.24,2.36,32900,2.36
2016-07-13,2.50,2.56,2.50,2.53,13400,2.53
2016-07-12,2.56,2.56,2.34,2.50,12000,2.50
2016-07-11,2.57,2.57,2.49,2.541,3100,2.541
2016-07-08,2.44,2.558,2.42,2.53,1600,2.53
2016-07-07,2.401,2.57,2.40,2.57,9200,2.57
2016-07-06,2.217,2.35,2.217,2.35,5600,2.35
2016-07-05,2.28,2.30,2.08,2.21,5800,2.21
