Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,52.150002,52.16,51.16,51.869999,391900,51.869999
2016-10-06,52.029999,52.029999,51.259998,51.919998,253500,51.919998
2016-10-05,51.779999,52.18,51.709999,52.029999,370600,52.029999
2016-10-04,52.07,52.16,51.23,51.52,411500,51.52
2016-10-03,52.869999,53.029999,52.200001,52.299999,377900,52.299999
2016-09-30,52.880001,53.310001,52.799999,52.860001,438400,52.860001
2016-09-29,52.919998,53.459999,52.560001,52.650002,552900,52.650002
2016-09-28,52.290001,52.970001,52.130001,52.919998,531900,52.919998
2016-09-27,51.189999,52.299999,51.189999,52.189999,377100,52.189999
2016-09-26,51.00,51.610001,50.720001,51.119999,247800,51.119999
2016-09-23,51.860001,51.939999,51.02,51.060001,158600,51.060001
2016-09-22,51.939999,52.169998,51.52,51.790001,463600,51.790001
2016-09-21,50.150002,51.869999,50.150002,51.66,569100,51.66
2016-09-20,50.189999,50.389999,49.889999,49.91,282800,49.91
2016-09-19,49.919998,50.639999,49.73,49.950001,268600,49.950001
2016-09-16,49.84,49.84,49.23,49.57,454000,49.57
2016-09-15,48.709999,50.369999,48.630001,49.98,312500,49.98
2016-09-14,48.259998,48.880001,48.139999,48.700001,269000,48.700001
2016-09-13,48.860001,48.889999,47.860001,48.029999,297200,48.029999
2016-09-12,47.299999,48.639999,47.25,48.59,366100,48.59
2016-09-09,49.290001,49.790001,47.799999,48.040001,279000,48.040001
2016-09-08,50.150002,50.150002,49.52,49.599998,186200,49.599998
2016-09-07,49.75,51.060001,49.57,50.110001,352500,50.110001
2016-09-06,50.450001,50.669998,49.540001,49.720001,250400,49.720001
2016-09-02,50.599998,51.139999,50.150002,50.490002,376600,50.490002
2016-09-01,49.849998,50.619999,49.549999,50.330002,282900,50.330002
2016-08-31,49.490002,50.07,49.450001,49.759998,273700,49.759998
2016-08-30,50.099998,50.57,49.810001,50.080002,166000,50.005001
2016-08-29,50.290001,50.459999,50.040001,50.18,216400,50.104849
2016-08-26,49.720001,50.630001,49.720001,50.189999,400000,50.114833
2016-08-25,49.619999,50.080002,49.619999,49.93,354900,49.855224
2016-08-24,50.119999,50.169998,49.619999,49.860001,229100,49.785329
