Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.20,1.21,1.12,1.15,131200,1.15
2016-10-06,1.20,1.21,1.20,1.20,46100,1.20
2016-10-05,1.23,1.23,1.20,1.20,37000,1.20
2016-10-04,1.21,1.23,1.20,1.20,76300,1.20
2016-10-03,1.24,1.24,1.20,1.20,56500,1.20
2016-09-30,1.23,1.24,1.20,1.22,62100,1.22
2016-09-29,1.22,1.24,1.20,1.21,77100,1.21
2016-09-28,1.21,1.25,1.21,1.22,15500,1.22
2016-09-27,1.23,1.26,1.21,1.22,65900,1.22
2016-09-26,1.27,1.28,1.22,1.24,63800,1.24
2016-09-23,1.23,1.30,1.23,1.26,95000,1.26
2016-09-22,1.23,1.29,1.23,1.24,117500,1.24
2016-09-21,1.25,1.29,1.23,1.24,160100,1.24
2016-09-20,1.24,1.28,1.22,1.27,107100,1.27
2016-09-19,1.23,1.29,1.22,1.22,59700,1.22
2016-09-16,1.23,1.26,1.21,1.22,103900,1.22
2016-09-15,1.25,1.28,1.22,1.22,137600,1.22
2016-09-14,1.25,1.26,1.21,1.24,68500,1.24
2016-09-13,1.25,1.26,1.21,1.26,115000,1.26
2016-09-12,1.34,1.38,1.22,1.25,1033600,1.25
2016-09-09,1.21,1.22,1.20,1.20,36700,1.20
2016-09-08,1.20,1.25,1.20,1.20,43700,1.20
2016-09-07,1.22,1.26,1.20,1.20,47800,1.20
2016-09-06,1.22,1.24,1.20,1.22,87900,1.22
2016-09-02,1.25,1.25,1.20,1.20,40000,1.20
2016-09-01,1.24,1.24,1.21,1.22,25500,1.22
2016-08-31,1.25,1.25,1.20,1.24,69700,1.24
2016-08-30,1.22,1.28,1.22,1.25,32300,1.25
2016-08-29,1.22,1.22,1.20,1.22,77800,1.22
2016-08-26,1.23,1.24,1.20,1.22,116100,1.22
2016-08-25,1.25,1.28,1.21,1.23,68400,1.23
2016-08-24,1.32,1.33,1.25,1.27,44400,1.27
2016-08-23,1.33,1.35,1.31,1.32,46800,1.32
2016-08-22,1.29,1.34,1.26,1.34,93600,1.34
2016-08-19,1.25,1.40,1.25,1.32,681900,1.32
2016-08-18,1.25,1.27,1.23,1.26,60500,1.26
2016-08-17,1.24,1.28,1.23,1.25,66400,1.25
2016-08-16,1.25,1.26,1.23,1.25,88800,1.25
2016-08-15,1.28,1.29,1.21,1.25,167600,1.25
2016-08-12,1.27,1.27,1.20,1.20,71800,1.20
2016-08-11,1.24,1.25,1.20,1.24,87400,1.24
2016-08-10,1.23,1.26,1.23,1.25,36200,1.25
2016-08-09,1.27,1.30,1.20,1.25,136000,1.25
2016-08-08,1.25,1.25,1.24,1.25,46600,1.25
2016-08-05,1.21,1.24,1.20,1.23,49500,1.23
2016-08-04,1.21,1.23,1.19,1.22,34900,1.22
2016-08-03,1.20,1.22,1.18,1.20,59500,1.20
2016-08-02,1.21,1.22,1.20,1.20,41200,1.20
2016-08-01,1.25,1.26,1.21,1.22,31700,1.22
2016-07-29,1.29,1.29,1.21,1.23,30800,1.23
2016-07-28,1.29,1.29,1.22,1.23,60700,1.23
2016-07-27,1.30,1.30,1.26,1.28,41400,1.28
2016-07-26,1.29,1.29,1.26,1.28,20400,1.28
2016-07-25,1.27,1.31,1.25,1.26,95800,1.26
2016-07-22,1.23,1.25,1.21,1.21,124200,1.21
2016-07-21,1.28,1.30,1.22,1.23,68200,1.23
2016-07-20,1.26,1.30,1.26,1.29,55100,1.29
2016-07-19,1.29,1.29,1.25,1.28,42400,1.28
2016-07-18,1.28,1.29,1.25,1.29,84600,1.29
2016-07-15,1.25,1.27,1.23,1.25,27400,1.25
2016-07-14,1.22,1.27,1.22,1.25,52400,1.25
2016-07-13,1.25,1.30,1.20,1.24,108900,1.24
2016-07-12,1.31,1.31,1.26,1.26,96400,1.26
2016-07-11,1.32,1.33,1.27,1.30,214800,1.30
2016-07-08,1.32,1.36,1.28,1.30,33400,1.30
2016-07-07,1.32,1.36,1.30,1.30,29300,1.30
2016-07-06,1.26,1.35,1.25,1.33,71300,1.33
2016-07-05,1.28,1.33,1.28,1.33,137600,1.33
2016-07-01,1.27,1.29,1.27,1.28,94000,1.28
2016-06-30,1.30,1.31,1.27,1.27,30400,1.27
