Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,27.559999,31.49,25.50,29.41,19527800,29.41
2016-10-06,37.07,37.48,35.02,35.77,2252600,35.77
2016-10-05,34.610001,38.459999,34.02,37.279999,5083500,37.279999
2016-10-04,35.759998,36.970001,34.720001,34.759998,2381500,34.759998
2016-10-03,36.200001,36.200001,34.50,35.349998,2257400,35.349998
2016-09-30,34.650002,36.150002,33.880001,36.049999,2231900,36.049999
2016-09-29,36.119999,36.549999,34.209999,34.639999,2598500,34.639999
2016-09-28,37.610001,37.939999,35.630001,36.34,3463600,36.34
2016-09-27,36.799999,38.139999,36.50,37.439999,2234700,37.439999
2016-09-26,36.880001,37.490002,36.060001,36.82,2623600,36.82
2016-09-23,39.400002,40.290001,36.84,37.139999,8135700,37.139999
2016-09-22,36.43,38.689999,35.509998,38.360001,6663700,38.360001
2016-09-21,37.279999,37.599998,33.619999,35.68,12766300,35.68
2016-09-20,31.440001,35.75,30.76,34.830002,7461400,34.830002
2016-09-19,32.599998,33.16,30.57,30.91,3745500,30.91
2016-09-16,30.49,32.630001,30.139999,32.450001,4642200,32.450001
2016-09-15,29.290001,30.67,29.00,30.629999,3158800,30.629999
2016-09-14,29.42,30.950001,28.559999,29.10,4202300,29.10
2016-09-13,27.83,29.469999,27.58,29.01,3153100,29.01
2016-09-12,27.83,28.91,27.25,28.049999,2867000,28.049999
2016-09-09,27.290001,28.40,26.370001,27.65,4556100,27.65
2016-09-08,25.50,29.75,25.35,28.01,12680400,28.01
2016-09-07,23.75,24.35,23.65,24.35,1020400,24.35
2016-09-06,23.50,24.24,23.280001,23.709999,957500,23.709999
2016-09-02,23.190001,23.83,22.73,23.40,1128100,23.40
2016-09-01,25.01,25.299999,23.139999,23.59,2715200,23.59
2016-08-31,24.68,26.24,24.26,24.77,4549500,24.77
2016-08-30,23.41,24.57,23.290001,24.219999,1733500,24.219999
2016-08-29,23.27,23.91,22.85,23.389999,1186000,23.389999
2016-08-26,23.01,24.450001,22.559999,23.15,3431300,23.15
2016-08-25,22.639999,23.40,21.25,22.73,3662200,22.73
2016-08-24,24.219999,24.90,21.85,22.360001,13886700,22.360001
2016-08-23,18.299999,24.969999,16.610001,23.030001,17276500,23.030001
2016-08-22,18.00,18.450001,17.610001,18.10,2384000,18.10
2016-08-19,17.219999,17.290001,16.74,17.25,759400,17.25
2016-08-18,17.129999,17.49,16.809999,17.25,571700,17.25
2016-08-17,17.52,17.690001,16.58,17.200001,1016000,17.200001
2016-08-16,17.65,17.73,17.10,17.459999,763200,17.459999
2016-08-15,16.940001,17.790001,16.719999,17.67,1086300,17.67
2016-08-12,16.120001,16.93,15.87,16.870001,862900,16.870001
2016-08-11,15.99,16.25,15.41,16.209999,767100,16.209999
2016-08-10,16.52,16.65,15.80,15.90,659500,15.90
2016-08-09,15.85,16.959999,15.21,16.549999,1373400,16.549999
2016-08-08,17.49,17.75,15.55,15.69,1477800,15.69
2016-08-05,15.90,17.799999,15.60,17.41,2868900,17.41
2016-08-04,15.30,15.74,15.04,15.44,975400,15.44
2016-08-03,14.62,15.35,14.62,15.23,788700,15.23
2016-08-02,14.98,15.05,13.98,14.67,840000,14.67
2016-08-01,14.40,15.10,14.36,15.04,805600,15.04
2016-07-29,13.96,14.50,13.71,14.28,401000,14.28
2016-07-28,14.54,14.69,13.92,14.03,445200,14.03
2016-07-27,14.04,14.54,13.94,14.49,593400,14.49
2016-07-26,13.82,14.00,13.43,13.96,635400,13.96
2016-07-25,14.23,14.37,13.88,13.91,545200,13.91
2016-07-22,14.65,14.97,14.12,14.19,508300,14.19
2016-07-21,14.62,15.12,14.35,14.54,800000,14.54
2016-07-20,14.24,14.57,13.97,14.55,693900,14.55
2016-07-19,14.44,14.52,14.03,14.12,416600,14.12
2016-07-18,14.39,14.58,14.07,14.54,460300,14.54
2016-07-15,13.93,14.48,13.64,14.39,583300,14.39
2016-07-14,13.99,14.17,13.52,13.89,386200,13.89
2016-07-13,14.82,14.93,13.68,13.71,619200,13.71
2016-07-12,15.02,15.02,14.48,14.71,679500,14.71
2016-07-11,14.87,15.12,14.48,14.70,556900,14.70
2016-07-08,14.67,14.98,14.29,14.73,680800,14.73
2016-07-07,15.23,15.35,14.37,14.70,1077300,14.70
2016-07-06,14.13,15.23,14.09,15.02,1636300,15.02
2016-07-05,14.45,14.65,14.10,14.24,895500,14.24
2016-07-01,13.65,15.12,13.47,14.69,1511900,14.69
2016-06-30,14.64,14.88,13.10,13.72,3729400,13.72
2016-06-29,14.27,15.36,13.89,15.06,5117500,15.06
2016-06-28,11.89,12.49,11.73,12.36,1157800,12.36
2016-06-27,12.90,13.01,11.57,11.57,1154000,11.57
2016-06-24,13.23,13.86,12.99,13.01,972000,13.01
2016-06-23,13.43,13.96,13.27,13.93,591600,13.93
2016-06-22,13.16,13.83,12.75,13.28,613000,13.28
2016-06-21,13.84,13.96,12.78,13.18,889900,13.18
2016-06-20,13.68,14.26,13.47,13.81,547800,13.81
2016-06-17,13.71,14.20,13.37,13.46,1062100,13.46
2016-06-16,13.41,13.88,13.08,13.77,647400,13.77
2016-06-15,13.88,14.07,13.50,13.54,607300,13.54
2016-06-14,13.55,13.90,13.34,13.83,791000,13.83
2016-06-13,14.00,14.40,13.55,13.57,712800,13.57
2016-06-10,14.90,15.10,14.05,14.11,1053800,14.11
2016-06-09,15.74,15.89,15.01,15.23,649000,15.23
2016-06-08,16.32,16.43,15.67,15.87,828600,15.87
2016-06-07,17.190001,17.34,16.370001,16.389999,1029300,16.389999
2016-06-06,16.42,17.379999,16.110001,17.34,970400,17.34
2016-06-03,17.299999,17.48,16.26,16.299999,1396200,16.299999
2016-06-02,17.049999,17.440001,16.93,17.27,906400,17.27
2016-06-01,16.93,17.219999,16.68,17.049999,950400,17.049999
2016-05-31,16.799999,17.209999,16.32,16.83,689200,16.83
2016-05-27,16.450001,16.75,15.72,16.700001,956500,16.700001
2016-05-26,16.00,16.799999,15.97,16.440001,1300100,16.440001
2016-05-25,15.65,16.110001,15.51,16.00,1434800,16.00
2016-05-24,15.11,15.85,14.81,15.58,1396600,15.58
2016-05-23,14.35,15.30,14.32,14.91,1134500,14.91
2016-05-20,13.76,14.65,13.67,14.50,930900,14.50
2016-05-19,13.74,14.10,13.19,13.65,1057800,13.65
2016-05-18,12.77,13.80,12.73,13.75,768200,13.75
2016-05-17,12.97,13.21,12.66,12.78,704300,12.78
2016-05-16,12.66,13.34,12.21,13.09,1087100,13.09
2016-05-13,12.09,12.73,12.01,12.50,671100,12.50
2016-05-12,12.51,12.57,11.58,12.17,947800,12.17
2016-05-11,13.01,13.06,12.33,12.39,544400,12.39
2016-05-10,13.85,13.88,13.02,13.09,700200,13.09
2016-05-09,13.15,13.85,13.15,13.74,762400,13.74
2016-05-06,12.74,14.69,12.57,13.11,2399700,13.11
2016-05-05,13.19,13.66,12.58,12.66,1090300,12.66
2016-05-04,13.78,14.01,12.94,13.19,1050900,13.19
2016-05-03,14.26,14.57,13.90,13.95,559800,13.95
2016-05-02,13.98,14.55,13.71,14.54,1112400,14.54
2016-04-29,14.50,14.82,13.67,13.91,1597900,13.91
2016-04-28,14.17,14.95,13.79,14.48,941800,14.48
2016-04-27,14.33,14.48,13.86,14.16,661900,14.16
2016-04-26,14.59,14.65,13.76,14.39,944800,14.39
2016-04-25,15.00,15.15,14.56,14.60,849500,14.60
2016-04-22,14.78,15.06,14.48,14.99,520800,14.99
2016-04-21,14.03,14.93,14.01,14.73,1046900,14.73
2016-04-20,14.32,14.65,13.73,14.06,1017800,14.06
