Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.33,0.35,0.32,0.32,125700,0.32
2016-10-06,0.33,0.34,0.32,0.33,144200,0.33
2016-10-05,0.33,0.34,0.32,0.33,119000,0.33
2016-10-04,0.33,0.34,0.32,0.32,33500,0.32
2016-10-03,0.33,0.34,0.32,0.32,172100,0.32
2016-09-30,0.35,0.35,0.32,0.33,142700,0.33
2016-09-29,0.34,0.35,0.33,0.34,159400,0.34
2016-09-28,0.32,0.34,0.32,0.34,120600,0.34
2016-09-27,0.32,0.33,0.32,0.33,114200,0.33
2016-09-26,0.33,0.34,0.32,0.32,132000,0.32
2016-09-23,0.33,0.35,0.32,0.32,168000,0.32
2016-09-22,0.33,0.36,0.33,0.34,142500,0.34
2016-09-21,0.34,0.36,0.31,0.34,614700,0.34
2016-09-20,0.37,0.37,0.33,0.34,332800,0.34
2016-09-19,0.35,0.37,0.33,0.36,578900,0.36
2016-09-16,0.36,0.37,0.31,0.31,790300,0.31
2016-09-15,0.36,0.36,0.35,0.35,244300,0.35
2016-09-14,0.35,0.36,0.33,0.35,238300,0.35
2016-09-13,0.35,0.35,0.34,0.35,223400,0.35
2016-09-12,0.34,0.36,0.33,0.35,212700,0.35
2016-09-09,0.38,0.38,0.36,0.36,40500,0.36
2016-09-08,0.35,0.38,0.35,0.37,325800,0.37
2016-09-07,0.37,0.38,0.36,0.36,341300,0.36
2016-09-06,0.37,0.39,0.36,0.36,245900,0.36
2016-09-02,0.39,0.40,0.37,0.38,178600,0.38
2016-09-01,0.41,0.41,0.39,0.39,424200,0.39
2016-08-31,0.40,0.41,0.40,0.40,237900,0.40
2016-08-30,0.41,0.41,0.40,0.40,183000,0.40
2016-08-29,0.39,0.40,0.39,0.39,132400,0.39
2016-08-26,0.38,0.39,0.38,0.39,95900,0.39
2016-08-25,0.37,0.40,0.37,0.38,464200,0.38
2016-08-24,0.39,0.41,0.37,0.37,330100,0.37
2016-08-23,0.38,0.39,0.37,0.39,260200,0.39
2016-08-22,0.38,0.38,0.36,0.37,318200,0.37
2016-08-19,0.37,0.37,0.35,0.36,133500,0.36
2016-08-18,0.35,0.38,0.35,0.36,240500,0.36
2016-08-17,0.34,0.35,0.34,0.35,540500,0.35
2016-08-16,0.35,0.35,0.34,0.34,524800,0.34
2016-08-15,0.35,0.36,0.35,0.35,74800,0.35
2016-08-12,0.36,0.36,0.34,0.35,163000,0.35
2016-08-11,0.35,0.36,0.33,0.35,238100,0.35
2016-08-10,0.35,0.36,0.33,0.34,283100,0.34
2016-08-09,0.34,0.35,0.33,0.34,940600,0.34
2016-08-08,0.33,0.35,0.33,0.34,332000,0.34
2016-08-05,0.36,0.37,0.33,0.35,2657400,0.35
2016-08-04,0.38,0.39,0.36,0.37,153700,0.37
2016-08-03,0.38,0.39,0.37,0.37,216700,0.37
2016-08-02,0.38,0.40,0.38,0.38,108700,0.38
2016-08-01,0.38,0.40,0.37,0.38,118600,0.38
2016-07-29,0.38,0.40,0.37,0.38,2344200,0.38
2016-07-28,0.38,0.41,0.38,0.38,233400,0.38
2016-07-27,0.38,0.41,0.38,0.38,200700,0.38
2016-07-26,0.38,0.41,0.37,0.38,1731200,0.38
2016-07-25,0.39,0.39,0.36,0.37,200200,0.37
2016-07-22,0.39,0.40,0.38,0.38,82300,0.38
2016-07-21,0.39,0.40,0.38,0.39,159100,0.39
2016-07-20,0.45,0.45,0.38,0.38,548000,0.38
2016-07-19,0.37,0.39,0.36,0.38,89100,0.38
2016-07-18,0.37,0.38,0.37,0.38,77100,0.38
2016-07-15,0.39,0.39,0.35,0.38,373300,0.38
2016-07-14,0.39,0.41,0.37,0.39,332800,0.39
2016-07-13,0.37,0.41,0.37,0.39,2221200,0.39
2016-07-12,0.33,0.38,0.33,0.37,1194200,0.37
2016-07-11,0.32,0.40,0.32,0.33,1377200,0.33
2016-07-08,0.30,0.33,0.30,0.32,328600,0.32
2016-07-07,0.29,0.33,0.29,0.30,548800,0.30
2016-07-06,0.31,0.31,0.30,0.30,189300,0.30
2016-07-05,0.31,0.32,0.30,0.30,301900,0.30
2016-07-01,0.30,0.34,0.30,0.32,191600,0.32
2016-06-30,0.30,0.33,0.29,0.31,718100,0.31
2016-06-29,0.28,0.31,0.27,0.30,795900,0.30
2016-06-28,0.29,0.30,0.28,0.29,425700,0.29
2016-06-27,0.29,0.30,0.26,0.29,787700,0.29
2016-06-24,0.31,0.31,0.28,0.29,14090500,0.29
2016-06-23,0.32,0.32,0.30,0.31,527000,0.31
2016-06-22,0.31,0.32,0.30,0.30,708900,0.30
2016-06-21,0.32,0.35,0.30,0.31,649300,0.31
2016-06-20,0.35,0.35,0.31,0.32,351100,0.32
2016-06-17,0.33,0.35,0.31,0.32,1189500,0.32
2016-06-16,0.35,0.35,0.32,0.33,389400,0.33
2016-06-15,0.35,0.37,0.34,0.34,589200,0.34
2016-06-14,0.34,0.38,0.34,0.35,443900,0.35
2016-06-13,0.36,0.38,0.34,0.34,244700,0.34
2016-06-10,0.35,0.38,0.35,0.36,607300,0.36
2016-06-09,0.35,0.37,0.34,0.36,240700,0.36
2016-06-08,0.36,0.37,0.35,0.35,353600,0.35
2016-06-07,0.36,0.37,0.34,0.35,358400,0.35
2016-06-06,0.37,0.37,0.35,0.35,229300,0.35
2016-06-03,0.37,0.37,0.33,0.35,411700,0.35
2016-06-02,0.40,0.41,0.35,0.36,411700,0.36
2016-06-01,0.33,0.41,0.32,0.38,2315700,0.38
2016-05-31,0.32,0.34,0.31,0.32,608800,0.32
2016-05-27,0.34,0.35,0.29,0.31,383800,0.31
2016-05-26,0.35,0.36,0.33,0.33,268500,0.33
2016-05-25,0.34,0.35,0.33,0.35,140600,0.35
2016-05-24,0.32,0.34,0.32,0.34,220400,0.34
2016-05-23,0.32,0.33,0.31,0.33,116600,0.33
2016-05-20,0.31,0.33,0.30,0.31,198100,0.31
2016-05-19,0.31,0.32,0.28,0.30,262700,0.30
2016-05-18,0.28,0.32,0.28,0.29,245100,0.29
2016-05-17,0.30,0.30,0.28,0.29,380000,0.29
2016-05-16,0.31,0.31,0.28,0.30,465900,0.30
2016-05-13,0.36,0.36,0.31,0.31,547100,0.31
2016-05-12,0.36,0.38,0.34,0.34,183100,0.34
2016-05-11,0.37,0.38,0.33,0.36,737300,0.36
2016-05-10,0.38,0.38,0.35,0.37,426000,0.37
2016-05-09,0.42,0.42,0.38,0.38,321300,0.38
2016-05-06,0.37,0.42,0.35,0.41,1534000,0.41
2016-05-05,0.33,0.36,0.32,0.35,924200,0.35
2016-05-04,0.33,0.36,0.32,0.33,325700,0.33
2016-05-03,0.35,0.37,0.32,0.33,626600,0.33
2016-05-02,0.39,0.39,0.35,0.35,565600,0.35
2016-04-29,0.38,0.40,0.34,0.37,786500,0.37
2016-04-28,0.40,0.40,0.37,0.38,520400,0.38
2016-04-27,0.41,0.41,0.37,0.40,255700,0.40
2016-04-26,0.41,0.41,0.37,0.40,646600,0.40
2016-04-25,0.42,0.42,0.38,0.39,442900,0.39
2016-04-22,0.42,0.44,0.40,0.42,870000,0.42
2016-04-21,0.39,0.42,0.38,0.42,2196100,0.42
2016-04-20,0.44,0.46,0.32,0.38,2397100,0.38
2016-04-19,0.46,0.47,0.43,0.45,790400,0.45
2016-04-18,0.44,0.48,0.44,0.45,153900,0.45
2016-04-15,0.45,0.49,0.44,0.44,169000,0.44
2016-04-14,0.46,0.49,0.44,0.46,851000,0.46
2016-04-13,0.44,0.46,0.42,0.46,512500,0.46
2016-04-12,0.42,0.44,0.40,0.42,254900,0.42
2016-04-11,0.40,0.44,0.40,0.41,482000,0.41
2016-04-08,0.41,0.43,0.38,0.39,617400,0.39
2016-04-07,0.42,0.43,0.40,0.40,508400,0.40
2016-04-06,0.42,0.44,0.41,0.42,652100,0.42
2016-04-05,0.42,0.44,0.40,0.43,950100,0.43
2016-04-04,0.45,0.50,0.43,0.44,495300,0.44
2016-04-01,0.47,0.48,0.45,0.46,504800,0.46
2016-03-31,0.49,0.50,0.42,0.46,672100,0.46
2016-03-30,0.50,0.50,0.46,0.49,268300,0.49
2016-03-29,0.50,0.51,0.49,0.50,634900,0.50
2016-03-28,0.43,0.51,0.40,0.50,662500,0.50
2016-03-24,0.53,0.53,0.48,0.48,665200,0.48
2016-03-23,0.55,0.56,0.51,0.52,565000,0.52
2016-03-22,0.51,0.58,0.50,0.56,1084600,0.56
2016-03-21,0.60,0.60,0.49,0.51,837800,0.51
2016-03-18,0.54,0.57,0.50,0.56,1655700,0.56
2016-03-17,0.57,0.60,0.48,0.53,2331300,0.53
2016-03-16,0.49,0.58,0.47,0.57,4575100,0.57
2016-03-15,0.40,0.50,0.36,0.48,3196200,0.48
2016-03-14,0.35,0.40,0.33,0.39,628400,0.39
