Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.81,0.83,0.80,0.80,39300,0.80
2016-10-06,0.85,0.85,0.81,0.83,43400,0.83
2016-10-05,0.80,0.84,0.80,0.83,31400,0.83
2016-10-04,0.83,0.85,0.82,0.82,18400,0.82
2016-10-03,0.82,0.87,0.82,0.83,41900,0.83
2016-09-30,0.81,0.82,0.80,0.81,13000,0.81
2016-09-29,0.83,0.84,0.80,0.80,26900,0.80
2016-09-28,0.83,0.85,0.82,0.85,27100,0.85
2016-09-27,0.87,0.87,0.75,0.83,216800,0.83
2016-09-26,0.87,0.87,0.86,0.87,12700,0.87
2016-09-23,0.85,0.89,0.83,0.86,27200,0.86
2016-09-22,0.87,0.90,0.80,0.86,113400,0.86
2016-09-21,0.89,0.89,0.86,0.87,17000,0.87
2016-09-20,0.89,0.91,0.85,0.91,47000,0.91
2016-09-19,0.84,0.90,0.84,0.89,66400,0.89
2016-09-16,0.82,0.84,0.81,0.82,32300,0.82
2016-09-15,0.87,0.90,0.81,0.82,269100,0.82
2016-09-14,0.91,0.91,0.87,0.89,88700,0.89
2016-09-13,0.95,0.95,0.90,0.90,68100,0.90
2016-09-12,0.95,1.00,0.92,0.95,103800,0.95
2016-09-09,0.99,0.99,0.95,0.98,69700,0.98
2016-09-08,0.99,1.00,0.97,0.99,42100,0.99
2016-09-07,1.01,1.01,0.99,1.00,21000,1.00
2016-09-06,0.98,1.01,0.98,1.00,40400,1.00
2016-09-02,1.01,1.01,0.98,0.99,77000,0.99
2016-09-01,1.01,1.02,0.99,1.00,58000,1.00
2016-08-31,1.02,1.04,0.98,1.03,100200,1.03
2016-08-30,1.01,1.05,1.01,1.01,29500,1.01
2016-08-29,0.98,1.03,0.98,1.01,26600,1.01
2016-08-26,0.97,1.02,0.97,1.01,20600,1.01
2016-08-25,1.00,1.00,0.97,0.98,22600,0.98
2016-08-24,1.01,1.04,1.00,1.00,65900,1.00
2016-08-23,1.02,1.04,1.02,1.02,84800,1.02
2016-08-22,1.01,1.04,1.01,1.03,45300,1.03
2016-08-19,0.97,1.06,0.97,1.01,287500,1.01
2016-08-18,0.97,0.99,0.97,0.97,109700,0.97
2016-08-17,1.04,1.04,0.97,0.99,73400,0.99
2016-08-16,1.05,1.05,1.00,1.00,78500,1.00
2016-08-15,1.06,1.11,1.02,1.06,73000,1.06
