Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.68,6.68,6.48,6.61,36300,6.61
2016-10-06,6.54,6.69,6.50,6.62,30200,6.62
2016-10-05,6.51,6.58,6.47,6.54,49100,6.54
2016-10-04,6.69,6.69,6.44,6.47,44600,6.47
2016-10-03,6.87,6.87,6.67,6.70,25900,6.70
2016-09-30,6.78,6.93,6.75,6.91,23800,6.91
2016-09-29,6.79,6.80,6.60,6.76,33600,6.76
2016-09-28,6.73,6.82,6.66,6.80,65500,6.80
2016-09-27,6.70,6.81,6.63,6.80,41000,6.80
2016-09-26,6.77,6.83,6.64,6.79,31900,6.79
2016-09-23,6.71,6.82,6.68,6.77,17700,6.77
2016-09-22,6.73,6.78,6.64,6.75,21400,6.75
2016-09-21,6.39,6.59,6.31,6.52,13000,6.52
2016-09-20,6.28,6.40,6.28,6.37,33400,6.37
2016-09-19,6.38,6.40,6.30,6.30,12700,6.30
2016-09-16,6.40,6.52,6.32,6.39,57800,6.39
2016-09-15,6.30,6.40,6.30,6.37,25800,6.37
2016-09-14,6.41,6.56,6.33,6.40,29500,6.40
2016-09-13,6.52,6.54,6.38,6.43,50300,6.43
2016-09-12,6.53,6.53,6.37,6.53,29100,6.53
2016-09-09,6.50,6.63,6.43,6.57,52600,6.57
2016-09-08,6.41,6.61,6.35,6.57,36700,6.57
2016-09-07,6.46,6.47,6.42,6.42,48800,6.42
2016-09-06,6.39,6.50,6.39,6.48,37700,6.48
2016-09-02,6.36,6.41,6.26,6.38,17700,6.38
2016-09-01,6.38,6.40,6.24,6.36,40800,6.36
2016-08-31,6.41,6.57,6.36,6.39,57800,6.39
2016-08-30,6.38,6.47,6.37,6.44,19700,6.44
2016-08-29,6.46,6.58,6.39,6.41,23500,6.41
2016-08-26,6.57,6.63,6.40,6.46,20600,6.46
2016-08-25,6.67,6.67,6.51,6.57,15000,6.57
2016-08-24,6.73,6.75,6.53,6.71,38300,6.71
2016-08-23,6.35,6.82,6.35,6.76,86800,6.76
2016-08-22,6.44,6.47,6.35,6.39,38900,6.39
