Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,10.22,10.22,10.10,10.18,7500,10.18
2016-10-06,10.04,10.20,10.02,10.20,9300,10.20
2016-10-05,10.21,10.21,10.00,10.01,4600,10.01
2016-10-04,10.05,10.20,10.00,10.15,11100,10.15
2016-10-03,10.11,10.20,9.85,10.04,9700,10.04
2016-09-30,10.18,10.20,10.15,10.20,1800,10.20
2016-09-29,9.93,10.18,9.93,10.13,9600,10.13
2016-09-28,9.74,9.91,9.74,9.76,3000,9.76
2016-09-27,9.74,9.78,9.71,9.71,2100,9.71
2016-09-26,9.55,9.78,9.55,9.78,4100,9.78
2016-09-23,9.71,9.81,9.50,9.73,4400,9.73
2016-09-22,9.68,9.90,9.68,9.72,5300,9.72
2016-09-21,9.73,9.73,9.56,9.72,3300,9.72
2016-09-20,9.73,9.73,9.65,9.67,6000,9.67
2016-09-19,9.66,9.66,9.66,9.66,500,9.66
2016-09-16,9.70,9.80,9.64,9.73,8700,9.73
2016-09-15,10.00,10.00,9.60,9.73,26600,9.73
2016-09-14,9.88,9.96,9.88,9.96,1100,9.96
2016-09-13,10.13,10.13,10.03,10.05,4800,9.97
2016-09-12,10.10,10.16,10.00,10.03,13900,9.950159
2016-09-09,10.13,10.15,10.06,10.14,8900,10.059284
2016-09-08,10.00,10.09,9.98,10.06,10000,9.979921
2016-09-07,10.14,10.17,10.00,10.01,10400,9.930319
2016-09-06,10.10,10.14,9.96,10.01,4100,9.930319
2016-09-02,10.07,10.16,10.00,10.02,2000,9.940239
2016-09-01,10.00,10.12,10.00,10.01,5500,9.930319
2016-08-31,10.00,10.03,10.00,10.03,3400,9.950159
2016-08-30,10.03,10.03,9.94,9.97,5900,9.890637
2016-08-29,10.04,10.04,9.95,9.99,6600,9.910477
2016-08-26,10.02,10.04,9.98,10.03,16400,9.950159
2016-08-25,9.99,10.00,9.78,9.99,5400,9.910477
2016-08-24,10.00,10.16,9.96,9.98,6400,9.900557
2016-08-23,10.00,10.11,9.93,9.97,5600,9.890637
2016-08-22,9.93,9.99,9.88,9.94,4200,9.860875
2016-08-19,9.85,9.90,9.82,9.88,8600,9.801353
2016-08-18,9.98,9.98,9.83,9.85,13700,9.771592
2016-08-17,9.99,9.99,9.88,9.89,6300,9.811274
2016-08-16,9.90,9.98,9.87,9.92,6600,9.841035
2016-08-15,9.95,10.00,9.92,9.93,10700,9.850956
2016-08-12,10.09,10.12,9.88,9.99,6100,9.910477
2016-08-11,10.06,10.06,10.04,10.05,3500,9.97
2016-08-10,9.92,10.12,9.92,10.08,7500,9.999761
2016-08-09,10.10,10.12,9.95,10.12,14600,10.039443
2016-08-08,10.10,10.12,9.88,10.02,7200,9.940239
2016-08-05,10.09,10.12,10.08,10.08,1600,9.999761
2016-08-04,10.14,10.14,10.00,10.09,5700,10.009682
2016-08-03,10.12,10.12,10.06,10.06,2000,9.979921
2016-08-02,10.17,10.17,10.00,10.10,5800,10.019602
2016-08-01,9.79,10.17,9.79,10.17,7200,10.089045
2016-07-29,10.04,10.16,10.03,10.12,2000,10.039443
2016-07-28,10.07,10.07,10.04,10.04,2100,9.96008
2016-07-27,9.96,10.08,9.96,10.07,9500,9.98984
2016-07-26,10.01,10.01,9.89,9.99,4700,9.910477
2016-07-25,9.39,10.16,9.17,10.04,23100,9.96008
2016-07-22,9.99,10.00,9.91,9.96,8000,9.880716
2016-07-21,9.99,10.00,9.92,9.92,2600,9.841035
2016-07-20,10.12,10.13,9.99,10.05,18800,9.97
2016-07-19,10.08,10.18,10.06,10.15,11600,10.069204
2016-07-18,10.02,10.19,9.60,10.12,29100,10.039443
2016-07-15,9.94,10.06,9.94,10.05,16900,9.97
2016-07-14,9.89,10.00,9.70,10.00,5600,9.920398
2016-07-13,9.90,9.90,9.73,9.90,10900,9.821194
2016-07-12,9.85,9.95,9.80,9.94,8400,9.860875
2016-07-11,9.70,9.82,9.59,9.82,15400,9.741831
2016-07-08,9.70,9.70,9.59,9.68,20100,9.602946
2016-07-07,9.66,9.69,9.60,9.69,6900,9.612865
2016-07-06,9.62,9.70,9.61,9.69,10800,9.612865
2016-07-05,9.80,9.80,9.44,9.72,11900,9.642627
2016-07-01,9.46,9.79,9.46,9.78,13000,9.702149
2016-06-30,9.14,9.59,9.14,9.46,11500,9.384697
2016-06-29,9.71,9.76,8.95,9.24,46000,9.166448
2016-06-28,9.70,9.71,9.68,9.68,3000,9.602946
2016-06-27,9.59,9.59,9.52,9.54,4400,9.46406
2016-06-24,9.51,9.81,9.47,9.72,14100,9.642627
2016-06-23,9.56,9.81,9.43,9.71,7300,9.632706
2016-06-22,9.76,9.76,9.30,9.75,3800,9.672388
2016-06-21,9.45,9.82,9.45,9.80,11000,9.72199
2016-06-20,9.65,9.66,9.46,9.50,11100,9.424378
2016-06-17,9.32,9.63,9.30,9.63,20800,9.553343
2016-06-16,9.50,9.50,9.32,9.40,1200,9.325174
2016-06-15,9.48,9.55,9.29,9.50,21900,9.424378
2016-06-14,9.64,9.64,9.35,9.48,8500,9.325174
2016-06-13,9.20,9.65,9.20,9.58,4400,9.423541
2016-06-10,9.62,9.62,9.53,9.54,5800,9.384194
2016-06-09,9.60,9.65,9.58,9.60,20500,9.443215
2016-06-08,9.60,9.60,9.58,9.60,10300,9.443215
2016-06-07,9.59,9.60,9.59,9.59,10300,9.433378
2016-06-06,9.60,9.60,9.59,9.60,18600,9.443215
2016-06-03,9.52,9.60,9.50,9.59,60200,9.433378
2016-06-02,9.54,9.54,9.43,9.49,7400,9.335011
2016-06-01,9.48,9.55,9.47,9.51,8500,9.354684
2016-05-31,9.46,9.55,9.36,9.42,12000,9.266154
2016-05-27,9.36,9.53,9.36,9.49,36500,9.335011
