Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,41.040001,41.040001,40.200001,40.470001,136700,40.470001
2016-10-06,41.07,41.169998,40.810001,41.139999,120600,41.139999
2016-10-05,40.98,41.209999,40.93,41.099998,200500,41.099998
2016-10-04,41.490002,41.549999,40.77,40.959999,103200,40.959999
2016-10-03,41.310001,41.509998,40.869999,41.50,367800,41.50
2016-09-30,41.709999,41.709999,41.290001,41.330002,177300,41.330002
2016-09-29,42.41,42.549999,41.41,41.419998,193500,41.419998
2016-09-28,41.470001,42.59,41.369999,42.57,250600,42.57
2016-09-27,41.619999,41.740002,40.560001,41.459999,234000,41.459999
2016-09-26,42.099998,42.099998,41.59,41.630001,165200,41.630001
2016-09-23,44.040001,44.040001,42.07,42.299999,243500,42.299999
2016-09-22,43.830002,44.290001,43.400002,44.119999,256100,44.119999
2016-09-21,42.939999,43.790001,42.869999,43.740002,129100,43.740002
2016-09-20,42.599998,43.450001,42.599998,42.84,144700,42.84
2016-09-19,42.709999,42.93,42.119999,42.369999,163000,42.369999
2016-09-16,43.080002,43.119999,42.299999,42.639999,243600,42.639999
2016-09-15,42.349998,43.110001,42.169998,43.00,130900,43.00
2016-09-14,41.919998,42.630001,41.84,42.439999,164700,42.439999
2016-09-13,42.91,42.91,41.779999,41.790001,151200,41.790001
2016-09-12,42.560001,43.189999,42.490002,43.09,128900,43.09
2016-09-09,43.720001,43.720001,42.450001,42.82,221600,42.635001
2016-09-08,44.610001,44.610001,43.880001,44.049999,85400,43.859686
2016-09-07,44.220001,44.759998,43.950001,44.619999,238800,44.427223
2016-09-06,44.610001,44.610001,43.959999,44.16,90300,43.969212
2016-09-02,44.439999,44.689999,44.139999,44.59,135500,44.397354
2016-09-01,43.849998,44.450001,43.639999,44.419998,223300,44.228087
2016-08-31,43.77,43.93,43.50,43.720001,210900,43.531114
2016-08-30,43.419998,43.779999,43.209999,43.709999,147800,43.521155
2016-08-29,43.470001,43.98,43.25,43.380001,110900,43.192583
2016-08-26,43.50,44.360001,43.099998,43.48,106000,43.292149
2016-08-25,43.080002,43.59,42.860001,43.43,142400,43.242366
2016-08-24,43.09,43.490002,42.900002,43.099998,144100,42.91379
2016-08-23,42.939999,43.32,42.84,43.080002,142400,42.89388
2016-08-22,42.200001,42.889999,42.200001,42.830002,228300,42.64496
2016-08-19,42.209999,42.57,42.119999,42.369999,167800,42.186944
2016-08-18,41.099998,42.330002,41.00,42.200001,347500,42.017681
2016-08-17,40.580002,41.200001,40.32,41.09,250200,40.912476
2016-08-16,40.52,40.939999,40.48,40.52,409200,40.344939
2016-08-15,40.310001,40.740002,40.139999,40.700001,107000,40.524161
2016-08-12,40.82,40.84,40.169998,40.330002,131500,40.155761
2016-08-11,41.049999,41.049999,40.619999,40.880001,143300,40.703384
2016-08-10,40.880001,41.16,40.669998,40.860001,142600,40.68347
2016-08-09,40.799999,40.939999,40.009998,40.740002,186700,40.563989
2016-08-08,41.299999,41.34,40.700001,40.810001,128300,40.633687
2016-08-05,40.34,41.450001,39.759998,41.169998,225800,40.992128
2016-08-04,41.290001,42.98,41.009998,41.610001,198100,41.430229
2016-08-03,40.200001,40.400002,39.650002,40.400002,148600,40.225458
2016-08-02,40.740002,42.639999,40.150002,40.150002,194200,39.976538
2016-08-01,40.330002,40.82,40.029999,40.740002,109900,40.563989
2016-07-29,40.799999,42.59,39.91,40.259998,226100,40.08606
2016-07-28,41.080002,42.599998,40.509998,40.880001,100000,40.703384
2016-07-27,41.720001,41.720001,40.880001,40.950001,190300,40.773081
2016-07-26,41.240002,41.57,40.860001,41.490002,369800,41.310749
2016-07-25,41.23,41.380001,40.880001,41.220001,89100,41.041915
2016-07-22,41.169998,41.52,41.029999,41.25,154500,41.071784
2016-07-21,41.540001,41.73,40.950001,41.09,105200,40.912476
2016-07-20,41.450001,41.599998,40.849998,41.580002,67000,41.40036
2016-07-19,41.48,41.580002,40.959999,41.200001,117100,41.022001
2016-07-18,41.560001,41.709999,41.349998,41.380001,80600,41.201224
2016-07-15,41.860001,42.490002,41.060001,41.57,97900,41.390401
2016-07-14,42.16,42.369999,41.57,41.68,61600,41.499927
2016-07-13,41.77,42.099998,41.619999,41.84,124000,41.659235
2016-07-12,41.740002,41.939999,41.049999,41.630001,186100,41.450144
2016-07-11,40.93,41.98,40.630001,41.43,163900,41.251007
2016-07-08,39.84,40.990002,39.84,40.959999,172600,40.783036
2016-07-07,39.889999,40.130001,39.380001,39.540001,94400,39.369173
2016-07-06,39.700001,39.810001,39.41,39.779999,128400,39.608134
2016-07-05,40.119999,40.330002,39.650002,39.900002,131900,39.727618
2016-07-01,40.290001,40.68,40.139999,40.349998,96500,40.175671
2016-06-30,39.540001,40.32,39.310001,40.310001,186200,40.135847
2016-06-29,39.599998,39.599998,39.150002,39.450001,178000,39.279562
2016-06-28,39.009998,39.959999,38.759998,39.18,146700,39.010728
2016-06-27,39.689999,39.689999,38.470001,38.650002,179000,38.483019
2016-06-24,39.790001,40.27,39.360001,40.060001,182600,39.886927
2016-06-23,41.00,41.32,40.98,41.150002,141500,40.972218
2016-06-22,40.860001,41.299999,40.779999,40.799999,160000,40.623728
2016-06-21,41.150002,41.150002,40.48,40.689999,234900,40.514202
2016-06-20,40.889999,41.619999,40.470001,40.939999,330500,40.763122
2016-06-17,41.41,41.41,40.150002,40.380001,327900,40.205544
2016-06-16,41.18,41.490002,40.41,41.279999,330400,41.101653
2016-06-15,42.060001,42.060001,41.290001,41.299999,273400,41.121567
2016-06-14,41.509998,41.990002,41.279999,41.900002,97700,41.718977
2016-06-13,42.02,42.099998,41.470001,41.549999,115900,41.370487
2016-06-10,42.759998,42.759998,42.099998,42.189999,139300,41.823521
2016-06-09,43.139999,43.27,42.790001,43.09,88000,42.715705
2016-06-08,43.009998,43.34,42.450001,43.25,109400,42.874315
2016-06-07,42.509998,43.09,42.32,42.93,109900,42.557095
2016-06-06,42.50,42.720001,42.189999,42.50,115200,42.13083
2016-06-03,42.720001,42.720001,42.220001,42.48,87300,42.111003
2016-06-02,42.439999,42.700001,41.950001,42.689999,193600,42.319178
2016-06-01,42.27,42.799999,42.02,42.57,179000,42.200221
2016-05-31,42.689999,42.990002,42.16,42.509998,208800,42.140741
2016-05-27,42.57,42.959999,41.860001,42.639999,125100,42.269613
2016-05-26,42.470001,42.889999,42.23,42.43,60700,42.061438
2016-05-25,42.41,42.470001,41.889999,42.27,249200,41.902828
2016-05-24,41.790001,42.66,41.790001,42.439999,189400,42.071349
2016-05-23,41.709999,41.98,41.439999,41.470001,130100,41.109778
2016-05-20,41.049999,41.639999,40.689999,41.619999,190000,41.258472
2016-05-19,40.939999,41.130001,39.880001,40.779999,204400,40.425769
2016-05-18,40.84,41.459999,40.639999,41.00,156000,40.643859
2016-05-17,42.25,42.25,40.810001,40.990002,415500,40.633948
2016-05-16,41.939999,42.349998,41.73,42.32,271900,41.952393
2016-05-13,42.150002,42.209999,41.619999,41.709999,141300,41.347691
2016-05-12,42.349998,42.470001,41.700001,42.060001,189300,41.694653
2016-05-11,42.720001,43.299999,41.970001,42.110001,198400,41.744218
2016-05-10,42.34,42.740002,42.220001,42.720001,161100,42.34892
2016-05-09,41.869999,42.59,41.849998,42.119999,197200,41.754129
2016-05-06,41.130001,42.080002,41.130001,42.040001,320200,41.674826
2016-05-05,42.919998,44.610001,41.009998,41.240002,381400,40.881776
2016-05-04,44.049999,44.400002,43.950001,44.02,160900,43.637627
2016-05-03,44.700001,45.23,44.25,44.27,157300,43.885455
2016-05-02,44.50,45.34,44.459999,45.080002,234800,44.688421
2016-04-29,44.93,44.93,43.400002,44.380001,217800,43.9945
2016-04-28,45.34,45.689999,44.939999,45.02,222300,44.62894
2016-04-27,45.299999,45.77,44.880001,45.279999,299900,44.88668
2016-04-26,45.389999,45.869999,44.939999,45.200001,253300,44.807377
2016-04-25,45.150002,45.50,45.02,45.209999,148200,44.817289
2016-04-22,44.959999,45.450001,44.349998,45.34,316300,44.94616
2016-04-21,45.610001,45.740002,45.060001,45.139999,172100,44.747897
2016-04-20,45.869999,46.169998,45.450001,45.450001,163000,45.055206
2016-04-19,45.73,46.080002,45.470001,45.82,199700,45.421991
2016-04-18,45.169998,45.639999,45.169998,45.630001,212700,45.233642
2016-04-15,45.560001,45.720001,45.240002,45.299999,183200,44.906507
2016-04-14,45.799999,45.849998,45.349998,45.560001,81000,45.164251
2016-04-13,45.209999,45.84,44.919998,45.830002,308500,45.431906
2016-04-12,45.389999,45.419998,44.450001,44.759998,309900,44.371197
2016-04-11,45.830002,45.830002,44.849998,44.919998,539100,44.529807
2016-04-08,45.950001,46.169998,44.900002,45.389999,276900,44.995725
2016-04-07,45.380001,46.540001,45.380001,45.639999,561000,45.243554
2016-04-06,45.240002,45.709999,45.09,45.700001,493900,45.303034
2016-04-05,45.240002,45.779999,44.880001,45.169998,389600,44.777635
2016-04-04,45.75,45.990002,44.889999,45.330002,525000,44.936249
2016-04-01,45.16,45.93,44.970001,45.84,437600,45.441817
2016-03-31,44.779999,45.959999,44.779999,45.16,480600,44.767724
2016-03-30,44.41,45.09,44.380001,44.970001,455300,44.579375
2016-03-29,43.43,44.529999,42.23,44.310001,562800,43.925109
2016-03-28,42.209999,43.580002,42.130001,43.400002,385600,43.023013
2016-03-24,41.91,42.32,41.91,42.240002,513300,41.87309
2016-03-23,42.439999,42.529999,42.07,42.240002,468900,41.87309
2016-03-22,42.18,42.400002,42.009998,42.310001,420600,41.942481
2016-03-21,42.52,42.599998,42.119999,42.209999,394700,41.843348
2016-03-18,42.549999,42.59,42.23,42.389999,498200,42.021784
2016-03-17,40.860001,42.540001,40.860001,42.290001,487700,41.922655
2016-03-16,39.549999,40.50,39.32,40.419998,387400,40.068895
2016-03-15,39.00,39.759998,39.00,39.439999,569000,39.097408
