Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,12.37,12.60,12.14,12.28,438300,12.28
2016-10-06,12.12,12.36,12.04,12.28,149000,12.28
2016-10-05,12.25,12.32,12.12,12.13,148400,12.13
2016-10-04,12.28,12.32,12.04,12.20,148700,12.20
2016-10-03,12.37,12.38,12.09,12.25,177400,12.25
2016-09-30,12.12,12.33,12.06,12.28,203700,12.28
2016-09-29,12.30,12.32,12.02,12.06,150000,12.06
2016-09-28,12.22,12.34,12.16,12.22,519500,12.22
2016-09-27,12.01,12.19,12.01,12.08,318700,12.08
2016-09-26,11.87,12.42,11.82,12.04,782500,12.04
2016-09-23,10.95,12.07,10.94,11.87,1863100,11.87
2016-09-22,11.10,11.38,10.89,11.02,91300,11.02
2016-09-21,10.89,11.01,10.76,10.98,76500,10.98
2016-09-20,10.93,10.96,10.76,10.83,65800,10.83
2016-09-19,10.88,11.06,10.81,10.89,123100,10.89
2016-09-16,11.02,11.14,10.51,10.85,332400,10.85
2016-09-15,10.79,11.06,10.65,11.02,131600,11.02
2016-09-14,10.70,10.85,10.60,10.76,93300,10.76
2016-09-13,11.00,11.04,10.68,10.72,172500,10.72
2016-09-12,10.77,11.08,10.67,11.02,128200,11.02
2016-09-09,11.16,11.16,10.80,10.80,189200,10.80
2016-09-08,11.20,11.28,11.03,11.18,127300,11.18
2016-09-07,11.43,11.45,11.03,11.24,229100,11.24
2016-09-06,11.47,11.47,11.34,11.40,90200,11.40
2016-09-02,11.50,11.50,11.11,11.39,167200,11.39
2016-09-01,11.05,11.44,10.95,11.43,189400,11.43
2016-08-31,11.30,11.41,11.00,11.05,210000,11.05
2016-08-30,11.20,11.47,11.13,11.27,162300,11.27
2016-08-29,11.30,11.35,11.21,11.23,135000,11.23
2016-08-26,11.25,11.49,11.19,11.30,231500,11.30
2016-08-25,11.28,11.40,11.12,11.24,164800,11.24
2016-08-24,11.32,11.37,11.29,11.35,178600,11.35
2016-08-23,11.40,11.45,11.23,11.37,266400,11.37
2016-08-22,11.52,11.58,11.15,11.41,320400,11.41
2016-08-19,11.41,11.56,11.35,11.50,278400,11.50
2016-08-18,11.34,11.47,11.24,11.41,287200,11.41
2016-08-17,11.07,11.65,10.98,11.40,657300,11.40
2016-08-16,11.03,11.07,10.82,10.96,424800,10.96
2016-08-15,11.03,11.28,11.03,11.16,239900,11.16
2016-08-12,10.94,11.28,10.78,11.08,285100,11.08
2016-08-11,10.86,11.03,10.67,10.92,622200,10.92
2016-08-10,10.91,11.03,10.50,10.95,352900,10.95
2016-08-09,10.72,10.93,10.41,10.91,619100,10.91
2016-08-08,11.00,11.00,10.64,10.89,684500,10.89
2016-08-05,10.22,11.00,9.73,10.87,1134400,10.87
2016-08-04,8.86,9.60,8.85,9.51,461800,9.51
2016-08-03,8.61,8.89,8.50,8.87,104000,8.87
2016-08-02,8.80,8.87,8.51,8.63,108700,8.63
2016-08-01,8.70,8.85,8.54,8.78,119200,8.78
2016-07-29,8.53,8.75,8.39,8.71,93300,8.71
2016-07-28,8.56,8.79,8.41,8.55,55600,8.55
2016-07-27,8.47,8.66,8.41,8.58,34000,8.58
2016-07-26,8.47,8.68,8.23,8.45,71200,8.45
2016-07-25,8.38,8.47,8.03,8.45,81100,8.45
2016-07-22,8.59,8.69,8.37,8.40,66100,8.40
2016-07-21,8.64,8.78,8.56,8.61,67400,8.61
2016-07-20,8.59,8.69,8.38,8.66,83500,8.66
2016-07-19,8.73,8.89,8.56,8.57,109900,8.57
2016-07-18,8.64,8.81,8.59,8.77,78300,8.77
2016-07-15,8.63,8.78,8.43,8.69,127000,8.69
2016-07-14,8.64,8.75,8.54,8.56,131800,8.56
2016-07-13,8.60,8.68,8.40,8.58,90400,8.58
2016-07-12,8.47,8.71,8.10,8.66,135400,8.66
2016-07-11,8.29,8.54,8.26,8.38,158300,8.38
2016-07-08,8.21,8.40,8.12,8.23,110000,8.23
2016-07-07,8.12,8.25,8.02,8.13,92400,8.13
2016-07-06,7.99,8.25,7.81,8.11,67900,8.11
2016-07-05,7.92,8.20,7.84,8.07,67400,8.07
2016-07-01,8.18,8.29,8.00,8.03,90500,8.03
2016-06-30,8.05,8.17,7.84,8.16,206800,8.16
2016-06-29,7.93,8.07,7.93,7.99,126900,7.99
2016-06-28,7.92,8.12,7.79,7.98,112700,7.98
2016-06-27,8.22,8.22,7.79,7.85,155900,7.85
2016-06-24,8.09,8.41,8.04,8.36,159700,8.36
2016-06-23,8.42,8.60,8.20,8.50,116400,8.50
2016-06-22,8.05,8.31,7.96,8.29,111400,8.29
2016-06-21,8.16,8.20,7.93,8.05,72000,8.05
2016-06-20,8.26,8.30,7.98,8.12,107400,8.12
2016-06-17,8.03,8.34,7.98,8.15,295000,8.15
2016-06-16,7.80,8.05,7.68,8.03,83900,8.03
2016-06-15,7.71,8.01,7.61,7.89,74400,7.89
2016-06-14,7.59,7.84,7.56,7.68,48700,7.68
2016-06-13,7.77,7.80,7.59,7.61,86000,7.61
2016-06-10,7.89,8.01,7.77,7.80,87600,7.80
2016-06-09,7.84,7.96,7.69,7.93,59700,7.93
2016-06-08,7.79,7.88,7.75,7.85,70900,7.85
2016-06-07,7.72,7.79,7.58,7.75,44100,7.75
2016-06-06,7.59,7.74,7.58,7.72,34500,7.72
2016-06-03,7.57,7.65,7.52,7.59,61800,7.59
2016-06-02,7.79,7.82,7.50,7.55,87700,7.55
