Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,19.99,19.99,19.99,19.99,700,19.99
2016-10-06,19.50,20.07,19.50,19.84,6900,19.84
2016-10-05,20.10,20.120001,19.41,19.41,2500,19.41
2016-10-04,19.17,19.809999,19.16,19.299999,10400,19.299999
2016-10-03,19.870001,19.870001,19.16,19.530001,4500,19.530001
2016-09-30,19.90,19.90,19.41,19.799999,5000,19.799999
2016-09-29,20.01,20.27,19.82,19.959999,6000,19.959999
2016-09-28,20.42,20.50,20.059999,20.07,8400,20.07
2016-09-27,20.639999,20.639999,20.219999,20.59,1900,20.59
2016-09-26,20.83,21.24,20.129999,20.83,12900,20.83
2016-09-23,20.559999,21.09,20.32,20.84,7900,20.84
2016-09-22,20.879999,21.59,20.52,20.620001,14300,20.620001
2016-09-21,21.35,21.360001,20.51,20.75,11200,20.75
2016-09-20,21.33,21.60,20.559999,21.469999,8000,21.469999
2016-09-19,21.40,21.639999,21.17,21.450001,6100,21.450001
2016-09-16,21.690001,21.799999,21.110001,21.120001,139100,21.120001
2016-09-15,21.68,21.90,21.49,21.790001,14000,21.790001
2016-09-14,21.50,21.90,20.959999,21.75,22800,21.75
2016-09-13,21.65,21.90,20.559999,21.799999,31900,21.799999
2016-09-12,20.59,22.00,20.26,21.75,24300,21.75
2016-09-09,20.440001,21.129999,19.799999,20.75,25200,20.75
2016-09-08,22.42,22.559999,20.75,21.190001,51900,21.190001
2016-09-07,19.77,22.99,19.48,21.860001,119000,21.860001
2016-09-06,17.40,20.82,17.299999,19.41,89700,19.41
2016-09-02,16.90,16.90,16.90,16.90,43700,16.90
2016-09-01,17.09,17.09,17.09,17.09,000,17.09
2016-08-31,17.02,17.09,17.02,17.09,2200,17.09
2016-08-30,17.120001,17.26,17.00,17.00,1200,17.00
2016-08-29,17.00,17.16,16.90,16.90,13800,16.90
2016-08-26,16.65,17.389999,16.65,16.93,8300,16.93
2016-08-25,16.65,17.49,16.65,17.48,600,17.48
2016-08-24,16.65,16.65,16.65,16.65,1100,16.65
2016-08-23,16.65,16.65,16.65,16.65,000,16.65
2016-08-22,16.49,16.65,16.49,16.65,1400,16.65
2016-08-19,16.299999,16.50,16.299999,16.50,5600,16.50
2016-08-18,16.34,16.40,16.34,16.40,1400,16.40
2016-08-17,16.299999,16.299999,16.200001,16.200001,10100,16.200001
2016-08-16,16.40,16.40,16.40,16.40,100,16.40
2016-08-15,16.049999,16.440001,16.049999,16.440001,13500,16.440001
2016-08-12,15.84,16.09,15.84,16.030001,11400,16.030001
2016-08-11,15.67,15.75,15.67,15.75,3400,15.75
2016-08-10,15.50,15.65,15.50,15.65,7700,15.65
2016-08-09,15.48,15.48,15.48,15.48,200,15.48
2016-08-08,15.50,15.50,15.50,15.50,100,15.50
2016-08-05,15.54,15.54,15.53,15.53,300,15.53
2016-08-04,15.54,15.55,15.46,15.46,4200,15.46
2016-08-03,15.53,15.53,15.53,15.53,000,15.53
2016-08-02,15.45,15.53,15.45,15.53,200,15.53
2016-08-01,15.55,15.55,15.40,15.40,12600,15.40
2016-07-29,15.48,15.60,15.48,15.60,21400,15.60
2016-07-28,15.48,15.50,15.45,15.49,6600,15.49
2016-07-27,15.25,15.49,15.25,15.49,13300,15.49
2016-07-26,15.20,15.20,15.20,15.20,4000,15.20
2016-07-25,15.50,15.50,15.20,15.24,6400,15.24
2016-07-22,15.53,15.53,15.53,15.53,000,15.53
2016-07-21,15.53,15.53,15.53,15.53,000,15.53
2016-07-20,15.53,15.53,15.53,15.53,000,15.53
2016-07-19,15.53,15.53,15.53,15.53,300,15.53
2016-07-18,15.50,15.50,15.35,15.35,1400,15.35
2016-07-15,15.55,15.55,15.52,15.52,200,15.52
2016-07-14,15.30,15.30,15.30,15.30,000,15.30
2016-07-13,15.30,15.32,15.30,15.30,1400,15.30
2016-07-12,15.42,15.42,15.42,15.42,100,15.42
2016-07-11,15.47,15.47,15.47,15.47,000,15.47
2016-07-08,15.47,15.47,15.47,15.47,000,15.47
2016-07-07,15.25,15.47,15.25,15.47,2100,15.47
2016-07-06,15.45,15.45,15.45,15.45,000,15.45
2016-07-05,15.45,15.45,15.45,15.45,200,15.45
2016-07-01,15.27,15.27,15.27,15.27,000,15.27
2016-06-30,15.27,15.27,15.27,15.27,000,15.27
2016-06-29,15.28,15.28,15.25,15.27,2300,15.27
2016-06-28,15.23,15.25,15.10,15.25,24300,15.25
2016-06-27,15.02,15.43,15.01,15.10,2400,15.10
2016-06-24,15.31,15.48,15.15,15.15,6200,15.15
2016-06-23,15.51,15.61,15.37,15.60,5200,15.60
2016-06-22,15.26,15.54,15.26,15.54,500,15.54
2016-06-21,15.21,15.49,15.21,15.49,1200,15.49
2016-06-20,15.13,15.13,15.13,15.13,000,15.13
2016-06-17,15.59,15.59,15.13,15.13,9800,15.13
2016-06-16,15.60,15.60,15.40,15.60,3500,15.60
2016-06-15,15.49,15.60,15.40,15.41,3000,15.41
2016-06-14,15.54,15.60,15.45,15.60,1400,15.60
2016-06-13,15.54,15.65,15.54,15.60,800,15.60
2016-06-10,15.70,15.70,15.60,15.60,900,15.60
2016-06-09,15.70,16.00,15.58,15.60,8600,15.60
2016-06-08,15.70,15.90,15.46,15.60,6900,15.60
2016-06-07,15.69,15.70,15.69,15.70,2900,15.70
2016-06-06,15.69,15.70,15.66,15.70,2500,15.70
2016-06-03,15.69,15.69,15.50,15.50,400,15.50
2016-06-02,15.46,15.46,15.46,15.46,300,15.46
2016-06-01,15.49,15.69,15.49,15.69,2300,15.69
2016-05-31,15.49,15.49,15.49,15.49,100,15.49
2016-05-27,15.68,15.69,15.40,15.40,1800,15.40
2016-05-26,15.25,15.58,15.25,15.43,11200,15.43
