Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,21.40,21.58,21.40,21.58,3200,21.58
2016-10-06,21.639999,21.75,21.440001,21.629999,2300,21.629999
2016-10-05,21.49,21.75,21.48,21.73,7400,21.73
2016-10-04,21.459999,21.50,21.309999,21.41,6300,21.41
2016-10-03,21.809999,21.809999,21.40,21.459999,15000,21.459999
2016-09-30,21.459999,21.90,21.40,21.879999,20900,21.879999
2016-09-29,21.440001,21.49,21.360001,21.40,3900,21.40
2016-09-28,21.459999,21.50,21.40,21.48,6900,21.48
2016-09-27,21.40,21.549999,21.40,21.50,9800,21.50
2016-09-26,21.42,21.450001,21.370001,21.370001,8000,21.370001
2016-09-23,21.450001,21.58,21.379999,21.51,12200,21.51
2016-09-22,21.43,21.58,21.35,21.549999,11600,21.549999
2016-09-21,21.43,21.49,21.25,21.450001,8200,21.450001
2016-09-20,21.299999,21.379999,21.23,21.370001,5100,21.370001
2016-09-19,21.08,21.290001,21.08,21.27,12600,21.27
2016-09-16,21.50,21.50,20.799999,20.85,54600,20.85
2016-09-15,21.10,21.549999,21.10,21.469999,13800,21.469999
2016-09-14,21.190001,21.469999,21.10,21.280001,15900,21.280001
2016-09-13,21.10,21.200001,21.10,21.129999,12500,21.129999
2016-09-12,21.030001,21.200001,21.00,21.200001,18500,21.200001
2016-09-09,21.23,21.24,21.10,21.129999,20900,21.129999
2016-09-08,21.18,21.24,21.09,21.139999,31500,21.139999
2016-09-07,21.200001,21.25,21.18,21.23,12300,21.23
2016-09-06,21.059999,21.33,20.860001,21.18,12000,21.18
2016-09-02,20.90,20.99,20.82,20.98,12400,20.98
2016-09-01,20.889999,20.90,20.75,20.90,11800,20.90
2016-08-31,20.700001,20.90,20.700001,20.809999,5000,20.809999
2016-08-30,20.870001,20.90,20.84,20.84,6200,20.84
2016-08-29,20.889999,20.889999,20.799999,20.83,5400,20.83
2016-08-26,20.860001,20.889999,20.639999,20.879999,2200,20.879999
2016-08-25,21.200001,21.25,20.66,20.799999,6400,20.799999
2016-08-24,21.40,21.40,20.02,21.200001,12400,21.200001
2016-08-23,21.27,21.49,21.26,21.389999,6800,21.389999
2016-08-22,21.25,21.34,21.209999,21.25,4300,21.25
2016-08-19,21.17,21.35,21.08,21.280001,20300,21.280001
2016-08-18,21.25,21.25,20.83,21.190001,6600,21.190001
2016-08-17,21.00,21.299999,20.879999,21.290001,3400,21.290001
2016-08-16,21.25,21.450001,20.75,21.209999,10600,21.209999
2016-08-15,21.309999,21.49,20.969999,21.370001,7300,21.370001
2016-08-12,21.110001,21.35,20.940001,21.309999,11100,21.309999
2016-08-11,21.049999,21.24,21.049999,21.17,4900,21.17
2016-08-10,21.280001,21.280001,20.76,20.950001,2700,20.950001
2016-08-09,20.92,21.23,20.809999,21.219999,4600,21.219999
2016-08-08,20.950001,20.950001,20.52,20.870001,2400,20.870001
2016-08-05,20.540001,20.83,20.540001,20.83,7100,20.83
2016-08-04,20.65,21.00,20.51,20.610001,4000,20.610001
2016-08-03,20.389999,20.77,20.370001,20.59,5400,20.59
2016-08-02,20.549999,20.889999,20.50,20.530001,6400,20.530001
2016-08-01,21.02,21.280001,20.620001,20.639999,10200,20.639999
2016-07-29,21.35,21.43,20.790001,21.209999,13800,21.209999
2016-07-28,21.049999,21.40,21.049999,21.379999,12800,21.379999
2016-07-27,21.50,21.50,20.59,21.299999,12700,21.299999
2016-07-26,20.90,21.629999,20.90,21.49,18800,21.49
2016-07-25,21.33,21.459999,19.950001,21.049999,12700,21.049999
