Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,13.24,13.24,13.24,13.24,000,13.24
2016-10-06,13.24,13.24,13.24,13.24,000,13.24
2016-10-05,13.23,13.55,13.23,13.24,9000,13.24
2016-10-04,13.40,13.40,13.40,13.40,400,13.40
2016-10-03,13.51,13.52,13.24,13.39,10400,13.39
2016-09-30,13.20,13.70,13.20,13.70,1500,13.70
2016-09-29,13.71,13.71,13.25,13.25,4900,13.25
2016-09-28,13.52,13.52,13.13,13.13,400,13.13
2016-09-27,13.33,13.33,13.27,13.33,6300,13.33
2016-09-26,13.41,13.41,13.31,13.32,400,13.32
2016-09-23,13.82,13.82,13.47,13.50,2500,13.50
2016-09-22,13.60,13.60,13.43,13.43,500,13.43
2016-09-21,13.33,13.33,13.33,13.33,000,13.33
2016-09-20,13.20,13.33,13.20,13.33,1300,13.33
2016-09-19,13.20,13.20,13.20,13.20,000,13.20
2016-09-16,13.43,13.44,13.20,13.20,4800,13.20
2016-09-15,13.41,13.71,13.40,13.45,2800,13.45
2016-09-14,13.38,13.45,13.38,13.45,2100,13.45
2016-09-13,13.21,13.39,13.21,13.36,2600,13.36
2016-09-12,13.45,13.50,13.11,13.11,3400,13.11
2016-09-09,13.46,13.49,13.27,13.40,9800,13.40
2016-09-08,13.38,13.45,13.12,13.44,5500,13.44
2016-09-07,13.45,13.45,13.23,13.24,6000,13.24
2016-09-06,13.53,13.75,13.15,13.47,4500,13.47
2016-09-02,13.40,13.71,13.40,13.64,6500,13.64
2016-09-01,13.39,13.53,13.39,13.49,15000,13.49
2016-08-31,13.24,13.34,13.24,13.33,4700,13.33
2016-08-30,13.17,13.24,13.10,13.24,16200,13.24
2016-08-29,13.20,13.20,13.10,13.16,1500,13.16
2016-08-26,13.10,13.10,13.10,13.10,000,13.10
2016-08-25,13.05,13.10,13.05,13.10,1200,13.10
2016-08-24,13.10,13.20,13.10,13.20,3400,13.20
2016-08-23,13.08,13.12,13.08,13.12,6700,13.12
2016-08-22,12.98,13.09,12.98,13.08,4100,13.08
2016-08-19,12.84,12.98,12.73,12.98,7800,12.98
2016-08-18,12.88,12.89,12.79,12.84,3300,12.84
2016-08-17,12.69,12.84,12.69,12.77,12800,12.77
2016-08-16,12.60,12.60,12.60,12.60,000,12.60
2016-08-15,12.62,12.62,12.60,12.60,3700,12.60
2016-08-12,12.60,12.65,12.45,12.62,21700,12.62
2016-08-11,12.60,12.65,12.60,12.65,7500,12.65
2016-08-10,12.60,12.60,12.60,12.60,200,12.60
2016-08-09,12.64,12.64,12.55,12.60,2700,12.60
2016-08-08,12.67,12.67,12.67,12.67,300,12.67
