Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.69,4.69,4.58,4.60,7400,4.60
2016-10-06,4.71,4.71,4.60,4.61,24900,4.61
2016-10-05,4.71,4.71,4.65,4.68,8100,4.68
2016-10-04,4.57,4.66,4.57,4.65,34000,4.65
2016-10-03,4.47,4.66,4.43,4.54,21900,4.54
2016-09-30,4.58,4.58,4.41,4.42,21000,4.42
2016-09-29,4.64,4.68,4.54,4.54,12100,4.54
2016-09-28,4.45,4.63,4.42,4.61,27500,4.61
2016-09-27,4.58,4.61,4.43,4.43,21200,4.43
2016-09-26,4.72,4.72,4.50,4.51,11600,4.51
2016-09-23,4.90,4.90,4.53,4.59,45400,4.59
2016-09-22,4.89,4.90,4.80,4.81,4100,4.81
2016-09-21,4.89,4.90,4.76,4.77,17500,4.77
2016-09-20,4.90,4.94,4.86,4.90,11900,4.90
2016-09-19,4.76,4.93,4.76,4.87,16400,4.87
2016-09-16,4.89,4.91,4.80,4.80,15100,4.80
2016-09-15,4.93,4.94,4.88,4.91,1800,4.91
2016-09-14,5.03,5.03,4.92,4.93,2800,4.93
2016-09-13,5.01,5.09,4.88,4.93,10600,4.93
2016-09-12,4.94,5.26,4.94,5.17,8900,5.17
2016-09-09,5.04,5.15,4.87,4.95,23600,4.95
2016-09-08,5.13,5.28,4.92,5.10,36600,5.10
2016-09-07,5.30,5.30,5.10,5.20,18100,5.20
2016-09-06,5.29,5.48,5.29,5.36,32500,5.36
2016-09-02,4.91,5.88,4.85,5.29,603900,5.29
2016-09-01,4.88,4.88,4.83,4.85,5700,4.85
2016-08-31,4.81,5.00,4.81,4.88,23300,4.88
2016-08-30,4.99,5.00,4.93,5.00,21200,5.00
2016-08-29,4.73,4.99,4.72,4.99,43500,4.99
2016-08-26,4.76,4.81,4.72,4.77,11900,4.77
2016-08-25,4.84,4.95,4.68,4.79,27300,4.79
2016-08-24,4.92,5.00,4.83,4.85,33600,4.85
2016-08-23,4.79,4.99,4.79,4.92,16800,4.92
2016-08-22,4.92,4.96,4.80,4.82,70000,4.82
2016-08-19,4.81,5.00,4.81,4.94,62200,4.94
2016-08-18,4.85,4.92,4.85,4.88,19800,4.88
2016-08-17,4.80,4.88,4.76,4.87,6700,4.87
2016-08-16,4.73,4.88,4.73,4.84,74300,4.84
2016-08-15,4.73,4.79,4.71,4.73,19300,4.73
2016-08-12,4.82,4.89,4.76,4.76,15800,4.76
2016-08-11,4.88,4.91,4.76,4.82,25200,4.82
2016-08-10,4.90,4.96,4.85,4.91,34200,4.91
2016-08-09,4.71,4.98,4.71,4.96,32400,4.96
2016-08-08,4.82,4.94,4.48,4.77,48200,4.77
2016-08-05,4.85,4.96,4.80,4.86,58500,4.86
2016-08-04,4.45,4.70,4.45,4.50,25500,4.50
2016-08-03,4.65,4.65,4.41,4.51,12400,4.51
2016-08-02,4.50,4.73,4.50,4.67,20100,4.67
2016-08-01,4.50,4.54,4.40,4.53,6900,4.53
2016-07-29,4.56,4.76,4.35,4.52,20000,4.52
2016-07-28,4.37,4.65,4.33,4.60,11800,4.60
2016-07-27,4.43,4.65,4.38,4.38,11500,4.38
2016-07-26,4.59,4.61,4.35,4.47,4600,4.47
2016-07-25,4.55,4.56,4.42,4.45,10100,4.45
2016-07-22,4.61,4.61,4.47,4.47,14500,4.47
2016-07-21,4.39,4.70,4.39,4.70,22700,4.70
2016-07-20,4.75,4.76,4.38,4.41,14600,4.41
2016-07-19,4.29,4.50,4.29,4.41,9600,4.41
2016-07-18,4.47,4.49,4.29,4.35,8600,4.35
2016-07-15,4.70,4.74,4.37,4.39,34200,4.39
2016-07-14,4.60,4.88,4.30,4.66,90100,4.66
2016-07-13,3.82,4.70,3.82,4.60,209500,4.60
2016-07-12,3.74,3.79,3.71,3.77,15200,3.77
2016-07-11,3.57,3.77,3.57,3.75,10900,3.75
2016-07-08,3.58,3.75,3.58,3.67,10600,3.67
2016-07-07,3.46,3.50,3.32,3.50,14000,3.50
2016-07-06,3.30,3.43,3.29,3.43,18100,3.43
2016-07-05,3.35,3.37,3.18,3.21,11900,3.21
2016-07-01,3.19,3.36,3.19,3.34,16600,3.34
2016-06-30,3.25,3.26,3.09,3.19,19400,3.19
2016-06-29,3.36,3.36,3.26,3.26,5100,3.26
2016-06-28,3.39,3.39,3.31,3.36,72300,3.36
2016-06-27,3.37,3.40,3.09,3.26,42600,3.26
2016-06-24,3.35,3.38,3.27,3.28,6500,3.28
2016-06-23,3.44,3.45,3.39,3.39,13900,3.39
2016-06-22,3.40,3.43,3.40,3.43,1000,3.43
2016-06-21,3.43,3.43,3.39,3.41,3900,3.41
2016-06-20,3.38,3.42,3.38,3.40,3900,3.40
2016-06-17,3.35,3.51,3.35,3.38,3000,3.38
2016-06-16,3.36,3.41,3.35,3.35,2500,3.35
2016-06-15,3.41,3.41,3.36,3.40,8300,3.40
2016-06-14,3.48,3.53,3.38,3.44,2400,3.44
