Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,24.27,25.299999,23.280001,25.24,196500,25.24
2016-10-06,24.49,24.549999,23.77,24.08,105000,24.08
2016-10-05,24.66,24.90,24.25,24.65,89400,24.65
2016-10-04,25.00,25.200001,24.16,24.549999,132800,24.549999
2016-10-03,24.629999,25.309999,24.27,25.059999,108000,25.059999
2016-09-30,24.24,24.870001,24.049999,24.58,94000,24.58
2016-09-29,25.10,25.10,24.049999,24.190001,62200,24.190001
2016-09-28,24.110001,25.41,23.450001,25.280001,101300,25.280001
2016-09-27,23.139999,24.690001,23.00,24.040001,163400,24.040001
2016-09-26,23.879999,24.99,22.709999,23.370001,213100,23.370001
2016-09-23,23.950001,24.02,23.280001,23.77,105600,23.77
2016-09-22,25.049999,25.110001,23.18,24.030001,148600,24.030001
2016-09-21,23.35,24.799999,23.26,24.620001,232400,24.620001
2016-09-20,21.549999,23.16,21.26,22.860001,198000,22.860001
2016-09-19,21.58,21.92,20.950001,21.469999,44400,21.469999
2016-09-16,21.75,22.08,20.83,21.59,60000,21.59
2016-09-15,21.43,22.040001,21.299999,21.639999,51300,21.639999
2016-09-14,21.059999,21.73,20.709999,21.299999,43000,21.299999
2016-09-13,21.92,22.16,20.860001,21.110001,63100,21.110001
2016-09-12,20.370001,22.10,20.290001,21.91,123600,21.91
2016-09-09,21.549999,21.68,20.49,20.629999,86500,20.629999
2016-09-08,22.26,22.309999,21.559999,21.82,43900,21.82
2016-09-07,21.90,22.26,21.90,22.129999,72500,22.129999
2016-09-06,21.059999,21.799999,21.02,21.68,73200,21.68
2016-09-02,20.50,21.290001,20.26,21.110001,40400,21.110001
2016-09-01,20.049999,20.82,20.049999,20.58,72800,20.58
2016-08-31,20.389999,20.73,19.66,20.209999,58800,20.209999
2016-08-30,21.60,21.60,20.200001,20.309999,83200,20.309999
2016-08-29,19.75,21.65,19.74,21.559999,428700,21.559999
2016-08-26,17.76,19.75,17.690001,19.65,166600,19.65
2016-08-25,17.280001,18.00,17.049999,17.41,42400,17.41
2016-08-24,16.879999,17.450001,16.52,17.379999,99300,17.379999
2016-08-23,16.620001,17.379999,16.610001,16.83,50800,16.83
2016-08-22,17.200001,17.219999,16.41,16.67,45200,16.67
2016-08-19,16.92,17.51,16.92,17.15,39900,17.15
2016-08-18,17.17,17.469999,16.84,16.92,50900,16.92
2016-08-17,17.15,17.23,16.950001,17.129999,43700,17.129999
2016-08-16,17.26,17.379999,17.040001,17.290001,20800,17.290001
2016-08-15,17.34,17.67,17.040001,17.299999,42000,17.299999
2016-08-12,17.93,17.93,17.09,17.23,55300,17.23
2016-08-11,17.370001,17.40,17.07,17.25,21500,17.25
2016-08-10,17.49,17.67,17.059999,17.42,16600,17.42
2016-08-09,17.35,18.08,17.200001,17.469999,45200,17.469999
2016-08-08,17.719999,17.780001,16.809999,17.40,48400,17.40
2016-08-05,17.75,18.18,17.559999,17.809999,68000,17.809999
2016-08-04,17.879999,17.90,17.559999,17.639999,32500,17.639999
2016-08-03,17.299999,17.959999,16.879999,17.91,53800,17.91
2016-08-02,17.379999,17.799999,16.77,17.52,96700,17.52
2016-08-01,17.450001,17.879999,16.969999,17.360001,85900,17.360001
2016-07-29,17.33,17.690001,15.43,17.27,259500,17.27
2016-07-28,19.26,19.34,18.780001,18.879999,48300,18.879999
2016-07-27,19.40,19.450001,19.02,19.190001,34800,19.190001
2016-07-26,17.950001,19.360001,17.950001,19.34,103800,19.34
2016-07-25,18.209999,18.25,17.73,17.969999,49000,17.969999
2016-07-22,18.190001,18.309999,18.02,18.18,18800,18.18
2016-07-21,18.41,18.41,17.969999,18.18,29500,18.18
2016-07-20,18.540001,18.540001,18.110001,18.27,21700,18.27
2016-07-19,18.25,18.65,18.040001,18.360001,73000,18.360001
2016-07-18,17.50,18.60,17.43,17.959999,125900,17.959999
2016-07-15,16.16,17.450001,16.16,17.450001,72600,17.450001
2016-07-14,15.76,16.99,15.76,16.23,48400,16.23
2016-07-13,16.08,16.40,16.02,16.27,13500,16.27
2016-07-12,16.17,16.40,16.07,16.299999,21200,16.299999
2016-07-11,16.24,16.370001,15.91,16.10,19500,16.10
2016-07-08,16.040001,16.50,15.93,16.09,42000,16.09
2016-07-07,16.200001,16.200001,15.62,15.93,48500,15.93
2016-07-06,15.91,16.57,15.85,16.120001,31000,16.120001
2016-07-05,16.10,16.15,15.85,16.040001,51200,16.040001
2016-07-01,15.15,16.23,15.15,16.07,111200,16.07
2016-06-30,15.11,15.14,14.84,14.98,27700,14.98
2016-06-29,15.22,15.63,14.97,15.18,84600,15.18
2016-06-28,14.77,15.46,14.74,15.12,35800,15.12
2016-06-27,14.90,15.03,14.22,14.55,76100,14.55
2016-06-24,14.89,15.06,13.28,15.03,48300,15.03
2016-06-23,15.00,15.59,14.93,15.33,17900,15.33
2016-06-22,15.08,15.08,14.84,14.98,14800,14.98
2016-06-21,15.00,15.41,14.78,15.07,31000,15.07
2016-06-20,14.96,15.33,14.68,14.88,51100,14.88
2016-06-17,15.12,15.29,14.79,14.79,71400,14.79
2016-06-16,15.85,15.85,15.10,15.25,46100,15.25
2016-06-15,15.55,16.110001,15.43,15.96,66300,15.96
2016-06-14,15.20,15.88,14.81,15.54,75200,15.54
2016-06-13,16.540001,16.67,15.27,15.40,83400,15.40
2016-06-10,16.790001,16.969999,16.209999,16.42,30000,16.42
2016-06-09,17.00,17.290001,16.690001,16.969999,38700,16.969999
2016-06-08,16.82,17.10,16.459999,16.969999,45300,16.969999
2016-06-07,16.309999,16.98,16.120001,16.719999,57800,16.719999
2016-06-06,16.110001,16.51,16.110001,16.32,38900,16.32
2016-06-03,16.33,16.58,16.040001,16.26,32000,16.26
2016-06-02,16.360001,16.50,15.95,16.219999,54800,16.219999
2016-06-01,16.57,16.65,16.110001,16.48,58300,16.48
2016-05-31,17.02,17.110001,16.75,16.889999,39400,16.889999
2016-05-27,17.280001,17.35,16.780001,16.879999,31400,16.879999
2016-05-26,16.66,17.25,16.65,17.219999,60500,17.219999
2016-05-25,16.75,17.049999,16.309999,16.92,45800,16.92
2016-05-24,17.02,17.190001,16.26,16.809999,44300,16.809999
2016-05-23,17.00,17.83,16.65,17.190001,92900,17.190001
2016-05-20,16.17,17.110001,16.00,16.969999,58100,16.969999
2016-05-19,15.50,16.23,15.50,16.15,36300,16.15
2016-05-18,16.01,16.219999,15.50,15.63,66600,15.63
2016-05-17,16.379999,16.629999,16.049999,16.139999,85300,16.139999
2016-05-16,16.469999,16.639999,16.16,16.530001,58900,16.530001
2016-05-13,16.82,17.040001,16.32,16.66,33600,16.66
2016-05-12,17.219999,17.34,16.25,16.799999,87200,16.799999
2016-05-11,16.34,17.00,16.200001,16.719999,32800,16.719999
2016-05-10,16.77,16.889999,16.17,16.440001,75500,16.440001
2016-05-09,17.23,17.23,16.299999,16.709999,103700,16.709999
2016-05-06,17.27,17.389999,16.639999,16.950001,54300,16.950001
2016-05-05,17.860001,18.00,17.27,17.360001,66900,17.360001
2016-05-04,17.00,17.90,16.91,17.73,106800,17.73
2016-05-03,17.780001,17.940001,16.799999,17.01,147000,17.01
2016-05-02,17.34,18.440001,17.01,17.559999,143900,17.559999
2016-04-29,16.00,17.99,16.00,17.549999,241100,17.549999
2016-04-28,14.83,15.36,14.80,15.25,72200,15.25
2016-04-27,14.85,14.90,14.55,14.79,59900,14.79
2016-04-26,13.96,14.96,13.86,14.75,120800,14.75
2016-04-25,14.19,14.30,13.86,13.99,15000,13.99
2016-04-22,14.08,14.62,14.05,14.10,26900,14.10
2016-04-21,14.01,14.40,13.50,14.27,70900,14.27
2016-04-20,14.95,14.99,14.05,14.11,59300,14.11
2016-04-19,15.14,15.14,14.47,14.90,139800,14.90
