Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,78.43,78.540001,77.129997,77.699997,1594000,77.699997
2017-02-10,79.730003,79.900002,77.93,78.019997,3502600,78.019997
2017-02-09,79.120003,79.849998,76.57,79.389999,4517400,79.389999
2017-02-08,75.349998,76.879997,75.220001,76.660004,2669900,76.660004
2017-02-07,74.50,75.410004,74.470001,75.209999,1594500,75.209999
2017-02-06,76.709999,76.849998,74.959999,75.120003,2993400,75.120003
2017-02-03,77.080002,78.150002,76.559998,76.690002,1775100,76.690002
2017-02-02,76.760002,78.620003,76.440002,77.199997,3053600,77.199997
2017-02-01,77.010002,77.400002,76.040001,76.389999,1854000,76.389999
2017-01-31,74.800003,77.220001,74.370003,77.190002,3617900,77.190002
2017-01-30,73.489998,75.459999,72.889999,75.25,2502400,75.25
2017-01-27,76.339996,76.489998,73.919998,74.050003,2910300,74.050003
2017-01-26,76.660004,77.230003,76.00,76.169998,1876300,76.169998
2017-01-25,77.410004,77.82,76.620003,76.889999,1645500,76.889999
2017-01-24,75.540001,76.949997,75.540001,76.879997,1647300,76.879997
2017-01-23,76.580002,76.720001,75.290001,75.550003,1691100,75.550003
2017-01-20,76.690002,77.040001,75.599998,76.559998,2012900,76.559998
2017-01-19,77.230003,77.489998,76.050003,76.260002,2032300,76.260002
2017-01-18,78.510002,79.120003,76.400002,77.309998,4279900,77.309998
2017-01-17,77.769997,81.919998,77.239998,79.510002,5074400,79.510002
2017-01-13,77.489998,77.709999,76.879997,77.129997,1746100,77.129997
2017-01-12,77.809998,77.809998,76.919998,77.529999,1708600,77.529999
2017-01-11,77.699997,78.400002,77.440002,77.809998,1488400,77.809998
2017-01-10,77.050003,78.400002,76.75,77.959999,2380300,77.959999
2017-01-09,76.739998,77.360001,76.660004,77.139999,2074900,77.139999
2017-01-06,78.169998,78.440002,76.940002,77.089996,3104600,77.089996
2017-01-05,78.419998,79.580002,77.589996,78.059998,2832000,78.059998
2017-01-04,77.519997,80.230003,77.519997,79.449997,3254900,79.449997
2017-01-03,77.57,78.139999,76.419998,77.449997,2587900,77.449997
2016-12-30,77.57,77.720001,76.419998,77.18,1654300,77.18
2016-12-29,77.650002,78.080002,76.809998,77.339996,1846600,77.339996
2016-12-28,78.540001,79.169998,77.400002,77.669998,1667500,77.669998
2016-12-27,78.970001,79.739998,74.919998,78.120003,2426800,78.120003
2016-12-23,79.459999,80.209999,78.379997,78.699997,2274100,78.699997
2016-12-22,84.019997,84.019997,78.940002,79.309998,5691400,79.309998
2016-12-21,84.68,85.050003,83.279999,84.059998,1751000,84.059998
2016-12-20,84.419998,85.830002,84.349998,85.089996,1351700,85.089996
2016-12-19,84.199997,85.330002,83.809998,84.269997,1756500,84.269997
2016-12-16,85.610001,85.849998,84.040001,84.199997,3868500,84.199997
2016-12-15,84.830002,86.110001,84.32,85.699997,2214100,85.699997
2016-12-14,86.400002,86.620003,84.620003,84.720001,3081800,84.720001
