Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.31,1.35,1.30,1.30,370600,1.30
2016-10-06,1.35,1.39,1.28,1.30,365800,1.30
2016-10-05,1.35,1.39,1.30,1.36,277800,1.36
2016-10-04,1.36,1.40,1.32,1.35,354000,1.35
2016-10-03,1.40,1.45,1.33,1.36,670000,1.36
2016-09-30,1.34,1.41,1.30,1.39,1088300,1.39
2016-09-29,1.40,1.42,1.31,1.34,723700,1.34
2016-09-28,1.38,1.42,1.25,1.40,3789400,1.40
2016-09-27,1.22,1.41,1.22,1.39,5881500,1.39
2016-09-26,1.20,1.22,1.08,1.16,11338600,1.16
2016-09-23,1.76,1.76,1.56,1.70,1406900,1.70
2016-09-22,1.75,1.76,1.68,1.74,890700,1.74
2016-09-21,1.78,1.79,1.70,1.73,908200,1.73
2016-09-20,1.74,1.76,1.68,1.75,1162600,1.75
2016-09-19,1.66,1.69,1.65,1.68,593100,1.68
2016-09-16,1.62,1.68,1.58,1.64,1282400,1.64
2016-09-15,1.55,1.60,1.50,1.59,1110800,1.59
2016-09-14,1.59,1.65,1.49,1.56,1059300,1.56
2016-09-13,1.60,1.64,1.50,1.58,433000,1.58
2016-09-12,1.57,1.63,1.53,1.60,833800,1.60
2016-09-09,1.67,1.68,1.58,1.58,577200,1.58
2016-09-08,1.71,1.71,1.63,1.68,532300,1.68
2016-09-07,1.66,1.72,1.65,1.70,609400,1.70
2016-09-06,1.68,1.68,1.64,1.64,450900,1.64
2016-09-02,1.62,1.66,1.59,1.66,388100,1.66
2016-09-01,1.66,1.67,1.59,1.61,464300,1.61
2016-08-31,1.70,1.73,1.65,1.67,507500,1.67
2016-08-30,1.74,1.79,1.71,1.71,353800,1.71
2016-08-29,1.75,1.78,1.71,1.75,624200,1.75
2016-08-26,1.74,1.77,1.71,1.73,348100,1.73
2016-08-25,1.75,1.78,1.69,1.72,632300,1.72
2016-08-24,1.85,1.85,1.72,1.76,795600,1.76
2016-08-23,1.88,1.88,1.83,1.85,429100,1.85
2016-08-22,1.86,1.92,1.82,1.86,530900,1.86
2016-08-19,1.88,1.90,1.80,1.89,649300,1.89
2016-08-18,1.93,1.93,1.87,1.88,322900,1.88
2016-08-17,1.95,1.95,1.85,1.92,653800,1.92
2016-08-16,1.88,1.94,1.81,1.91,1557100,1.91
2016-08-15,1.84,1.90,1.78,1.88,816800,1.88
2016-08-12,1.80,1.86,1.77,1.81,377700,1.81
