Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.65,4.66,4.58,4.66,5800,4.66
2016-10-06,4.60,4.68,4.59,4.64,10200,4.64
2016-10-05,4.66,4.72,4.60,4.68,18000,4.68
2016-10-04,4.73,4.85,4.64,4.69,24900,4.69
2016-10-03,4.70,4.78,4.58,4.77,25700,4.77
2016-09-30,4.60,4.78,4.53,4.67,30400,4.67
2016-09-29,4.95,4.95,4.56,4.61,89400,4.61
2016-09-28,4.88,4.95,4.81,4.92,68300,4.92
2016-09-27,4.88,4.89,4.76,4.79,74800,4.79
2016-09-26,4.87,4.97,4.80,4.85,58700,4.85
2016-09-23,4.73,4.96,4.69,4.93,25900,4.93
2016-09-22,4.77,4.79,4.67,4.70,19100,4.70
2016-09-21,4.57,4.75,4.53,4.70,22300,4.70
2016-09-20,4.53,4.57,4.49,4.54,12500,4.54
2016-09-19,4.53,4.62,4.50,4.52,52400,4.52
2016-09-16,4.56,4.62,4.50,4.55,56500,4.55
2016-09-15,4.47,4.63,4.47,4.58,10300,4.58
2016-09-14,4.47,4.61,4.41,4.51,195800,4.51
2016-09-13,4.60,4.60,4.48,4.48,55900,4.48
2016-09-12,4.53,4.73,4.44,4.66,24400,4.66
2016-09-09,4.79,4.79,4.50,4.53,9800,4.53
2016-09-08,4.75,4.76,4.54,4.65,16100,4.65
2016-09-07,4.65,4.83,4.65,4.72,35200,4.72
2016-09-06,4.76,4.79,4.36,4.59,62600,4.59
2016-09-02,4.84,4.89,4.67,4.72,149600,4.72
2016-09-01,5.01,5.02,4.76,4.84,32800,4.84
2016-08-31,4.80,4.98,4.74,4.96,12600,4.96
2016-08-30,4.64,4.88,4.56,4.84,122900,4.84
2016-08-29,4.75,4.77,4.63,4.70,46100,4.70
2016-08-26,4.97,5.00,4.66,4.72,58600,4.72
2016-08-25,5.06,5.18,4.95,5.00,112800,5.00
2016-08-24,5.02,5.03,4.95,5.02,93100,5.02
2016-08-23,5.35,5.35,4.95,5.04,67600,5.04
2016-08-22,5.16,5.35,5.15,5.28,22500,5.28
2016-08-19,5.15,5.18,4.96,5.14,19300,5.14
2016-08-18,4.95,5.15,4.71,5.13,24900,5.13
2016-08-17,4.87,5.22,4.77,4.91,16000,4.91
2016-08-16,5.12,5.12,4.86,4.92,60000,4.92
2016-08-15,5.41,5.41,5.12,5.12,23700,5.12
2016-08-12,5.60,5.72,5.35,5.35,35200,5.35
2016-08-11,5.27,5.55,5.13,5.48,80500,5.48
2016-08-10,5.70,5.86,5.16,5.27,42200,5.27
2016-08-09,5.47,5.74,5.38,5.58,148500,5.58
2016-08-08,5.24,5.39,5.16,5.32,60600,5.32
2016-08-05,5.20,5.24,5.14,5.23,43800,5.23
2016-08-04,5.05,5.19,4.98,5.19,14000,5.19
2016-08-03,4.79,5.07,4.76,5.04,22800,5.04
2016-08-02,4.77,4.81,4.73,4.78,14400,4.78
2016-08-01,4.75,4.77,4.72,4.74,29900,4.74
2016-07-29,4.80,4.86,4.75,4.77,53000,4.77
2016-07-28,5.43,5.43,4.63,4.85,515000,4.85
2016-07-27,4.30,4.48,4.17,4.31,261800,4.31
2016-07-26,4.10,4.15,4.04,4.06,15000,4.06
2016-07-25,4.20,4.20,4.11,4.11,31000,4.11
2016-07-22,4.24,4.24,4.14,4.17,5900,4.17
2016-07-21,4.31,4.35,4.13,4.15,33900,4.15
2016-07-20,4.20,4.36,4.20,4.32,16000,4.32
2016-07-19,4.22,4.25,4.20,4.21,17200,4.21
2016-07-18,4.20,4.28,4.20,4.21,89600,4.21
2016-07-15,4.00,4.20,4.00,4.16,5600,4.16
2016-07-14,4.09,4.09,3.99,4.03,35100,4.03
2016-07-13,4.12,4.14,3.97,4.04,24900,4.04
2016-07-12,4.14,4.31,4.05,4.13,39000,4.13
2016-07-11,4.31,4.34,4.16,4.19,23900,4.19
2016-07-08,4.08,4.31,4.08,4.22,89500,4.22
2016-07-07,3.90,4.07,3.90,4.07,128000,4.07
2016-07-06,3.98,4.00,3.89,3.91,16400,3.91
2016-07-05,4.00,4.04,3.86,3.95,18100,3.95
2016-07-01,3.96,4.09,3.95,4.03,19900,4.03
2016-06-30,3.87,4.00,3.87,3.94,40800,3.94
2016-06-29,3.87,3.93,3.84,3.85,17300,3.85
2016-06-28,3.84,3.94,3.84,3.84,25400,3.84
2016-06-27,3.90,3.90,3.72,3.77,18700,3.77
2016-06-24,3.87,3.95,3.82,3.95,21300,3.95
2016-06-23,4.03,4.09,3.97,4.01,330500,4.01
2016-06-22,3.99,4.00,3.99,3.99,43200,3.99
2016-06-21,3.99,4.00,3.99,4.00,23600,4.00
2016-06-20,4.00,4.04,3.99,3.99,75700,3.99
2016-06-17,4.02,4.02,3.98,3.99,13000,3.99
2016-06-16,3.99,4.00,3.83,4.00,61500,4.00
2016-06-15,4.05,4.09,4.02,4.02,4300,4.02
2016-06-14,4.01,4.21,3.99,4.02,32400,4.02
2016-06-13,3.93,4.01,3.93,3.99,9100,3.99
2016-06-10,3.97,3.99,3.93,3.96,8700,3.96
2016-06-09,3.87,4.00,3.87,3.99,19000,3.99
2016-06-08,4.05,4.11,3.96,4.02,58800,4.02
2016-06-07,3.99,4.03,3.99,4.00,25700,4.00
2016-06-06,4.03,4.05,3.90,4.00,26600,4.00
2016-06-03,4.14,4.14,4.03,4.05,34900,4.05
2016-06-02,4.07,4.21,4.06,4.15,32700,4.15
2016-06-01,4.10,4.10,4.00,4.07,13500,4.07
2016-05-31,4.19,4.19,4.00,4.05,6400,4.05
2016-05-27,3.78,4.05,3.78,3.99,11400,3.99
2016-05-26,3.86,3.93,3.76,3.90,26200,3.90
2016-05-25,4.04,4.06,3.76,3.87,68200,3.87
2016-05-24,4.03,4.09,3.94,4.04,55000,4.04
2016-05-23,3.94,4.03,3.88,4.03,35400,4.03
2016-05-20,3.97,3.98,3.88,3.89,16500,3.89
2016-05-19,3.92,4.00,3.87,3.89,33900,3.89
2016-05-18,4.00,4.00,3.89,3.93,18200,3.93
2016-05-17,3.96,4.02,3.92,3.98,86300,3.98
2016-05-16,3.89,4.03,3.89,3.99,108300,3.99
2016-05-13,3.80,3.99,3.70,3.81,59600,3.81
2016-05-12,3.73,3.88,3.70,3.74,37900,3.74
2016-05-11,3.73,3.92,3.52,3.67,30600,3.67
2016-05-10,3.35,3.56,3.35,3.50,17400,3.50
2016-05-09,3.18,3.36,3.18,3.29,23100,3.29
2016-05-06,3.16,3.25,3.12,3.20,74900,3.20
2016-05-05,3.32,3.33,3.18,3.20,88800,3.20
2016-05-04,3.22,3.35,3.17,3.34,92100,3.34
2016-05-03,3.31,3.31,3.20,3.25,37100,3.25
2016-05-02,3.51,3.53,3.25,3.33,31200,3.33
2016-04-29,3.56,3.60,3.44,3.48,18700,3.48
2016-04-28,3.60,3.68,3.54,3.57,11700,3.57
2016-04-27,3.79,3.81,3.59,3.60,26400,3.60
2016-04-26,3.80,3.83,3.66,3.77,16700,3.77
2016-04-25,3.70,3.95,3.67,3.84,32700,3.84
2016-04-22,3.59,3.82,3.59,3.66,14500,3.66
2016-04-21,3.67,3.73,3.52,3.55,13800,3.55
