Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.74,1.76,1.74,1.74,900,1.74
2016-10-06,1.76,1.76,1.74,1.74,900,1.74
2016-10-05,1.73,1.76,1.73,1.76,30700,1.76
2016-10-04,1.77,1.77,1.73,1.73,6300,1.73
2016-10-03,1.78,1.78,1.74,1.74,4800,1.74
2016-09-30,1.75,1.78,1.74,1.76,2900,1.76
2016-09-29,1.78,1.78,1.74,1.74,8500,1.74
2016-09-28,1.75,1.78,1.74,1.78,25100,1.78
2016-09-27,1.73,1.75,1.73,1.75,7700,1.75
2016-09-26,1.73,1.75,1.73,1.75,19900,1.75
2016-09-23,1.74,1.74,1.73,1.74,12300,1.74
2016-09-22,1.74,1.75,1.73,1.75,21700,1.75
2016-09-21,1.73,1.75,1.73,1.74,36800,1.74
2016-09-20,1.73,1.75,1.73,1.75,17100,1.75
2016-09-19,1.73,1.75,1.73,1.73,82000,1.73
2016-09-16,1.74,1.74,1.73,1.74,41100,1.74
2016-09-15,1.73,1.75,1.71,1.71,46100,1.71
2016-09-14,1.73,1.74,1.73,1.73,40400,1.73
2016-09-13,1.77,1.77,1.70,1.71,43700,1.71
2016-09-12,1.79,1.79,1.70,1.70,84600,1.70
2016-09-09,1.74,1.80,1.74,1.79,1200,1.79
2016-09-08,1.77,1.81,1.77,1.79,9600,1.79
2016-09-07,1.80,1.81,1.78,1.80,14200,1.80
2016-09-06,1.80,1.80,1.76,1.80,800,1.80
2016-09-02,1.82,1.82,1.78,1.79,2400,1.79
2016-09-01,1.83,1.83,1.76,1.81,9400,1.81
2016-08-31,1.78,1.84,1.78,1.82,4200,1.82
2016-08-30,1.78,1.78,1.77,1.78,5900,1.78
2016-08-29,1.78,1.78,1.74,1.78,1800,1.78
2016-08-26,1.79,1.79,1.73,1.79,5700,1.79
2016-08-25,1.87,1.87,1.75,1.79,30300,1.79
2016-08-24,1.82,1.86,1.79,1.85,50600,1.85
2016-08-23,1.83,1.83,1.78,1.78,19800,1.78
2016-08-22,1.85,1.88,1.79,1.79,24100,1.79
2016-08-19,1.70,1.88,1.70,1.78,25200,1.78
2016-08-18,1.75,1.87,1.73,1.85,64400,1.85
2016-08-17,1.75,1.75,1.73,1.75,3900,1.75
2016-08-16,1.75,1.75,1.73,1.75,6800,1.75
2016-08-15,1.71,1.78,1.71,1.74,38900,1.74
2016-08-12,1.61,1.70,1.61,1.70,26500,1.70
2016-08-11,1.66,1.70,1.65,1.65,1100,1.65
2016-08-10,1.62,1.71,1.62,1.64,24700,1.64
