Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.94,1.94,1.94,1.94,200,1.94
2016-10-06,1.81,1.90,1.70,1.73,12700,1.73
2016-10-05,1.73,1.73,1.72,1.73,1800,1.73
2016-10-04,1.72,1.73,1.72,1.73,6500,1.73
2016-10-03,1.72,1.74,1.72,1.74,400,1.74
2016-09-30,1.67,1.70,1.67,1.70,10200,1.70
2016-09-29,1.72,1.72,1.70,1.70,800,1.70
2016-09-28,1.70,1.75,1.70,1.70,4500,1.70
2016-09-27,1.69,1.72,1.69,1.70,2800,1.70
2016-09-26,1.70,1.70,1.70,1.70,500,1.70
2016-09-23,1.71,1.71,1.71,1.71,000,1.71
2016-09-22,1.78,1.78,1.71,1.71,6500,1.71
2016-09-21,1.72,1.81,1.71,1.74,7000,1.74
2016-09-20,1.75,1.79,1.70,1.71,16700,1.71
2016-09-19,1.67,1.78,1.67,1.74,1700,1.74
2016-09-16,1.65,1.86,1.65,1.69,15100,1.69
2016-09-15,1.82,1.82,1.66,1.71,13100,1.71
2016-09-14,1.82,1.83,1.82,1.83,900,1.83
2016-09-13,1.82,1.83,1.73,1.80,8300,1.80
2016-09-12,1.86,1.86,1.80,1.82,3500,1.82
2016-09-09,1.75,1.83,1.71,1.83,39700,1.83
2016-09-08,1.81,1.82,1.50,1.78,61100,1.78
2016-09-07,1.75,1.83,1.75,1.76,5600,1.76
2016-09-06,1.77,1.83,1.77,1.79,5900,1.79
2016-09-02,1.85,1.85,1.80,1.80,2000,1.80
2016-09-01,1.76,1.80,1.76,1.80,700,1.80
2016-08-31,1.79,1.81,1.76,1.76,2200,1.76
2016-08-30,1.84,1.90,1.81,1.81,9400,1.81
2016-08-29,1.85,1.90,1.85,1.90,4800,1.90
2016-08-26,1.94,1.94,1.85,1.92,700,1.92
2016-08-25,1.83,1.94,1.83,1.90,42900,1.90
2016-08-24,1.92,1.92,1.90,1.92,4400,1.92
2016-08-23,1.86,1.92,1.85,1.92,11800,1.92
2016-08-22,1.76,1.86,1.76,1.86,19600,1.86
2016-08-19,1.79,1.88,1.79,1.85,1200,1.85
2016-08-18,1.76,1.88,1.76,1.84,37700,1.84
2016-08-17,1.75,1.83,1.68,1.68,6600,1.68
2016-08-16,1.85,1.85,1.76,1.76,600,1.76
2016-08-15,1.80,1.86,1.78,1.80,800,1.80
2016-08-12,1.71,1.72,1.70,1.70,1900,1.70
2016-08-11,1.75,1.89,1.68,1.68,1900,1.68
2016-08-10,1.80,1.89,1.70,1.77,3800,1.77
2016-08-09,1.87,1.89,1.70,1.74,3100,1.74
