Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,11.00,11.48,11.00,11.36,13300,11.36
2016-10-06,11.65,11.65,10.72,11.10,25700,11.10
2016-10-05,11.23,12.35,11.14,11.44,4900,11.44
2016-10-04,10.82,11.93,10.82,11.29,14800,11.29
2016-10-03,9.98,11.14,9.98,10.85,16400,10.85
2016-09-30,9.88,10.07,9.71,10.00,70700,10.00
2016-09-29,9.35,10.02,9.05,9.75,59300,9.75
2016-09-28,9.25,9.40,9.11,9.40,17100,9.40
2016-09-27,9.49,9.50,9.19,9.40,6600,9.344999
2016-09-26,9.48,9.75,9.48,9.60,1700,9.54383
2016-09-23,9.08,9.54,9.08,9.54,1000,9.484181
2016-09-22,9.03,9.40,9.03,9.06,4100,9.00699
2016-09-21,8.89,9.33,8.82,9.01,25300,8.957282
2016-09-20,8.50,8.97,8.50,8.90,2800,8.847925
2016-09-19,8.50,8.60,8.44,8.57,3400,8.519856
2016-09-16,8.47,8.60,8.14,8.60,22000,8.549681
2016-09-15,8.01,8.50,8.01,8.47,8000,8.420442
2016-09-14,8.14,8.45,8.10,8.41,5900,8.360792
2016-09-13,8.11,8.61,8.11,8.32,9800,8.271319
2016-09-12,8.01,8.60,8.01,8.09,3900,8.042665
2016-09-09,8.16,8.28,7.80,7.97,8200,7.923367
2016-09-08,7.90,8.03,7.63,8.03,18100,7.983015
2016-09-07,8.02,8.16,7.49,8.02,87300,7.973075
2016-09-06,8.25,8.25,7.70,8.02,23700,7.973075
2016-09-02,8.79,8.79,8.30,8.30,900,8.251436
2016-09-01,8.24,8.24,8.24,8.24,100,8.191787
2016-08-31,8.08,8.20,7.71,8.03,5800,7.983015
2016-08-30,8.10,8.28,7.65,8.28,15000,8.231553
2016-08-29,8.50,8.50,8.09,8.10,20700,8.052607
2016-08-26,7.82,8.72,7.82,8.50,1800,8.450266
2016-08-25,7.14,8.30,7.14,8.30,71800,8.251436
2016-08-24,7.65,7.65,7.40,7.40,1000,7.356702
2016-08-23,7.46,7.75,7.11,7.68,21800,7.635063
2016-08-22,7.64,7.95,7.46,7.70,2700,7.654946
2016-08-19,7.49,7.87,7.45,7.87,2200,7.823952
2016-08-18,7.23,7.78,7.15,7.60,15300,7.555532
2016-08-17,7.77,7.77,7.04,7.48,19200,7.436234
2016-08-16,7.50,8.00,7.50,7.75,23500,7.704654
2016-08-15,7.75,7.75,6.77,7.50,38000,7.456117
2016-08-12,7.41,7.88,6.96,7.75,39900,7.704654
2016-08-11,7.12,7.80,6.41,7.80,26100,7.754362
2016-08-10,7.80,7.80,7.25,7.61,8600,7.565473
2016-08-09,8.00,8.00,7.45,8.00,6100,7.953191
2016-08-08,7.75,8.03,7.75,7.75,5900,7.704654
2016-08-05,8.50,8.50,7.81,8.02,26100,7.973075
2016-08-04,8.25,8.68,8.24,8.65,2200,8.599388
2016-08-03,8.91,8.91,8.91,8.91,000,8.857867
2016-08-02,8.94,8.94,8.91,8.91,500,8.857867
2016-08-01,8.96,8.96,8.96,8.96,100,8.907574
2016-07-29,8.50,8.98,8.23,8.98,1100,8.927457
2016-07-28,8.87,8.87,8.87,8.87,000,8.818101
2016-07-27,8.87,8.87,8.87,8.87,200,8.818101
2016-07-26,8.78,8.78,8.78,8.78,200,8.728627
2016-07-25,8.99,8.99,8.60,8.63,800,8.579505
2016-07-22,8.99,8.99,8.56,8.68,2700,8.629213
2016-07-21,8.40,8.90,8.30,8.55,13700,8.499973
2016-07-20,8.40,8.40,8.33,8.33,1100,8.28126
2016-07-19,8.60,8.60,8.60,8.60,000,8.549681
2016-07-18,8.35,8.60,8.35,8.60,200,8.549681
2016-07-15,8.50,8.50,8.50,8.50,000,8.450266
2016-07-14,8.35,8.50,8.35,8.50,1000,8.450266
2016-07-13,8.45,8.45,8.35,8.45,1000,8.400558
2016-07-12,8.48,8.55,8.45,8.46,2600,8.4105
2016-07-11,8.55,8.55,8.41,8.42,4300,8.370734
2016-07-08,8.34,8.60,8.34,8.55,11000,8.499973
2016-07-07,8.30,8.41,8.28,8.28,2300,8.231553
2016-07-06,8.17,8.25,7.80,8.25,2100,8.201729
2016-07-05,8.06,8.06,8.06,8.06,000,8.012841
2016-07-01,8.05,8.45,8.00,8.06,1700,8.012841
2016-06-30,8.05,8.30,8.05,8.30,1100,8.251436
2016-06-29,8.25,8.45,7.95,8.22,4800,8.171904
2016-06-28,7.80,8.12,7.80,8.12,800,8.072489
2016-06-27,7.74,7.75,7.74,7.75,2100,7.649976
2016-06-24,7.74,7.84,7.00,7.60,2100,7.501912
2016-06-23,7.90,7.90,7.75,7.75,1300,7.649976
2016-06-22,7.93,7.95,7.93,7.95,1000,7.847395
2016-06-21,8.10,8.10,8.10,8.10,000,7.995459
2016-06-20,8.10,8.10,8.10,8.10,200,7.995459
2016-06-17,8.21,8.39,8.05,8.05,5900,7.946104
2016-06-16,8.31,8.36,8.15,8.36,500,8.252103
2016-06-15,8.21,8.26,8.15,8.26,1300,8.153394
2016-06-14,8.24,8.56,8.24,8.44,1000,8.33107
2016-06-13,8.40,8.60,8.18,8.60,2800,8.489006
2016-06-10,8.50,8.60,8.21,8.42,1100,8.311329
2016-06-09,8.35,8.50,8.17,8.50,9300,8.390296
2016-06-08,8.13,8.60,8.11,8.60,1300,8.489006
2016-06-07,8.10,8.15,8.10,8.15,600,8.044813
2016-06-06,8.11,8.25,8.11,8.25,900,8.143523
2016-06-03,8.35,8.35,8.35,8.35,200,8.242233
2016-06-02,8.34,8.51,8.18,8.19,6200,8.084297
2016-06-01,8.14,8.35,8.10,8.35,1000,8.242233
2016-05-31,8.10,8.10,8.10,8.10,4100,7.995459
2016-05-27,8.35,8.35,8.35,8.35,300,8.242233
2016-05-26,8.29,8.30,8.29,8.29,2200,8.183007
2016-05-25,8.13,8.13,8.13,8.13,000,8.025072
2016-05-24,8.10,8.13,8.10,8.13,7100,8.025072
2016-05-23,8.01,8.04,8.00,8.04,1500,7.936233
2016-05-20,8.01,8.01,8.01,8.01,200,7.906621
2016-05-19,8.02,8.02,8.01,8.01,700,7.906621
2016-05-18,8.01,8.01,8.01,8.01,700,7.906621
2016-05-17,8.08,8.08,8.01,8.01,1200,7.906621
2016-05-16,8.00,8.04,8.00,8.04,2400,7.936233
2016-05-13,8.01,8.01,8.01,8.01,1000,7.906621
2016-05-12,8.07,8.12,7.95,8.02,6400,7.916492
2016-05-11,8.09,8.09,8.09,8.09,000,7.985588
2016-05-10,8.20,8.20,8.00,8.09,700,7.985588
2016-05-09,8.00,8.32,8.00,8.32,7400,8.212619
2016-05-06,8.27,8.65,8.25,8.25,1500,8.143523
2016-05-05,8.25,8.83,8.05,8.51,7900,8.400168
