Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,27.379999,27.43,27.312,27.34,28800,27.34
2016-10-06,27.280001,27.416,27.24,27.34,13800,27.34
2016-10-05,27.719999,27.719999,27.368,27.379999,9100,27.379999
2016-10-04,27.780001,27.780001,27.530001,27.559999,28900,27.559999
2016-10-03,27.889999,27.889999,27.690001,27.75,8400,27.75
2016-09-30,27.83,27.860001,27.745001,27.83,50100,27.83
2016-09-29,27.99,27.99,27.75,27.77,7500,27.77
2016-09-28,27.790001,27.92,27.693001,27.92,23700,27.92
2016-09-27,28.110001,28.110001,27.719999,27.719999,13000,27.719999
2016-09-26,28.07,28.07,27.870001,27.91,36700,27.91
2016-09-23,27.92,28.01,27.881001,28.00,23800,28.00
2016-09-22,27.801001,27.985001,27.799999,27.950001,32600,27.950001
2016-09-21,27.309999,27.73,27.309999,27.73,25300,27.73
2016-09-20,27.33,27.50,27.33,27.370001,13100,27.370001
2016-09-19,27.34,27.459999,27.32,27.40,11600,27.40
2016-09-16,27.059999,27.326,27.059999,27.25,20200,27.25
2016-09-15,27.23,27.389999,27.219999,27.290001,12600,27.290001
2016-09-14,27.25,27.503,27.25,27.33,29300,27.222999
2016-09-13,27.700001,27.700001,27.280001,27.280001,131300,27.173196
2016-09-12,27.700001,27.870001,27.559999,27.809999,27600,27.70112
2016-09-09,28.200001,28.200001,27.721001,27.790001,38000,27.681199
2016-09-08,28.382,28.41,28.25,28.35,124600,28.239006
2016-09-07,28.389999,28.40,28.243999,28.379999,63100,28.268888
2016-09-06,28.177999,28.280001,28.177999,28.26,31100,28.149359
2016-09-02,28.52,28.52,28.10,28.17,33000,28.059711
2016-09-01,28.110001,28.110001,27.940001,28.040001,26500,27.930221
2016-08-31,28.00,28.129999,28.00,28.129999,20200,28.019867
2016-08-30,28.052999,28.09,27.999001,28.08,19100,27.970063
2016-08-29,28.07,28.10,28.02,28.09,100600,27.980024
2016-08-26,28.129999,28.139999,27.91,27.98,76500,27.870454
2016-08-25,28.059999,28.059999,27.961,28.049999,25600,27.94018
