Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.06,5.15,4.90,5.15,3500,5.15
2016-10-06,5.04,5.10,4.89,5.07,8400,5.07
2016-10-05,5.01,5.21,4.70,5.04,37900,5.04
2016-10-04,5.50,5.54,4.98,5.04,21500,5.04
2016-10-03,5.00,5.56,4.95,5.56,51300,5.56
2016-09-30,4.79,5.00,4.62,5.00,28800,5.00
2016-09-29,4.65,4.83,4.60,4.82,20300,4.82
2016-09-28,4.71,4.78,4.61,4.66,18300,4.66
2016-09-27,4.73,4.87,4.64,4.74,26800,4.74
2016-09-26,5.04,5.04,4.60,4.76,44300,4.76
2016-09-23,5.01,5.12,5.01,5.09,25600,5.09
2016-09-22,4.75,5.15,4.59,5.11,47300,5.11
2016-09-21,4.69,4.74,4.60,4.65,12200,4.65
2016-09-20,4.65,4.67,4.62,4.67,8300,4.67
2016-09-19,4.45,4.79,4.45,4.68,56200,4.68
2016-09-16,4.52,4.62,4.35,4.45,41300,4.45
2016-09-15,4.42,4.60,4.17,4.45,29000,4.45
2016-09-14,4.47,4.68,4.35,4.45,25200,4.45
2016-09-13,4.36,4.50,4.33,4.49,24200,4.49
2016-09-12,4.52,4.70,4.37,4.51,34200,4.51
2016-09-09,4.58,4.65,4.44,4.52,35300,4.52
2016-09-08,4.65,4.78,4.55,4.60,23500,4.60
2016-09-07,4.65,4.75,4.55,4.68,39300,4.68
2016-09-06,4.68,4.77,4.60,4.64,60300,4.64
2016-09-02,4.91,4.98,4.64,4.68,42300,4.68
2016-09-01,4.74,4.84,4.62,4.84,50100,4.84
2016-08-31,4.85,4.87,4.60,4.75,31800,4.75
2016-08-30,4.84,5.00,4.79,4.86,28000,4.86
2016-08-29,4.73,4.97,4.64,4.78,58400,4.78
2016-08-26,4.65,4.76,4.58,4.66,93800,4.66
2016-08-25,4.70,4.93,4.53,4.72,45300,4.72
2016-08-24,4.10,4.83,4.07,4.74,92700,4.74
2016-08-23,3.74,4.07,3.74,4.06,42000,4.06
2016-08-22,3.86,3.89,3.74,3.81,71000,3.81
2016-08-19,3.75,3.84,3.65,3.82,62100,3.82
2016-08-18,3.85,3.88,3.75,3.77,33500,3.77
