Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,85.059998,85.190002,83.440002,83.809998,3076700,83.809998
2016-10-06,85.550003,85.639999,83.860001,84.580002,3185400,84.580002
2016-10-05,85.559998,85.75,84.970001,85.470001,1961700,85.470001
2016-10-04,85.93,86.07,85.120003,85.559998,1723200,85.559998
2016-10-03,85.220001,86.050003,85.129997,85.410004,2047900,85.410004
2016-09-30,84.349998,85.830002,83.769997,85.400002,2857900,85.400002
2016-09-29,84.93,85.129997,84.120003,84.260002,1324900,84.260002
2016-09-28,85.349998,85.599998,84.580002,85.00,1794400,85.00
2016-09-27,83.400002,85.529999,83.190002,85.199997,2453200,85.199997
2016-09-26,83.669998,84.25,83.220001,83.50,1836700,83.50
2016-09-23,84.50,84.50,83.519997,84.260002,2642900,84.260002
2016-09-22,84.099998,84.199997,82.760002,83.169998,2186600,83.169998
2016-09-21,83.480003,83.629997,82.260002,83.470001,2658700,83.470001
2016-09-20,82.889999,83.389999,82.620003,82.989998,2173000,82.989998
2016-09-19,83.139999,83.410004,82.459999,82.769997,1872800,82.769997
2016-09-16,83.260002,83.360001,82.160004,82.889999,3731900,82.889999
2016-09-15,80.559998,83.669998,80.559998,83.370003,3167500,83.370003
2016-09-14,81.139999,81.769997,80.50,80.830002,1410400,80.830002
2016-09-13,80.610001,81.120003,79.940002,80.870003,2707000,80.870003
2016-09-12,79.730003,80.919998,79.510002,80.839996,3357600,80.839996
2016-09-09,81.419998,81.790001,79.839996,79.860001,2190000,79.860001
2016-09-08,82.639999,82.639999,81.580002,82.160004,3187500,82.160004
2016-09-07,83.760002,84.269997,82.540001,82.75,3050100,82.75
2016-09-06,83.300003,84.449997,83.300003,83.870003,2646900,83.870003
2016-09-02,82.300003,84.18,82.160004,83.459999,3523300,83.459999
2016-09-01,81.519997,81.989998,81.029999,81.760002,1812800,81.760002
2016-08-31,81.370003,81.68,81.029999,81.230003,2077500,81.230003
2016-08-30,82.400002,82.400002,81.480003,81.730003,1711500,81.730003
2016-08-29,81.099998,81.959999,80.639999,81.510002,1968900,81.510002
2016-08-26,81.199997,81.510002,80.019997,81.209999,3036500,81.209999
2016-08-25,82.019997,82.199997,80.959999,81.550003,3302100,81.550003
2016-08-24,82.309998,82.629997,81.949997,82.419998,3290800,82.419998
2016-08-23,81.980003,82.620003,81.489998,82.309998,4603800,82.309998
2016-08-22,81.07,81.82,81.040001,81.489998,3218900,81.489998
2016-08-19,80.949997,81.889999,80.800003,81.760002,3137900,81.760002
2016-08-18,79.800003,81.800003,79.629997,80.980003,4741900,80.980003
2016-08-17,78.00,79.860001,77.809998,79.769997,3552800,79.769997
2016-08-16,78.779999,78.889999,77.82,78.050003,2969600,78.050003
2016-08-15,77.589996,79.559998,77.330002,79.480003,3225600,79.480003
2016-08-12,78.00,78.400002,77.029999,77.43,2028200,77.43
2016-08-11,78.849998,79.160004,77.839996,77.849998,3212600,77.849998
2016-08-10,78.540001,79.099998,78.260002,78.57,1431700,78.57
2016-08-09,79.010002,79.360001,78.629997,78.690002,1980500,78.690002
2016-08-08,79.849998,79.989998,79.169998,79.269997,2917700,79.269997
2016-08-05,78.940002,79.989998,78.43,79.839996,4294000,79.839996
