Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.71,1.74,1.63,1.68,53200,1.68
2016-10-06,1.71,1.72,1.644,1.66,40200,1.66
2016-10-05,1.75,1.75,1.59,1.71,82100,1.71
2016-10-04,1.75,1.79,1.69,1.73,35600,1.73
2016-10-03,1.70,1.79,1.70,1.74,34400,1.74
2016-09-30,1.72,1.77,1.69,1.72,35700,1.72
2016-09-29,1.70,1.78,1.67,1.70,64500,1.70
2016-09-28,1.70,1.78,1.64,1.69,75000,1.69
2016-09-27,1.66,1.78,1.61,1.63,53400,1.63
2016-09-26,1.63,1.75,1.568,1.657,234900,1.657
2016-09-23,1.57,1.632,1.56,1.62,35300,1.62
2016-09-22,1.61,1.699,1.56,1.56,25800,1.56
2016-09-21,1.68,1.75,1.58,1.61,117000,1.61
2016-09-20,1.66,1.75,1.55,1.69,58100,1.69
2016-09-19,1.50,1.70,1.49,1.65,125500,1.65
2016-09-16,1.51,1.51,1.31,1.46,206000,1.46
2016-09-15,1.55,1.55,1.45,1.50,83200,1.50
2016-09-14,1.57,1.58,1.469,1.55,114700,1.55
2016-09-13,1.86,1.86,1.55,1.56,387500,1.56
2016-09-12,1.76,2.29,1.59,1.68,1377100,1.68
2016-09-09,1.745,1.75,1.72,1.72,1700,1.72
2016-09-08,1.76,1.78,1.735,1.78,7500,1.78
2016-09-07,1.72,1.79,1.72,1.76,19800,1.76
2016-09-06,1.73,1.79,1.73,1.79,63700,1.79
2016-09-02,1.78,1.79,1.67,1.76,95800,1.76
2016-09-01,1.75,1.79,1.69,1.78,69900,1.78
2016-08-31,1.759,1.77,1.75,1.77,7800,1.77
2016-08-30,1.75,1.80,1.75,1.75,3800,1.75
2016-08-29,1.75,1.75,1.70,1.75,27200,1.75
2016-08-26,1.78,1.78,1.75,1.75,14800,1.75
2016-08-25,1.73,1.82,1.73,1.79,50000,1.79
2016-08-24,1.79,1.82,1.69,1.77,30500,1.77
2016-08-23,1.82,1.83,1.70,1.83,42700,1.83
2016-08-22,1.72,1.79,1.693,1.79,18400,1.79
2016-08-19,1.88,1.88,1.72,1.75,49900,1.75
2016-08-18,1.81,1.85,1.81,1.82,16300,1.82
2016-08-17,1.86,1.869,1.81,1.83,26700,1.83
2016-08-16,1.87,1.90,1.86,1.86,22700,1.86
2016-08-15,1.86,1.91,1.843,1.87,22500,1.87
2016-08-12,1.83,1.92,1.82,1.89,44700,1.89
2016-08-11,2.02,2.09,1.70,1.828,163500,1.828
2016-08-10,2.07,2.12,2.01,2.06,132800,2.06
2016-08-09,2.10,2.18,2.025,2.09,110800,2.09
2016-08-08,2.11,2.13,2.05,2.12,47500,2.12
2016-08-05,2.11,2.13,2.02,2.09,60200,2.09
2016-08-04,2.07,2.18,2.01,2.17,84300,2.17
2016-08-03,2.08,2.15,1.98,2.10,194400,2.10
2016-08-02,2.05,2.21,1.96,2.06,200200,2.06
2016-08-01,2.36,3.00,2.03,2.09,1750300,2.09
2016-07-29,2.11,2.175,2.02,2.02,5100,2.02
2016-07-28,2.30,2.30,2.01,2.13,55700,2.13
2016-07-27,2.49,2.49,2.31,2.33,25600,2.33
2016-07-26,2.50,2.50,2.41,2.41,19000,2.41
2016-07-25,2.49,2.52,2.40,2.40,26200,2.40
2016-07-22,2.42,2.46,2.40,2.46,13300,2.46
2016-07-21,2.42,2.518,2.42,2.48,8200,2.48
2016-07-20,2.43,2.44,2.43,2.44,600,2.44
2016-07-19,2.41,2.468,2.401,2.42,3700,2.42
2016-07-18,2.44,2.462,2.42,2.42,1500,2.42
2016-07-15,2.43,2.47,2.41,2.41,3700,2.41
2016-07-14,2.42,2.471,2.42,2.45,7600,2.45
2016-07-13,2.46,2.519,2.45,2.45,3500,2.45
2016-07-12,2.50,2.57,2.45,2.48,16000,2.48
2016-07-11,2.46,2.481,2.40,2.46,14500,2.46
2016-07-08,2.44,2.50,2.41,2.44,10800,2.44
2016-07-07,2.46,2.49,2.45,2.45,12600,2.45
2016-07-06,2.55,2.558,2.40,2.44,18000,2.44
2016-07-05,2.60,2.60,2.54,2.57,20600,2.57
2016-07-01,2.55,2.635,2.55,2.56,28000,2.56
2016-06-30,2.64,2.70,2.58,2.59,19400,2.59
2016-06-29,2.56,2.72,2.535,2.62,35100,2.62
2016-06-28,2.50,2.62,2.42,2.59,49800,2.59
2016-06-27,2.90,2.928,2.48,2.52,99500,2.52
2016-06-24,2.86,3.19,2.81,3.05,124900,3.05
2016-06-23,3.01,3.09,2.88,2.95,33700,2.95
2016-06-22,2.97,3.17,2.97,3.036,17200,3.036
2016-06-21,3.13,3.13,2.90,2.979,19300,2.979
2016-06-20,3.20,3.23,3.05,3.11,28200,3.11
2016-06-17,3.23,3.342,3.15,3.18,23400,3.18
2016-06-16,3.23,3.27,3.19,3.27,27600,3.27
2016-06-15,3.02,3.25,3.02,3.25,35500,3.25
2016-06-14,3.08,3.17,3.01,3.03,28700,3.03
2016-06-13,3.03,3.18,3.00,3.04,16600,3.04
2016-06-10,3.06,3.08,3.00,3.08,52600,3.08
2016-06-09,3.15,3.15,3.06,3.12,36300,3.12
2016-06-08,3.20,3.279,3.15,3.20,12700,3.20
2016-06-07,3.39,3.40,3.20,3.20,42100,3.20
2016-06-06,3.40,3.42,3.21,3.42,37900,3.42
2016-06-03,3.66,3.66,3.30,3.42,47300,3.42
2016-06-02,3.41,3.72,3.391,3.58,57800,3.58
2016-06-01,3.75,3.821,3.097,3.44,106700,3.44
2016-05-31,3.75,3.80,3.65,3.75,37100,3.75
2016-05-27,3.65,3.88,3.65,3.74,105700,3.74
2016-05-26,3.95,3.95,3.55,3.65,111600,3.65
2016-05-25,3.38,4.00,3.30,3.74,200200,3.74
2016-05-24,3.364,3.53,3.34,3.43,68200,3.43
2016-05-23,3.208,3.38,3.16,3.30,33700,3.30
2016-05-20,3.05,3.23,3.04,3.11,18700,3.11
2016-05-19,3.02,3.08,3.00,3.05,2400,3.05
2016-05-18,3.001,3.057,3.001,3.01,3300,3.01
2016-05-17,3.052,3.09,3.01,3.05,10600,3.05
2016-05-16,3.14,3.14,3.015,3.13,2800,3.13
2016-05-13,3.02,3.14,3.01,3.14,5900,3.14
2016-05-12,3.06,3.08,2.97,3.02,14600,3.02
2016-05-11,3.229,3.229,3.05,3.07,18500,3.07
2016-05-10,3.07,3.26,3.07,3.09,24500,3.09
2016-05-09,3.08,3.239,3.05,3.07,34100,3.07
2016-05-06,3.18,3.38,3.12,3.13,84400,3.13
2016-05-05,3.70,3.70,3.20,3.28,30600,3.28
2016-05-04,3.43,3.74,3.20,3.70,146200,3.70
2016-05-03,3.50,3.50,3.33,3.33,13200,3.33
2016-05-02,3.46,3.85,3.34,3.38,81600,3.38
2016-04-29,3.35,3.50,3.24,3.50,37600,3.50
2016-04-28,3.36,3.38,3.31,3.37,11700,3.37
2016-04-27,3.35,3.38,3.21,3.35,27500,3.35
2016-04-26,3.25,3.57,3.18,3.37,98900,3.37
2016-04-25,3.21,3.30,3.15,3.23,23900,3.23
2016-04-22,3.26,3.42,3.25,3.25,6200,3.25
2016-04-21,3.31,3.41,3.18,3.265,45800,3.265
2016-04-20,3.49,3.49,3.25,3.35,13500,3.35
2016-04-19,3.44,3.45,3.15,3.29,74900,3.29
