Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,12.54,12.62,12.48,12.56,24428600,12.56
2017-02-10,12.44,12.51,12.37,12.51,32996500,12.51
2017-02-09,12.38,12.47,12.35,12.38,32924600,12.38
2017-02-08,12.34,12.45,12.27,12.38,26411400,12.38
2017-02-07,12.50,12.52,12.31,12.34,32914400,12.34
2017-02-06,12.55,12.62,12.46,12.52,26916800,12.52
2017-02-03,12.42,12.62,12.39,12.56,38245300,12.56
2017-02-02,12.30,12.37,12.23,12.28,29035400,12.28
2017-02-01,12.45,12.58,12.22,12.32,44396800,12.32
2017-01-31,12.31,12.39,12.19,12.36,46974500,12.36
2017-01-30,12.46,12.46,12.28,12.37,39254200,12.37
2017-01-27,12.48,12.54,12.38,12.49,34613900,12.49
2017-01-26,12.65,12.68,12.35,12.37,55672800,12.37
2017-01-25,12.71,12.80,12.64,12.79,46747800,12.79
2017-01-24,12.35,12.61,12.34,12.61,34625200,12.61
2017-01-23,12.35,12.38,12.22,12.31,31670700,12.31
2017-01-20,12.45,12.48,12.31,12.36,29270000,12.36
2017-01-19,12.40,12.56,12.34,12.43,30135600,12.43
2017-01-18,12.43,12.45,12.30,12.41,33830800,12.41
2017-01-17,12.65,12.73,12.54,12.61,49069500,12.41
2017-01-13,12.62,12.67,12.50,12.63,29197100,12.429683
2017-01-12,12.66,12.68,12.35,12.59,36493300,12.390317
2017-01-11,12.71,12.72,12.51,12.67,49718700,12.469048
2017-01-10,12.70,13.02,12.66,12.85,58703500,12.646194
2017-01-09,12.79,12.86,12.63,12.63,39183400,12.429683
2017-01-06,12.80,12.84,12.64,12.76,40315900,12.557621
2017-01-05,13.21,13.22,12.63,12.77,75628400,12.567463
2017-01-04,12.77,13.27,12.74,13.17,77638100,12.961118
2017-01-03,12.20,12.60,12.13,12.59,40510800,12.390317
2016-12-30,12.24,12.28,12.08,12.13,27405700,11.937613
2016-12-29,12.25,12.31,12.22,12.23,19819100,12.036026
2016-12-28,12.37,12.45,12.22,12.25,26875400,12.05571
2016-12-27,12.43,12.51,12.36,12.39,19467400,12.19349
2016-12-23,12.43,12.46,12.36,12.46,15621200,12.262379
2016-12-22,12.63,12.64,12.40,12.40,27821100,12.20333
2016-12-21,12.73,12.77,12.64,12.64,18117100,12.439524
2016-12-20,12.70,12.82,12.68,12.78,17834000,12.577303
2016-12-19,12.59,12.80,12.59,12.66,22830000,12.459207
2016-12-16,12.66,12.70,12.56,12.63,28354900,12.429683
2016-12-15,12.54,12.72,12.52,12.58,23774800,12.380476
2016-12-14,12.65,12.79,12.50,12.53,42820100,12.331268
2016-12-13,12.84,12.88,12.75,12.77,39570500,12.567463
2016-12-12,13.08,13.10,12.81,12.82,39596800,12.616669
2016-12-09,13.00,13.20,12.91,13.17,45256100,12.961118
2016-12-08,13.07,13.15,12.97,13.03,41459500,12.823338
2016-12-07,12.59,13.15,12.54,13.06,58600400,12.852863
2016-12-06,12.40,12.59,12.37,12.56,23923900,12.360793
2016-12-05,12.31,12.50,12.29,12.44,36220000,12.242696
2016-12-02,12.58,12.58,12.15,12.24,38689800,12.045868
2016-12-01,12.23,12.80,12.18,12.43,95143600,12.232855
2016-11-30,11.97,12.14,11.92,11.96,47646200,11.770309
2016-11-29,11.93,12.00,11.87,11.92,23690800,11.730944
2016-11-28,12.02,12.05,11.89,11.92,24407200,11.730944
2016-11-25,11.95,12.06,11.93,12.04,11439600,11.84904
2016-11-23,11.90,12.00,11.85,11.90,22414000,11.71126
2016-11-22,11.76,11.91,11.73,11.89,24274700,11.70142
2016-11-21,11.77,11.90,11.77,11.79,19508600,11.603005
2016-11-18,11.87,11.90,11.73,11.76,30662000,11.573481
2016-11-17,11.90,11.96,11.78,11.87,38502500,11.681736
2016-11-16,12.00,12.05,11.92,12.00,25195500,11.809675
2016-11-15,12.06,12.14,11.95,12.04,31498500,11.84904
2016-11-14,12.27,12.50,12.02,12.06,56109900,11.868724
2016-11-11,11.88,12.40,11.84,12.28,79135100,12.085234
2016-11-10,11.58,11.98,11.58,11.94,52756500,11.750626
2016-11-09,11.15,11.63,11.07,11.58,60625700,11.396336
2016-11-08,11.50,11.51,11.35,11.48,28456100,11.297922
2016-11-07,11.52,11.62,11.39,11.58,25120700,11.396336
2016-11-04,11.31,11.50,11.30,11.34,24752400,11.160143
2016-11-03,11.39,11.46,11.27,11.35,38651500,11.169984
2016-11-02,11.51,11.56,11.36,11.40,36229400,11.219191
2016-11-01,11.78,11.84,11.50,11.61,35613600,11.42586
2016-10-31,11.75,11.81,11.69,11.74,31898400,11.553798
2016-10-28,11.74,11.85,11.63,11.72,37142400,11.534116
2016-10-27,11.81,11.83,11.60,11.74,48402000,11.553798
2016-10-26,11.80,11.93,11.76,11.88,36219900,11.691578
2016-10-25,12.05,12.10,11.76,11.85,42486000,11.662054
2016-10-24,12.06,12.20,12.06,12.19,33733600,11.84904
2016-10-21,11.93,12.04,11.85,12.02,24364200,11.683796
2016-10-20,12.02,12.03,11.90,11.97,18116000,11.635194
2016-10-19,11.89,12.05,11.88,12.01,26094000,11.674075
2016-10-18,11.92,11.93,11.71,11.89,39911300,11.557432
2016-10-17,11.91,12.00,11.88,11.88,19875000,11.547711
2016-10-14,11.96,12.00,11.89,11.91,25775700,11.576872
2016-10-13,11.91,11.91,11.69,11.91,39904200,11.576872
2016-10-12,12.00,12.01,11.94,11.96,20627000,11.625474
2016-10-11,12.17,12.17,11.91,11.99,40053500,11.654634
2016-10-10,12.35,12.38,12.10,12.12,24951400,11.780998
2016-10-07,12.39,12.42,12.20,12.29,22093200,11.946243
2016-10-06,12.43,12.51,12.33,12.39,25880900,12.043447
2016-10-05,12.22,12.53,12.22,12.48,55529100,12.130929
2016-10-04,12.11,12.25,12.09,12.20,23948700,11.858761
2016-10-03,12.06,12.15,12.02,12.10,20683100,11.761558
2016-09-30,12.00,12.14,11.99,12.07,34903800,11.732397
2016-09-29,12.03,12.12,11.95,11.97,23397400,11.635194
2016-09-28,12.02,12.09,11.96,12.09,29341500,11.751838
2016-09-27,12.02,12.09,11.93,11.98,28965800,11.644914
2016-09-26,12.12,12.12,12.00,12.01,26758600,11.674075
2016-09-23,12.12,12.22,12.12,12.17,18993500,11.8296
2016-09-22,12.17,12.29,12.16,12.18,36136200,11.83932
2016-09-21,12.08,12.11,12.01,12.09,32934600,11.751838
2016-09-20,12.09,12.19,11.96,12.00,37820800,11.664355
2016-09-19,12.12,12.33,12.06,12.11,41175500,11.771278
2016-09-16,12.05,12.13,12.01,12.11,26271600,11.771278
2016-09-15,12.14,12.18,12.06,12.11,57334800,11.771278
2016-09-14,12.18,12.31,12.11,12.14,62450600,11.800439
2016-09-13,12.53,12.68,12.33,12.38,56549100,12.033726
2016-09-12,12.32,12.77,12.28,12.70,42690200,12.344775
2016-09-09,12.61,12.69,12.38,12.38,35733600,12.033726
2016-09-08,12.50,12.75,12.50,12.73,34017900,12.373936
2016-09-07,12.62,12.75,12.62,12.70,22879100,12.344775
2016-09-06,12.49,12.67,12.43,12.67,36098900,12.315615
2016-09-02,12.53,12.57,12.46,12.50,21079800,12.15037
2016-09-01,12.66,12.72,12.35,12.44,40510400,12.092047
2016-08-31,12.48,12.61,12.48,12.60,26030600,12.247573
2016-08-30,12.47,12.56,12.43,12.55,26040400,12.198971
2016-08-29,12.38,12.50,12.38,12.47,22243200,12.121209
2016-08-26,12.47,12.55,12.34,12.38,22645900,12.033726
2016-08-25,12.30,12.52,12.21,12.47,44713700,12.121209
2016-08-24,12.41,12.44,12.28,12.30,19999600,11.955964
2016-08-23,12.40,12.43,12.33,12.42,34634100,12.072607
2016-08-22,12.35,12.38,12.29,12.36,22458400,12.014285
2016-08-19,12.30,12.41,12.25,12.39,21891400,12.043447
2016-08-18,12.33,12.36,12.27,12.33,23629500,11.985124
2016-08-17,12.33,12.39,12.23,12.39,23434500,12.043447
2016-08-16,12.35,12.43,12.33,12.34,20450100,11.994845
2016-08-15,12.37,12.44,12.36,12.43,16371100,12.082328
2016-08-12,12.29,12.37,12.25,12.33,18816900,11.985124
2016-08-11,12.31,12.37,12.26,12.31,24987300,11.965684
2016-08-10,12.30,12.36,12.23,12.25,24555800,11.907362
2016-08-09,12.16,12.38,12.15,12.31,30097800,11.965684
2016-08-08,12.22,12.33,12.15,12.18,33310600,11.83932
2016-08-05,12.16,12.26,12.16,12.19,31219500,11.84904
2016-08-04,12.12,12.23,12.05,12.08,38443200,11.742117
2016-08-03,12.02,12.20,11.94,12.13,47323300,11.790719
2016-08-02,12.35,12.36,11.90,11.94,101624900,11.606033
2016-08-01,12.61,12.62,12.40,12.48,51963100,12.130929
2016-07-29,12.61,12.88,12.60,12.66,59754100,12.305894
2016-07-28,12.78,12.86,12.45,12.71,142168600,12.354496
2016-07-27,13.86,13.99,13.75,13.84,34625500,13.452889
2016-07-26,13.73,13.88,13.69,13.86,28467200,13.472329
2016-07-25,13.86,13.95,13.76,13.83,26248500,13.297364
2016-07-22,13.92,13.93,13.71,13.84,25134100,13.306979
2016-07-21,13.87,14.04,13.86,13.92,40574400,13.383898
2016-07-20,13.61,13.78,13.56,13.74,22588900,13.21083
2016-07-19,13.56,13.72,13.50,13.65,26183400,13.124296
2016-07-18,13.56,13.68,13.42,13.65,22545800,13.124296
2016-07-15,13.63,13.67,13.53,13.57,19546300,13.047377
2016-07-14,13.57,13.70,13.55,13.59,31803000,13.066608
2016-07-13,13.49,13.51,13.31,13.48,26779800,12.960843
2016-07-12,13.38,13.54,13.38,13.45,31320100,12.931999
2016-07-11,13.17,13.33,13.13,13.27,28626300,12.758932
2016-07-08,12.89,13.17,12.89,13.09,45945200,12.585864
2016-07-07,12.57,12.84,12.57,12.75,33473000,12.258958
2016-07-06,12.32,12.58,12.21,12.57,35091200,12.08589
2016-07-05,12.57,12.59,12.31,12.40,30243300,11.922438
2016-07-01,12.88,12.89,12.69,12.72,45067800,12.230114
2016-06-30,12.56,12.57,12.26,12.57,44983800,12.08589
2016-06-29,12.49,12.58,12.36,12.55,31937900,12.066661
2016-06-28,12.42,12.44,12.21,12.39,40640400,11.912823
2016-06-27,12.43,12.43,12.00,12.16,52731800,11.691681
2016-06-24,12.79,12.91,12.45,12.52,96887300,12.037817
2016-06-23,13.29,13.41,13.28,13.40,24579700,12.883925
2016-06-22,13.23,13.31,13.15,13.18,20666600,12.672398
