Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.00,1.04,0.99,1.00,56600,1.00
2016-10-06,1.04,1.05,1.00,1.00,19800,1.00
2016-10-05,1.04,1.06,1.00,1.00,16800,1.00
2016-10-04,1.04,1.04,1.03,1.03,3800,1.03
2016-10-03,1.05,1.05,1.00,1.02,36600,1.02
2016-09-30,1.02,1.05,1.01,1.04,39200,1.04
2016-09-29,1.06,1.06,1.02,1.04,19000,1.04
2016-09-28,1.05,1.10,1.05,1.07,41300,1.07
2016-09-27,1.05,1.09,1.04,1.09,75000,1.09
2016-09-26,1.04,1.08,1.04,1.05,18900,1.05
2016-09-23,0.98,1.05,0.98,1.04,40400,1.04
2016-09-22,0.96,1.01,0.96,0.98,50000,0.98
2016-09-21,0.99,0.99,0.96,0.96,1500,0.96
2016-09-20,0.96,1.00,0.96,0.96,48800,0.96
2016-09-19,1.04,1.04,0.92,1.00,84100,1.00
2016-09-16,1.01,1.01,1.00,1.00,78800,1.00
2016-09-15,1.00,1.00,0.90,0.98,52400,0.98
2016-09-14,1.01,1.02,0.99,1.00,23700,1.00
2016-09-13,1.05,1.05,0.99,1.01,117500,1.01
2016-09-12,1.04,1.05,1.03,1.05,27800,1.05
2016-09-09,1.10,1.10,1.02,1.05,45200,1.05
2016-09-08,1.05,1.14,1.02,1.11,143800,1.11
2016-09-07,1.01,1.08,1.01,1.05,131400,1.05
2016-09-06,1.02,1.03,0.97,1.01,72100,1.01
2016-09-02,1.02,1.03,1.00,1.02,71900,1.02
2016-09-01,1.02,1.02,0.98,1.02,96200,1.02
2016-08-31,0.92,1.03,0.90,1.03,74300,1.03
2016-08-30,0.91,0.95,0.85,0.94,80500,0.94
2016-08-29,0.89,0.94,0.85,0.91,151000,0.91
2016-08-26,0.95,0.99,0.83,0.94,21000,0.94
2016-08-25,1.01,1.01,0.96,0.97,73100,0.97
2016-08-24,1.02,1.05,0.99,1.01,35100,1.01
2016-08-23,1.00,1.03,0.98,1.02,26900,1.02
2016-08-22,1.04,1.04,1.02,1.02,1400,1.02
2016-08-19,1.05,1.07,1.01,1.03,46200,1.03
2016-08-18,1.00,1.05,1.00,1.04,25700,1.04
2016-08-17,1.02,1.05,1.00,1.00,78500,1.00
2016-08-16,1.06,1.10,0.96,1.00,68600,1.00
2016-08-15,1.09,1.10,1.06,1.08,36100,1.08
2016-08-12,1.05,1.10,1.05,1.10,98900,1.10
2016-08-11,1.02,1.07,0.97,1.06,159700,1.06
2016-08-10,1.02,1.03,0.97,1.01,167200,1.01
2016-08-09,1.03,1.04,0.98,1.01,32800,1.01
2016-08-08,1.07,1.07,1.00,1.00,85100,1.00
2016-08-05,1.09,1.14,1.00,1.07,115500,1.07
2016-08-04,1.10,1.10,1.00,1.10,38900,1.10
2016-08-03,1.11,1.14,1.10,1.14,11500,1.14
2016-08-02,1.18,1.18,1.12,1.14,27400,1.14
2016-08-01,1.17,1.20,1.15,1.15,13300,1.15
2016-07-29,1.17,1.17,1.12,1.17,32600,1.17
2016-07-28,1.08,1.24,1.08,1.17,184600,1.17
2016-07-27,1.13,1.13,1.09,1.10,18900,1.10
2016-07-26,1.17,1.25,1.09,1.11,52400,1.11
2016-07-25,1.14,1.26,1.09,1.09,52400,1.09
2016-07-22,1.08,1.12,1.00,1.11,94500,1.11
2016-07-21,1.04,1.07,1.02,1.04,16900,1.04
2016-07-20,1.09,1.09,1.00,1.00,36900,1.00
2016-07-19,1.04,1.07,1.03,1.04,4600,1.04
2016-07-18,1.02,1.09,1.02,1.03,30700,1.03
2016-07-15,1.09,1.09,1.00,1.00,74400,1.00
2016-07-14,1.11,1.11,1.11,1.11,700,1.11
2016-07-13,1.04,1.12,1.04,1.11,16200,1.11
2016-07-12,1.10,1.14,1.08,1.12,48600,1.12
2016-07-11,1.09,1.11,1.02,1.09,102800,1.09
2016-07-08,1.09,1.13,1.08,1.09,18200,1.09
2016-07-07,1.06,1.11,1.06,1.07,17000,1.07
2016-07-06,1.04,1.09,1.04,1.06,13100,1.06
2016-07-05,1.07,1.08,1.04,1.04,24900,1.04
2016-07-01,1.05,1.08,1.05,1.07,39900,1.07
2016-06-30,1.10,1.14,1.05,1.05,24600,1.05
2016-06-29,1.14,1.19,1.04,1.11,67500,1.11
2016-06-28,1.20,1.20,1.12,1.16,40800,1.16
2016-06-27,1.31,1.35,1.14,1.17,200300,1.17
2016-06-24,1.29,1.30,1.25,1.27,67800,1.27
2016-06-23,1.18,1.30,1.15,1.26,173800,1.26
2016-06-22,1.20,1.22,1.15,1.18,42000,1.18
2016-06-21,1.13,1.21,1.13,1.18,13700,1.18
2016-06-20,1.18,1.21,1.12,1.20,169800,1.20
2016-06-17,1.18,1.27,1.12,1.15,84900,1.15
2016-06-16,1.23,1.30,1.13,1.19,28100,1.19
2016-06-15,1.30,1.30,1.18,1.22,64000,1.22
2016-06-14,1.21,1.35,1.21,1.32,19000,1.32
2016-06-13,1.38,1.38,1.28,1.28,68000,1.28
2016-06-10,1.34,1.35,1.32,1.35,18400,1.35
2016-06-09,1.36,1.36,1.32,1.35,11600,1.35
2016-06-08,1.35,1.37,1.30,1.35,18800,1.35
2016-06-07,1.34,1.35,1.31,1.35,9200,1.35
2016-06-06,1.37,1.38,1.30,1.34,66600,1.34
2016-06-03,1.32,1.38,1.32,1.38,2700,1.38
2016-06-02,1.37,1.37,1.33,1.33,5000,1.33
2016-06-01,1.34,1.37,1.30,1.36,5800,1.36
2016-05-31,1.31,1.38,1.30,1.33,4900,1.33
2016-05-27,1.32,1.32,1.25,1.30,56800,1.30
2016-05-26,1.27,1.38,1.27,1.37,18600,1.37
2016-05-25,1.28,1.30,1.26,1.28,10700,1.28
2016-05-24,1.29,1.30,1.26,1.28,13700,1.28
2016-05-23,1.26,1.30,1.26,1.28,2600,1.28
2016-05-20,1.23,1.30,1.19,1.25,7600,1.25
2016-05-19,1.29,1.29,1.20,1.24,14100,1.24
2016-05-18,1.26,1.29,1.18,1.25,46700,1.25
2016-05-17,1.26,1.29,1.18,1.27,14500,1.27
2016-05-16,1.26,1.30,1.25,1.26,67500,1.26
2016-05-13,1.18,1.28,1.18,1.23,26700,1.23
2016-05-12,1.25,1.26,1.17,1.17,7500,1.17
2016-05-11,1.18,1.25,1.13,1.25,102700,1.25
2016-05-10,1.14,1.18,1.12,1.18,14000,1.18
2016-05-09,1.16,1.17,1.13,1.17,15800,1.17
2016-05-06,1.18,1.18,1.13,1.13,60300,1.13
2016-05-05,1.18,1.18,1.14,1.17,17000,1.17
2016-05-04,1.14,1.20,1.14,1.19,26500,1.19
2016-05-03,1.10,1.21,1.07,1.15,36700,1.15
2016-05-02,1.07,1.14,1.05,1.10,84500,1.10
2016-04-29,1.19,1.20,1.02,1.06,113600,1.06
2016-04-28,1.35,1.35,1.16,1.18,235700,1.18
2016-04-27,1.39,1.39,1.34,1.37,9000,1.37
2016-04-26,1.38,1.40,1.36,1.38,22400,1.38
2016-04-25,1.36,1.40,1.36,1.39,34400,1.39
2016-04-22,1.34,1.40,1.34,1.39,19100,1.39
2016-04-21,1.40,1.40,1.36,1.40,19400,1.40
2016-04-20,1.32,1.40,1.32,1.39,144300,1.39
2016-04-19,1.44,1.45,1.36,1.39,138900,1.39
2016-04-18,1.35,1.41,1.33,1.36,70200,1.36
2016-04-15,1.35,1.43,1.35,1.36,41100,1.36
