Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,13.40,13.78,13.40,13.78,6900,13.78
2016-10-06,13.65,13.65,13.65,13.65,000,13.65
2016-10-05,13.65,13.65,13.65,13.65,500,13.65
2016-10-04,13.70,13.70,13.35,13.52,13600,13.52
2016-10-03,13.75,13.83,13.72,13.76,3200,13.76
2016-09-30,13.41,14.08,13.41,13.75,24700,13.75
2016-09-29,13.74,13.74,13.37,13.40,9200,13.40
2016-09-28,13.62,13.85,13.35,13.35,9400,13.35
2016-09-27,13.73,13.73,13.42,13.43,700,13.43
2016-09-26,13.50,13.55,13.32,13.55,900,13.55
2016-09-23,13.53,13.53,13.53,13.53,200,13.48
2016-09-22,13.30,13.40,13.29,13.34,6400,13.290702
2016-09-21,13.11,13.40,13.09,13.20,23600,13.151219
2016-09-20,13.25,13.25,13.00,13.05,2000,13.001774
2016-09-19,13.88,13.88,13.00,13.01,3100,12.961922
2016-09-16,13.10,13.88,13.09,13.78,7900,13.729076
2016-09-15,12.77,13.02,12.75,13.02,9600,12.971885
2016-09-14,13.00,13.10,12.75,12.99,5100,12.941995
2016-09-13,13.19,13.19,13.00,13.00,900,12.951959
2016-09-12,12.47,13.01,12.47,13.01,10900,12.961922
2016-09-09,12.69,12.72,12.61,12.72,1000,12.672994
2016-09-08,12.75,13.04,12.55,12.84,1500,12.79255
2016-09-07,13.00,13.40,12.76,12.85,4600,12.802513
2016-09-06,12.85,13.05,12.70,12.99,7400,12.941995
2016-09-02,12.77,12.77,12.77,12.77,000,12.722809
2016-09-01,13.30,13.30,12.77,12.77,4600,12.722809
2016-08-31,13.10,13.39,13.04,13.24,8900,13.191072
2016-08-30,12.95,13.11,12.81,13.11,6600,13.061552
2016-08-29,13.18,13.18,12.30,12.80,2400,12.752698
2016-08-26,13.01,13.01,13.01,13.01,000,12.961922
2016-08-25,13.00,13.24,12.95,13.01,5000,12.961922
2016-08-24,13.02,13.02,13.02,13.02,100,12.971885
2016-08-23,12.99,13.09,12.99,13.00,1500,12.951959
2016-08-22,13.12,13.12,12.90,13.09,3800,13.041626
2016-08-19,12.97,13.03,12.82,12.99,12100,12.941995
2016-08-18,12.99,13.00,12.20,12.81,9200,12.762661
2016-08-17,12.96,12.96,12.95,12.95,500,12.902143
2016-08-16,13.15,13.27,13.02,13.04,5000,12.991811
2016-08-15,13.03,13.03,12.93,12.93,800,12.882218
2016-08-12,12.99,12.99,12.99,12.99,000,12.941995
2016-08-11,12.98,12.99,12.98,12.99,200,12.941995
2016-08-10,12.77,13.29,12.77,13.29,400,13.240887
2016-08-09,12.93,12.95,12.93,12.93,1900,12.882218
2016-08-08,12.78,12.86,12.62,12.83,4700,12.782587
2016-08-05,12.81,12.85,12.59,12.59,3600,12.543474
2016-08-04,12.70,12.85,12.70,12.85,2500,12.802513
2016-08-03,12.59,12.68,12.59,12.68,1600,12.633142
2016-08-02,12.43,12.56,12.43,12.56,1900,12.513585
2016-08-01,12.32,12.45,12.32,12.40,3700,12.354176
2016-07-29,12.40,12.50,12.21,12.50,3700,12.453806
2016-07-28,12.45,12.60,12.30,12.54,29000,12.493659
2016-07-27,12.70,12.70,12.50,12.50,1300,12.453806
2016-07-26,12.19,12.70,12.19,12.60,37600,12.553437
2016-07-25,12.44,12.44,12.00,12.01,35900,11.965617
2016-07-22,12.76,12.76,12.45,12.45,2500,12.403991
2016-07-21,12.46,12.70,12.46,12.55,8500,12.503622
2016-07-20,12.50,12.50,12.46,12.46,500,12.413954
2016-07-19,12.45,12.50,12.45,12.50,17500,12.453806
2016-07-18,12.42,12.47,12.42,12.45,2100,12.403991
2016-07-15,12.21,12.55,12.21,12.50,42700,12.453806
2016-07-14,12.25,12.25,12.25,12.25,000,12.20473
2016-07-13,12.25,12.25,12.25,12.25,000,12.20473
2016-07-12,12.04,12.25,12.00,12.25,6000,12.20473
2016-07-11,11.88,12.10,11.88,12.00,10100,11.955654
2016-07-08,11.83,11.83,11.83,11.83,300,11.786282
2016-07-07,11.90,11.99,11.90,11.99,300,11.945691
2016-07-06,11.71,11.78,11.70,11.78,2000,11.736467
2016-07-05,11.70,12.21,11.70,11.89,1400,11.846061
2016-07-01,12.09,12.14,12.09,12.10,3400,12.055285
2016-06-30,12.02,12.07,11.71,12.02,13900,11.975581
2016-06-29,12.25,12.26,12.01,12.01,800,11.965617
2016-06-28,12.23,12.23,12.01,12.01,600,11.965617
2016-06-27,12.15,12.33,12.08,12.08,7100,12.035358
2016-06-24,12.20,12.33,12.20,12.30,1500,12.254546
2016-06-23,12.15,12.54,12.15,12.15,7000,12.105099
2016-06-22,12.29,12.50,12.16,12.27,13100,12.224657
2016-06-21,12.55,12.55,12.30,12.40,2600,12.354176
2016-06-20,12.57,12.60,12.39,12.60,6300,12.553437
2016-06-17,12.27,12.28,12.25,12.25,2400,12.20473
2016-06-16,12.27,12.29,12.26,12.28,5100,12.234619
2016-06-15,12.20,12.40,12.14,12.17,4900,12.125026
2016-06-14,12.31,12.31,12.31,12.31,000,12.264509
2016-06-13,12.26,12.35,12.26,12.31,900,12.264509
2016-06-10,12.36,12.36,12.36,12.36,200,12.314323
2016-06-09,12.50,12.50,12.50,12.50,000,12.453806
2016-06-08,12.52,12.52,12.50,12.50,800,12.453806
2016-06-07,12.36,12.48,12.35,12.48,600,12.43388
2016-06-06,12.67,12.67,12.31,12.49,1500,12.443843
2016-06-03,12.70,12.70,12.70,12.70,000,12.653067
2016-06-02,12.70,12.70,12.70,12.70,000,12.653067
2016-06-01,12.30,12.70,12.22,12.70,7100,12.653067
2016-05-31,12.28,12.29,12.17,12.17,1600,12.125026
2016-05-27,12.67,12.69,12.41,12.54,900,12.493659
2016-05-26,12.26,12.69,12.26,12.69,1200,12.643104
2016-05-25,12.52,12.70,12.46,12.61,3300,12.5634
2016-05-24,12.44,12.70,12.37,12.49,4000,12.443843
2016-05-23,12.54,12.68,12.54,12.57,1600,12.523547
2016-05-20,12.50,12.50,12.40,12.40,400,12.354176
2016-05-19,12.45,12.45,12.41,12.41,400,12.364139
2016-05-18,12.55,12.55,12.47,12.51,1200,12.46377
2016-05-17,12.64,12.65,12.50,12.50,2300,12.453806
2016-05-16,12.66,12.67,12.66,12.67,600,12.623178
2016-05-13,12.72,12.72,12.72,12.72,300,12.672994
2016-05-12,12.53,12.53,12.53,12.53,200,12.483695
2016-05-11,12.63,12.75,12.63,12.73,700,12.682956
2016-05-10,12.68,12.72,12.61,12.61,900,12.5634
2016-05-09,12.53,12.55,12.35,12.49,62400,12.443843
2016-05-06,12.52,12.75,12.52,12.73,1800,12.682956
2016-05-05,12.52,12.54,12.52,12.54,800,12.493659
2016-05-04,12.50,12.62,12.50,12.62,700,12.573363
2016-05-03,12.40,12.50,12.40,12.50,4500,12.453806
2016-05-02,12.42,12.76,12.40,12.50,7300,12.453806
2016-04-29,12.78,12.78,12.40,12.54,3100,12.493659
2016-04-28,12.82,12.84,12.72,12.78,3100,12.732771
2016-04-27,12.85,12.85,12.85,12.85,000,12.802513
2016-04-26,12.82,12.85,12.82,12.85,1800,12.802513
2016-04-25,12.73,12.84,12.73,12.84,6100,12.79255
2016-04-22,12.73,12.82,12.72,12.72,1100,12.672994
2016-04-21,12.74,12.79,12.74,12.79,200,12.742735
2016-04-20,12.73,12.77,12.65,12.77,2800,12.722809
2016-04-19,12.65,12.65,12.64,12.65,700,12.603252
2016-04-18,12.69,12.70,12.54,12.60,3100,12.553437
2016-04-15,12.43,12.83,12.40,12.66,8000,12.613215
2016-04-14,12.15,12.53,12.15,12.41,7900,12.364139
2016-04-13,12.34,12.42,12.22,12.42,1900,12.374102
2016-04-12,12.51,12.51,12.20,12.40,2500,12.354176
2016-04-11,12.64,12.69,12.40,12.51,6100,12.46377
2016-04-08,12.70,12.80,12.45,12.75,15800,12.702883
2016-04-07,12.61,12.83,12.28,12.78,4600,12.732771
2016-04-06,12.76,12.80,12.08,12.74,3100,12.692919
2016-04-05,12.67,12.80,12.63,12.80,3500,12.752698
2016-04-04,12.47,12.84,12.40,12.64,22500,12.593289
2016-04-01,12.66,12.85,12.55,12.57,8000,12.523547
2016-03-31,12.67,12.77,12.49,12.66,2800,12.613215
2016-03-30,12.73,12.85,12.71,12.85,3100,12.802513
2016-03-29,12.73,12.78,12.72,12.75,2100,12.702883
2016-03-28,12.81,12.86,12.60,12.85,11400,12.802513
2016-03-24,12.55,12.90,12.55,12.90,4800,12.852328
2016-03-23,12.87,12.90,12.24,12.89,2900,12.842366
2016-03-22,12.72,12.96,12.61,12.75,9200,12.702883
2016-03-21,12.58,12.81,12.31,12.72,4000,12.672994
2016-03-18,12.49,12.68,12.00,12.68,119300,12.633142
2016-03-17,12.60,12.80,12.10,12.18,21900,12.134989
2016-03-16,12.90,12.90,12.50,12.52,10500,12.473733
2016-03-15,12.99,12.99,12.52,12.95,8800,12.902143
2016-03-14,13.15,13.30,12.68,12.79,22300,12.742735
2016-03-11,12.79,13.24,12.79,13.03,20000,12.981848
2016-03-10,12.84,12.85,12.36,12.80,23200,12.752698
2016-03-09,12.60,12.95,12.45,12.70,9500,12.653067
2016-03-08,12.62,12.75,12.30,12.43,16000,12.384065
2016-03-07,11.91,12.96,11.85,12.74,35600,12.692919
2016-03-04,11.87,11.93,11.78,11.79,1400,11.74643
2016-03-03,11.98,11.99,11.80,11.85,1400,11.806209
2016-03-02,11.76,12.00,11.58,11.99,22900,11.945691
2016-03-01,11.60,11.68,11.60,11.60,1100,11.557133
2016-02-29,11.58,11.93,11.58,11.59,1900,11.547169
2016-02-26,11.59,11.67,11.59,11.61,4200,11.567095
2016-02-25,11.59,12.50,11.53,11.60,4700,11.557133
2016-02-24,11.50,11.61,11.50,11.59,2100,11.547169
2016-02-23,11.60,11.75,11.60,11.74,2500,11.696615
2016-02-22,11.75,11.75,11.60,11.73,11400,11.686651
2016-02-19,11.59,11.65,11.59,11.60,1400,11.557133
2016-02-18,11.70,11.70,11.60,11.60,700,11.557133
2016-02-17,11.64,11.64,11.55,11.61,6900,11.567095
2016-02-16,11.40,11.64,11.40,11.63,1300,11.587022
2016-02-12,11.40,11.57,11.27,11.57,16200,11.527243
2016-02-11,11.52,11.59,11.52,11.53,4200,11.487391
2016-02-10,11.74,11.74,11.74,11.74,300,11.696615
2016-02-09,11.87,11.87,11.59,11.61,11700,11.567095
2016-02-08,11.59,11.62,11.59,11.62,3900,11.577058
2016-02-05,11.64,11.81,11.59,11.62,9500,11.577058
2016-02-04,11.59,11.64,11.59,11.64,5900,11.596985
2016-02-03,11.39,11.60,11.34,11.58,4300,11.537206
2016-02-02,11.94,11.94,11.28,11.48,39300,11.437575
2016-02-01,12.09,12.24,11.81,12.10,1600,12.055285
2016-01-29,11.90,12.25,11.79,12.14,13600,12.095137
2016-01-28,11.88,11.91,11.88,11.91,1100,11.865987
2016-01-27,11.76,11.81,11.76,11.77,2500,11.726505
2016-01-26,11.65,11.75,11.65,11.75,8200,11.706578
2016-01-25,11.66,11.76,11.51,11.51,2300,11.467465
2016-01-22,11.68,11.80,11.68,11.76,4200,11.716541
2016-01-21,11.81,11.82,11.79,11.80,7400,11.756393
