Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,46.610001,46.630001,46.18,46.360001,91600,46.360001
2016-10-06,46.490002,46.639999,46.349998,46.59,70600,46.59
2016-10-05,46.459999,46.66,46.459999,46.549999,269000,46.549999
2016-10-04,46.639999,46.66,46.169998,46.299999,148600,46.299999
2016-10-03,46.639999,46.66,46.41,46.540001,219300,46.540001
2016-09-30,46.57,46.860001,46.470001,46.740002,102900,46.740002
2016-09-29,46.689999,46.810001,46.220001,46.349998,151100,46.349998
2016-09-28,46.599998,46.779999,46.360001,46.779999,88900,46.779999
2016-09-27,46.290001,46.599998,46.259998,46.549999,96700,46.549999
2016-09-26,46.490002,46.529999,46.279999,46.299999,115100,46.299999
2016-09-23,46.790001,46.860001,46.66,46.68,76600,46.68
2016-09-22,46.77,46.939999,46.77,46.880001,108100,46.880001
2016-09-21,46.130001,46.610001,46.029999,46.57,114600,46.57
2016-09-20,46.490002,46.490002,46.139999,46.139999,78000,45.988999
2016-09-19,46.330002,46.540001,46.150002,46.290001,111700,46.13851
2016-09-16,46.220001,46.259998,45.950001,46.110001,260700,45.959099
2016-09-15,45.779999,46.400002,45.759998,46.310001,224900,46.158445
2016-09-14,45.990002,46.169998,45.709999,45.799999,124900,45.650112
2016-09-13,46.299999,46.419998,45.799999,45.950001,351600,45.799622
2016-09-12,45.790001,46.759998,45.740002,46.68,125600,46.527233
2016-09-09,46.939999,46.939999,46.009998,46.009998,125000,45.859424
2016-09-08,47.310001,47.369999,47.220001,47.259998,303000,47.105333
2016-09-07,47.290001,47.439999,47.200001,47.419998,91100,47.264809
2016-09-06,47.32,47.32,47.040001,47.290001,101500,47.135237
2016-09-02,47.119999,47.32,47.110001,47.27,131300,47.115302
2016-09-01,47.060001,47.189999,46.700001,46.959999,261000,46.806315
2016-08-31,47.099998,47.150002,46.810001,47.07,325200,46.915956
2016-08-30,47.16,47.240002,47.02,47.16,166600,47.005662
2016-08-29,46.950001,47.240002,46.950001,47.150002,145200,46.995696
2016-08-26,47.110001,47.330002,46.66,46.860001,282800,46.706644
2016-08-25,46.93,47.16,46.93,47.060001,108100,46.90599
2016-08-24,47.220001,47.27,46.950001,47.02,84900,46.86612
2016-08-23,47.23,47.369999,47.23,47.259998,105500,47.105333
2016-08-22,46.990002,47.099998,46.900002,47.060001,87600,46.90599
2016-08-19,46.939999,47.119999,46.880001,47.09,67800,46.935891
2016-08-18,46.91,47.080002,46.91,47.07,175300,46.915956
2016-08-17,46.84,46.950001,46.610001,46.919998,125200,46.766445
2016-08-16,47.099998,47.099998,46.889999,46.889999,83200,46.736545
2016-08-15,47.139999,47.310001,47.139999,47.220001,79800,47.065467
2016-08-12,47.060001,47.130001,46.939999,47.029999,81100,46.876086
2016-08-11,46.939999,47.110001,46.869999,47.080002,73500,46.925925
2016-08-10,46.869999,46.919998,46.669998,46.77,109500,46.616938
2016-08-09,46.919998,46.970001,46.77,46.799999,65600,46.646839
2016-08-08,46.970001,47.040001,46.830002,46.869999,172300,46.71661
2016-08-05,46.689999,46.889999,46.689999,46.849998,75200,46.696675
2016-08-04,46.48,46.57,46.389999,46.459999,96900,46.307952
2016-08-03,46.18,46.52,46.150002,46.50,160100,46.347822
2016-08-02,46.689999,46.689999,46.040001,46.209999,1484900,46.05877
2016-08-01,46.93,46.990002,46.68,46.720001,156700,46.567103
2016-07-29,46.830002,46.990002,46.650002,46.919998,76300,46.766445
2016-07-28,46.689999,46.959999,46.619999,46.91,153100,46.75648
2016-07-27,47.099998,47.099998,46.630001,46.779999,116100,46.626904
2016-07-26,46.799999,47.080002,46.779999,47.049999,95400,46.896021
2016-07-25,46.77,46.84,46.68,46.830002,146400,46.676744
2016-07-22,46.540001,46.84,46.52,46.810001,75300,46.656808
2016-07-21,46.619999,46.73,46.43,46.540001,140600,46.387692
2016-07-20,46.630001,46.77,46.470001,46.709999,229000,46.557133
2016-07-19,46.450001,46.50,46.369999,46.490002,240100,46.337856
2016-07-18,46.470001,46.619999,46.439999,46.57,117600,46.417592
2016-07-15,46.66,46.66,46.369999,46.470001,812100,46.317921
2016-07-14,46.66,46.68,46.490002,46.549999,271600,46.397657
2016-07-13,46.43,46.43,46.150002,46.349998,79500,46.198311
2016-07-12,46.150002,46.380001,46.150002,46.290001,85100,46.13851
2016-07-11,45.82,46.009998,45.779999,45.939999,168900,45.789653
2016-07-08,45.209999,45.740002,45.209999,45.68,93600,45.530506
2016-07-07,44.900002,45.16,44.689999,44.860001,98200,44.713189
2016-07-06,44.380001,44.869999,44.290001,44.869999,298100,44.723155
2016-07-05,44.869999,44.869999,44.439999,44.639999,80000,44.493908
