Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,24.40,24.700001,24.370001,24.66,14900,24.66
2016-10-06,24.700001,24.700001,24.379999,24.57,12400,24.57
2016-10-05,24.110001,24.74,24.110001,24.629999,23600,24.629999
2016-10-04,24.07,24.23,23.799999,24.01,18800,24.01
2016-10-03,24.219999,24.299999,23.90,24.07,31800,24.07
2016-09-30,24.18,24.799999,23.969999,24.67,35200,24.67
2016-09-29,24.530001,24.76,24.110001,24.200001,51400,24.200001
2016-09-28,24.75,24.91,24.635,24.700001,21700,24.700001
2016-09-27,24.35,24.719999,24.280001,24.700001,29700,24.700001
2016-09-26,24.42,24.540001,24.27,24.389999,24900,24.389999
2016-09-23,24.530001,24.639999,24.33,24.51,19700,24.51
2016-09-22,24.309999,24.629999,24.10,24.51,21300,24.51
2016-09-21,24.200001,24.35,24.02,24.290001,23600,24.290001
2016-09-20,24.139999,24.27,24.094999,24.139999,10300,24.139999
2016-09-19,24.299999,24.379999,23.959999,24.129999,31400,24.129999
2016-09-16,24.360001,24.389999,24.02,24.08,69700,24.08
2016-09-15,24.16,24.360001,24.16,24.299999,30000,24.299999
2016-09-14,24.299999,24.67,23.93,24.17,45600,24.17
2016-09-13,24.65,24.65,24.35,24.459999,24900,24.459999
2016-09-12,24.379999,24.77,24.35,24.77,26300,24.77
2016-09-09,24.790001,24.98,24.610001,24.639999,16400,24.639999
2016-09-08,25.00,25.10,24.775,24.969999,46900,24.969999
2016-09-07,25.00,25.00,24.940001,24.99,21200,24.99
2016-09-06,24.98,25.00,24.870001,25.00,19800,25.00
2016-09-02,24.969999,25.02,24.85,24.950001,30100,24.950001
2016-09-01,24.549999,25.110001,24.549999,24.99,28400,24.99
2016-08-31,25.209999,25.25,24.75,25.049999,24900,25.049999
2016-08-30,24.799999,25.190001,24.799999,25.15,40700,25.15
2016-08-29,24.777,25.07,24.777,24.950001,9800,24.950001
2016-08-26,24.889999,25.17,24.799999,24.84,38300,24.84
2016-08-25,24.549999,24.879999,24.549999,24.700001,26100,24.700001
2016-08-24,24.309999,24.709999,24.209999,24.57,129100,24.57
2016-08-23,24.549999,24.68,24.299999,24.48,72800,24.48
2016-08-22,24.799999,24.799999,24.51,24.67,13600,24.67
2016-08-19,24.879999,24.940001,24.65,24.74,43800,24.74
2016-08-18,24.700001,24.90,24.58,24.83,25900,24.83
2016-08-17,24.74,24.799999,24.65,24.75,18800,24.75
2016-08-16,24.75,24.98,24.440001,24.75,40800,24.75
