Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.14,5.20,4.55,4.59,18200,4.59
2016-10-06,5.34,5.34,5.22,5.23,13100,5.23
2016-10-05,5.55,5.55,5.28,5.40,5800,5.40
2016-10-04,5.43,5.51,5.26,5.41,7800,5.41
2016-10-03,5.47,5.62,5.25,5.45,5400,5.45
2016-09-30,5.55,5.60,5.32,5.46,10000,5.46
2016-09-29,5.52,6.20,5.50,5.50,58700,5.50
2016-09-28,5.59,5.89,5.20,5.57,64600,5.57
2016-09-27,5.57,5.99,5.31,5.62,41000,5.62
2016-09-26,5.96,6.00,5.53,5.78,19600,5.78
2016-09-23,6.22,6.81,5.81,6.12,76900,6.12
2016-09-22,5.03,6.44,5.03,6.29,152900,6.29
2016-09-21,6.10,6.10,4.69,5.02,110600,5.02
2016-09-20,4.45,6.83,4.45,5.60,485600,5.60
2016-09-19,4.40,4.57,4.16,4.49,94500,4.49
2016-09-16,3.11,4.59,3.04,4.10,173200,4.10
2016-09-15,0.24,0.25,0.22,0.22,4200,4.40
2016-09-14,0.25,0.25,0.23,0.23,3400,4.60
2016-09-13,0.26,0.26,0.22,0.23,7500,4.60
2016-09-12,0.28,0.28,0.15,0.21,30700,4.20
2016-09-09,0.27,0.28,0.27,0.27,5400,5.40
2016-09-08,0.28,0.29,0.27,0.28,4800,5.60
2016-09-07,0.28,0.29,0.28,0.28,3100,5.60
2016-09-06,0.28,0.30,0.28,0.29,7200,5.80
2016-09-02,0.28,0.30,0.28,0.29,2500,5.80
2016-09-01,0.29,0.30,0.28,0.30,1200,6.00
2016-08-31,0.30,0.30,0.29,0.30,1400,6.00
2016-08-30,0.29,0.30,0.28,0.30,2400,6.00
2016-08-29,0.28,0.29,0.28,0.29,1400,5.80
2016-08-26,0.28,0.28,0.27,0.28,3000,5.60
2016-08-25,0.29,0.29,0.28,0.28,4800,5.60
2016-08-24,0.28,0.30,0.28,0.29,3300,5.80
2016-08-23,0.28,0.30,0.28,0.30,2400,6.00
2016-08-22,0.27,0.30,0.27,0.29,5800,5.80
2016-08-19,0.32,0.32,0.29,0.31,4500,6.20
2016-08-18,0.30,0.32,0.30,0.31,14800,6.20
2016-08-17,0.33,0.33,0.29,0.32,10500,6.40
2016-08-16,0.33,0.39,0.30,0.32,27300,6.40
2016-08-15,0.39,0.39,0.33,0.34,25300,6.80
2016-08-12,0.38,0.39,0.31,0.35,21400,7.00
2016-08-11,0.33,0.38,0.33,0.37,20800,7.40
2016-08-10,0.33,0.36,0.31,0.34,20800,6.80
2016-08-09,0.30,0.33,0.28,0.31,24000,6.20
2016-08-08,0.27,0.31,0.27,0.28,6500,5.60
2016-08-05,0.29,0.30,0.27,0.27,9300,5.40
2016-08-04,0.30,0.34,0.27,0.28,38600,5.60
2016-08-03,0.30,0.30,0.26,0.27,2800,5.40
2016-08-02,0.28,0.28,0.26,0.27,2600,5.40
2016-08-01,0.28,0.28,0.26,0.28,1400,5.60
2016-07-29,0.28,0.30,0.26,0.27,5600,5.40
2016-07-28,0.29,0.30,0.28,0.29,4600,5.80
2016-07-27,0.29,0.29,0.28,0.28,1700,5.60
2016-07-26,0.28,0.29,0.28,0.28,2800,5.60
2016-07-25,0.28,0.30,0.28,0.29,4400,5.80
2016-07-22,0.29,0.30,0.29,0.29,1000,5.80
2016-07-21,0.29,0.30,0.29,0.29,1700,5.80
2016-07-20,0.27,0.30,0.27,0.29,6000,5.80
2016-07-19,0.30,0.30,0.28,0.28,3800,5.60
2016-07-18,0.29,0.31,0.28,0.29,5000,5.80
2016-07-15,0.31,0.32,0.29,0.30,8000,6.00
2016-07-14,0.33,0.33,0.28,0.31,8300,6.20
2016-07-13,0.31,0.40,0.27,0.31,49200,6.20
2016-07-12,0.25,0.27,0.24,0.27,9600,5.40
2016-07-11,0.25,0.26,0.25,0.25,6100,5.00
2016-07-08,0.25,0.27,0.25,0.25,1200,5.00
2016-07-07,0.26,0.27,0.25,0.25,12400,5.00
2016-07-06,0.25,0.28,0.25,0.27,4400,5.40
2016-07-05,0.27,0.28,0.26,0.27,6000,5.40
2016-07-01,0.27,0.28,0.25,0.26,8600,5.20
2016-06-30,0.27,0.29,0.27,0.28,3400,5.60
2016-06-29,0.27,0.29,0.27,0.29,2900,5.80
2016-06-28,0.26,0.29,0.26,0.28,4800,5.60
2016-06-27,0.27,0.30,0.25,0.29,7600,5.80
2016-06-24,0.28,0.30,0.28,0.29,12600,5.80
