Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.35,8.59,8.35,8.59,1300,8.59
2016-10-06,8.27,8.27,8.27,8.27,100,8.27
2016-10-05,8.37,8.37,8.37,8.37,300,8.37
2016-10-04,8.38,8.46,8.28,8.42,11100,8.42
2016-10-03,8.30,8.57,8.30,8.38,1600,8.38
2016-09-30,8.35,8.38,8.35,8.38,1700,8.38
2016-09-29,8.34,8.34,8.34,8.34,100,8.34
2016-09-28,8.35,8.35,8.35,8.35,400,8.35
2016-09-27,8.46,8.54,8.46,8.54,900,8.54
2016-09-26,8.48,8.48,8.48,8.48,300,8.48
2016-09-23,8.58,8.66,8.58,8.60,3500,8.60
2016-09-22,8.30,8.30,8.30,8.30,500,8.30
2016-09-21,8.40,8.48,8.30,8.30,2900,8.30
2016-09-20,8.38,8.38,8.28,8.28,1200,8.28
2016-09-19,8.53,8.53,8.41,8.41,700,8.41
2016-09-16,8.45,8.83,8.45,8.70,8600,8.70
2016-09-15,8.28,8.58,8.26,8.26,800,8.26
2016-09-14,8.34,8.34,8.01,8.25,700,8.25
2016-09-13,8.24,8.52,8.17,8.33,4600,8.33
2016-09-12,8.25,8.30,8.25,8.26,1200,8.26
2016-09-09,8.35,8.53,8.20,8.25,2800,8.25
2016-09-08,8.64,8.71,8.36,8.36,1400,8.36
2016-09-07,8.22,8.99,8.09,8.36,3200,8.36
2016-09-06,8.36,8.53,8.35,8.45,1800,8.45
2016-09-02,8.36,8.36,8.36,8.36,100,8.36
2016-09-01,8.21,8.27,8.20,8.27,10000,8.27
2016-08-31,8.20,8.22,8.14,8.22,3000,8.22
2016-08-30,8.14,8.25,8.13,8.20,8100,8.20
2016-08-29,8.49,8.50,8.37,8.50,3000,8.50
2016-08-26,8.11,8.11,8.11,8.11,100,8.11
2016-08-25,8.09,8.09,8.09,8.09,200,8.09
2016-08-24,8.06,8.06,8.06,8.06,12700,8.06
2016-08-23,8.12,8.19,8.12,8.19,500,8.19
2016-08-22,8.37,8.37,8.30,8.30,1800,8.30
2016-08-19,8.22,8.22,8.22,8.22,000,8.22
2016-08-18,8.08,8.22,8.08,8.22,1200,8.22
2016-08-17,8.06,8.06,8.05,8.06,1600,8.06
2016-08-16,8.07,8.09,8.07,8.09,900,8.09
2016-08-15,8.41,8.41,8.15,8.15,5600,8.15
2016-08-12,7.96,8.76,7.96,8.52,4700,8.52
2016-08-11,8.35,8.35,8.01,8.01,400,8.01
2016-08-10,8.29,8.29,8.03,8.27,4700,8.27
2016-08-09,8.03,8.03,8.01,8.01,3000,8.01
2016-08-08,8.03,8.50,8.00,8.01,15200,8.01
2016-08-05,8.21,8.21,8.08,8.08,1900,8.08
2016-08-04,8.09,8.53,7.88,8.06,7100,8.06
2016-08-03,7.96,7.96,7.92,7.92,1300,7.92
2016-08-02,7.26,8.37,7.17,7.95,20100,7.95
2016-08-01,7.32,7.32,7.20,7.21,11400,7.21
2016-07-29,7.37,7.37,7.32,7.32,1900,7.32
2016-07-28,7.35,7.38,7.31,7.35,10200,7.35
2016-07-27,7.32,7.41,7.30,7.30,10100,7.30
2016-07-26,7.34,7.41,7.24,7.25,7800,7.25
2016-07-25,7.21,7.21,7.07,7.11,5000,7.11
2016-07-22,7.06,7.17,7.06,7.15,16700,7.15
2016-07-21,7.15,7.15,7.00,7.08,17600,7.08
2016-07-20,7.08,7.46,7.00,7.46,6200,7.46
2016-07-19,7.19,7.24,7.00,7.08,10400,7.08
2016-07-18,7.02,7.43,7.02,7.19,16400,7.19
2016-07-15,7.02,7.02,7.00,7.02,4700,7.02
2016-07-14,7.00,7.05,6.99,7.02,8400,7.02
2016-07-13,7.05,7.05,7.00,7.00,10600,7.00
2016-07-12,6.98,7.01,6.98,7.00,3500,7.00
2016-07-11,6.90,6.90,6.81,6.83,1900,6.83
2016-07-08,6.90,6.91,6.90,6.90,2000,6.90
2016-07-07,7.00,7.00,6.82,6.83,1100,6.83
2016-07-06,6.80,6.93,6.80,6.80,2400,6.80
2016-07-05,6.90,6.92,6.71,6.71,5100,6.71
2016-07-01,7.02,7.05,6.99,7.00,14700,7.00
2016-06-30,6.76,6.99,6.76,6.94,9600,6.94
2016-06-29,6.74,6.81,6.68,6.68,11500,6.68
2016-06-28,6.70,6.76,6.70,6.76,200,6.76
2016-06-27,6.92,6.92,6.70,6.70,8300,6.70
2016-06-24,6.85,6.97,6.85,6.85,2500,6.85
2016-06-23,6.95,6.97,6.91,6.91,1400,6.91
2016-06-22,6.85,6.90,6.85,6.85,7700,6.85
2016-06-21,6.85,6.98,6.85,6.85,3700,6.85
2016-06-20,6.88,6.98,6.85,6.85,6300,6.85
2016-06-17,7.13,7.16,6.84,6.84,119700,6.84
2016-06-16,6.97,7.37,6.92,7.17,24600,7.17
2016-06-15,6.86,6.99,6.85,6.92,9400,6.92
2016-06-14,6.92,6.95,6.85,6.90,11200,6.90
2016-06-13,6.85,6.92,6.85,6.89,7300,6.89
2016-06-10,6.85,6.93,6.85,6.93,6900,6.93
2016-06-09,6.86,6.87,6.85,6.85,7800,6.85
2016-06-08,6.85,6.98,6.85,6.86,9200,6.86
2016-06-07,7.04,7.05,6.83,6.85,9300,6.85
2016-06-06,7.00,7.01,6.83,6.83,11100,6.83
2016-06-03,7.00,7.05,7.00,7.04,4300,7.04
2016-06-02,7.00,7.06,6.88,6.88,5100,6.88
2016-06-01,7.00,7.06,7.00,7.05,7400,7.05
2016-05-31,7.01,7.01,6.99,7.00,1800,7.00
2016-05-27,6.84,6.85,6.83,6.85,400,6.85
2016-05-26,6.89,6.89,6.89,6.89,1600,6.89
2016-05-25,6.95,6.95,6.95,6.95,000,6.95
2016-05-24,6.96,6.99,6.84,6.95,2600,6.95
2016-05-23,6.71,7.00,6.71,6.98,5400,6.98
2016-05-20,6.94,6.94,6.73,6.73,1400,6.73
2016-05-19,6.88,6.88,6.88,6.88,000,6.88
2016-05-18,6.90,6.96,6.88,6.88,4900,6.88
2016-05-17,6.84,6.99,6.81,6.95,6400,6.95
2016-05-16,6.80,6.80,6.80,6.80,1500,6.80
2016-05-13,6.74,6.74,6.74,6.74,2000,6.74
2016-05-12,6.80,6.91,6.75,6.75,1200,6.75
2016-05-11,6.80,7.00,6.80,6.81,31400,6.81
2016-05-10,6.81,6.84,6.81,6.84,1000,6.84
2016-05-09,6.87,7.20,6.87,7.16,2000,7.16
2016-05-06,6.78,6.82,6.78,6.82,200,6.82
2016-05-05,6.83,6.83,6.72,6.78,8000,6.78
2016-05-04,7.10,7.10,6.83,6.89,10000,6.89
2016-05-03,7.00,7.00,6.81,6.81,3600,6.81
2016-05-02,7.27,7.27,7.02,7.02,5500,7.02
2016-04-29,7.26,7.26,7.04,7.12,4100,7.12
2016-04-28,7.26,7.27,7.25,7.25,2500,7.25
2016-04-27,7.25,7.25,7.25,7.25,000,7.25
2016-04-26,7.22,7.32,7.22,7.25,3700,7.25
2016-04-25,7.23,7.33,7.23,7.33,3800,7.33
2016-04-22,7.25,7.32,7.25,7.26,2700,7.26
2016-04-21,7.25,7.25,7.25,7.25,000,7.25
2016-04-20,7.19,7.25,7.18,7.25,3200,7.25
2016-04-19,7.15,7.15,7.15,7.15,000,7.15
2016-04-18,7.01,7.15,7.01,7.15,7100,7.15
2016-04-15,7.06,7.49,7.01,7.04,1700,7.04
2016-04-14,7.00,7.25,6.96,7.00,17100,7.00
2016-04-13,6.99,7.04,6.99,7.00,2500,7.00
2016-04-12,6.90,7.01,6.90,7.00,31800,7.00
2016-04-11,6.95,6.98,6.90,6.90,2100,6.90
2016-04-08,7.05,7.05,7.05,7.05,800,7.05
2016-04-07,6.92,6.92,6.92,6.92,200,6.92
2016-04-06,6.90,7.01,6.90,7.01,7500,7.01
2016-04-05,7.00,7.00,7.00,7.00,800,7.00
2016-04-04,6.84,7.05,6.84,7.04,17200,7.04
2016-04-01,6.92,7.03,6.90,6.90,3300,6.90
2016-03-31,6.87,7.03,6.87,6.94,96000,6.94
2016-03-30,6.74,7.00,6.74,7.00,9900,7.00
