Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.80,8.86,8.76,8.80,93900,8.80
2016-10-06,8.72,8.80,8.67,8.80,62600,8.80
2016-10-05,8.67,8.73,8.62,8.71,88400,8.71
2016-10-04,8.73,8.75,8.59,8.65,62800,8.65
2016-10-03,8.60,8.74,8.59,8.71,103500,8.71
2016-09-30,8.60,8.70,8.56,8.56,178600,8.56
2016-09-29,8.54,8.55,8.52,8.55,71500,8.55
2016-09-28,8.60,8.64,8.50,8.56,83500,8.56
2016-09-27,8.58,8.66,8.56,8.60,80000,8.60
2016-09-26,8.73,8.73,8.55,8.58,53500,8.58
2016-09-23,8.62,8.84,8.62,8.74,79700,8.74
2016-09-22,8.60,8.65,8.59,8.65,74600,8.65
2016-09-21,8.61,8.64,8.52,8.59,76400,8.59
2016-09-20,8.61,8.69,8.56,8.59,88600,8.59
2016-09-19,8.53,8.65,8.53,8.58,72800,8.58
2016-09-16,8.54,8.56,8.48,8.51,71900,8.51
2016-09-15,8.50,8.65,8.50,8.51,129200,8.51
2016-09-14,8.57,8.62,8.45,8.48,124900,8.48
2016-09-13,8.61,8.63,8.50,8.55,955100,8.55
2016-09-12,8.58,8.74,8.58,8.69,84500,8.614999
2016-09-09,8.82,8.84,8.60,8.65,223600,8.575345
2016-09-08,8.91,8.98,8.80,8.84,140500,8.763705
2016-09-07,8.91,8.99,8.81,8.90,250000,8.823187
2016-09-06,8.90,8.96,8.79,8.88,190400,8.80336
2016-09-02,8.90,8.99,8.81,8.86,111100,8.783532
2016-09-01,8.91,8.95,8.80,8.85,421000,8.773619
2016-08-31,8.95,8.96,8.63,8.94,243300,8.862842
2016-08-30,8.90,8.94,8.87,8.93,184800,8.852929
2016-08-29,8.82,8.91,8.81,8.86,181400,8.783532
2016-08-26,8.77,8.83,8.71,8.78,119700,8.704223
2016-08-25,8.66,8.80,8.66,8.73,196600,8.654654
2016-08-24,8.67,8.70,8.60,8.63,444500,8.555518
2016-08-23,8.60,8.68,8.55,8.65,81100,8.575345
2016-08-22,8.55,8.60,8.50,8.55,173500,8.476208
2016-08-19,8.48,8.57,8.38,8.54,143900,8.466294
2016-08-18,8.49,8.55,8.39,8.44,210600,8.367157
2016-08-17,8.41,8.54,8.38,8.48,97200,8.406812
2016-08-16,8.40,8.54,8.33,8.37,73400,8.297761
2016-08-15,8.44,8.45,8.30,8.36,58500,8.287848
2016-08-12,8.37,8.47,8.25,8.39,1049600,8.317589
2016-08-11,8.46,8.47,8.25,8.39,194300,8.317589
2016-08-10,8.60,8.60,8.28,8.47,209100,8.322546
2016-08-09,8.61,8.74,8.58,8.65,49500,8.499412
2016-08-08,8.54,8.60,8.50,8.59,71900,8.440457
2016-08-05,8.46,8.54,8.41,8.51,51700,8.36185
2016-08-04,8.42,8.50,8.28,8.48,224800,8.332372
2016-08-03,8.39,8.45,8.34,8.40,167900,8.253764
2016-08-02,8.43,8.46,8.33,8.38,56600,8.234113
2016-08-01,8.44,8.54,8.35,8.42,88000,8.273417
2016-07-29,8.44,8.48,8.35,8.40,79700,8.253764
2016-07-28,8.44,8.44,8.40,8.40,82900,8.253764
2016-07-27,8.48,8.49,8.40,8.44,30300,8.293068
2016-07-26,8.45,8.49,8.40,8.44,106400,8.293068
2016-07-25,8.44,8.49,8.37,8.46,135400,8.31272
2016-07-22,8.28,8.43,8.28,8.40,36100,8.253764
2016-07-21,8.33,8.33,8.16,8.30,87700,8.155506
2016-07-20,8.31,8.33,8.21,8.32,45300,8.175157
2016-07-19,8.25,8.32,8.25,8.32,50200,8.175157
2016-07-18,8.23,8.34,8.20,8.27,57200,8.126028
2016-07-15,8.20,8.25,8.18,8.21,43300,8.067072
2016-07-14,8.23,8.28,8.17,8.21,45600,8.067072
2016-07-13,8.19,8.24,8.17,8.19,39000,8.04742
2016-07-12,8.24,8.32,8.19,8.21,91700,7.993378
2016-07-11,8.21,8.25,8.17,8.23,42000,8.01285
2016-07-08,8.14,8.20,8.08,8.18,97500,7.96417
2016-07-07,8.13,8.16,7.97,8.11,69900,7.896016
2016-07-06,7.95,8.16,7.95,8.13,49000,7.915489
2016-07-05,8.05,8.07,8.00,8.03,142100,7.818127
2016-07-01,7.96,8.09,7.94,8.05,59600,7.8376
2016-06-30,7.91,7.96,7.84,7.96,40400,7.749974
2016-06-29,7.89,7.89,7.76,7.88,51700,7.672085
2016-06-28,7.72,7.86,7.64,7.81,43200,7.603932
2016-06-27,7.65,7.86,7.62,7.64,66200,7.438417
2016-06-24,7.93,8.08,7.60,7.60,319100,7.399473
2016-06-23,8.19,8.19,8.03,8.07,65200,7.857072
2016-06-22,8.13,8.22,8.05,8.06,85800,7.847336
2016-06-21,8.18,8.20,8.08,8.09,37000,7.876544
2016-06-20,8.11,8.26,8.04,8.14,93300,7.925225
2016-06-17,7.98,8.11,7.95,8.05,72600,7.8376
2016-06-16,7.99,8.05,7.95,8.01,76100,7.798655
2016-06-15,7.98,8.08,7.95,8.04,99800,7.827864
2016-06-14,7.95,8.02,7.92,7.95,81800,7.740238
2016-06-13,7.95,8.07,7.90,7.98,49400,7.769447
2016-06-10,8.02,8.07,8.00,8.01,32400,7.725634
2016-06-09,8.11,8.11,8.01,8.07,22600,7.783504
2016-06-08,8.11,8.23,8.05,8.13,57700,7.841374
2016-06-07,8.04,8.13,8.00,8.09,154800,7.802794
2016-06-06,7.98,8.09,7.97,8.04,28400,7.754569
2016-06-03,7.91,8.05,7.86,7.99,62700,7.706344
2016-06-02,7.93,7.97,7.91,7.96,38600,7.677409
2016-06-01,7.83,7.95,7.75,7.94,32100,7.658119
2016-05-31,7.93,8.00,7.81,7.84,38200,7.561669
2016-05-27,7.85,7.97,7.85,7.91,46300,7.629184
2016-05-26,7.86,7.92,7.80,7.85,23100,7.571314
2016-05-25,7.70,7.93,7.66,7.93,66500,7.648474
2016-05-24,7.72,7.72,7.63,7.66,48500,7.388059
2016-05-23,7.51,7.74,7.47,7.68,64500,7.407349
2016-05-20,7.41,7.49,7.31,7.46,92000,7.19516
2016-05-19,7.46,7.56,7.25,7.39,113900,7.127645
2016-05-18,7.46,7.58,7.45,7.49,79600,7.224095
2016-05-17,7.44,7.64,7.44,7.48,102500,7.21445
2016-05-16,7.58,7.61,7.47,7.47,129500,7.204805
2016-05-13,7.65,7.69,7.53,7.57,96900,7.301255
