Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,21.690001,21.690001,21.690001,21.690001,000,21.690001
2016-10-06,21.67,21.690001,21.67,21.690001,400,21.690001
2016-10-05,22.120001,22.120001,21.66,21.74,800,21.74
2016-10-04,21.68,21.68,21.57,21.57,1200,21.57
2016-10-03,21.52,21.52,21.52,21.52,000,21.52
2016-09-30,21.52,21.52,21.51,21.52,1400,21.52
2016-09-29,21.33,21.33,21.33,21.33,000,21.33
2016-09-28,21.33,21.33,21.33,21.33,000,21.33
2016-09-27,21.33,21.33,21.33,21.33,200,21.33
2016-09-26,21.40,21.40,21.40,21.40,000,21.40
2016-09-23,21.40,21.40,21.40,21.40,000,21.40
2016-09-22,21.40,21.40,21.40,21.40,000,21.40
2016-09-21,21.35,21.40,21.35,21.40,500,21.40
2016-09-20,21.65,21.719999,21.33,21.33,2100,21.277
2016-09-19,21.299999,21.35,21.299999,21.35,800,21.296951
2016-09-16,21.139999,21.18,21.139999,21.16,800,21.107423
2016-09-15,21.450001,21.450001,21.450001,21.450001,000,21.396703
2016-09-14,21.450001,21.450001,21.450001,21.450001,1000,21.396703
2016-09-13,21.709999,21.709999,21.709999,21.709999,000,21.656055
2016-09-12,21.709999,21.709999,21.709999,21.709999,100,21.656055
2016-09-09,22.24,22.24,22.24,22.24,000,22.184739
2016-09-08,22.25,22.25,22.24,22.24,400,22.184739
2016-09-07,22.32,22.32,21.98,21.99,2800,21.93536
2016-09-06,22.26,22.26,22.26,22.26,400,22.20469
2016-09-02,22.110001,22.110001,22.110001,22.110001,100,22.055063
2016-09-01,22.07,22.07,22.07,22.07,000,22.015162
2016-08-31,22.07,22.07,22.07,22.07,000,22.015162
2016-08-30,22.07,22.07,22.07,22.07,000,22.015162
2016-08-29,22.07,22.07,22.07,22.07,000,22.015162
2016-08-26,22.07,22.07,22.07,22.07,000,22.015162
2016-08-25,22.07,22.07,22.07,22.07,000,22.015162
2016-08-24,22.07,22.07,22.07,22.07,000,22.015162
2016-08-23,22.07,22.07,22.07,22.07,400,22.015162
2016-08-22,21.950001,21.950001,21.950001,21.950001,400,21.895461
2016-08-19,21.73,21.73,21.73,21.73,200,21.676006
2016-08-18,21.549999,21.549999,21.549999,21.549999,000,21.496453
2016-08-17,21.76,21.76,21.549999,21.549999,800,21.496453
2016-08-16,21.74,21.77,21.719999,21.719999,600,21.666031
