Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.98,9.00,8.94,8.95,92600,8.95
2016-10-06,8.98,9.00,8.94,8.97,104400,8.97
2016-10-05,8.97,9.00,8.94,8.96,137300,8.96
2016-10-04,8.95,8.99,8.90,8.95,164900,8.95
2016-10-03,8.92,8.98,8.89,8.91,94100,8.91
2016-09-30,8.86,8.99,8.83,8.89,160300,8.89
2016-09-29,8.86,8.89,8.75,8.85,96300,8.85
2016-09-28,8.81,8.87,8.72,8.86,103600,8.86
2016-09-27,8.83,8.88,8.72,8.77,184700,8.77
2016-09-26,8.89,8.94,8.80,8.80,91600,8.80
2016-09-23,8.93,8.99,8.87,8.89,98100,8.89
2016-09-22,8.89,8.97,8.87,8.90,106000,8.90
2016-09-21,8.90,8.94,8.80,8.89,116000,8.89
2016-09-20,8.85,8.99,8.80,8.89,273300,8.89
2016-09-19,8.78,8.90,8.76,8.84,137900,8.84
2016-09-16,8.80,8.84,8.70,8.77,101200,8.707001
2016-09-15,8.71,8.86,8.67,8.80,173100,8.736785
2016-09-14,8.62,8.72,8.50,8.67,129300,8.607719
2016-09-13,8.61,8.68,8.54,8.59,155000,8.528293
2016-09-12,8.68,8.72,8.28,8.68,494300,8.617647
2016-09-09,8.96,8.96,8.71,8.77,190700,8.707001
2016-09-08,8.95,8.97,8.76,8.93,227000,8.865851
2016-09-07,9.16,9.20,8.45,8.88,859600,8.81621
2016-09-06,9.21,9.21,9.12,9.18,168400,9.114055
2016-09-02,9.16,9.18,9.10,9.18,116900,9.114055
2016-09-01,9.18,9.27,9.14,9.18,166600,9.114055
2016-08-31,9.28,9.30,9.08,9.18,192700,9.114055
2016-08-30,9.22,9.29,9.10,9.24,229600,9.173624
2016-08-29,9.09,9.24,9.09,9.22,233800,9.153768
2016-08-26,9.04,9.05,8.95,9.04,138000,8.975061
2016-08-25,9.07,9.11,8.95,8.98,256400,8.915491
2016-08-24,9.09,9.09,9.01,9.04,178400,8.975061
2016-08-23,8.93,9.14,8.90,9.09,369500,9.024702
2016-08-22,8.89,8.92,8.82,8.90,149600,8.836066
2016-08-19,8.86,8.93,8.84,8.86,148400,8.796353
2016-08-18,8.86,8.90,8.84,8.87,129900,8.806282
2016-08-17,8.78,8.89,8.70,8.88,223400,8.753662
2016-08-16,8.79,8.89,8.71,8.85,453000,8.72409
2016-08-15,8.74,8.75,8.70,8.74,381500,8.615654
2016-08-12,8.60,8.71,8.60,8.68,262500,8.556508
2016-08-11,8.57,8.70,8.55,8.65,265100,8.526934
2016-08-10,8.58,8.58,8.52,8.57,300000,8.448072
2016-08-09,8.47,8.60,8.47,8.57,410700,8.448072
2016-08-08,8.12,8.41,8.10,8.38,687100,8.260776
2016-08-05,8.04,8.09,7.83,8.05,272600,7.935471
2016-08-04,8.14,8.15,8.00,8.05,305500,7.935471
2016-08-03,7.88,8.15,7.85,8.14,446600,8.024191
2016-08-02,7.64,7.81,7.64,7.80,445800,7.689028
2016-08-01,7.61,7.65,7.44,7.50,235200,7.393296
2016-07-29,7.60,7.62,7.54,7.61,143900,7.501731
2016-07-28,7.57,7.61,7.53,7.60,104200,7.491873
2016-07-27,7.58,7.60,7.52,7.55,122800,7.442585
2016-07-26,7.60,7.61,7.54,7.58,158300,7.472158
2016-07-25,7.52,7.62,7.41,7.58,201200,7.472158
2016-07-22,7.40,7.52,7.40,7.50,115600,7.393296
2016-07-21,7.50,7.50,7.31,7.41,250900,7.304576
2016-07-20,7.57,7.57,7.48,7.51,119400,7.403154
2016-07-19,7.55,7.60,7.53,7.58,143800,7.410054
2016-07-18,7.50,7.59,7.50,7.55,199300,7.380727
2016-07-15,7.45,7.53,7.43,7.51,163600,7.341624
2016-07-14,7.44,7.45,7.40,7.45,164900,7.282969
2016-07-13,7.36,7.42,7.36,7.40,134000,7.23409
2016-07-12,7.33,7.38,7.27,7.36,197000,7.194987
2016-07-11,7.32,7.38,7.27,7.33,204300,7.165659
2016-07-08,7.36,7.38,7.31,7.33,154200,7.165659
2016-07-07,7.31,7.34,7.30,7.34,125000,7.175435
2016-07-06,7.25,7.33,7.20,7.31,149300,7.146108
2016-07-05,7.22,7.28,7.19,7.26,124300,7.097229
2016-07-01,7.16,7.24,7.16,7.23,142500,7.067901
2016-06-30,7.18,7.18,7.12,7.16,117100,6.999471
2016-06-29,7.10,7.16,7.06,7.16,92000,6.999471
2016-06-28,7.05,7.10,7.02,7.07,105000,6.911489
2016-06-27,7.07,7.09,7.00,7.01,219700,6.852834
2016-06-24,7.02,7.16,7.00,7.10,207500,6.940816
2016-06-23,7.17,7.17,7.11,7.15,97400,6.989695
2016-06-22,7.12,7.18,7.07,7.10,93800,6.940816
2016-06-21,7.16,7.16,7.08,7.12,94200,6.960367
2016-06-20,7.09,7.24,7.07,7.13,271000,6.970143
2016-06-17,7.04,7.08,7.04,7.07,89700,6.911489
2016-06-16,7.00,7.06,6.99,7.06,114800,6.901713
2016-06-15,7.04,7.06,7.00,7.02,129100,6.86261
