Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.16,0.16,0.16,0.16,1400,0.16
2016-10-06,0.15,0.15,0.15,0.15,000,0.15
2016-10-05,0.14,0.15,0.14,0.15,700,0.15
2016-10-04,0.18,0.19,0.13,0.14,8500,0.14
2016-10-03,0.16,0.17,0.13,0.17,7500,0.17
2016-09-30,0.16,0.19,0.15,0.16,25600,0.16
2016-09-29,0.18,0.22,0.15,0.15,22300,0.15
2016-09-28,0.26,0.31,0.11,0.17,122900,0.17
2016-09-27,0.54,0.57,0.32,0.42,26300,0.42
2016-09-26,0.52,0.64,0.40,0.53,12300,0.53
2016-09-23,0.68,0.68,0.35,0.44,59800,0.44
2016-09-22,0.75,0.90,0.62,0.69,10500,0.69
2016-09-21,0.43,0.72,0.43,0.66,11200,0.66
2016-09-20,0.35,0.36,0.35,0.36,4000,0.36
2016-09-19,0.31,0.31,0.31,0.31,000,0.31
2016-09-16,0.31,0.31,0.31,0.31,000,0.31
2016-09-15,0.31,0.31,0.31,0.31,000,0.31
2016-09-14,0.31,0.31,0.31,0.31,000,0.31
2016-09-13,0.31,0.31,0.31,0.31,100,0.31
2016-09-12,0.31,0.31,0.31,0.31,100,0.31
2016-09-09,0.25,0.25,0.25,0.25,000,0.25
2016-09-08,0.25,0.25,0.25,0.25,000,0.25
2016-09-07,0.25,0.25,0.25,0.25,000,0.25
2016-09-06,0.25,0.25,0.25,0.25,300,0.25
2016-09-02,0.30,0.30,0.30,0.30,3700,0.30
2016-09-01,0.32,0.32,0.32,0.32,000,0.32
2016-08-31,0.32,0.32,0.32,0.32,000,0.32
2016-08-30,0.32,0.32,0.32,0.32,000,0.32
2016-08-29,0.32,0.32,0.32,0.32,000,0.32
2016-08-26,0.32,0.32,0.32,0.32,400,0.32
2016-08-25,0.32,0.32,0.32,0.32,000,0.32
2016-08-24,0.32,0.32,0.32,0.32,000,0.32
2016-08-23,0.32,0.32,0.32,0.32,000,0.32
2016-08-22,0.32,0.32,0.32,0.32,000,0.32
2016-08-19,0.32,0.32,0.32,0.32,000,0.32
2016-08-18,0.30,0.33,0.30,0.32,3300,0.32
2016-08-17,0.35,0.35,0.35,0.35,000,0.35
2016-08-16,0.35,0.35,0.35,0.35,000,0.35
2016-08-15,0.35,0.35,0.35,0.35,1000,0.35
2016-08-12,0.28,0.28,0.28,0.28,000,0.28
2016-08-11,0.26,0.28,0.26,0.28,2300,0.28
2016-08-10,0.30,0.30,0.25,0.25,1000,0.25
2016-08-09,0.46,0.46,0.44,0.44,700,0.44
2016-08-08,0.40,0.40,0.40,0.40,100,0.40
2016-08-05,0.30,0.30,0.30,0.30,000,0.30
2016-08-04,0.30,0.30,0.30,0.30,000,0.30
2016-08-03,0.30,0.30,0.30,0.30,600,0.30
2016-08-02,0.13,0.13,0.13,0.13,000,0.13
2016-08-01,0.13,0.13,0.13,0.13,000,0.13
2016-07-29,0.13,0.13,0.13,0.13,000,0.13
2016-07-28,0.13,0.13,0.13,0.13,000,0.13
2016-07-27,0.13,0.13,0.13,0.13,1100,0.13
2016-07-26,0.11,0.11,0.11,0.11,000,0.11
2016-07-25,0.11,0.11,0.11,0.11,000,0.11
2016-07-22,0.11,0.11,0.11,0.11,000,0.11
2016-07-21,0.11,0.11,0.11,0.11,000,0.11
2016-07-20,0.11,0.11,0.11,0.11,000,0.11
2016-07-19,0.11,0.11,0.11,0.11,000,0.11
2016-07-18,0.11,0.11,0.11,0.11,000,0.11
2016-07-15,0.11,0.11,0.11,0.11,000,0.11
2016-07-14,0.11,0.11,0.11,0.11,000,0.11
2016-07-13,0.11,0.11,0.11,0.11,000,0.11
2016-07-12,0.11,0.11,0.11,0.11,000,0.11
2016-07-11,0.11,0.11,0.11,0.11,000,0.11
2016-07-08,0.11,0.11,0.11,0.11,000,0.11
2016-07-07,0.11,0.11,0.11,0.11,000,0.11
2016-07-06,0.11,0.11,0.11,0.11,000,0.11
2016-07-05,0.11,0.11,0.11,0.11,000,0.11
2016-07-01,0.11,0.11,0.11,0.11,100,0.11
2016-06-30,0.35,0.35,0.35,0.35,000,0.35
2016-06-29,0.35,0.35,0.35,0.35,100,0.35
2016-06-28,0.20,0.20,0.20,0.20,000,0.20
2016-06-27,0.20,0.20,0.20,0.20,000,0.20
